filename	ng_fg_ssim	ng_fg_psnr	ng_iou	ng_topo_q	ng_psnr	ng_ssim	ng_bytes	graph_n_components	graph_n_cycles	graph_n_junctions	graph_n_endpoints	graph_mean_degree	graph_complexity	n_nodes	n_edges	total_edge_length	mean_width_px	mean_curvature	delta_fg_ssim	delta_iou	total_time_ms	ng_n_components	ng_n_cycles	ng_euler_characteristic	ng_n_junctions	ng_n_endpoints	ng_mean_degree	ng_graph_complexity	ng_seg_beta_0	ng_seg_beta_1	graph_n_nodes	graph_n_edges	graph_n_sampled	graph_mean_edge_length	graph_mean_width	graph_total_edge_length	graph_mean_curvature	png_bytes	ng_vs_png	ng_vs_raw	image_shape	image_pixels	image_type	segmenter	n_points	n_structures	jpeg_quality	jpeg_bytes	jpeg_psnr	jpeg_ssim	jpeg_fg_psnr	jpeg_fg_ssim	jpeg_iou	jpeg_topo_q	jpeg_beta_0	jpeg_beta_1	jpeg_betti_preservation	webp_quality	webp_bytes	webp_psnr	webp_ssim	webp_fg_ssim	webp_fg_psnr	webp_topo_q	webp_iou	jp2_bytes	jp2_psnr	jp2_ssim	jp2_fg_ssim	jp2_fg_psnr	jp2_topo_q	jp2_iou	delta_fg_psnr	delta_topo_q	delta_psnr	delta_ssim	gt_available	stem
membrane_000.png	0.965680	29.298295	0.348534	0.527553	23.368339	0.487169	11301	31	143	331	153	2.164464	4.612903	1362	1474	3263.407371	4.175543	0.062832	-0.019143	0.057208	1113.287687	31	143	-112	331	153	2.164464	4.612903	31	5	1362	1474	878	2.213981	4.175543	3263.407371	0.062832	43915	3.885939	5.799133	256x256	65536	sparse	Meijering	1362	31	82	11125	34.797979	0.830259	34.510944	0.984823	0.291326	0.276063	236	328	0.000000	83	11228	37.666630	0.918324	0.992692	37.443444	0.247423	0.289950	249	28.340563	0.625289	0.965026	28.899924	0.994908	0.275837	-5.212649	0.251490	-11.429640	-0.343090	False	membrane_000
membrane_001.png	0.959222	28.649880	0.425201	0.330066	22.131054	0.438513	15269	27	267	588	211	2.248705	9.888889	1930	2170	4734.202383	3.944353	0.064399	-0.027706	0.079341	1350.157261	27	267	-240	588	211	2.248705	9.888889	27	11	1930	2170	1131	2.181660	3.944353	4734.202383	0.064399	44447	2.910931	4.292095	256x256	65536	sparse	Meijering	1930	27	86	14782	35.266617	0.866201	35.100312	0.986929	0.345861	0.254113	308	484	0.000000	86	14224	39.245952	0.947473	0.995006	39.206233	0.258633	0.346585	246	27.474724	0.592563	0.955521	28.048935	0.995392	0.327769	-6.450432	0.075952	-13.135563	-0.427689	False	membrane_001
membrane_002.png	0.963956	28.584441	0.439928	0.381626	22.301311	0.449492	15196	32	277	619	234	2.250000	8.656250	1960	2205	4823.110751	3.737794	0.062493	-0.024421	0.090802	1362.697601	32	277	-245	619	234	2.250000	8.656250	32	14	1960	2205	1107	2.187352	3.737794	4823.110751	0.062493	44252	2.912082	4.312714	256x256	65536	sparse	Meijering	1960	32	86	14548	35.420206	0.866896	35.145112	0.988377	0.349126	0.278582	257	481	0.000000	87	14476	39.668431	0.950943	0.995851	39.554873	0.265668	0.349521	250	27.728973	0.603937	0.962908	28.550092	0.992987	0.329471	-6.560671	0.103043	-13.118895	-0.417404	False	membrane_002
membrane_003.png	0.954448	28.642577	0.445539	0.341523	22.265695	0.449291	15705	23	296	658	224	2.271912	12.869565	2008	2281	5002.219744	3.996017	0.066399	-0.032078	0.085704	1346.976042	23	296	-273	658	224	2.271912	12.869565	23	11	2008	2281	1126	2.192994	3.996017	5002.219744	0.066399	44374	2.825470	4.172939	256x256	65536	sparse	Meijering	2008	23	87	15464	35.642264	0.876650	35.457847	0.986525	0.359835	0.237872	323	525	0.000000	87	15140	39.842668	0.954336	0.995208	39.667233	0.264859	0.360184	247	26.990295	0.597170	0.950220	27.294197	0.993903	0.327085	-6.815271	0.103651	-13.376569	-0.427359	False	membrane_003
membrane_004.png	0.952743	29.004768	0.404198	0.295116	23.289395	0.470551	14671	22	287	610	203	2.284487	13.045455	1863	2128	4751.882677	4.196548	0.061228	-0.031869	0.064872	1260.949850	22	287	-265	610	203	2.284487	13.045455	22	17	1863	2128	1050	2.233028	4.196548	4751.882677	0.061228	44103	3.006135	4.467044	256x256	65536	sparse	Meijering	1863	22	86	14349	35.546835	0.868114	35.262289	0.984613	0.339326	0.245538	297	470	0.000000	86	13836	39.314832	0.946238	0.993951	39.176433	0.249089	0.339871	250	27.458860	0.611709	0.949218	28.490654	0.998769	0.340851	-6.257521	0.049578	-12.257440	-0.397563	False	membrane_004
membrane_005.png	0.960880	28.429581	0.447020	0.318532	22.173694	0.446010	16688	35	390	803	271	2.321704	11.142857	2207	2562	5514.911338	3.561036	0.062568	-0.028836	0.086362	1407.867432	35	390	-355	803	271	2.321704	11.142857	35	26	2207	2562	1133	2.152581	3.561036	5514.911338	0.062568	44375	2.659096	3.927133	256x256	65536	sparse	Meijering	2207	35	88	16544	36.035875	0.889534	35.814294	0.989716	0.360658	0.241716	333	557	0.000000	88	16020	40.628718	0.961772	0.996422	40.430787	0.268008	0.359919	246	26.167065	0.596060	0.955499	26.450454	0.999671	0.342131	-7.384713	0.076817	-13.862181	-0.443524	False	membrane_005
membrane_006.png	0.958606	28.759346	0.432520	0.314288	22.770243	0.464817	16390	28	349	741	235	2.292217	12.464286	2197	2518	5669.232703	3.903575	0.063040	-0.028708	0.075339	1614.982843	28	349	-321	741	235	2.292217	12.464286	28	23	2197	2518	1221	2.251482	3.903575	5669.232703	0.063040	44186	2.695912	3.998536	256x256	65536	sparse	Meijering	2197	28	87	15306	35.754511	0.878660	35.464774	0.987314	0.357181	0.276860	289	528	0.000000	88	15934	40.669344	0.961321	0.995999	40.501998	0.257408	0.356370	246	26.803163	0.601303	0.951938	27.391563	0.999840	0.361646	-6.705428	0.037428	-12.984268	-0.413843	False	membrane_006
membrane_007.png	0.956187	28.860915	0.430541	0.287238	23.311906	0.476381	14818	25	281	615	215	2.269758	11.240000	1898	2154	4922.421849	4.036382	0.061356	-0.029017	0.073768	1299.904585	25	281	-256	615	215	2.269758	11.240000	25	13	1898	2154	1068	2.285247	4.036382	4922.421849	0.061356	43997	2.969159	4.422729	256x256	65536	sparse	Meijering	1898	25	86	14246	35.563531	0.868057	35.262770	0.985204	0.356773	0.245957	321	450	0.000000	87	14566	39.850961	0.952481	0.994749	39.613435	0.270496	0.354978	246	26.324612	0.610529	0.949837	26.761814	0.998817	0.347545	-6.401855	0.041281	-12.251625	-0.391676	False	membrane_007
membrane_008.png	0.958228	28.786417	0.442697	0.308188	23.225141	0.475412	14900	23	302	660	217	2.290625	13.130435	1920	2199	4892.010085	3.869307	0.065229	-0.028819	0.076524	1245.886803	23	302	-279	660	217	2.290625	13.130435	23	15	1920	2199	1043	2.224652	3.869307	4892.010085	0.065229	43889	2.945570	4.398389	256x256	65536	sparse	Meijering	1920	23	87	14891	35.871722	0.877978	35.533006	0.987046	0.366173	0.263203	305	487	0.000000	87	14606	39.849228	0.953374	0.994898	39.509719	0.269369	0.365246	246	26.768659	0.609998	0.951742	26.801054	0.963847	0.342362	-6.746589	0.044986	-12.646581	-0.402566	False	membrane_008
membrane_009.png	0.960011	29.118116	0.418382	0.336799	23.618628	0.488559	14834	25	303	658	221	2.281234	12.120000	1977	2255	5179.381610	3.966937	0.064586	-0.026763	0.075540	1406.906843	25	303	-278	658	221	2.281234	12.120000	25	12	1977	2255	1098	2.296843	3.966937	5179.381610	0.064586	43980	2.964811	4.417959	256x256	65536	sparse	Meijering	1977	25	86	14439	35.573781	0.872212	35.344951	0.986774	0.342842	0.309342	273	529	0.000000	87	14546	39.702185	0.952911	0.995061	39.433283	0.300484	0.341972	247	26.383005	0.599785	0.952032	26.802774	0.916257	0.311978	-6.226835	0.027457	-11.955152	-0.383653	False	membrane_009
