filename	ng_fg_ssim	ng_fg_psnr	ng_iou	ng_topo_q	ng_psnr	ng_ssim	ng_bytes	graph_n_components	graph_n_cycles	graph_n_junctions	graph_n_endpoints	graph_mean_degree	graph_complexity	n_nodes	n_edges	total_edge_length	mean_width_px	mean_curvature	delta_fg_ssim	delta_iou	total_time_ms	ng_n_components	ng_n_cycles	ng_euler_characteristic	ng_n_junctions	ng_n_endpoints	ng_mean_degree	ng_graph_complexity	ng_seg_beta_0	ng_seg_beta_1	graph_n_nodes	graph_n_edges	graph_n_sampled	graph_mean_edge_length	graph_mean_width	graph_total_edge_length	graph_mean_curvature	png_bytes	ng_vs_png	ng_vs_raw	image_shape	image_pixels	image_type	segmenter	n_points	n_structures	jpeg_quality	jpeg_bytes	jpeg_psnr	jpeg_ssim	jpeg_fg_psnr	jpeg_fg_ssim	jpeg_iou	jpeg_topo_q	jpeg_beta_0	jpeg_beta_1	jpeg_betti_preservation	webp_quality	webp_bytes	webp_psnr	webp_ssim	webp_fg_ssim	webp_fg_psnr	webp_topo_q	webp_iou	jp2_bytes	jp2_psnr	jp2_ssim	jp2_fg_ssim	jp2_fg_psnr	jp2_topo_q	jp2_iou	delta_fg_psnr	delta_topo_q	delta_psnr	delta_ssim	gt_available	stem
nuclei_000.png	0.961486	23.626929	0.711453	0.692676	19.692720	0.364384	23843	31	561	1174	349	2.347541	18.096774	3050	3580	7391.530676	2.764063	0.067463	-0.032515	0.296789	1821.622133	31	561	-530	1174	349	2.347541	18.096774	31	32	3050	3580	1527	2.064673	2.764063	7391.530676	0.067463	53981	2.264019	2.748647	256x256	65536	sparse	Meijering	3050	31	82	23621	31.351583	0.931971	31.377523	0.994000	0.414665	0.433312	886	4547	0.000000	82	23632	37.194163	0.981242	0.998392	37.113655	0.402043	0.418393	249	22.790217	0.164823	0.945058	22.777029	0.999997	0.417068	-7.750594	0.259364	-11.658863	-0.567587	False	nuclei_000
nuclei_001.png	0.960845	22.905857	0.708700	0.712114	18.825030	0.358452	23484	30	531	1131	347	2.346353	17.700000	2893	3394	7110.000338	2.828652	0.066419	-0.032329	0.297725	1744.348288	30	531	-501	1131	347	2.346353	17.700000	30	30	2893	3394	1415	2.094873	2.828652	7110.000338	0.066419	55316	2.355476	2.790666	256x256	65536	sparse	Meijering	2893	30	79	23032	30.027904	0.925365	30.057067	0.993174	0.410975	0.473038	797	4774	0.000000	80	23440	36.520955	0.982184	0.998398	36.418157	0.430822	0.415405	248	21.821578	0.136411	0.940426	21.711400	0.999988	0.412059	-7.151210	0.239076	-11.202873	-0.566913	False	nuclei_001
nuclei_002.png	0.971021	22.713006	0.712677	0.662532	18.583126	0.358103	23276	44	482	1079	385	2.305439	10.954545	2868	3306	7147.901121	2.546882	0.069542	-0.023382	0.309519	1638.546467	44	482	-438	1079	385	2.305439	10.954545	44	15	2868	3306	1404	2.162100	2.546882	7147.901121	0.069542	55526	2.385547	2.815604	256x256	65536	sparse	Meijering	2868	44	78	22864	29.637324	0.921452	29.560508	0.994403	0.403158	0.442259	860	4508	0.000000	79	23208	36.261450	0.981910	0.998773	36.187106	0.429220	0.411172	247	21.623725	0.132466	0.958259	21.603631	0.993395	0.401222	-6.847502	0.220273	-11.054198	-0.563348	False	nuclei_002
nuclei_003.png	0.970324	22.426291	0.722914	0.658284	18.296815	0.352880	24666	54	577	1256	439	2.334399	10.685185	3128	3651	7632.670220	2.490400	0.068555	-0.025196	0.309742	1730.060816	54	577	-523	1256	439	2.334399	10.685185	54	29	3128	3651	1433	2.090570	2.490400	7632.670220	0.068555	55986	2.269764	2.656937	256x256	65536	sparse	Meijering	3128	54	80	24297	30.383991	0.937785	30.373109	0.995520	0.413172	0.428309	901	4611	0.000000	81	24576	37.040100	0.985777	0.999013	36.997602	0.404685	0.418886	248	21.286650	0.124914	0.955286	21.194431	1.000000	0.408587	-7.946818	0.229975	-12.087177	-0.584905	False	nuclei_003
nuclei_004.png	0.965664	22.807196	0.733840	0.680676	18.572361	0.359201	24344	43	575	1237	391	2.350577	13.372093	3035	3567	7484.520341	2.684512	0.067004	-0.028862	0.306751	1698.235273	43	575	-532	1237	391	2.350577	13.372093	43	32	3035	3567	1407	2.098268	2.684512	7484.520341	0.067004	55467	2.278467	2.692080	256x256	65536	sparse	Meijering	3035	43	80	23816	30.386433	0.932718	30.442526	0.994526	0.427089	0.430449	908	4756	0.000000	81	24292	36.968527	0.984415	0.998724	36.849292	0.403963	0.432036	250	21.651631	0.135199	0.947531	21.569240	0.999989	0.436285	-7.635330	0.250227	-11.814072	-0.573517	False	nuclei_004
nuclei_005.png	0.967877	22.494208	0.714354	0.610432	18.352190	0.344302	24560	43	556	1207	384	2.330861	12.930233	3101	3614	7474.755269	2.532664	0.064254	-0.027250	0.296566	1729.010105	43	556	-513	1207	384	2.330861	12.930233	43	36	3101	3614	1510	2.068278	2.532664	7474.755269	0.064254	55899	2.276018	2.668404	256x256	65536	sparse	Meijering	3101	43	80	24176	30.387076	0.936383	30.350432	0.995127	0.417788	0.419736	927	4614	0.000000	81	24362	36.876267	0.984997	0.998885	36.845023	0.409451	0.424306	250	21.341368	0.129019	0.950854	21.149798	0.999565	0.410053	-7.856224	0.190696	-12.034886	-0.592080	False	nuclei_005
nuclei_006.png	0.961432	22.645960	0.731853	0.665536	18.618579	0.368837	25426	27	648	1344	364	2.387640	24.000000	3204	3825	8021.746220	2.750585	0.067053	-0.033715	0.289381	1847.464800	27	648	-621	1344	364	2.387640	24.000000	27	51	3204	3825	1496	2.097189	2.750585	8021.746220	0.067053	55655	2.188901	2.577519	256x256	65536	sparse	Meijering	3204	27	82	25308	31.302530	0.946641	31.303192	0.995147	0.442472	0.389235	1009	4468	0.000000	82	24890	37.446149	0.986332	0.998790	37.390715	0.424226	0.457784	250	21.429073	0.132806	0.939597	21.394460	1.000000	0.437233	-8.657232	0.276301	-12.683951	-0.577804	False	nuclei_006
nuclei_007.png	0.965756	23.199383	0.724013	0.604287	19.508109	0.347436	22127	52	493	1076	388	2.312544	9.480769	2822	3263	6987.763810	2.654498	0.066531	-0.027412	0.305539	1691.091061	52	493	-441	1076	388	2.312544	9.480769	52	28	2822	3263	1358	2.141515	2.654498	6987.763810	0.066531	54622	2.468568	2.961811	256x256	65536	sparse	Meijering	2822	52	78	21877	29.710239	0.910621	29.794371	0.993167	0.418475	0.385718	1030	4518	0.000000	78	21606	35.554599	0.975219	0.998063	35.397884	0.378279	0.426034	246	22.132560	0.153167	0.947969	21.802947	1.000000	0.401657	-6.594989	0.218569	-10.202130	-0.563185	False	nuclei_007
nuclei_008.png	0.965607	23.049860	0.705705	0.627418	19.218591	0.354499	22908	47	525	1097	355	2.333799	11.170213	2864	3342	7169.439260	2.641137	0.070057	-0.028148	0.284605	1644.010305	47	525	-478	1097	355	2.333799	11.170213	47	38	2864	3342	1412	2.145254	2.641137	7169.439260	0.070057	54901	2.396586	2.860835	256x256	65536	sparse	Meijering	2864	47	79	22671	30.056784	0.921466	29.998548	0.993755	0.421100	0.348942	1138	4216	0.000000	79	22430	35.974248	0.978663	0.998299	35.804450	0.401263	0.433171	243	21.685066	0.147561	0.944429	21.230097	1.000000	0.405042	-6.948687	0.278476	-10.838193	-0.566967	False	nuclei_008
nuclei_009.png	0.961816	22.832843	0.719979	0.613589	18.857491	0.362995	24788	42	638	1339	403	2.379618	15.190476	3140	3736	7850.101847	2.684406	0.065164	-0.032750	0.276315	1860.086203	42	638	-596	1339	403	2.379618	15.190476	42	49	3140	3736	1398	2.101205	2.684406	7850.101847	0.065164	55240	2.228498	2.643860	256x256	65536	sparse	Meijering	3140	42	81	24374	30.857627	0.937246	30.874987	0.994566	0.443664	0.307141	1273	4005	0.000000	82	24490	37.281014	0.984926	0.998696	37.162944	0.306993	0.447942	244	21.349564	0.142786	0.937104	20.831024	1.000000	0.432802	-8.042144	0.306448	-12.000136	-0.574251	False	nuclei_009
