filename	ng_fg_ssim	ng_fg_psnr	ng_iou	ng_topo_q	ng_psnr	ng_ssim	ng_bytes	graph_n_components	graph_n_cycles	graph_n_junctions	graph_n_endpoints	graph_mean_degree	graph_complexity	n_nodes	n_edges	total_edge_length	mean_width_px	mean_curvature	delta_fg_ssim	delta_iou	total_time_ms	ng_n_components	ng_n_cycles	ng_euler_characteristic	ng_n_junctions	ng_n_endpoints	ng_mean_degree	ng_graph_complexity	ng_seg_beta_0	ng_seg_beta_1	graph_n_nodes	graph_n_edges	graph_n_sampled	graph_mean_edge_length	graph_mean_width	graph_total_edge_length	graph_mean_curvature	png_bytes	ng_vs_png	ng_vs_raw	image_shape	image_pixels	image_type	segmenter	n_points	n_structures	jpeg_quality	jpeg_bytes	jpeg_psnr	jpeg_ssim	jpeg_fg_psnr	jpeg_fg_ssim	jpeg_iou	jpeg_topo_q	jpeg_beta_0	jpeg_beta_1	jpeg_betti_preservation	webp_quality	webp_bytes	webp_psnr	webp_ssim	webp_fg_ssim	webp_fg_psnr	webp_topo_q	webp_iou	jp2_bytes	jp2_psnr	jp2_ssim	jp2_fg_ssim	jp2_fg_psnr	jp2_topo_q	jp2_iou	delta_fg_psnr	delta_topo_q	delta_psnr	delta_ssim	gt_available	stem
retina_green_full.png	0.992983	33.477086	0.135005	1.000000	25.265906	0.762449	67236	39	798	1717	463	2.233467	20.461538	6502	7261	19334.462953	7.471641	0.096461	-0.005279	0.002442	61221.665144	39	798	-759	1717	463	2.233467	20.461538	39	93	6502	7261	4322	2.662782	7.471641	19334.462953	0.096461	542875	8.074172	29.610938	1411x1411	1990921	sparse	Otsu	6502	39	55	66333	45.332016	0.978229	43.859657	0.998262	0.132563	1.000000	13	245	0.000000	88	66428	46.756906	0.984340	0.998631	44.957186	1.000000	0.132514	129398	49.707345	0.991489	0.999336	48.283360	1.000000	0.132499	-10.382571	0.000000	-20.066110	-0.215780	False	retina_green_full
retina_tile_000.png	0.989849	32.563929	0.296864	0.999968	28.530306	0.803484	9674	27	71	179	106	2.054121	2.629630	1626	1670	2863.584201	3.790024	0.034633	-0.009992	0.002251	5109.781981	27	71	-44	179	106	2.054121	2.629630	27	4	1626	1670	1341	1.714721	3.790024	2863.584201	0.034633	17682	1.827786	6.774447	256x256	65536	dense	Otsu	1626	27	96	8885	56.586094	0.998337	54.483956	0.999841	0.294614	0.999962	1	4	0.518519	100	6684	52.228839	0.995360	0.999631	50.472237	0.999590	0.294543	249	26.620870	0.758945	0.980959	24.546254	0.994483	0.288123	-21.920028	0.000006	-28.055788	-0.194853	False	retina_tile_000
retina_tile_001.png	0.990191	34.099807	0.230244	0.999842	28.801030	0.802982	6427	13	45	103	54	2.076100	3.461538	841	873	1916.451485	5.146838	0.056128	-0.008993	0.033106	883.805275	13	45	-32	103	54	2.076100	3.461538	13	3	841	873	684	2.195248	5.146838	1916.451485	0.056128	22634	3.521705	10.196981	256x256	65536	sparse	Otsu	841	13	85	5918	48.942169	0.990680	48.232545	0.999184	0.197138	0.999914	1	5	0.205128	96	6038	49.051943	0.991005	0.999155	48.161579	0.999622	0.197100	343	31.862815	0.866219	0.985702	31.160352	1.000000	0.198464	-14.132739	-0.000072	-20.141139	-0.187698	False	retina_tile_001
retina_tile_002.png	0.977054	32.345424	0.362679	1.000000	27.106628	0.740684	12147	18	170	351	103	2.160847	9.444444	1890	2042	4179.498563	4.791839	0.039747	-0.022671	0.004037	2170.753241	18	170	-152	351	103	2.160847	9.444444	18	25	1890	2042	1436	2.046767	4.791839	4179.498563	0.039747	19901	1.638347	5.395242	256x256	65536	sparse	Otsu	1890	18	98	11579	57.239263	0.998366	56.465925	0.999725	0.358641	0.986431	1	0	0.027778	100	7358	51.485909	0.994075	0.999030	50.841878	0.986700	0.358654	243	27.919116	0.811323	0.973983	28.128023	0.984701	0.349663	-24.120502	0.013569	-30.132635	-0.257682	False	retina_tile_002
retina_tile_003.png	0.994630	33.045768	0.328435	0.999725	29.284490	0.854482	7210	16	64	143	67	2.077047	4.000000	1246	1294	2563.165932	3.971558	0.030946	-0.005299	-0.001070	4267.889500	16	64	-48	143	67	2.077047	4.000000	16	3	1246	1294	1036	1.980808	3.971558	2563.165932	0.030946	12317	1.708322	9.089598	256x256	65536	dense	Otsu	1246	16	97	7081	59.101461	0.999023	55.125949	0.999929	0.329504	0.999731	1	0	0.031250	100	4552	54.293940	0.997011	0.999810	50.753976	0.999731	0.329463	278	29.875287	0.760682	0.982218	25.604213	0.999910	0.321599	-22.080182	-0.000005	-29.816972	-0.144541	False	retina_tile_003
retina_tile_004.png	0.992137	32.470566	0.296200	0.999914	28.212843	0.790039	9253	31	106	243	121	2.101010	3.419355	1485	1560	2764.383616	3.778425	0.044772	-0.007733	0.003034	4567.711830	31	106	-75	243	121	2.101010	3.419355	31	4	1485	1560	1121	1.772041	3.778425	2764.383616	0.044772	17849	1.928996	7.082676	256x256	65536	dense	Otsu	1485	31	96	8987	56.363887	0.998222	54.391957	0.999870	0.293166	0.999784	1	5	0.391129	100	6752	52.386252	0.995413	0.999701	50.580819	0.999907	0.293194	248	25.950697	0.765174	0.974905	23.034085	0.993780	0.282970	-21.921391	0.000130	-28.151044	-0.208182	False	retina_tile_004
retina_tile_005.png	0.984862	33.600320	0.335576	0.995413	28.628605	0.788787	8139	15	49	113	57	2.067061	3.266667	1014	1048	2815.428046	6.054496	0.050374	-0.013887	0.011810	1196.031332	15	49	-34	113	57	2.067061	3.266667	15	6	1014	1048	844	2.686477	6.054496	2815.428046	0.050374	26143	3.212065	8.052095	256x256	65536	sparse	Otsu	1014	15	87	7919	48.909779	0.991298	48.388243	0.998749	0.323766	0.969308	16	41	0.000000	96	7434	48.462858	0.990845	0.998609	47.953793	0.904423	0.325881	278	27.358485	0.784425	0.966312	25.255135	0.988667	0.254693	-14.787922	0.026105	-20.281174	-0.202511	False	retina_tile_005
retina_tile_006.png	0.983030	32.898751	0.340991	0.995047	27.824061	0.765854	9642	23	122	257	110	2.154567	5.304348	1281	1380	3029.444834	4.960969	0.064734	-0.016646	0.036880	1315.633535	23	122	-99	257	110	2.154567	5.304348	23	6	1281	1380	914	2.195250	4.960969	3029.444834	0.064734	22266	2.309272	6.796930	256x256	65536	sparse	Otsu	1281	23	94	9316	55.501620	0.997705	54.632807	0.999676	0.304112	0.959190	17	47	0.000000	100	8358	50.983114	0.993501	0.999261	50.771455	0.963215	0.300875	249	30.358861	0.860468	0.986275	30.461036	0.995913	0.225824	-21.734057	0.035857	-27.677559	-0.231850	False	retina_tile_006
retina_tile_007.png	0.985568	33.723042	0.250365	0.993385	29.173365	0.823093	8469	22	38	95	74	2.023341	1.727273	1371	1387	2837.183748	5.666402	0.030378	-0.014137	0.013369	2142.307758	22	38	-16	95	74	2.023341	1.727273	22	1	1371	1387	1202	2.045554	5.666402	2837.183748	0.030378	20311	2.398276	7.738340	256x256	65536	sparse	Otsu	1371	22	94	8420	55.871817	0.997774	55.245274	0.999705	0.236996	0.997861	8	36	0.000000	100	7278	51.295984	0.993848	0.999252	51.026774	0.999439	0.236898	250	31.307694	0.884963	0.993242	33.737796	0.996113	0.157915	-21.522232	-0.004476	-26.698452	-0.174681	False	retina_tile_007
retina_tile_008.png	0.983468	33.720257	0.288313	0.999967	29.535967	0.812769	9295	16	76	175	74	2.080699	4.750000	1487	1547	3518.815598	5.889000	0.038449	-0.016201	0.022507	2101.881027	16	76	-60	175	74	2.080699	4.750000	16	7	1487	1547	1238	2.274606	5.889000	3518.815598	0.038449	21452	2.307907	7.050672	256x256	65536	sparse	Otsu	1487	16	94	8843	55.611518	0.997631	54.887978	0.999670	0.265805	0.993654	5	10	0.441964	100	7722	50.940383	0.993348	0.999226	50.897093	0.986341	0.265870	246	26.946130	0.868017	0.981693	28.346654	0.781288	0.246451	-21.167721	0.006312	-26.075550	-0.184862	False	retina_tile_008
