filename	gt_iou	seg_iou	seg_f1	seg_precision	seg_recall	gt_fg_ssim	gt_fg_psnr	ng_fg_ssim	ng_fg_psnr	ng_iou	ng_topo_q	topo_preservation	ng_psnr	ng_ssim	ng_bytes	graph_n_components	graph_n_cycles	graph_n_junctions	graph_n_endpoints	graph_mean_degree	graph_complexity	n_nodes	n_edges	total_edge_length	mean_width_px	mean_curvature	delta_gt_iou	delta_gt_fg_psnr	delta_gt_fg_ssim	delta_fg_ssim	delta_iou	total_time_ms	ng_recon_iou	ng_n_components	ng_n_cycles	ng_euler_characteristic	ng_n_junctions	ng_n_endpoints	ng_mean_degree	ng_graph_complexity	ng_seg_beta_0	ng_seg_beta_1	graph_n_nodes	graph_n_edges	graph_n_sampled	graph_mean_edge_length	graph_mean_width	graph_total_edge_length	graph_mean_curvature	png_bytes	ng_vs_png	ng_vs_raw	image_shape	image_pixels	image_type	segmenter	n_points	n_structures	jpeg_quality	jpeg_bytes	jpeg_psnr	jpeg_ssim	jpeg_fg_psnr	jpeg_fg_ssim	jpeg_iou	jpeg_topo_q	jpeg_beta_0	jpeg_beta_1	jpeg_betti_preservation	webp_quality	webp_bytes	webp_psnr	webp_ssim	webp_fg_ssim	webp_fg_psnr	webp_topo_q	webp_iou	jp2_bytes	jp2_psnr	jp2_ssim	jp2_fg_ssim	jp2_fg_psnr	jp2_topo_q	jp2_iou	delta_fg_psnr	delta_topo_q	delta_psnr	delta_ssim	gt_available	gt_topology_q	recon_topology_q	jpeg_gt_iou	jpeg_gt_fg_psnr	jpeg_gt_fg_ssim	stem
21.png	0.110298	0.611155	0.758655	0.711304	0.812759	0.995190	25.960717	0.997792	32.393737	1.000000	1.000000	1.000280	21.474330	0.643744	28464	7	201	355	61	2.086222	28.714286	4500	4694	8048.862766	2.072459	0.072335	0.000503	-14.999113	-0.004657	-0.001977	0.888521	13384.158850	0.112994	7	201	-194	355	61	2.086222	28.714286	7	27	4500	4694	4084	1.714713	2.072459	8048.862766	0.072335	151363	5.317700	11.592187	584x565	329960	dense	Learned	4700	7	80	27888	42.893857	0.965625	41.456664	0.999769	0.111479	0.316139	1	0	0.071429	90	27360	43.999104	0.971725	0.999812	42.327373	0.316139	0.111468	1666	33.099025	0.856482	0.996610	28.525185	0.999720	0.111506	-9.062927	0.683861	-21.419527	-0.321881	True	0.999720	1.000000	0.109795	40.959830	0.999847	21
22.png	0.133356	0.579379	0.733680	0.796612	0.679962	0.993966	27.536399	0.998257	33.133787	1.000000	0.999947	1.000000	23.172312	0.687816	25532	12	99	226	72	2.042553	8.250000	4089	4176	7402.110458	1.967539	0.080215	0.000965	-13.011272	-0.005797	-0.001509	0.896282	9807.529449	0.105926	12	99	-87	226	72	2.042553	8.250000	13	9	4089	4176	3791	1.772536	1.967539	7402.110458	0.080215	150746	5.904199	12.923390	584x565	329960	dense	Learned	4289	13	77	25332	42.574775	0.964586	40.757353	0.999766	0.103718	1.000000	1	9	0.538462	89	25090	43.577804	0.969916	0.999812	41.551110	1.000000	0.103757	1978	34.123964	0.864402	0.997328	28.973468	1.000000	0.103779	-7.623566	-0.000053	-19.402463	-0.276770	True	1.000000	1.000000	0.132391	40.547670	0.999763	22
23.png	0.094470	0.514187	0.679159	0.641445	0.721585	0.996215	26.697979	0.998105	33.122446	1.000000	0.999946	0.999405	20.767134	0.638691	24248	11	143	292	70	2.068768	13.000000	3839	3971	6872.152646	2.097565	0.075597	-0.001064	-13.742188	-0.003621	-0.001604	0.904094	12617.994070	0.096752	11	143	-132	292	70	2.068768	13.000000	12	17	3839	3971	3477	1.730585	2.097565	6872.152646	0.075597	150805	6.219276	13.607720	584x565	329960	dense	Learned	4039	12	72	23787	42.146395	0.967244	41.162625	0.999709	0.095906	1.000000	1	26	0.276961	88	24112	43.389541	0.971618	0.999787	41.681471	1.000000	0.096003	1942	32.231645	0.826009	0.996539	28.221618	1.000000	0.096471	-8.040180	-0.000054	-21.379261	-0.328553	True	1.000000	0.999405	0.095533	40.440168	0.999836	23
24.png	0.166198	0.637641	0.778731	0.834200	0.730179	0.991403	25.409426	0.997389	32.299353	1.000000	1.000000	1.000000	20.469645	0.607488	31266	6	197	390	79	2.078828	32.833333	4846	5037	9118.545233	2.162977	0.080995	-0.003578	-16.011782	-0.008340	-0.002353	0.863608	12560.385704	0.133936	6	197	-191	390	79	2.078828	32.833333	6	24	4846	5037	4377	1.810313	2.162977	9118.545233	0.080995	152792	4.886842	10.553317	584x565	329960	dense	Learned	5046	6	81	30928	43.022602	0.969852	41.625091	0.999742	0.136392	0.559568	1	0	0.083333	90	27146	43.853204	0.972829	0.999748	42.012764	0.732865	0.136386	1652	31.652313	0.828831	0.995422	27.089278	0.999998	0.136259	-9.325738	0.440432	-22.552957	-0.362364	True	1.000000	1.000000	0.169776	41.421208	0.999743	24
25.png	0.141659	0.576317	0.731220	0.811657	0.665288	0.992909	27.575817	0.998087	33.705015	1.000000	0.999981	0.999953	25.074070	0.722161	21672	11	116	250	64	2.063617	10.545455	3301	3406	6976.796749	2.130934	0.075005	0.001037	-13.552934	-0.006801	-0.001618	0.893686	11150.238037	0.109244	11	116	-105	250	64	2.063617	10.545455	11	14	3301	3406	2987	2.048384	2.130934	6976.796749	0.075005	145763	6.725867	15.225175	584x565	329960	sparse	Learned	3421	11	76	21155	42.892415	0.961344	41.401915	0.999704	0.106314	1.000000	1	12	0.474026	88	19138	43.434837	0.964716	0.999746	41.749001	0.999999	0.106259	2321	36.911519	0.902774	0.998188	32.531338	0.999500	0.106543	-7.696901	-0.000019	-17.818345	-0.239183	True	1.000000	0.999953	0.140622	41.128752	0.999709	25
26.png	0.121620	0.639162	0.779865	0.814076	0.748413	0.993157	29.442249	0.997913	34.587571	1.000000	1.000000	1.000000	27.139974	0.766422	21516	4	133	269	55	2.073968	33.250000	3488	3617	6546.139895	2.283267	0.092205	-0.000636	-11.869794	-0.006360	-0.001658	0.890166	12705.036879	0.110418	4	133	-129	269	55	2.073968	33.250000	4	11	3488	3617	3164	1.809826	2.283267	6546.139895	0.092205	146066	6.788715	15.335564	584x565	329960	dense	Learned	3688	4	75	21006	42.820651	0.960837	41.421407	0.999571	0.109834	0.999999	1	2	0.215909	88	19196	43.219548	0.963687	0.999572	41.395970	0.462056	0.109822	2318	37.002386	0.897273	0.997591	32.996019	1.000000	0.109818	-6.833836	0.000001	-15.680677	-0.194415	True	1.000000	1.000000	0.122256	41.312043	0.999517	26
27.png	0.130140	0.586711	0.739531	0.719411	0.760809	0.994570	26.518792	0.997485	32.190159	1.000000	1.000000	1.000000	22.533817	0.653151	29963	7	213	412	71	2.086066	30.428571	4787	4993	8823.082246	2.078864	0.076914	0.000953	-13.751087	-0.005242	-0.002228	0.879901	11095.167875	0.122291	7	213	-206	412	71	2.086066	30.428571	7	34	4787	4993	4304	1.767090	2.078864	8823.082246	0.076914	154288	5.149284	11.012248	584x565	329960	dense	Learned	4987	7	80	29072	42.545355	0.963851	40.714252	0.999712	0.120099	0.680181	1	0	0.071429	90	28844	43.811296	0.971389	0.999785	42.100539	0.316139	0.120084	1644	32.932009	0.843439	0.996114	27.880372	0.998089	0.120164	-8.524093	0.319819	-20.011538	-0.310700	True	1.000000	1.000000	0.129186	40.269879	0.999813	27
28.png	0.144806	0.614702	0.761381	0.782291	0.741560	0.992118	25.984668	0.997543	32.023066	1.000000	0.999997	1.000000	22.974041	0.645889	28954	8	164	323	72	2.070829	20.500000	4405	4561	8259.534385	2.133938	0.089480	0.001700	-14.226733	-0.007635	-0.002182	0.874198	11721.082211	0.130092	8	164	-156	323	72	2.070829	20.500000	11	22	4405	4561	4010	1.810904	2.133938	8259.534385	0.089480	155392	5.366858	11.396007	584x565	329960	dense	Learned	4605	11	79	28712	42.435935	0.963573	40.560175	0.999725	0.125802	0.861931	1	0	0.045455	89	26558	43.211353	0.968458	0.999749	41.189680	0.991770	0.125765	1650	32.940467	0.837444	0.996395	28.287498	0.999998	0.125976	-8.537109	0.138066	-19.461895	-0.317684	True	1.000000	1.000000	0.143106	40.211401	0.999754	28
29.png	0.128083	0.626115	0.770075	0.776350	0.763900	0.994474	30.166246	0.997703	34.092232	1.000000	1.000000	1.000000	27.670057	0.765622	20761	5	167	350	66	2.104550	33.400000	3099	3261	7209.781597	2.204154	0.090012	0.005264	-10.213092	-0.005016	-0.001803	0.882953	10967.799187	0.124403	5	167	-162	350	66	2.104550	33.400000	6	22	3099	3261	2683	2.210911	2.204154	7209.781597	0.090012	146821	7.071962	15.893261	584x565	329960	sparse	Learned	3219	6	73	20248	42.589007	0.959815	40.528334	0.999505	0.117047	1.000000	1	26	0.492424	88	19654	43.263221	0.964984	0.999581	41.073998	1.000000	0.116953	2312	36.708987	0.893819	0.997142	32.032446	1.000000	0.117557	-6.436102	-0.000000	-14.918950	-0.194193	True	1.000000	1.000000	0.122818	40.379338	0.999490	29
30.png	0.111095	0.599928	0.749944	0.727243	0.774108	0.994292	30.045385	0.997886	35.006071	1.000000	1.000000	1.000000	26.264305	0.770537	20052	5	170	317	49	2.102548	34.000000	3218	3383	7347.308509	2.223605	0.088483	-0.003825	-11.530386	-0.005249	-0.001662	0.879162	11035.332680	0.117595	5	170	-165	317	49	2.102548	34.000000	5	29	3218	3383	2852	2.171832	2.223605	7347.308509	0.088483	143220	7.142430	16.455216	584x565	329960	sparse	Learned	3338	5	75	19617	42.938782	0.960547	41.771941	0.999548	0.120838	0.999999	1	5	0.186207	88	18418	43.574437	0.964853	0.999562	41.919545	0.462056	0.120858	2628	37.804435	0.911083	0.997569	33.853325	1.000000	0.120810	-6.765870	0.000001	-16.674477	-0.190011	True	1.000000	1.000000	0.114920	41.575771	0.999540	30
