filename	gt_iou	seg_iou	seg_f1	seg_precision	seg_recall	gt_fg_ssim	gt_fg_psnr	ng_fg_ssim	ng_fg_psnr	ng_iou	ng_topo_q	topo_preservation	ng_psnr	ng_ssim	ng_bytes	graph_n_components	graph_n_cycles	graph_n_junctions	graph_n_endpoints	graph_mean_degree	graph_complexity	n_nodes	n_edges	total_edge_length	mean_width_px	mean_curvature	delta_gt_iou	delta_gt_fg_psnr	delta_gt_fg_ssim	delta_fg_ssim	delta_iou	total_time_ms	ng_recon_iou	ng_n_components	ng_n_cycles	ng_euler_characteristic	ng_n_junctions	ng_n_endpoints	ng_mean_degree	ng_graph_complexity	ng_seg_beta_0	ng_seg_beta_1	graph_n_nodes	graph_n_edges	graph_n_sampled	graph_mean_edge_length	graph_mean_width	graph_total_edge_length	graph_mean_curvature	png_bytes	ng_vs_png	ng_vs_raw	image_shape	image_pixels	image_type	segmenter	n_points	n_structures	jpeg_quality	jpeg_bytes	jpeg_psnr	jpeg_ssim	jpeg_fg_psnr	jpeg_fg_ssim	jpeg_iou	jpeg_topo_q	jpeg_beta_0	jpeg_beta_1	jpeg_betti_preservation	webp_quality	webp_bytes	webp_psnr	webp_ssim	webp_fg_ssim	webp_fg_psnr	webp_topo_q	webp_iou	jp2_bytes	jp2_psnr	jp2_ssim	jp2_fg_ssim	jp2_fg_psnr	jp2_topo_q	jp2_iou	delta_fg_psnr	delta_topo_q	delta_psnr	delta_ssim	gt_available	gt_topology_q	recon_topology_q	jpeg_gt_iou	jpeg_gt_fg_psnr	jpeg_gt_fg_ssim	stem
slice000.png	0.008058	0.816524	0.898996	0.935787	0.864988	0.970990	24.558532	0.981509	27.513212	1.000000	0.897156	0.260197	19.733652	0.275613	25800	20	747	1140	21	2.982432	37.350000	1480	2207	3884.124809	3.294184	0.073252	0.004836	-2.679248	0.001664	0.005836	0.996782	64164.030552	0.007723	20	747	-727	1140	21	2.982432	37.350000	22	195	1480	2207	319	1.759912	3.294184	3884.124809	0.073252	575084	22.290078	30.481860	768x1024	786432	sparse	Learned	1602	22	9	25047	27.126148	0.672021	27.255940	0.975673	0.003218	0.624357	882	596	0.000000	7	25112	27.763958	0.674932	0.977788	28.040695	0.630595	0.001089	52585	29.258800	0.785759	0.983821	29.142403	0.453628	0.003134	0.257272	0.272800	-7.392495	-0.396408	True	0.638091	0.166029	0.003222	27.237781	0.969326	slice000
slice018.png	0.007944	0.789368	0.882287	0.916535	0.850507	0.970595	24.523238	0.981934	27.640086	1.000000	0.890000	0.288292	19.757891	0.274566	24542	22	651	1001	24	2.912917	29.590909	1378	2007	3633.244225	3.994287	0.073719	0.004894	-2.497653	0.002972	0.007297	0.994476	59640.573740	0.010023	22	651	-629	1001	24	2.912917	29.590909	22	177	1378	2007	353	1.810286	3.994287	3633.244225	0.073719	574879	23.424293	32.044332	768x1024	786432	sparse	Learned	1498	22	8	22801	26.877922	0.653166	27.032666	0.974637	0.005524	0.687260	722	551	0.000000	6	23380	27.731007	0.664891	0.977255	28.003162	0.625164	0.004250	56578	29.405239	0.792132	0.985061	29.356399	0.423476	0.005831	0.607420	0.202740	-7.120031	-0.378600	True	0.674406	0.194426	0.003051	27.020891	0.967623	slice018
slice036.png	0.005916	0.670095	0.802464	0.913945	0.715222	0.966550	24.317687	0.984062	27.306896	1.000000	0.927879	0.258258	19.873868	0.272923	22125	17	757	1089	16	3.121212	44.529412	1320	2060	3573.700069	3.143151	0.069452	0.001789	-2.480721	0.000779	0.006339	0.998140	49610.680103	0.005675	17	757	-740	1089	16	3.121212	44.529412	17	188	1320	2060	215	1.734806	3.143151	3573.700069	0.069452	574522	25.967096	35.544949	768x1024	786432	sparse	Learned	1440	17	7	20828	26.561672	0.633074	26.781860	0.977723	0.001860	0.699336	693	537	0.000000	5	21128	27.616794	0.652796	0.979917	27.908085	0.650781	0.000643	61115	29.575843	0.799309	0.988264	29.629057	0.405985	0.002486	0.525036	0.228544	-6.687804	-0.360151	True	0.678256	0.175165	0.004128	26.798408	0.965770	slice036
slice054.png	0.007532	0.825536	0.904432	0.971526	0.846006	0.970579	24.734668	0.982424	27.400468	1.000000	0.902607	0.281181	19.891037	0.278920	23594	19	745	1083	16	3.066863	39.210526	1361	2087	3702.422941	3.220827	0.067950	0.004125	-2.322114	0.002744	0.005950	0.996820	50094.694376	0.006916	19	745	-726	1083	16	3.066863	39.210526	20	188	1361	2087	262	1.774041	3.220827	3702.422941	0.067950	574217	24.337416	33.331864	768x1024	786432	sparse	Learned	1481	20	8	22503	26.916022	0.649135	27.057634	0.976474	0.003180	0.684210	732	588	0.000000	6	22760	27.768722	0.659988	0.978570	28.038762	0.661496	0.001141	57873	29.491311	0.791470	0.986506	29.495735	0.424069	0.002812	0.342834	0.218397	-7.024985	-0.370215	True	0.590574	0.166058	0.003407	27.056782	0.967835	slice054
slice072.png	0.003472	0.844240	0.915543	0.909538	0.921627	0.983576	24.992668	0.987923	27.515170	1.000000	0.821827	0.497267	19.887826	0.268695	16226	15	469	694	11	3.125155	31.266667	807	1261	2205.657213	2.813537	0.077415	0.002244	-0.305846	0.006498	0.008201	0.997317	38876.578569	0.004481	15	469	-454	694	11	3.125155	31.266667	16	121	807	1261	102	1.749133	2.813537	2205.657213	0.077415	574452	35.403180	48.467398	768x1024	786432	sparse	Learned	929	16	4	14703	24.714696	0.529614	25.317644	0.979722	0.002683	0.817870	448	363	0.000000	1	14180	26.999862	0.611693	0.982785	27.402187	0.762947	0.001690								2.197527	0.003957	-4.826870	-0.260918	True	0.501549	0.249404	0.001229	25.298514	0.977078	slice072
slice091.png	0.003170	0.876455	0.934161	0.931976	0.936355	0.989223	23.713382	0.992551	27.380898	1.000000	0.896112	0.722933	19.802883	0.261634	11439	9	367	535	5	3.234483	40.777778	580	938	1629.547473	2.355843	0.077834						29080.405951	0.001383	9	367	-358	535	5	3.234483	40.777778	9	94	580	938	40	1.737257	2.355843	1629.547473	0.077834	574232	50.199493	68.750066	768x1024	786432	sparse	Learned	700	9																															True	0.422525	0.305457				slice091
slice109.png	0.001294	0.803011	0.890744	0.898448	0.883171	0.990109	24.160168	0.993005	27.761529	1.000000	0.764647	0.978068	19.680287	0.262699	11059	12	273	392	12	2.938849	22.750000	556	817	1340.788022	3.465145	0.070086						39681.801081	0.001455	12	273	-261	392	12	2.938849	22.750000	12	64	556	817	152	1.641111	3.465145	1340.788022	0.070086	574546	51.952799	71.112397	768x1024	786432	sparse	Learned	676	12																															True	0.448437	0.438602				slice109
slice127.png	0.005671	0.880461	0.936431	0.928845	0.944142	0.984827	24.641455	0.988991	27.683226	1.000000	0.894505	0.518547	19.858956	0.273850	15083	11	412	624	9	3.075067	37.454545	746	1147	1992.762769	2.914589	0.072818	0.003739	-0.674405	0.006986	0.008550	0.998009	36978.542805	0.003732	11	412	-401	624	9	3.075067	37.454545	11	109	746	1147	113	1.737369	2.914589	1992.762769	0.072818	573775	38.041172	52.140290	768x1024	786432	sparse	Learned	866	11	4	14603	24.788884	0.526605	25.288910	0.980441	0.001991	0.851337	405	388	0.000000	1	13882	27.017262	0.607774	0.983167	27.194113	0.774355	0.001007								2.394316	0.043168	-4.929928	-0.252755	True	0.551487	0.285972	0.001931	25.315860	0.977841	slice127
slice145.png	0.003133	0.878852	0.935520	0.940192	0.930895	0.984741	25.297762	0.988946	27.667918	1.000000	0.871265	0.553655	20.077591	0.277038	15167	12	399	587	11	3.034759	33.250000	748	1135	1965.892711	3.450727	0.075142	0.001235	0.082944	0.007871	0.009006	0.997044	43423.308372	0.003942	12	399	-387	587	11	3.034759	33.250000	12	100	748	1135	150	1.732064	3.450727	1965.892711	0.075142	573545	37.815323	51.851520	768x1024	786432	sparse	Learned	868	12	4	14447	24.795903	0.521232	25.220144	0.979940	0.002956	0.883789	371	456	0.000000	1	13722	27.054252	0.604203	0.983283	27.260751	0.825257	0.001490								2.447774	-0.012524	-4.718312	-0.244194	True	0.547391	0.303066	0.001898	25.214818	0.976870	slice145
slice164.png	0.002269	0.694207	0.819506	0.924275	0.736071	0.987719	22.977979	0.994243	27.994345	1.000000	0.880268	0.956437	19.449534	0.240886	10276	8	212	308	8	2.758364	26.500000	538	742	1261.361615	7.129635	0.063091						52461.940289	0.001946	8	212	-204	308	8	2.758364	26.500000	8	51	538	742	222	1.699948	7.129635	1261.361615	0.063091	575513	56.005547	76.530946	768x1024	786432	sparse	Learned	658	8																															True	0.412998	0.395007				slice164
