filename	gt_iou	seg_iou	seg_f1	seg_precision	seg_recall	gt_fg_ssim	gt_fg_psnr	ng_fg_ssim	ng_fg_psnr	ng_iou	ng_topo_q	topo_preservation	ng_psnr	ng_ssim	ng_bytes	graph_n_components	graph_n_cycles	graph_n_junctions	graph_n_endpoints	graph_mean_degree	graph_complexity	n_nodes	n_edges	total_edge_length	mean_width_px	mean_curvature	delta_gt_iou	delta_gt_fg_psnr	delta_gt_fg_ssim	delta_fg_ssim	delta_iou	total_time_ms	ng_recon_iou	ng_n_components	ng_n_cycles	ng_euler_characteristic	ng_n_junctions	ng_n_endpoints	ng_mean_degree	ng_graph_complexity	ng_seg_beta_0	ng_seg_beta_1	graph_n_nodes	graph_n_edges	graph_n_sampled	graph_mean_edge_length	graph_mean_width	graph_total_edge_length	graph_mean_curvature	png_bytes	ng_vs_png	ng_vs_raw	image_shape	image_pixels	image_type	segmenter	n_points	n_structures	jpeg_quality	jpeg_bytes	jpeg_psnr	jpeg_ssim	jpeg_fg_psnr	jpeg_fg_ssim	jpeg_iou	jpeg_topo_q	jpeg_beta_0	jpeg_beta_1	jpeg_betti_preservation	webp_quality	webp_bytes	webp_psnr	webp_ssim	webp_fg_ssim	webp_fg_psnr	webp_topo_q	webp_iou	jp2_bytes	jp2_psnr	jp2_ssim	jp2_fg_ssim	jp2_fg_psnr	jp2_topo_q	jp2_iou	delta_fg_psnr	delta_topo_q	delta_psnr	delta_ssim	gt_available	gt_topology_q	recon_topology_q	jpeg_gt_iou	jpeg_gt_fg_psnr	jpeg_gt_fg_ssim	stem
im0001.png	0.085925	0.621630	0.766673	0.743536	0.791296	0.995334	29.952750	0.998341	34.234541	1.000000	1.000000	0.815520	24.870851	0.721304	25230	6	241	470	97	2.135564	40.166667	3467	3702	8976.479216	2.410901	0.107342	-0.006620	-13.562239	-0.004357	-0.001420	0.899563	24035.324812	0.097846	6	241	-235	470	97	2.135564	40.166667	6	24	3467	3702	2900	2.424765	2.410901	8976.479216	0.107342	185340	7.346017	16.785573	605x700	423500	sparse	Learned	3587	6	70	24836	43.376668	0.965806	43.399659	0.999762	0.100437	0.992190	29	62	0.000000	88	22434	43.795419	0.968703	0.999732	43.198105	0.993447	0.100438	3290	37.093330	0.910275	0.998489	33.880589	0.999751	0.102117	-9.165118	0.007810	-18.505817	-0.244503	True	1.000000	0.815520	0.092545	43.514988	0.999692	im0001
im0002.png	0.067379	0.629883	0.772918	0.762908	0.783194	0.998068	31.791931	0.998877	35.227239	1.000000	1.000000	0.817671	26.007408	0.761577	22852	7	125	249	57	2.066535	17.857143	3547	3665	6668.181525	2.550358	0.087379	-0.000724	-11.706909	-0.001779	-0.000904	0.933257	17062.877655	0.066245	7	125	-118	249	57	2.066535	17.857143	7	18	3547	3665	3241	1.819422	2.550358	6668.181525	0.087379	187261	8.194513	18.532295	605x700	423500	dense	Learned	3747	7	70	22524	43.057305	0.962408	43.255066	0.999781	0.066743	0.952674	58	124	0.000000	87	20746	43.405156	0.966786	0.999767	42.939646	0.993865	0.067525	3815	38.223481	0.926783	0.999026	35.801724	0.978341	0.069952	-8.027827	0.047326	-17.049897	-0.200831	True	1.000000	0.817671	0.068104	43.498840	0.999848	im0002
im0003.png	0.073997	0.663739	0.797888	0.809020	0.787059	0.997899	29.331625	0.998813	33.709715	1.000000	1.000000	0.999990	24.211509	0.714638	17364	2	113	208	42	2.103256	56.500000	2150	2261	5386.771374	2.629799	0.098502	-0.001347	-11.159466	-0.001884	-0.000891	0.926799	15027.186632	0.071809	2	113	-111	208	42	2.103256	56.500000	3	16	2150	2261	1900	2.382473	2.629799	5386.771374	0.098502	189690	10.924326	24.389542	605x700	423500	sparse	Learned	2270	3	43	17074	41.082047	0.952225	40.347853	0.999704	0.073201	1.000000	2	55	0.000000	83	16980	42.616154	0.963513	0.999797	41.570219	1.000000	0.073887	22299	43.052694	0.966494	0.999832	42.672821	1.000000	0.072371	-6.638138	-0.000000	-16.870538	-0.237587	True	0.999998	0.999988	0.075343	40.491091	0.999783	im0003
im0004.png	0.090754	0.606546	0.755093	0.824343	0.696576	0.996464	29.655711	0.999107	34.636986	1.000000	0.999739	0.962842	24.941987	0.766658	20042	12	102	221	71	2.063136	8.500000	2851	2941	6740.281097	2.289110	0.096064	0.000610	-15.605805	-0.003371	-0.000802	0.924238	14658.600569	0.078549	12	102	-90	221	71	2.063136	8.500000	14	7	2851	2941	2559	2.291833	2.289110	6740.281097	0.096064	171305	8.547301	21.130626	605x700	423500	sparse	Learned	2971	14	72	19316	43.904091	0.965901	45.166998	0.999909	0.075762	0.986647	15	17	0.250000	88	17844	44.347721	0.969073	0.999900	44.798534	0.999396	0.075770	4216	40.937643	0.947020	0.999722	38.567275	0.990068	0.076267	-10.530013	0.013092	-18.962104	-0.199243	True	0.999977	0.962821	0.090144	45.261516	0.999835	im0004
im0005.png	0.117397	0.686299	0.813971	0.866740	0.767258	0.995951	27.649321	0.998737	33.015061	1.000000	0.999312	0.999224	21.894547	0.645349	26534	19	164	339	106	2.084771	8.631579	3421	3566	8636.631877	2.315568	0.104207	-0.000070	-13.578718	-0.003798	-0.001046	0.896255	16974.337101	0.103717	19	164	-145	339	106	2.084771	8.631579	20	15	3421	3566	2976	2.421938	2.315568	8636.631877	0.104207	198942	7.497626	15.960654	605x700	423500	sparse	Learned	3541	20	64	26332	41.836005	0.957638	41.224616	0.999783	0.103745	0.998987	22	87	0.000000	84	23676	42.312460	0.962731	0.999752	40.870051	0.999367	0.103862	2908	34.269961	0.865449	0.997678	29.757093	1.000000	0.105822	-8.209554	0.000325	-19.941457	-0.312289	True	1.000000	0.999224	0.117467	41.228039	0.999749	im0005
im0044.png	0.061107	0.645850	0.784822	0.745230	0.828858	0.997417	27.503367	0.999114	32.914347	1.000000	0.999964	0.840061	21.777525	0.675242	29381	12	161	318	82	2.074631	13.416667	3993	4142	7869.570792	2.434885	0.096213	0.006016	-14.295896	-0.002451	-0.000741	0.936538	15509.104490	0.067309	12	161	-149	318	82	2.074631	13.416667	13	17	3993	4142	3593	1.899945	2.434885	7869.570792	0.096213	197863	6.734386	14.414077	605x700	423500	dense	Learned	4193	13	69	28715	42.984918	0.968329	41.783877	0.999855	0.063462	0.788652	80	62	0.000000	88	28508	43.442098	0.972200	0.999859	41.899799	0.873348	0.063822	2915	34.578836	0.885548	0.998698	30.389511	0.797418	0.066972	-8.869530	0.211312	-21.207393	-0.293087	True	0.999743	0.839845	0.055091	41.799264	0.999868	im0044
im0077.png	0.073815	0.661269	0.796101	0.693227	0.934828	0.996702	29.322217	0.997497	33.159928	1.000000	1.000000	0.804919	24.507215	0.669830	31490	4	244	494	97	2.117159	61.000000	4097	4337	10777.857637	2.533745	0.111636	0.001832	-12.230485	-0.002988	-0.002068	0.894030	19395.598888	0.108695	4	244	-240	494	97	2.117159	61.000000	4	30	4097	4337	3506	2.485095	2.533745	10777.857637	0.111636	210477	6.683931	13.448714	605x700	423500	sparse	Learned	4217	4	71	31177	41.842872	0.955714	41.310965	0.999565	0.105970	0.972565	54	142	0.000000	86	28452	42.054641	0.958908	0.999466	40.562245	0.975502	0.106764	2537	34.028159	0.852012	0.995290	29.676089	0.998991	0.108636	-8.151036	0.027435	-17.335657	-0.285884	True	1.000000	0.804919	0.071983	41.552702	0.999690	im0077
im0081.png	0.060574	0.657880	0.793640	0.700290	0.915705	0.997527	33.052653	0.997835	34.734885	1.000000	1.000000	0.848042	26.304588	0.724823	27141	3	211	424	79	2.111409	70.333333	3734	3942	9743.855983	2.517719	0.109066	0.000261	-8.631994	-0.002117	-0.001662	0.915126	18939.877987	0.085325	3	211	-208	424	79	2.111409	70.333333	3	27	3734	3942	3231	2.471805	2.517719	9743.855983	0.109066	204318	7.528020	15.603699	605x700	423500	sparse	Learned	3854	3	69	27097	41.791273	0.952039	41.362828	0.999497	0.084874	0.975501	70	278	0.000000	86	25848	42.152228	0.956372	0.999453	41.007899	0.988539	0.085057	2930	35.724651	0.876729	0.996816	31.851477	0.999974	0.089619	-6.627943	0.024499	-15.486685	-0.227216	True	1.000000	0.848042	0.060313	41.684647	0.999644	im0081
im0082.png	0.077567	0.679128	0.808906	0.722069	0.919484	0.996995	29.925461	0.997791	32.844356	1.000000	1.000000	0.759595	24.233945	0.662670	29995	3	231	469	93	2.116564	77.000000	3912	4140	10123.063269	2.492794	0.106013	-0.007657	-11.202105	-0.002742	-0.001828	0.887108	19024.321795	0.109071	3	231	-228	469	93	2.116564	77.000000	3	29	3912	4140	3350	2.445184	2.492794	10123.063269	0.106013	209629	6.988798	14.119020	605x700	423500	sparse	Learned	4032	3	70	29606	41.610179	0.952009	41.059334	0.999618	0.112892	1.000000	11	98	0.000000	87	29412	42.348591	0.959841	0.999604	41.019109	1.000000	0.114027	2883	34.835239	0.868824	0.997011	30.385459	1.000000	0.116246	-8.214978	0.000000	-17.376234	-0.289339	True	1.000000	0.759595	0.085225	41.127565	0.999737	im0082
im0139.png	0.076593	0.662583	0.797053	0.743306	0.859177	0.997433	32.230264	0.998213	35.204943	1.000000	1.000000	0.889349	25.497487	0.729459	25501	7	192	398	95	2.103525	27.428571	3574	3759	9094.433674	2.520514	0.103987	-0.003021	-10.889170	-0.002315	-0.001448	0.905282	16003.036022	0.092076	7	192	-185	398	95	2.103525	27.428571	8	20	3574	3759	3081	2.419376	2.520514	9094.433674	0.103987	191340	7.503235	16.607192	605x700	423500	sparse	Learned	3694	8	70	25292	42.804288	0.960725	43.097968	0.999661	0.094718	1.000000	11	172	0.000000	87	22898	43.200315	0.965354	0.999607	42.402820	1.000000	0.095603	3404	36.922652	0.905328	0.998027	33.791902	1.000000	0.099952	-7.893025	-0.000000	-17.306802	-0.231266	True	1.000000	0.889349	0.079614	43.119434	0.999748	im0139
