filename,gt_iou,seg_iou,seg_f1,seg_precision,seg_recall,gt_fg_ssim,gt_fg_psnr,ng_fg_ssim,ng_fg_psnr,ng_iou,ng_topo_q,topo_preservation,ng_psnr,ng_ssim,ng_bytes,graph_n_components,graph_n_cycles,graph_n_junctions,graph_n_endpoints,graph_mean_degree,graph_complexity,n_nodes,n_edges,total_edge_length,mean_width_px,mean_curvature,delta_gt_iou,delta_gt_fg_psnr,delta_gt_fg_ssim,delta_fg_ssim,delta_iou,total_time_ms,ng_n_components,ng_n_cycles,ng_euler_characteristic,ng_n_junctions,ng_n_endpoints,ng_mean_degree,ng_graph_complexity,ng_seg_beta_0,ng_seg_beta_1,graph_n_nodes,graph_n_edges,graph_n_sampled,graph_mean_edge_length,graph_mean_width,graph_total_edge_length,graph_mean_curvature,png_bytes,ng_vs_png,ng_vs_raw,image_shape,image_pixels,image_type,segmenter,n_points,n_structures,jpeg_quality,jpeg_bytes,jpeg_psnr,jpeg_ssim,jpeg_fg_psnr,jpeg_fg_ssim,jpeg_iou,jpeg_topo_q,jpeg_beta_0,jpeg_beta_1,jpeg_betti_preservation,webp_quality,webp_bytes,webp_psnr,webp_ssim,webp_fg_ssim,webp_fg_psnr,webp_topo_q,webp_iou,jp2_bytes,jp2_psnr,jp2_ssim,jp2_fg_ssim,jp2_fg_psnr,jp2_topo_q,jp2_iou,delta_fg_psnr,delta_topo_q,delta_psnr,delta_ssim,gt_available,gt_topology_q,recon_topology_q,jpeg_gt_iou,jpeg_gt_fg_psnr,jpeg_gt_fg_ssim,stem
7249.png,0.6045226130653266,0.606,0.7546699875466999,0.6092493297587132,0.9912758996728462,0.9989775365975738,28.050611308500155,0.9971042461048314,28.31860447346305,0.45105245573003677,0.2707870474747649,0.39961951936433665,30.476579751359615,0.5551922919006247,2602,4,21,45,21,2.096590909090909,5.25,352,369,696.3429368513893,4.020126632668755,0.03130173953354133,-0.005578397035683524,-0.2104735891741889,-6.431937556694578e-05,-0.0002828961376745154,-0.0022138759282546716,683.2296848297119,4,21,-17,45,21,2.096590909090909,5.25,4,0,352,369,286,1.887108229949561,4.020126632668755,696.3429368513893,0.03130173953354133,45624,17.534204458109148,25.186779400461184,256x256,65536,sparse,Meijering,352,4,29,2586,31.036036461134145,0.6184034832401416,28.670886711741517,0.9973871422425059,0.45326633165829144,0.306603883322179,13,4,0.0,35,2454,31.291314190670864,0.6620164800089317,0.9970852500354678,28.246941749516473,0.2910710719504892,0.42718446601941745,3640,31.45594488954145,0.6690719703249124,0.9980936613911384,30.14026367673094,0.3325466069461055,0.4368509212730318,-0.35228223827846605,-0.03581683584741413,-0.5594567097745298,-0.06321119133951691,True,0.6776121644545745,0.2707870474747649,0.6101010101010101,28.261084897674344,0.9990418559731408,7249
7250.png,0.6176927056389032,0.5045395590142672,0.6706896551724139,0.5079986940907607,0.9866835764109068,0.9989719511921065,27.987320301485532,0.9959892103501973,28.59813755433666,0.5006506180871828,0.46313037610854046,0.6230404124384593,31.27770399301642,0.5901636536119415,2471,6,18,39,25,2.0701754385964914,3.0,342,354,713.9898695521834,4.562803462931984,0.03306452861747851,0.0021069315803258215,-0.3578197194614745,-0.00018032213303531552,-0.0005056507547970268,0.008964931748741356,729.7344207763672,6,18,-12,39,25,2.0701754385964914,3.0,6,1,342,354,278,2.016920535458142,4.562803462931984,713.9898695521834,0.03306452861747851,44906,18.17320922703359,26.522055847834885,256x256,65536,sparse,Meijering,342,6,31,2469,31.722703161174984,0.6427845454608146,29.0346426825672,0.9964948611049943,0.49168568633844145,0.5067142541534744,9,7,0.0,40,2272,31.99915710499809,0.6769168021789304,0.996415083913895,29.02090667700309,0.5404465399532159,0.4768880208333333,3534,32.15719254359334,0.6944027406842085,0.997824944119614,31.22982675005105,0.29354798607043664,0.5042345276872964,-0.43650512823053944,-0.04358387804493391,-0.44499916815856366,-0.0526208918488732,True,0.7433392230464442,0.46313037610854046,0.6155857740585774,28.345140020947007,0.9991522733251418,7250
7251.png,0.7362569487337863,0.41904145077720206,0.5905979005020539,0.41931302657161373,0.9984567901234568,0.9994883944071575,27.48963182748005,0.9970325915583406,28.457583465155242,0.48947879572677244,0.7484214469402435,1.0326911479172916,31.545810841321533,0.611600857224281,2427,4,6,17,15,2.0129032258064514,1.5,310,312,539.0884339550615,4.95859932514929,0.018646231593406355,-0.00763785402137962,-0.12140338527949623,-3.487546410940734e-05,-0.00020256858859712956,0.006977175506422462,723.8903045654297,4,6,-2,17,15,2.0129032258064514,1.5,4,0,310,312,278,1.7278475447277601,4.95859932514929,539.0884339550615,0.018646231593406355,44830,18.4713638236506,27.00288421920066,256x256,65536,sparse,Otsu,310,4,30,2387,31.860479106431324,0.6541271176068617,28.761797817060106,0.9972351601469377,0.48250162022035,0.5740074125998693,6,1,0.25,41,2372,32.19708627137943,0.694537179265732,0.9971069005263735,28.80512238058156,0.7394602921400244,0.4776409591704472,3790,32.41558434595102,0.7089880208750731,0.9985087105303854,31.505306154966647,0.5573606726386489,0.47666882696046664,-0.30421435190486434,0.17441403434037417,-0.3146682651097912,-0.04252626038258067,True,0.7247292169102477,0.7484214469402435,0.743894802755166,27.611035212759546,0.9995232698712669,7251
7252.png,0.7857740585774059,0.49930907415937353,0.66605222734255,0.49953917050691243,0.9990783410138249,0.9994383780063487,27.648246698940127,0.9979781288365915,28.373621771404988,0.48341013824884793,0.4769090868974992,0.869607528528286,30.796057681815036,0.5544714051770705,1962,4,10,26,17,2.0456273764258555,2.5,263,269,506.1405732202101,4.441137306590497,0.03269429806931633,0.0003556658682095648,0.16102218869722051,2.8533641779127095e-05,2.925976100975891e-05,-0.009677419354838679,641.3202285766602,4,10,-6,26,17,2.0456273764258555,2.5,4,0,263,269,220,1.8815634692201109,4.441137306590497,506.1405732202101,0.03269429806931633,45467,23.173802242609582,33.4026503567788,256x256,65536,sparse,Meijering,263,4,23,1881,30.87988660244909,0.5882559265026728,28.31249232352876,0.9979488690755818,0.4930875576036866,0.5415939886947765,4,1,0.5,31,1888,31.26611239317134,0.6319967504346891,0.9977313891369501,27.89037563088305,0.6074141344684816,0.4963133640552995,4501,31.94985799145252,0.7086826645496144,0.9990393938964912,31.594455437682058,0.590164737988921,0.4815668202764977,0.061129447876226095,-0.06468490179727726,-0.08382892063405478,-0.03378452132560228,True,0.5484187650774077,0.4769090868974992,0.7854183927091963,27.487224510242907,0.9994098443645696,7252
7253.png,0.5408970976253298,0.32027318475916605,0.4851619929213178,0.32553891121666056,0.9519230769230769,0.9994603705742978,27.564320444589132,0.9969794565882774,28.670580947332866,0.29576951130561635,0.2825126771455566,0.48621191017676707,31.149056451377447,0.5818393539184133,2603,9,30,69,38,2.114441416893733,3.3333333333333335,367,388,708.2772538599572,3.8835387077253585,0.04046396246445044,0.0013022541630830498,-0.7033603151848169,-0.000171654862734405,-0.00048362537821033946,0.026861948280406278,724.266767501831,9,30,-21,69,38,2.114441416893733,3.3333333333333335,9,1,367,388,260,1.825456839845246,3.8835387077253585,708.2772538599572,0.04046396246445044,44924,17.258547829427584,25.17710334229735,256x256,65536,sparse,Meijering,367,9,32,2584,31.685228657797403,0.6402416915565041,29.25768186147595,0.9974630819664877,0.2689075630252101,0.3522728358590512,7,1,0.8888888888888888,43,2544,32.04470537266536,0.6861724668283277,0.9976255248251683,29.490494731401917,0.33965971929501715,0.2659846547314578,3539,32.08549482714108,0.6889265279031368,0.9983784300305721,31.351908179383926,0.2804224023717147,0.27584947022287176,-0.5871009141430861,-0.06976015871349461,-0.5361722064199554,-0.05840233763809077,True,0.581048450752361,0.2825126771455566,0.5395948434622467,28.26768075977395,0.9996320254370322,7253
7254.png,0.7674571805006588,0.44498438042346405,0.6159019937545039,0.45140845070422536,0.9690098261526833,0.9993291425330975,27.4725192136806,0.9973656438535549,28.25936917863953,0.4773126978543792,0.48462327601727084,0.7043151245888939,31.242518915675213,0.5921179300698298,2553,6,16,40,24,2.0578034682080926,2.6666666666666665,346,356,664.2224691449571,4.031546973079616,0.028322326825097454,-0.00817530951265677,-0.37215387294219937,-0.0001213889976410254,-0.00037871455084448336,0.0040732612346608965,690.0486946105957,6,16,-10,40,24,2.0578034682080926,2.6666666666666665,6,0,346,356,282,1.8657934526543705,4.031546973079616,664.2224691449571,0.028322326825097454,44986,17.62083822953388,25.670191931061495,256x256,65536,sparse,Meijering,346,6,31,2521,31.674614607764774,0.6430076866690744,28.75827423661077,0.9977443584043993,0.4732394366197183,0.599883690343695,5,2,0.0,40,2374,31.97268772198155,0.6821992639968464,0.9976233280753344,28.62792659383205,0.5536565993742872,0.46673706441393875,3646,32.098275270618096,0.6934093423795122,0.9985744632417529,30.98493841293611,0.3594669415386885,0.46004927842309046,-0.4989050579712391,-0.1152604143264242,-0.4320956920895611,-0.05088975659924455,True,0.6880773379673533,0.48462327601727084,0.7756324900133156,27.844673086622798,0.9994505315307385,7254
7255.png,0.7165582067968185,0.45481481481481484,0.6252545824847251,0.4571854058078928,0.9887278582930756,0.9992814431623681,27.41765373723252,0.9971215973264066,28.096333974697203,0.4198586835254742,0.3221904219945497,0.4943029745159222,30.56273455721181,0.5508115184697474,2420,7,22,55,30,2.0934579439252334,3.142857142857143,321,336,663.5314597754985,4.06856599477964,0.038177549873947315,-0.017942157900482814,-0.1568186287182307,-8.897612488001361e-05,-0.0002945125844626695,-0.0020163164745258255,678.4350872039795,7,22,-15,55,30,2.0934579439252334,3.142857142857143,7,0,321,336,236,1.9747960112365988,4.06856599477964,663.5314597754985,0.038177549873947315,45536,18.816528925619835,27.08099173553719,256x256,65536,sparse,Meijering,321,7,27,2322,31.00700772802011,0.6068573323929207,28.40308711344175,0.9974161099108693,0.421875,0.5954581148969812,4,0,0.7857142857142857,35,2382,31.323416709583803,0.6580995735692906,0.9972141710671297,28.04832241352432,0.39498377310685673,0.4064708069914466,3846,31.590696824855012,0.6796150582818479,0.9984530146414253,30.671618883908987,0.3494909052766835,0.4070631970260223,-0.306753138744547,-0.27326769290243147,-0.4442731708082981,-0.056045813923173315,True,0.6518075726938024,0.3221904219945497,0.7345003646973013,27.57447236595075,0.9993704192872481,7255
7256.png,0.49607329842931935,0.4887102946804439,0.6565552699228793,0.4965007776049767,0.9688922610015175,0.9989615985246294,28.255127964255642,0.9968507915176611,28.85715254730542,0.3683803633552377,0.2570621292009626,0.36785918717757576,31.519644737705505,0.6037609150993735,2021,4,15,35,18,2.08,3.75,275,286,519.6361175803169,4.992830541350624,0.030324532595235206,-0.0026021982594223725,-0.7327176947543244,-0.0002667591685153736,-0.0003363038294951215,0.0009620118777882714,670.5803871154785,4,15,-11,35,18,2.08,3.75,4,0,275,286,222,1.8169095020290789,4.992830541350624,519.6361175803169,0.030324532595235206,44562,22.049480455220188,32.42751113310243,256x256,65536,sparse,Meijering,275,4,27,1928,31.93036359945143,0.6371713154433382,29.31849275930494,0.9971870953471562,0.36741835147744945,0.3494909052766835,10,2,0.0,40,1998,32.278548176153194,0.6771779571620437,0.9970458492540936,29.30198785433069,0.35079062331485267,0.3655788655788656,4590,32.85591907367704,0.7411715920563807,0.9984849141592024,32.09827362102998,0.2577693522515767,0.3716504854368932,-0.46134021199952,-0.09242877607572086,-0.41071886174592365,-0.0334104003439647,True,0.6988057880877979,0.2570621292009626,0.4986754966887417,28.987845659009967,0.9992283576931448,7256
7257.png,0.6202985074626866,0.45179255134006263,0.6223927115799569,0.46724262059035276,0.9318018664752333,0.9990816064325208,27.391084045875814,0.9969395787393052,28.388369576907593,0.4718132854578097,0.30629902682382293,0.42184014035683814,30.254182294542993,0.532721835767184,2465,5,31,73,33,2.155688622754491,6.2,334,360,714.6224644230798,4.364319278808411,0.041322421961468465,0.005569353476076677,-0.7454286898776807,-0.00026124818604300604,-0.00016709545965643002,0.018249570555001926,692.5857067108154,5,31,-26,73,33,2.155688622754491,6.2,5,0,334,360,228,1.9850624011752178,4.364319278808411,714.6224644230798,0.041322421961468465,45763,18.565111561866125,26.58661257606491,256x256,65536,sparse,Meijering,334,5,27,2372,30.75527713757447,0.5961494593464635,28.620825718618605,0.9971066741989616,0.4535637149028078,0.44134447058534243,9,4,0.0,32,2300,30.99979423189651,0.6389167565928108,0.9966873212913544,28.111492518040055,0.25248432198190895,0.4304612084376117,3666,31.256735024845618,0.6614574830397082,0.9980014631323337,30.223813763058377,0.11878321196606756,0.46907034287734184,-0.2324561417110118,-0.1350454437615195,-0.5010948430314777,-0.06342762357927945,True,0.7261021356685544,0.30629902682382293,0.6147291539866099,28.136512735753495,0.9993428546185638,7257
7258.png,0.7474566128067026,0.46796302199553713,0.6375678610206297,0.4715708319948603,0.9839142091152815,0.999303045567921,27.068319179122117,0.9975700332379946,27.877662332270774,0.45591535748637385,0.4363565077761259,0.6634816652344844,30.035190113667213,0.5306317541626127,2523,5,14,35,22,2.0552147239263805,2.8,326,335,602.5309701302614,4.494724974310471,0.03516100049674369,-0.0074983421482522905,-0.29448458024580404,-0.00015792551808968547,-0.00025119827365582825,-0.0034486001107992825,679.8045635223389,5,14,-9,35,22,2.0552147239263805,2.8,5,0,326,335,269,1.798599910836598,4.494724974310471,602.5309701302614,0.03516100049674369,46114,18.277447483154972,25.975426080063418,256x256,65536,sparse,Meijering,326,5,26,2405,30.55181032763364,0.5937790781183482,28.153996176173564,0.9978212315116505,0.45936395759717313,0.421123814743799,9,1,0.09999999999999998,29,2504,30.772239447389826,0.6447305380605897,0.9974563385057635,27.478713513783568,0.5104583404430468,0.4384837777063926,3508,31.01528886094542,0.646784112345605,0.9986584157380273,30.320161678463727,0.6119676888501281,0.4516543527144234,-0.2763338439027905,0.015232693032326883,-0.5166202139664264,-0.06314732395573552,True,0.657676814056212,0.4363565077761259,0.7549549549549549,27.36280375936792,0.9994609710860107,7258
