filename	gt_iou	seg_iou	seg_f1	seg_precision	seg_recall	gt_fg_ssim	gt_fg_psnr	ng_fg_ssim	ng_fg_psnr	ng_iou	ng_topo_q	topo_preservation	ng_psnr	ng_ssim	ng_bytes	graph_n_components	graph_n_cycles	graph_n_junctions	graph_n_endpoints	graph_mean_degree	graph_complexity	n_nodes	n_edges	total_edge_length	mean_width_px	mean_curvature	delta_gt_iou	delta_gt_fg_psnr	delta_gt_fg_ssim	delta_fg_ssim	delta_iou	total_time_ms	ng_n_components	ng_n_cycles	ng_euler_characteristic	ng_n_junctions	ng_n_endpoints	ng_mean_degree	ng_graph_complexity	ng_seg_beta_0	ng_seg_beta_1	graph_n_nodes	graph_n_edges	graph_n_sampled	graph_mean_edge_length	graph_mean_width	graph_total_edge_length	graph_mean_curvature	png_bytes	ng_vs_png	ng_vs_raw	image_shape	image_pixels	image_type	segmenter	n_points	n_structures	jpeg_quality	jpeg_bytes	jpeg_psnr	jpeg_ssim	jpeg_fg_psnr	jpeg_fg_ssim	jpeg_iou	jpeg_topo_q	jpeg_beta_0	jpeg_beta_1	jpeg_betti_preservation	webp_quality	webp_bytes	webp_psnr	webp_ssim	webp_fg_ssim	webp_fg_psnr	webp_topo_q	webp_iou	jp2_bytes	jp2_psnr	jp2_ssim	jp2_fg_ssim	jp2_fg_psnr	jp2_topo_q	jp2_iou	delta_fg_psnr	delta_topo_q	delta_psnr	delta_ssim	gt_available	gt_topology_q	recon_topology_q	jpeg_gt_iou	jpeg_gt_fg_psnr	jpeg_gt_fg_ssim	stem
7249.png	0.604523	0.606000	0.754670	0.609249	0.991276	0.998978	28.050611	0.997104	28.318604	0.451052	0.270787	0.399620	30.476580	0.555192	2602	4	21	45	21	2.096591	5.250000	352	369	696.342937	4.020127	0.031302	-0.005578	-0.210474	-0.000064	-0.000283	-0.002214	683.229685	4	21	-17	45	21	2.096591	5.250000	4	0	352	369	286	1.887108	4.020127	696.342937	0.031302	45624	17.534204	25.186779	256x256	65536	sparse	Meijering	352	4	29	2586	31.036036	0.618403	28.670887	0.997387	0.453266	0.306604	13	4	0.000000	35	2454	31.291314	0.662016	0.997085	28.246942	0.291071	0.427184	3640	31.455945	0.669072	0.998094	30.140264	0.332547	0.436851	-0.352282	-0.035817	-0.559457	-0.063211	True	0.677612	0.270787	0.610101	28.261085	0.999042	7249
7250.png	0.617693	0.504540	0.670690	0.507999	0.986684	0.998972	27.987320	0.995989	28.598138	0.500651	0.463130	0.623040	31.277704	0.590164	2471	6	18	39	25	2.070175	3.000000	342	354	713.989870	4.562803	0.033065	0.002107	-0.357820	-0.000180	-0.000506	0.008965	729.734421	6	18	-12	39	25	2.070175	3.000000	6	1	342	354	278	2.016921	4.562803	713.989870	0.033065	44906	18.173209	26.522056	256x256	65536	sparse	Meijering	342	6	31	2469	31.722703	0.642785	29.034643	0.996495	0.491686	0.506714	9	7	0.000000	40	2272	31.999157	0.676917	0.996415	29.020907	0.540447	0.476888	3534	32.157193	0.694403	0.997825	31.229827	0.293548	0.504235	-0.436505	-0.043584	-0.444999	-0.052621	True	0.743339	0.463130	0.615586	28.345140	0.999152	7250
7251.png	0.736257	0.419041	0.590598	0.419313	0.998457	0.999488	27.489632	0.997033	28.457583	0.489479	0.748421	1.032691	31.545811	0.611601	2427	4	6	17	15	2.012903	1.500000	310	312	539.088434	4.958599	0.018646	-0.007638	-0.121403	-0.000035	-0.000203	0.006977	723.890305	4	6	-2	17	15	2.012903	1.500000	4	0	310	312	278	1.727848	4.958599	539.088434	0.018646	44830	18.471364	27.002884	256x256	65536	sparse	Otsu	310	4	30	2387	31.860479	0.654127	28.761798	0.997235	0.482502	0.574007	6	1	0.250000	41	2372	32.197086	0.694537	0.997107	28.805122	0.739460	0.477641	3790	32.415584	0.708988	0.998509	31.505306	0.557361	0.476669	-0.304214	0.174414	-0.314668	-0.042526	True	0.724729	0.748421	0.743895	27.611035	0.999523	7251
7252.png	0.785774	0.499309	0.666052	0.499539	0.999078	0.999438	27.648247	0.997978	28.373622	0.483410	0.476909	0.869608	30.796058	0.554471	1962	4	10	26	17	2.045627	2.500000	263	269	506.140573	4.441137	0.032694	0.000356	0.161022	0.000029	0.000029	-0.009677	641.320229	4	10	-6	26	17	2.045627	2.500000	4	0	263	269	220	1.881563	4.441137	506.140573	0.032694	45467	23.173802	33.402650	256x256	65536	sparse	Meijering	263	4	23	1881	30.879887	0.588256	28.312492	0.997949	0.493088	0.541594	4	1	0.500000	31	1888	31.266112	0.631997	0.997731	27.890376	0.607414	0.496313	4501	31.949858	0.708683	0.999039	31.594455	0.590165	0.481567	0.061129	-0.064685	-0.083829	-0.033785	True	0.548419	0.476909	0.785418	27.487225	0.999410	7252
7253.png	0.540897	0.320273	0.485162	0.325539	0.951923	0.999460	27.564320	0.996979	28.670581	0.295770	0.282513	0.486212	31.149056	0.581839	2603	9	30	69	38	2.114441	3.333333	367	388	708.277254	3.883539	0.040464	0.001302	-0.703360	-0.000172	-0.000484	0.026862	724.266768	9	30	-21	69	38	2.114441	3.333333	9	1	367	388	260	1.825457	3.883539	708.277254	0.040464	44924	17.258548	25.177103	256x256	65536	sparse	Meijering	367	9	32	2584	31.685229	0.640242	29.257682	0.997463	0.268908	0.352273	7	1	0.888889	43	2544	32.044705	0.686172	0.997626	29.490495	0.339660	0.265985	3539	32.085495	0.688927	0.998378	31.351908	0.280422	0.275849	-0.587101	-0.069760	-0.536172	-0.058402	True	0.581048	0.282513	0.539595	28.267681	0.999632	7253
7254.png	0.767457	0.444984	0.615902	0.451408	0.969010	0.999329	27.472519	0.997366	28.259369	0.477313	0.484623	0.704315	31.242519	0.592118	2553	6	16	40	24	2.057803	2.666667	346	356	664.222469	4.031547	0.028322	-0.008175	-0.372154	-0.000121	-0.000379	0.004073	690.048695	6	16	-10	40	24	2.057803	2.666667	6	0	346	356	282	1.865793	4.031547	664.222469	0.028322	44986	17.620838	25.670192	256x256	65536	sparse	Meijering	346	6	31	2521	31.674615	0.643008	28.758274	0.997744	0.473239	0.599884	5	2	0.000000	40	2374	31.972688	0.682199	0.997623	28.627927	0.553657	0.466737	3646	32.098275	0.693409	0.998574	30.984938	0.359467	0.460049	-0.498905	-0.115260	-0.432096	-0.050890	True	0.688077	0.484623	0.775632	27.844673	0.999451	7254
7255.png	0.716558	0.454815	0.625255	0.457185	0.988728	0.999281	27.417654	0.997122	28.096334	0.419859	0.322190	0.494303	30.562735	0.550812	2420	7	22	55	30	2.093458	3.142857	321	336	663.531460	4.068566	0.038178	-0.017942	-0.156819	-0.000089	-0.000295	-0.002016	678.435087	7	22	-15	55	30	2.093458	3.142857	7	0	321	336	236	1.974796	4.068566	663.531460	0.038178	45536	18.816529	27.080992	256x256	65536	sparse	Meijering	321	7	27	2322	31.007008	0.606857	28.403087	0.997416	0.421875	0.595458	4	0	0.785714	35	2382	31.323417	0.658100	0.997214	28.048322	0.394984	0.406471	3846	31.590697	0.679615	0.998453	30.671619	0.349491	0.407063	-0.306753	-0.273268	-0.444273	-0.056046	True	0.651808	0.322190	0.734500	27.574472	0.999370	7255
7256.png	0.496073	0.488710	0.656555	0.496501	0.968892	0.998962	28.255128	0.996851	28.857153	0.368380	0.257062	0.367859	31.519645	0.603761	2021	4	15	35	18	2.080000	3.750000	275	286	519.636118	4.992831	0.030325	-0.002602	-0.732718	-0.000267	-0.000336	0.000962	670.580387	4	15	-11	35	18	2.080000	3.750000	4	0	275	286	222	1.816910	4.992831	519.636118	0.030325	44562	22.049480	32.427511	256x256	65536	sparse	Meijering	275	4	27	1928	31.930364	0.637171	29.318493	0.997187	0.367418	0.349491	10	2	0.000000	40	1998	32.278548	0.677178	0.997046	29.301988	0.350791	0.365579	4590	32.855919	0.741172	0.998485	32.098274	0.257769	0.371650	-0.461340	-0.092429	-0.410719	-0.033410	True	0.698806	0.257062	0.498675	28.987846	0.999228	7256
7257.png	0.620299	0.451793	0.622393	0.467243	0.931802	0.999082	27.391084	0.996940	28.388370	0.471813	0.306299	0.421840	30.254182	0.532722	2465	5	31	73	33	2.155689	6.200000	334	360	714.622464	4.364319	0.041322	0.005569	-0.745429	-0.000261	-0.000167	0.018250	692.585707	5	31	-26	73	33	2.155689	6.200000	5	0	334	360	228	1.985062	4.364319	714.622464	0.041322	45763	18.565112	26.586613	256x256	65536	sparse	Meijering	334	5	27	2372	30.755277	0.596149	28.620826	0.997107	0.453564	0.441344	9	4	0.000000	32	2300	30.999794	0.638917	0.996687	28.111493	0.252484	0.430461	3666	31.256735	0.661457	0.998001	30.223814	0.118783	0.469070	-0.232456	-0.135045	-0.501095	-0.063428	True	0.726102	0.306299	0.614729	28.136513	0.999343	7257
7258.png	0.747457	0.467963	0.637568	0.471571	0.983914	0.999303	27.068319	0.997570	27.877662	0.455915	0.436357	0.663482	30.035190	0.530632	2523	5	14	35	22	2.055215	2.800000	326	335	602.530970	4.494725	0.035161	-0.007498	-0.294485	-0.000158	-0.000251	-0.003449	679.804564	5	14	-9	35	22	2.055215	2.800000	5	0	326	335	269	1.798600	4.494725	602.530970	0.035161	46114	18.277447	25.975426	256x256	65536	sparse	Meijering	326	5	26	2405	30.551810	0.593779	28.153996	0.997821	0.459364	0.421124	9	1	0.100000	29	2504	30.772239	0.644731	0.997456	27.478714	0.510458	0.438484	3508	31.015289	0.646784	0.998658	30.320162	0.611968	0.451654	-0.276334	0.015233	-0.516620	-0.063147	True	0.657677	0.436357	0.754955	27.362804	0.999461	7258
