filename,gt_iou,seg_iou,seg_f1,seg_precision,seg_recall,gt_fg_ssim,gt_fg_psnr,ng_fg_ssim,ng_fg_psnr,ng_iou,ng_topo_q,topo_preservation,ng_psnr,ng_ssim,ng_bytes,graph_n_components,graph_n_cycles,graph_n_junctions,graph_n_endpoints,graph_mean_degree,graph_complexity,n_nodes,n_edges,total_edge_length,mean_width_px,mean_curvature,delta_gt_iou,delta_gt_fg_psnr,delta_gt_fg_ssim,delta_fg_ssim,delta_iou,total_time_ms,ng_recon_iou,ng_n_components,ng_n_cycles,ng_euler_characteristic,ng_n_junctions,ng_n_endpoints,ng_mean_degree,ng_graph_complexity,ng_seg_beta_0,ng_seg_beta_1,graph_n_nodes,graph_n_edges,graph_n_sampled,graph_mean_edge_length,graph_mean_width,graph_total_edge_length,graph_mean_curvature,png_bytes,ng_vs_png,ng_vs_raw,image_shape,image_pixels,image_type,segmenter,n_points,n_structures,jpeg_quality,jpeg_bytes,jpeg_psnr,jpeg_ssim,jpeg_fg_psnr,jpeg_fg_ssim,jpeg_iou,jpeg_topo_q,jpeg_beta_0,jpeg_beta_1,jpeg_betti_preservation,webp_quality,webp_bytes,webp_psnr,webp_ssim,webp_fg_ssim,webp_fg_psnr,webp_topo_q,webp_iou,jp2_bytes,jp2_psnr,jp2_ssim,jp2_fg_ssim,jp2_fg_psnr,jp2_topo_q,jp2_iou,delta_fg_psnr,delta_topo_q,delta_psnr,delta_ssim,gt_available,gt_topology_q,recon_topology_q,jpeg_gt_iou,jpeg_gt_fg_psnr,jpeg_gt_fg_ssim,stem
7249.png,0.6104375329467581,0.9122354155911203,0.9541036717062634,0.9449197860962567,0.9634678298800436,0.9989887418269681,28.247997824804372,0.9990606638524542,28.502093732226722,1.0,0.657676814056212,0.43180504711195034,30.65368154434974,0.5558790638291489,2406,5,3,6,10,1.979899497487437,0.6,199,197,302.07821048680233,2.978190017105946,0.027029525885238936,-0.002075080574937216,0.049272045239771245,-4.8685950343796414e-05,4.8334405559957716e-05,0.3815723585378067,2975.8083820343018,0.620020964360587,5,3,2,6,10,1.979899497487437,0.6,5,0,199,197,183,1.533391931405086,2.978190017105946,302.07821048680233,0.027029525885238936,45624,18.962593516209477,27.238570241064007,256x256,65536,sparse,Learned,319,5,27,2374,30.982440098609317,0.6111776796869837,28.170606107356985,0.9990123294468942,0.6184276414621933,0.32856182237013287,12,4,0.0,32,2160,31.174372661000188,0.6464230836423612,0.9988733538827944,27.678557303585627,0.2771946977736871,0.5687061183550652,3799,31.51871495351123,0.676896146436112,0.9993245841638643,30.05444054810347,0.31808969191364855,0.6071964017991005,0.3314876248697374,0.32911499168607916,-0.3287585542595757,-0.0552986158578348,True,0.6776121644545745,0.2925963525959382,0.6125126135216953,28.1987257795646,0.9990374277773119,7249
7250.png,0.6384274640088593,0.8679135008766803,0.9292866082603255,0.9172328597899938,0.9416613823715916,0.9990024747619893,28.24897079818756,0.9990628817802178,28.503765188535635,1.0,0.7191683782216203,0.7215077519559875,31.333857643771047,0.589086118601217,2180,4,7,15,11,2.033333333333333,1.75,180,183,291.45079348883263,2.8918028778500027,0.04127621756989711,0.031043168637044483,0.06995467475963224,-0.00011326190805382996,3.1967596837989554e-05,0.3690786048932847,1124.6118545532227,0.6718662952646239,4,7,-3,15,11,2.033333333333333,1.75,4,1,180,183,154,1.5926272868242208,2.8918028778500027,291.45079348883263,0.04127621756989711,44906,20.59908256880734,30.06238532110092,256x256,65536,sparse,Learned,300,4,28,2154,31.65337155279987,0.6320124069662926,28.19038610426086,0.9990309141833799,0.6309213951067153,0.6441810814626581,6,10,0.0,37,2118,31.878488210311048,0.6703207799885555,0.9989592756901873,28.146309199694915,0.4475173967041721,0.614382490880667,4216,32.39867877657186,0.7188010053419989,0.9994834679189334,31.431567549093256,0.27798855305048986,0.6296866974833076,0.313379084274775,0.07498729675896221,-0.31951390902882437,-0.042926288365075616,True,0.7433392230464442,0.5363250117609503,0.6073842953718148,28.179016123427928,0.9991157366700432,7250
7251.png,0.7752161383285303,0.8544668587896254,0.9215229215229216,0.9280125195618153,0.9151234567901234,0.9988476976642934,25.19061412398138,0.999492681823852,27.13057898065372,1.0,0.7032899857059547,0.8472567012595011,31.149035471341072,0.6060093120104517,2317,4,6,13,11,2.0224719101123596,1.5,178,180,282.9360748630714,2.3691869304421243,0.04469813271254722,0.03959113832853034,-2.2866634536563453,-0.0006594380006934575,-7.682842049394623e-05,0.2537974683544304,779.6869277954102,0.8657513348588863,4,6,-2,13,11,2.0224719101123596,1.5,4,0,178,180,154,1.5718670825726166,2.3691869304421243,282.9360748630714,0.04469813271254722,44830,19.348295209322398,28.28485110056107,256x256,65536,sparse,Learned,298,4,29,2269,31.863660140724846,0.6505725283986983,27.574023941617728,0.9995695102443459,0.7462025316455696,0.6291657197018043,5,0,0.875,39,2108,32.10954769096576,0.6817547684163257,0.9995517529532068,27.879059566776817,0.7341970409110734,0.7398734177215189,4109,32.52815670740829,0.7203869883460411,0.9997907133855559,31.327604554954856,0.5292053810895769,0.7408111533586819,-0.4434449609640083,0.07412426600415034,-0.7146246693837739,-0.04456321638824656,True,0.7247292169102477,0.6140316856257579,0.735625,27.477277577637725,0.9995071356649868,7251
7252.png,0.8021201413427562,0.9189895470383276,0.9577848388561052,0.943649373881932,0.9723502304147466,0.9993595089019908,27.403278315181375,0.9993940221753572,27.700917847282636,1.0,0.5392962190010342,1.0931124390402027,30.81046551379292,0.5536911258312579,1818,4,1,2,8,1.949579831932773,0.25,119,116,171.1959594928933,3.189223790369114,0.028851221528091487,0.026186531384249978,0.08388951681832424,-2.8867178169855734e-05,4.417232727538245e-05,0.21152263374485591,1004.7411918640137,0.826431718061674,4,1,3,2,8,1.949579831932773,0.25,4,0,119,116,109,1.475827237007701,3.189223790369114,171.1959594928933,0.028851221528091487,45467,25.009350935093508,36.04840484048405,256x256,65536,sparse,Learned,239,4,22,1700,30.956801176584175,0.5829889104704072,27.329032189416594,0.9993498498480818,0.7884773662551441,0.47270757595695145,5,1,0.375,29,1624,31.189119475775954,0.6189891940382454,0.9992602821676969,26.864686604069874,0.5573606726386489,0.7926829268292683,5280,32.238813785099026,0.7370564081834431,0.9997446435628631,31.617017760021945,0.6155724752496214,0.7730263157894737,0.37188565786604144,0.06658864304408274,-0.14633566279125532,-0.029297784639149338,True,0.5484187650774077,0.5994833739091812,0.7759336099585062,27.31938879836305,0.9993883760801606,7252
7253.png,0.5400966183574879,0.8473138548539114,0.9173469387755101,0.8779296875,0.9604700854700855,0.9995017634595733,27.726183987843754,0.9995349763672179,28.092430553653287,1.0,0.5768379176822511,0.44605880797493713,31.159136351803546,0.5797963076538545,1776,4,2,5,9,1.9699248120300752,0.5,133,131,195.75230867899745,2.5522368043885195,0.04032312092591086,0.01681915094594233,-0.0456634583454516,-8.893689713573849e-05,5.164620401898468e-06,0.44684684684684683,894.7756290435791,0.5734331150608045,4,2,2,5,9,1.9699248120300752,0.5,4,0,133,131,119,1.494292432664102,2.5522368043885195,195.75230867899745,0.04032312092591086,44924,25.295045045045047,36.9009009009009,256x256,65536,sparse,Learned,253,4,24,1732,31.4606456971288,0.6096458442678412,27.74061488175991,0.999529811746816,0.5531531531531532,0.3122196249249557,7,2,0.0,34,1710,31.695093216260947,0.6460565528011312,0.9994859681265033,27.629922584589757,0.22190689591947144,0.5394853593611357,5117,32.64945329177711,0.7442231532870843,0.9997911827862914,31.99893264275044,0.2628766256083722,0.5638766519823789,0.3518156718933767,0.2646182927572954,-0.301509345325254,-0.029849536613986705,True,0.581048450752361,0.2591817793182821,0.5232774674115456,27.771847446189206,0.999590700356709,7253
7254.png,0.8008752735229759,0.9212253829321663,0.958997722095672,0.9633867276887872,0.9546485260770975,0.9992411602588475,27.067727154938517,0.9994084168513467,27.699878695432176,1.0,0.6720847211004115,0.8505106272606018,31.22281710012502,0.5900698206123134,2220,4,0,1,9,1.9550561797752808,0.0,178,174,255.35028842544446,2.600488177845987,0.026880407868430236,0.02472603967887199,-0.5479782592429245,-0.0001763255838033162,-1.5727376537655324e-05,0.21639784946236562,845.4222679138184,0.830849478390462,4,0,4,1,9,1.9550561797752808,0.0,4,0,178,174,168,1.4675303932496786,2.600488177845987,255.35028842544446,0.026880407868430236,44986,20.263963963963963,29.52072072072072,256x256,65536,sparse,Learned,298,4,28,2191,31.610138812182175,0.6331195174697021,27.617173491853478,0.9994241442278844,0.7836021505376344,0.5292053810895769,6,2,0.0,37,2192,31.842865267593563,0.6741318036308631,0.9993633763305241,27.61029187737119,0.5083558025390349,0.7687667560321716,3998,32.22344499938911,0.705249165006452,0.9997234428504679,31.194030381650393,0.3675675219699778,0.7604026845637584,0.0827052035786977,0.14287934001083458,-0.3873217120571546,-0.043049696857388686,True,0.6880773379673533,0.5852170883184187,0.776149233844104,27.61570541418144,0.9994174858426508,7254
7255.png,0.7293116782675947,0.8976135488837568,0.9460446247464503,0.9533932951757972,0.9388083735909822,0.9991581765983842,26.956767790389748,0.9994258512091433,27.768810108898315,1.0,0.6190168002606627,0.8882198851725365,30.68820425507119,0.5500515612652148,1972,4,5,10,9,2.0140845070422535,1.25,142,143,230.03657992645938,2.809928711031524,0.03450386212265952,0.021372858165628172,-0.2818983877418262,-0.0001546227326599814,4.814607736081111e-05,0.2719167904903418,949.5646953582764,0.7679425837320574,4,5,-1,10,9,2.0140845070422535,1.25,4,1,142,143,123,1.608647412073142,2.809928711031524,230.03657992645938,0.03450386212265952,45536,23.091277890466532,33.233265720081135,256x256,65536,sparse,Learned,262,4,23,1921,30.786535011966865,0.5873725643370432,27.28590310614392,0.9993777051317825,0.7280832095096582,0.40547945202980573,6,0,0.25,31,1812,31.141896203871138,0.6265966832747935,0.9993144658252177,26.950074288844704,0.5529120734406436,0.7415477084898573,4620,31.87676714504906,0.7094503689902883,0.9997073783541686,31.017526169645993,0.38532811057020366,0.7306547619047619,0.4829070027543949,0.21353734823085702,-0.09833075689567394,-0.037321003071828396,True,0.6518075726938024,0.5789484473726789,0.7079388201019665,27.238666178131574,0.9993127993310442,7255
7256.png,0.48771929824561405,0.8185595567867036,0.9002284843869003,0.9036697247706422,0.8968133535660091,0.9989818191560284,28.412810381270546,0.9992137114332998,28.9777412325068,1.0,0.6604044743550609,0.44366078675345466,31.606895480707145,0.6030376638645093,1976,4,2,7,11,1.975,0.5,160,158,245.06601717798233,2.867817547917366,0.04378153270029572,-0.010956198443127674,-0.5750352777394205,-0.00024653853711642526,-2.5553280927903543e-06,0.46106557377049184,1136.070728302002,0.5334302325581395,4,2,2,7,11,1.975,0.5,4,0,160,158,142,1.5510507416327983,2.867817547917366,245.06601717798233,0.04378153270029572,44562,22.55161943319838,33.16599190283401,256x256,65536,sparse,Learned,280,4,27,1928,31.93036359945143,0.6371713154433382,28.896636261956267,0.9992162667613926,0.5389344262295082,0.3494909052766835,10,2,0.0,39,1944,32.243170949115395,0.6740817340066886,0.9991235530338274,28.748644647095976,0.22674225951680937,0.5027510316368639,4768,32.93112766092737,0.7456367104038188,0.9996279072714002,32.44555701243661,0.2627010991478629,0.5331081081081082,0.081104970550534,0.3109135690783774,-0.32346811874428383,-0.03413365157882886,True,0.6988057880877979,0.31003272573090035,0.4986754966887417,28.987845659009967,0.9992283576931448,7256
7257.png,0.6351531291611185,0.815086782376502,0.8981243104082383,0.920814479638009,0.8765254845656856,0.9990683893014948,27.516765668714665,0.9993758928407024,28.07309423927098,1.0,0.7032899857059547,0.5547859428836922,30.329029318375476,0.5309053378545222,2141,4,6,10,7,2.021505376344086,1.5,186,188,279.10764773832506,2.4211134474764586,0.041137277162240214,0.02124425625943993,-0.48487877402104473,-0.00026292187601062444,9.080446274012388e-06,0.359375,895.6806659698486,0.6967329545454546,4,6,-2,10,7,2.021505376344086,1.5,4,1,186,188,169,1.4846151475442808,2.4211134474764586,279.10764773832506,0.041137277162240214,45763,21.37459131247081,30.60999532928538,256x256,65536,sparse,Learned,306,4,25,2124,30.718891472980864,0.5862644504412541,27.865649671634266,0.9993668123944284,0.640625,0.40547945202980573,10,4,0.0,31,2044,30.937600006667118,0.6253952693120267,0.9992582074409467,27.297323417512686,0.24739181580152425,0.6335403726708074,4384,31.529568796389075,0.6947753797654965,0.9996836114486831,31.110815364697906,0.099346030132204,0.5967078189300411,0.20744456763671337,0.29781053367614896,-0.38986215460538887,-0.05535911258673187,True,0.7261021356685544,0.4028312579667416,0.6139088729016786,28.00164444273571,0.9993313111775054,7257
7258.png,0.7553398058252427,0.858242463117383,0.9237141870900932,0.9523131672597864,0.8967828418230563,0.9990740752528884,26.137797354787054,0.9994483814178482,27.217071814439016,1.0,0.6291657197018043,0.8327273980717126,30.059409912898836,0.5289286712551048,2329,5,1,3,11,1.9572192513368984,0.2,187,183,287.9066376115485,2.434916660747426,0.04049040197238033,0.006091459463246296,-1.0142761694350213,-0.00035726791024359716,-3.5250421442811763e-05,0.24064837905236913,878.6730766296387,0.8166089965397924,5,1,4,3,11,1.9572192513368984,0.2,5,0,187,183,173,1.573260314817203,2.434916660747426,287.9066376115485,0.04049040197238033,46114,19.799914126234434,28.139115500214686,256x256,65536,sparse,Learned,307,5,24,2162,30.486151403992487,0.5830796618805502,27.10009865010624,0.999483631839291,0.7593516209476309,0.5796496154913181,6,1,0.4,28,2220,30.704281904952246,0.630602319375829,0.999408774715989,26.637341166746307,0.6379597914565125,0.7492202121023082,4084,31.197811992333296,0.6713969643009416,0.9997300153792573,30.211076627247984,0.5557769915795154,0.7592245153220762,0.11697316433277649,0.049516104210486245,-0.4267414910936509,-0.05415099062544537,True,0.657676814056212,0.547665502141123,0.7492483463619964,27.152073524222075,0.999431343163132,7258
