filename	gt_iou	seg_iou	seg_f1	seg_precision	seg_recall	gt_fg_ssim	gt_fg_psnr	ng_fg_ssim	ng_fg_psnr	ng_iou	ng_topo_q	topo_preservation	ng_psnr	ng_ssim	ng_bytes	graph_n_components	graph_n_cycles	graph_n_junctions	graph_n_endpoints	graph_mean_degree	graph_complexity	n_nodes	n_edges	total_edge_length	mean_width_px	mean_curvature	delta_gt_iou	delta_gt_fg_psnr	delta_gt_fg_ssim	delta_fg_ssim	delta_iou	total_time_ms	ng_recon_iou	ng_n_components	ng_n_cycles	ng_euler_characteristic	ng_n_junctions	ng_n_endpoints	ng_mean_degree	ng_graph_complexity	ng_seg_beta_0	ng_seg_beta_1	graph_n_nodes	graph_n_edges	graph_n_sampled	graph_mean_edge_length	graph_mean_width	graph_total_edge_length	graph_mean_curvature	png_bytes	ng_vs_png	ng_vs_raw	image_shape	image_pixels	image_type	segmenter	n_points	n_structures	jpeg_quality	jpeg_bytes	jpeg_psnr	jpeg_ssim	jpeg_fg_psnr	jpeg_fg_ssim	jpeg_iou	jpeg_topo_q	jpeg_beta_0	jpeg_beta_1	jpeg_betti_preservation	webp_quality	webp_bytes	webp_psnr	webp_ssim	webp_fg_ssim	webp_fg_psnr	webp_topo_q	webp_iou	jp2_bytes	jp2_psnr	jp2_ssim	jp2_fg_ssim	jp2_fg_psnr	jp2_topo_q	jp2_iou	delta_fg_psnr	delta_topo_q	delta_psnr	delta_ssim	gt_available	gt_topology_q	recon_topology_q	jpeg_gt_iou	jpeg_gt_fg_psnr	jpeg_gt_fg_ssim	stem
7249.png	0.610438	0.912235	0.954104	0.944920	0.963468	0.998989	28.247998	0.999061	28.502094	1.000000	0.657677	0.431805	30.653682	0.555879	2406	5	3	6	10	1.979899	0.600000	199	197	302.078210	2.978190	0.027030	-0.002075	0.049272	-0.000049	0.000048	0.381572	2975.808382	0.620021	5	3	2	6	10	1.979899	0.600000	5	0	199	197	183	1.533392	2.978190	302.078210	0.027030	45624	18.962594	27.238570	256x256	65536	sparse	Learned	319	5	27	2374	30.982440	0.611178	28.170606	0.999012	0.618428	0.328562	12	4	0.000000	32	2160	31.174373	0.646423	0.998873	27.678557	0.277195	0.568706	3799	31.518715	0.676896	0.999325	30.054441	0.318090	0.607196	0.331488	0.329115	-0.328759	-0.055299	True	0.677612	0.292596	0.612513	28.198726	0.999037	7249
7250.png	0.638427	0.867914	0.929287	0.917233	0.941661	0.999002	28.248971	0.999063	28.503765	1.000000	0.719168	0.721508	31.333858	0.589086	2180	4	7	15	11	2.033333	1.750000	180	183	291.450793	2.891803	0.041276	0.031043	0.069955	-0.000113	0.000032	0.369079	1124.611855	0.671866	4	7	-3	15	11	2.033333	1.750000	4	1	180	183	154	1.592627	2.891803	291.450793	0.041276	44906	20.599083	30.062385	256x256	65536	sparse	Learned	300	4	28	2154	31.653372	0.632012	28.190386	0.999031	0.630921	0.644181	6	10	0.000000	37	2118	31.878488	0.670321	0.998959	28.146309	0.447517	0.614382	4216	32.398679	0.718801	0.999483	31.431568	0.277989	0.629687	0.313379	0.074987	-0.319514	-0.042926	True	0.743339	0.536325	0.607384	28.179016	0.999116	7250
7251.png	0.775216	0.854467	0.921523	0.928013	0.915123	0.998848	25.190614	0.999493	27.130579	1.000000	0.703290	0.847257	31.149035	0.606009	2317	4	6	13	11	2.022472	1.500000	178	180	282.936075	2.369187	0.044698	0.039591	-2.286663	-0.000659	-0.000077	0.253797	779.686928	0.865751	4	6	-2	13	11	2.022472	1.500000	4	0	178	180	154	1.571867	2.369187	282.936075	0.044698	44830	19.348295	28.284851	256x256	65536	sparse	Learned	298	4	29	2269	31.863660	0.650573	27.574024	0.999570	0.746203	0.629166	5	0	0.875000	39	2108	32.109548	0.681755	0.999552	27.879060	0.734197	0.739873	4109	32.528157	0.720387	0.999791	31.327605	0.529205	0.740811	-0.443445	0.074124	-0.714625	-0.044563	True	0.724729	0.614032	0.735625	27.477278	0.999507	7251
7252.png	0.802120	0.918990	0.957785	0.943649	0.972350	0.999360	27.403278	0.999394	27.700918	1.000000	0.539296	1.093112	30.810466	0.553691	1818	4	1	2	8	1.949580	0.250000	119	116	171.195959	3.189224	0.028851	0.026187	0.083890	-0.000029	0.000044	0.211523	1004.741192	0.826432	4	1	3	2	8	1.949580	0.250000	4	0	119	116	109	1.475827	3.189224	171.195959	0.028851	45467	25.009351	36.048405	256x256	65536	sparse	Learned	239	4	22	1700	30.956801	0.582989	27.329032	0.999350	0.788477	0.472708	5	1	0.375000	29	1624	31.189119	0.618989	0.999260	26.864687	0.557361	0.792683	5280	32.238814	0.737056	0.999745	31.617018	0.615572	0.773026	0.371886	0.066589	-0.146336	-0.029298	True	0.548419	0.599483	0.775934	27.319389	0.999388	7252
7253.png	0.540097	0.847314	0.917347	0.877930	0.960470	0.999502	27.726184	0.999535	28.092431	1.000000	0.576838	0.446059	31.159136	0.579796	1776	4	2	5	9	1.969925	0.500000	133	131	195.752309	2.552237	0.040323	0.016819	-0.045663	-0.000089	0.000005	0.446847	894.775629	0.573433	4	2	2	5	9	1.969925	0.500000	4	0	133	131	119	1.494292	2.552237	195.752309	0.040323	44924	25.295045	36.900901	256x256	65536	sparse	Learned	253	4	24	1732	31.460646	0.609646	27.740615	0.999530	0.553153	0.312220	7	2	0.000000	34	1710	31.695093	0.646057	0.999486	27.629923	0.221907	0.539485	5117	32.649453	0.744223	0.999791	31.998933	0.262877	0.563877	0.351816	0.264618	-0.301509	-0.029850	True	0.581048	0.259182	0.523277	27.771847	0.999591	7253
7254.png	0.800875	0.921225	0.958998	0.963387	0.954649	0.999241	27.067727	0.999408	27.699879	1.000000	0.672085	0.850511	31.222817	0.590070	2220	4	0	1	9	1.955056	0.000000	178	174	255.350288	2.600488	0.026880	0.024726	-0.547978	-0.000176	-0.000016	0.216398	845.422268	0.830849	4	0	4	1	9	1.955056	0.000000	4	0	178	174	168	1.467530	2.600488	255.350288	0.026880	44986	20.263964	29.520721	256x256	65536	sparse	Learned	298	4	28	2191	31.610139	0.633120	27.617173	0.999424	0.783602	0.529205	6	2	0.000000	37	2192	31.842865	0.674132	0.999363	27.610292	0.508356	0.768767	3998	32.223445	0.705249	0.999723	31.194030	0.367568	0.760403	0.082705	0.142879	-0.387322	-0.043050	True	0.688077	0.585217	0.776149	27.615705	0.999417	7254
7255.png	0.729312	0.897614	0.946045	0.953393	0.938808	0.999158	26.956768	0.999426	27.768810	1.000000	0.619017	0.888220	30.688204	0.550052	1972	4	5	10	9	2.014085	1.250000	142	143	230.036580	2.809929	0.034504	0.021373	-0.281898	-0.000155	0.000048	0.271917	949.564695	0.767943	4	5	-1	10	9	2.014085	1.250000	4	1	142	143	123	1.608647	2.809929	230.036580	0.034504	45536	23.091278	33.233266	256x256	65536	sparse	Learned	262	4	23	1921	30.786535	0.587373	27.285903	0.999378	0.728083	0.405479	6	0	0.250000	31	1812	31.141896	0.626597	0.999314	26.950074	0.552912	0.741548	4620	31.876767	0.709450	0.999707	31.017526	0.385328	0.730655	0.482907	0.213537	-0.098331	-0.037321	True	0.651808	0.578948	0.707939	27.238666	0.999313	7255
7256.png	0.487719	0.818560	0.900228	0.903670	0.896813	0.998982	28.412810	0.999214	28.977741	1.000000	0.660404	0.443661	31.606895	0.603038	1976	4	2	7	11	1.975000	0.500000	160	158	245.066017	2.867818	0.043782	-0.010956	-0.575035	-0.000247	-0.000003	0.461066	1136.070728	0.533430	4	2	2	7	11	1.975000	0.500000	4	0	160	158	142	1.551051	2.867818	245.066017	0.043782	44562	22.551619	33.165992	256x256	65536	sparse	Learned	280	4	27	1928	31.930364	0.637171	28.896636	0.999216	0.538934	0.349491	10	2	0.000000	39	1944	32.243171	0.674082	0.999124	28.748645	0.226742	0.502751	4768	32.931128	0.745637	0.999628	32.445557	0.262701	0.533108	0.081105	0.310914	-0.323468	-0.034134	True	0.698806	0.310033	0.498675	28.987846	0.999228	7256
7257.png	0.635153	0.815087	0.898124	0.920814	0.876525	0.999068	27.516766	0.999376	28.073094	1.000000	0.703290	0.554786	30.329029	0.530905	2141	4	6	10	7	2.021505	1.500000	186	188	279.107648	2.421113	0.041137	0.021244	-0.484879	-0.000263	0.000009	0.359375	895.680666	0.696733	4	6	-2	10	7	2.021505	1.500000	4	1	186	188	169	1.484615	2.421113	279.107648	0.041137	45763	21.374591	30.609995	256x256	65536	sparse	Learned	306	4	25	2124	30.718891	0.586264	27.865650	0.999367	0.640625	0.405479	10	4	0.000000	31	2044	30.937600	0.625395	0.999258	27.297323	0.247392	0.633540	4384	31.529569	0.694775	0.999684	31.110815	0.099346	0.596708	0.207445	0.297811	-0.389862	-0.055359	True	0.726102	0.402831	0.613909	28.001644	0.999331	7257
7258.png	0.755340	0.858242	0.923714	0.952313	0.896783	0.999074	26.137797	0.999448	27.217072	1.000000	0.629166	0.832727	30.059410	0.528929	2329	5	1	3	11	1.957219	0.200000	187	183	287.906638	2.434917	0.040490	0.006091	-1.014276	-0.000357	-0.000035	0.240648	878.673077	0.816609	5	1	4	3	11	1.957219	0.200000	5	0	187	183	173	1.573260	2.434917	287.906638	0.040490	46114	19.799914	28.139116	256x256	65536	sparse	Learned	307	5	24	2162	30.486151	0.583080	27.100099	0.999484	0.759352	0.579650	6	1	0.400000	28	2220	30.704282	0.630602	0.999409	26.637341	0.637960	0.749220	4084	31.197812	0.671397	0.999730	30.211077	0.555777	0.759225	0.116973	0.049516	-0.426741	-0.054151	True	0.657677	0.547666	0.749248	27.152074	0.999431	7258
