filename,gt_iou,seg_iou,seg_f1,seg_precision,seg_recall,gt_fg_ssim,gt_fg_psnr,ng_fg_ssim,ng_fg_psnr,ng_iou,ng_topo_q,topo_preservation,ng_psnr,ng_ssim,ng_bytes,graph_n_components,graph_n_cycles,graph_n_junctions,graph_n_endpoints,graph_mean_degree,graph_complexity,n_nodes,n_edges,total_edge_length,mean_width_px,mean_curvature,delta_gt_iou,delta_gt_fg_psnr,delta_gt_fg_ssim,delta_fg_ssim,delta_iou,total_time_ms,ng_recon_iou,ng_n_components,ng_n_cycles,ng_euler_characteristic,ng_n_junctions,ng_n_endpoints,ng_mean_degree,ng_graph_complexity,ng_seg_beta_0,ng_seg_beta_1,graph_n_nodes,graph_n_edges,graph_n_sampled,graph_mean_edge_length,graph_mean_width,graph_total_edge_length,graph_mean_curvature,png_bytes,ng_vs_png,ng_vs_raw,image_shape,image_pixels,image_type,segmenter,n_points,n_structures,jpeg_quality,jpeg_bytes,jpeg_psnr,jpeg_ssim,jpeg_fg_psnr,jpeg_fg_ssim,jpeg_iou,jpeg_topo_q,jpeg_beta_0,jpeg_beta_1,jpeg_betti_preservation,webp_quality,webp_bytes,webp_psnr,webp_ssim,webp_fg_ssim,webp_fg_psnr,webp_topo_q,webp_iou,jp2_bytes,jp2_psnr,jp2_ssim,jp2_fg_ssim,jp2_fg_psnr,jp2_topo_q,jp2_iou,delta_fg_psnr,delta_topo_q,delta_psnr,delta_ssim,gt_available,gt_topology_q,recon_topology_q,jpeg_gt_iou,jpeg_gt_fg_psnr,jpeg_gt_fg_ssim,stem
7249.png,0.32694355697550587,0.36231884057971014,0.5319148936170213,0.7606490872210954,0.4089422028353326,0.9936342664202573,19.653179762973135,0.9993337841680584,27.52371529249226,1.0,0.40249940538176254,0.4402600120741104,29.419168092461735,0.5325678204867001,1541,4,16,15,9,2.1237113402061856,4.0,194,206,406.4494622261737,3.275153891327455,0.023357006248024798,-0.27456020242299034,-7.886715886019186,-0.005253294181116863,8.128794151018859e-05,0.5556923076923077,1412.6505851745605,0.6390827517447657,4,16,-12,15,9,2.1237113402061856,4.0,4,2,194,206,170,1.9730556418746292,3.275153891327455,406.4494622261737,0.023357006248024798,45624,29.606748864373785,42.52822842310188,256x256,65536,sparse,Frangi,194,4,18,1525,30.697197129522756,0.5709186246478448,27.104609080742428,0.9992524962265482,0.4443076923076923,0.38121660819385916,10,2,0.25,26,1420,30.929475655024845,0.6089590022544357,0.9992096831681291,26.947881278074618,0.40017126795849167,0.44387427838357923,5873,32.293918254229354,0.7542152469050135,0.9997219213511777,31.667939741752612,0.19488825179218083,0.4396551724137931,0.4191062117498312,0.02128279718790338,-1.278029037061021,-0.03835080416114467,True,0.6776121644545745,0.29832553970433506,0.6015037593984962,27.53989564899232,0.9988875606013742,7249
7250.png,0.6027466937945066,0.46634615384615385,0.6360655737704919,0.4853235490326885,0.9226379201014585,0.998837278936429,27.91603888847316,0.9961119320423432,29.305676181978907,1.0,0.5093381083007599,0.3504826460237502,31.35522224531838,0.5890567366835776,2152,5,3,7,12,1.9843137254901961,0.6,255,253,555.6575877535213,6.668670526205324,0.018318985023751434,-0.011187303062486609,-0.03374652975209358,-0.0002295413075736885,0.00042142641781561796,0.49983338887037654,2621.493101119995,0.5159151193633952,5,3,2,7,12,1.9843137254901961,0.6,5,0,255,253,236,2.1962750504091737,6.668670526205324,555.6575877535213,0.018318985023751434,44906,20.867100371747213,30.45353159851301,256x256,65536,sparse,Otsu,255,5,27,2120,31.51313213561361,0.6278921897207748,28.76632347517132,0.9956905056245275,0.5001666111296235,0.57562715432305,7,9,0.0,37,2118,31.878488210311048,0.6703207799885555,0.9956908826640462,28.815058025257805,0.4475173967041721,0.49133910726182545,4216,32.39867877657186,0.7188010053419989,0.9977462282443249,31.625609445665287,0.27798855305048986,0.5097844112769486,0.5393527068075876,-0.06628904602229013,-0.15790989029522962,-0.038835453037197154,True,0.7433392230464442,0.2605274977865564,0.6139339968569932,27.949785418225254,0.9990668202440027,7250
7251.png,0.7286527514231499,0.39828353464717103,0.5696749261195726,0.40380277151144056,0.966820987654321,0.9987001218237237,24.611733191084486,0.9971532279680949,28.903440565454698,1.0,0.6552721452327799,0.7781536890188676,31.303419384614152,0.6091218469914903,2400,4,5,11,11,2.0070671378091873,1.25,283,284,487.9807108204915,5.799287712194895,0.015498753179163325,-0.01524205133201606,-2.99930202167506,-0.0008231480475432429,0.00017603308229474646,0.5352472089314195,2418.0052280426025,0.4612166076601223,4,5,-1,11,11,2.0070671378091873,1.25,4,0,283,284,261,1.7182419395087731,5.799287712194895,487.9807108204915,0.015498753179163325,44830,18.679166666666667,27.30666666666667,256x256,65536,sparse,Otsu,283,4,30,2387,31.860479106431324,0.6541271176068617,28.709899394651384,0.9969771948858002,0.46475279106858053,0.5740074125998693,6,1,0.25,41,2372,32.19708627137943,0.694537179265732,0.996962429441562,28.857096669553734,0.7394602921400244,0.45996810207336525,3790,32.41558434595102,0.7089880208750731,0.9983541013620396,31.439496334256564,0.5573606726386489,0.45901116427432215,0.19354117080331434,0.08126473263291056,-0.557059721817172,-0.04500527061537141,True,0.7247292169102477,0.5639507136784644,0.743894802755166,27.611035212759546,0.9995232698712669,7251
7252.png,0.5017761989342806,0.3483009708737864,0.5166516651665166,0.5048372911169745,0.5290322580645161,0.9962935128840518,20.004699251280982,0.9987995508747012,28.232617799835715,1.0,0.20811043366321835,0.7766469091250836,30.01489322323916,0.541306507861537,1549,9,1,3,19,1.9135135135135135,0.1111111111111111,185,177,360.00401994166936,3.1059159098444757,0.0208153010907724,-0.27755111853905823,-7.018904240648773,-0.003047794011581728,8.700018429796952e-05,0.6196395276569298,1237.8079891204834,0.5103986135181976,9,1,8,3,19,1.9135135135135135,0.1111111111111111,9,0,185,177,163,2.033921016619601,3.1059159098444757,360.00401994166936,0.0208153010907724,45467,29.352485474499677,42.308586184635246,256x256,65536,sparse,Frangi,185,9,19,1547,30.701946580224245,0.5705230751041453,28.044726996559923,0.9987125506904032,0.38036047234307024,0.5747168089177259,4,3,0.0,27,1414,31.117802710466307,0.6100681752201572,0.9987994618694814,27.627281559565127,0.49741977497457157,0.3864491844416562,5929,32.489791522596,0.7573277150340685,0.9993092049356336,32.00687961987365,0.6155724752496214,0.3808618504435995,0.187890803275792,-0.36660637525450757,-0.6870533569850856,-0.02921656724260835,True,0.5484187650774077,0.42592773880356405,0.7793273174733388,27.023603491929755,0.9993413068956335,7252
7253.png,0.5412186379928315,0.2859909619109103,0.44477911646586343,0.29068241469816275,0.9465811965811965,0.9993765252735954,27.57180833431296,0.9960551506708756,29.572121002117598,1.0,0.3607757837496701,0.4762937707893596,31.176983186337477,0.5802950894603386,2247,8,3,7,18,1.963898916967509,0.375,277,272,548.061688094037,6.359420116197331,0.022709019062710396,0.00296727187261292,-0.5117407332869597,-0.0002393357232185478,0.0001900920608999268,0.7541789577187807,2935.124158859253,0.2522875816993464,8,3,5,7,18,1.963898916967509,0.375,8,0,277,272,252,2.0149326768163105,6.359420116197331,548.061688094037,0.022709019062710396,44924,19.992879394748552,29.165999109924343,256x256,65536,sparse,Otsu,277,8,29,2246,31.592709611702485,0.6293089631027063,29.404806027479626,0.9958650586099757,0.24582104228121926,0.377077604231577,6,1,0.375,37,1992,31.801332701433395,0.6587676352099238,0.9955831007340783,29.23199911306382,0.31442679841570675,0.2363934426229508,4218,32.32338504579843,0.7138556399708486,0.9975115965657246,31.784206423619146,0.2604154480099372,0.2460681520314548,0.1673149746379714,-0.01630182048190687,-0.41572642536500837,-0.049013873642367756,True,0.581048450752361,0.2767497576201575,0.5382513661202186,28.083549067599918,0.999615860996814,7253
7254.png,0.7172459893048129,0.4890422077922078,0.6568547288089397,0.5136402387041773,0.9108087679516251,0.9979669345812117,23.84817365185491,0.9980317626298068,28.714717823464184,1.0,0.5014243770087834,0.4673713825336798,31.020505950527365,0.5884050638693908,2112,5,5,11,13,2.0,1.0,249,249,531.5480747497279,5.177006503185594,0.020760823536710517,-0.052600575071438005,-3.6424102522994595,-0.0014280115382214742,0.00023251422931169774,0.48537288833951375,2370.750904083252,0.5272108843537415,5,5,0,11,13,2.0,1.0,5,0,249,249,225,2.1347312238944887,5.177006503185594,531.5480747497279,0.020760823536710517,44986,21.300189393939394,31.03030303030303,256x256,65536,sparse,Otsu,249,5,26,2055,31.481179496524234,0.6248438557290983,28.28804424772692,0.997799248400495,0.5146271116604862,0.5276334472589853,6,1,0.4,34,1890,31.759747284778655,0.6603604813356536,0.9976114046899981,27.980577427508212,0.5654017914929217,0.509046052631579,4335,32.34541946027545,0.7174547252290433,0.9989188670676735,31.61078993241233,0.3675675219699778,0.5090684253915911,0.42667357573726505,-0.026209070250201916,-0.46067354599686894,-0.03643879185970744,True,0.6880773379673533,0.32158765673589595,0.7698465643762509,27.49058390415437,0.9993949461194331,7254
7255.png,0.6560773480662984,0.29890764647467727,0.46024464831804285,0.3017543859649123,0.9694041867954911,0.9989985211158572,26.196088237386817,0.9941990863716844,29.10928671082433,1.0,0.36146030006785623,0.5635281906117874,29.91174160622502,0.5455060772208239,3324,15,13,25,32,1.9902912621359223,0.8666666666666667,412,410,1315.3528975263923,4.767689436963461,0.028448051395753283,-0.06650798236216937,-1.8776406998587127,-0.00043750009482723673,-0.000623884668653929,0.7250996015936255,4341.986656188965,0.2646841975915458,15,13,2,25,32,1.9902912621359223,0.8666666666666667,14,1,412,410,355,3.208177798844856,4.767689436963461,1315.3528975263923,0.028448051395753283,45536,13.699157641395908,19.71600481347774,256x256,65536,sparse,Otsu,412,14,35,3287,31.271690910581917,0.6400549833592777,29.679714364165683,0.9948229710403383,0.2749003984063745,0.4155843717880138,7,0,0.25,42,3296,31.67632784446857,0.6997897432664647,0.9948797286384385,29.70327268538355,0.4950689195281103,0.26245019920318724,604,30.47857019268916,0.5505619287282498,0.9925639248950027,27.740580642310366,0.44898872100865916,0.2749688667496887,-0.5704276533413548,-0.05412407172015754,-1.3599493043568955,-0.09454890613845379,True,0.6518075726938024,0.3673119420671995,0.7225853304284677,28.07372893724553,0.9994360212106844,7255
7256.png,0.46629901960784315,0.4468475073313783,0.617684317202939,0.46367440091289464,0.924886191198786,0.9987263045199551,27.92408125582873,0.9964992858205948,29.60835586033763,1.0,0.4769090868974992,0.7060373798340975,31.41172896200246,0.6012901736712031,2022,5,4,13,15,1.992063492063492,0.8,252,251,577.8433966728818,6.484815814192333,0.026946130334446088,-0.03237647708089858,-1.063764403181235,-0.0005020531731896316,0.00013498185523119766,0.6503021148036254,2498.5570907592773,0.35976505139500736,5,4,1,13,15,1.992063492063492,0.8,5,0,252,251,224,2.3021649269835907,6.484815814192333,577.8433966728818,0.026946130334446088,44562,22.038575667655785,32.41147378832839,256x256,65536,sparse,Otsu,252,5,27,1928,31.93036359945143,0.6371713154433382,29.442774636995473,0.9963643039653636,0.3496978851963746,0.3494909052766835,10,2,0.0,40,1998,32.278548176153194,0.6771779571620437,0.9962126699124719,29.484627744680743,0.35079062331485267,0.34741606940777064,4590,32.85591907367704,0.7411715920563807,0.9979550063848331,32.22193691296246,0.2577693522515767,0.35280814172634756,0.16558122334215497,0.12741818162081575,-0.5186346374489688,-0.03588114177213508,True,0.6988057880877979,0.49338300763441045,0.4986754966887417,28.987845659009967,0.9992283576931448,7256
7257.png,0.5497835497835498,0.24427043544690605,0.3926323867996931,0.24970714564623195,0.91816223977028,0.9987566928773849,26.945044860945533,0.991964497072793,29.39914077969309,1.0,0.3251962244989649,0.42642639772613966,29.574102633564273,0.5252684741364545,4022,21,20,39,47,1.9960861056751467,0.9523809523809523,511,510,1205.0565955039651,5.954355588397868,0.03255418843844766,-0.06282906282906275,-1.79160557654075,-0.000667838162404566,-0.0009529580428878637,0.7526254375729289,5436.08546257019,0.25056904400606983,21,20,1,39,47,1.9960861056751467,0.9523809523809523,21,1,511,510,425,2.3628560696156145,5.954355588397868,1205.0565955039651,0.03255418843844766,45763,11.378170064644456,16.294380905022376,256x256,65536,sparse,Otsu,511,21,40,3869,31.164755312465186,0.6463778835645335,30.096128465679644,0.9929174551156809,0.24737456242707118,0.46681610144314944,9,5,0.0,43,3602,31.541334807121135,0.7030923279139674,0.993149498312003,30.079403086853365,0.1600547809190065,0.24409601238869533,534,29.70189820596699,0.5131237901516548,0.9883756028053357,27.82704801586093,0.14101171925887657,0.27976878612716766,-0.6969876859865529,-0.14161987694418454,-1.5906526789009128,-0.12110940942807902,True,0.7261021356685544,0.3096291180943984,0.6126126126126126,28.736650437486283,0.9994245310397895,7257
7258.png,0.7066590126291619,0.38594128736870453,0.5569374271278664,0.3921729611384784,0.960455764075067,0.9989358594531819,25.91718038720661,0.9966742786903626,28.664033427137426,1.0,0.4620555624053255,0.9776732670035949,29.688294517078,0.5278617863109349,3048,9,7,15,22,1.9891304347826086,0.7777777777777778,368,366,740.5089642841489,5.74628681462744,0.023897980210424066,-0.05708721093579283,-1.7006234314226063,-0.0005460359434332762,6.463398075162718e-05,0.6200434546442151,3763.1893157958984,0.3759378349410504,9,7,2,15,22,1.9891304347826086,0.7777777777777778,9,0,368,366,331,2.0232485362954864,5.74628681462744,740.5089642841489,0.023897980210424066,46114,15.129265091863518,21.501312335958005,256x256,65536,sparse,Otsu,368,9,30,2910,30.65647617989235,0.6123773670872295,28.677044975633162,0.996609644709611,0.3799565453557849,0.5566223253078513,6,1,0.33333333333333337,34,3006,30.99352009972083,0.6713045835408031,0.9963770905836413,28.453328880514206,0.597475775966364,0.36677542142468733,3072,30.841737472303905,0.625391204629381,0.9973842848733832,30.002273499520996,0.5907108208687815,0.37428649089426475,-0.013011548495736491,-0.09456676290252575,-0.9681816628143523,-0.08451558077629451,True,0.657676814056212,0.6429930394308526,0.7637462235649547,27.617803818629216,0.9994818953966151,7258
