filename	gt_iou	seg_iou	seg_f1	seg_precision	seg_recall	gt_fg_ssim	gt_fg_psnr	ng_fg_ssim	ng_fg_psnr	ng_iou	ng_topo_q	topo_preservation	ng_psnr	ng_ssim	ng_bytes	graph_n_components	graph_n_cycles	graph_n_junctions	graph_n_endpoints	graph_mean_degree	graph_complexity	n_nodes	n_edges	total_edge_length	mean_width_px	mean_curvature	delta_gt_iou	delta_gt_fg_psnr	delta_gt_fg_ssim	delta_fg_ssim	delta_iou	total_time_ms	ng_recon_iou	ng_n_components	ng_n_cycles	ng_euler_characteristic	ng_n_junctions	ng_n_endpoints	ng_mean_degree	ng_graph_complexity	ng_seg_beta_0	ng_seg_beta_1	graph_n_nodes	graph_n_edges	graph_n_sampled	graph_mean_edge_length	graph_mean_width	graph_total_edge_length	graph_mean_curvature	png_bytes	ng_vs_png	ng_vs_raw	image_shape	image_pixels	image_type	segmenter	n_points	n_structures	jpeg_quality	jpeg_bytes	jpeg_psnr	jpeg_ssim	jpeg_fg_psnr	jpeg_fg_ssim	jpeg_iou	jpeg_topo_q	jpeg_beta_0	jpeg_beta_1	jpeg_betti_preservation	webp_quality	webp_bytes	webp_psnr	webp_ssim	webp_fg_ssim	webp_fg_psnr	webp_topo_q	webp_iou	jp2_bytes	jp2_psnr	jp2_ssim	jp2_fg_ssim	jp2_fg_psnr	jp2_topo_q	jp2_iou	delta_fg_psnr	delta_topo_q	delta_psnr	delta_ssim	gt_available	gt_topology_q	recon_topology_q	jpeg_gt_iou	jpeg_gt_fg_psnr	jpeg_gt_fg_ssim	stem
7249.png	0.326944	0.362319	0.531915	0.760649	0.408942	0.993634	19.653180	0.999334	27.523715	1.000000	0.402499	0.440260	29.419168	0.532568	1541	4	16	15	9	2.123711	4.000000	194	206	406.449462	3.275154	0.023357	-0.274560	-7.886716	-0.005253	0.000081	0.555692	1412.650585	0.639083	4	16	-12	15	9	2.123711	4.000000	4	2	194	206	170	1.973056	3.275154	406.449462	0.023357	45624	29.606749	42.528228	256x256	65536	sparse	Frangi	194	4	18	1525	30.697197	0.570919	27.104609	0.999252	0.444308	0.381217	10	2	0.250000	26	1420	30.929476	0.608959	0.999210	26.947881	0.400171	0.443874	5873	32.293918	0.754215	0.999722	31.667940	0.194888	0.439655	0.419106	0.021283	-1.278029	-0.038351	True	0.677612	0.298326	0.601504	27.539896	0.998888	7249
7250.png	0.602747	0.466346	0.636066	0.485324	0.922638	0.998837	27.916039	0.996112	29.305676	1.000000	0.509338	0.350483	31.355222	0.589057	2152	5	3	7	12	1.984314	0.600000	255	253	555.657588	6.668671	0.018319	-0.011187	-0.033747	-0.000230	0.000421	0.499833	2621.493101	0.515915	5	3	2	7	12	1.984314	0.600000	5	0	255	253	236	2.196275	6.668671	555.657588	0.018319	44906	20.867100	30.453532	256x256	65536	sparse	Otsu	255	5	27	2120	31.513132	0.627892	28.766323	0.995691	0.500167	0.575627	7	9	0.000000	37	2118	31.878488	0.670321	0.995691	28.815058	0.447517	0.491339	4216	32.398679	0.718801	0.997746	31.625609	0.277989	0.509784	0.539353	-0.066289	-0.157910	-0.038835	True	0.743339	0.260527	0.613934	27.949785	0.999067	7250
7251.png	0.728653	0.398284	0.569675	0.403803	0.966821	0.998700	24.611733	0.997153	28.903441	1.000000	0.655272	0.778154	31.303419	0.609122	2400	4	5	11	11	2.007067	1.250000	283	284	487.980711	5.799288	0.015499	-0.015242	-2.999302	-0.000823	0.000176	0.535247	2418.005228	0.461217	4	5	-1	11	11	2.007067	1.250000	4	0	283	284	261	1.718242	5.799288	487.980711	0.015499	44830	18.679167	27.306667	256x256	65536	sparse	Otsu	283	4	30	2387	31.860479	0.654127	28.709899	0.996977	0.464753	0.574007	6	1	0.250000	41	2372	32.197086	0.694537	0.996962	28.857097	0.739460	0.459968	3790	32.415584	0.708988	0.998354	31.439496	0.557361	0.459011	0.193541	0.081265	-0.557060	-0.045005	True	0.724729	0.563951	0.743895	27.611035	0.999523	7251
7252.png	0.501776	0.348301	0.516652	0.504837	0.529032	0.996294	20.004699	0.998800	28.232618	1.000000	0.208110	0.776647	30.014893	0.541307	1549	9	1	3	19	1.913514	0.111111	185	177	360.004020	3.105916	0.020815	-0.277551	-7.018904	-0.003048	0.000087	0.619640	1237.807989	0.510399	9	1	8	3	19	1.913514	0.111111	9	0	185	177	163	2.033921	3.105916	360.004020	0.020815	45467	29.352485	42.308586	256x256	65536	sparse	Frangi	185	9	19	1547	30.701947	0.570523	28.044727	0.998713	0.380360	0.574717	4	3	0.000000	27	1414	31.117803	0.610068	0.998799	27.627282	0.497420	0.386449	5929	32.489792	0.757328	0.999309	32.006880	0.615572	0.380862	0.187891	-0.366606	-0.687053	-0.029217	True	0.548419	0.425928	0.779327	27.023603	0.999341	7252
7253.png	0.541219	0.285991	0.444779	0.290682	0.946581	0.999377	27.571808	0.996055	29.572121	1.000000	0.360776	0.476294	31.176983	0.580295	2247	8	3	7	18	1.963899	0.375000	277	272	548.061688	6.359420	0.022709	0.002967	-0.511741	-0.000239	0.000190	0.754179	2935.124159	0.252288	8	3	5	7	18	1.963899	0.375000	8	0	277	272	252	2.014933	6.359420	548.061688	0.022709	44924	19.992879	29.165999	256x256	65536	sparse	Otsu	277	8	29	2246	31.592710	0.629309	29.404806	0.995865	0.245821	0.377078	6	1	0.375000	37	1992	31.801333	0.658768	0.995583	29.231999	0.314427	0.236393	4218	32.323385	0.713856	0.997512	31.784206	0.260415	0.246068	0.167315	-0.016302	-0.415726	-0.049014	True	0.581048	0.276750	0.538251	28.083549	0.999616	7253
7254.png	0.717246	0.489042	0.656855	0.513640	0.910809	0.997967	23.848174	0.998032	28.714718	1.000000	0.501424	0.467371	31.020506	0.588405	2112	5	5	11	13	2.000000	1.000000	249	249	531.548075	5.177007	0.020761	-0.052601	-3.642410	-0.001428	0.000233	0.485373	2370.750904	0.527211	5	5	0	11	13	2.000000	1.000000	5	0	249	249	225	2.134731	5.177007	531.548075	0.020761	44986	21.300189	31.030303	256x256	65536	sparse	Otsu	249	5	26	2055	31.481179	0.624844	28.288044	0.997799	0.514627	0.527633	6	1	0.400000	34	1890	31.759747	0.660360	0.997611	27.980577	0.565402	0.509046	4335	32.345419	0.717455	0.998919	31.610790	0.367568	0.509068	0.426674	-0.026209	-0.460674	-0.036439	True	0.688077	0.321588	0.769847	27.490584	0.999395	7254
7255.png	0.656077	0.298908	0.460245	0.301754	0.969404	0.998999	26.196088	0.994199	29.109287	1.000000	0.361460	0.563528	29.911742	0.545506	3324	15	13	25	32	1.990291	0.866667	412	410	1315.352898	4.767689	0.028448	-0.066508	-1.877641	-0.000438	-0.000624	0.725100	4341.986656	0.264684	15	13	2	25	32	1.990291	0.866667	14	1	412	410	355	3.208178	4.767689	1315.352898	0.028448	45536	13.699158	19.716005	256x256	65536	sparse	Otsu	412	14	35	3287	31.271691	0.640055	29.679714	0.994823	0.274900	0.415584	7	0	0.250000	42	3296	31.676328	0.699790	0.994880	29.703273	0.495069	0.262450	604	30.478570	0.550562	0.992564	27.740581	0.448989	0.274969	-0.570428	-0.054124	-1.359949	-0.094549	True	0.651808	0.367312	0.722585	28.073729	0.999436	7255
7256.png	0.466299	0.446848	0.617684	0.463674	0.924886	0.998726	27.924081	0.996499	29.608356	1.000000	0.476909	0.706037	31.411729	0.601290	2022	5	4	13	15	1.992063	0.800000	252	251	577.843397	6.484816	0.026946	-0.032376	-1.063764	-0.000502	0.000135	0.650302	2498.557091	0.359765	5	4	1	13	15	1.992063	0.800000	5	0	252	251	224	2.302165	6.484816	577.843397	0.026946	44562	22.038576	32.411474	256x256	65536	sparse	Otsu	252	5	27	1928	31.930364	0.637171	29.442775	0.996364	0.349698	0.349491	10	2	0.000000	40	1998	32.278548	0.677178	0.996213	29.484628	0.350791	0.347416	4590	32.855919	0.741172	0.997955	32.221937	0.257769	0.352808	0.165581	0.127418	-0.518635	-0.035881	True	0.698806	0.493383	0.498675	28.987846	0.999228	7256
7257.png	0.549784	0.244270	0.392632	0.249707	0.918162	0.998757	26.945045	0.991964	29.399141	1.000000	0.325196	0.426426	29.574103	0.525268	4022	21	20	39	47	1.996086	0.952381	511	510	1205.056596	5.954356	0.032554	-0.062829	-1.791606	-0.000668	-0.000953	0.752625	5436.085463	0.250569	21	20	1	39	47	1.996086	0.952381	21	1	511	510	425	2.362856	5.954356	1205.056596	0.032554	45763	11.378170	16.294381	256x256	65536	sparse	Otsu	511	21	40	3869	31.164755	0.646378	30.096128	0.992917	0.247375	0.466816	9	5	0.000000	43	3602	31.541335	0.703092	0.993149	30.079403	0.160055	0.244096	534	29.701898	0.513124	0.988376	27.827048	0.141012	0.279769	-0.696988	-0.141620	-1.590653	-0.121109	True	0.726102	0.309629	0.612613	28.736650	0.999425	7257
7258.png	0.706659	0.385941	0.556937	0.392173	0.960456	0.998936	25.917180	0.996674	28.664033	1.000000	0.462056	0.977673	29.688295	0.527862	3048	9	7	15	22	1.989130	0.777778	368	366	740.508964	5.746287	0.023898	-0.057087	-1.700623	-0.000546	0.000065	0.620043	3763.189316	0.375938	9	7	2	15	22	1.989130	0.777778	9	0	368	366	331	2.023249	5.746287	740.508964	0.023898	46114	15.129265	21.501312	256x256	65536	sparse	Otsu	368	9	30	2910	30.656476	0.612377	28.677045	0.996610	0.379957	0.556622	6	1	0.333333	34	3006	30.993520	0.671305	0.996377	28.453329	0.597476	0.366775	3072	30.841737	0.625391	0.997384	30.002273	0.590711	0.374286	-0.013012	-0.094567	-0.968182	-0.084516	True	0.657677	0.642993	0.763746	27.617804	0.999482	7258
