filename	gt_iou	seg_iou	seg_f1	seg_precision	seg_recall	gt_fg_ssim	gt_fg_psnr	ng_fg_ssim	ng_fg_psnr	ng_iou	ng_topo_q	topo_preservation	ng_psnr	ng_ssim	ng_bytes	graph_n_components	graph_n_cycles	graph_n_junctions	graph_n_endpoints	graph_mean_degree	graph_complexity	n_nodes	n_edges	total_edge_length	mean_width_px	mean_curvature	delta_gt_iou	delta_gt_fg_psnr	delta_gt_fg_ssim	delta_fg_ssim	delta_iou	total_time_ms	ng_recon_iou	ng_n_components	ng_n_cycles	ng_euler_characteristic	ng_n_junctions	ng_n_endpoints	ng_mean_degree	ng_graph_complexity	ng_seg_beta_0	ng_seg_beta_1	graph_n_nodes	graph_n_edges	graph_n_sampled	graph_mean_edge_length	graph_mean_width	graph_total_edge_length	graph_mean_curvature	png_bytes	ng_vs_png	ng_vs_raw	image_shape	image_pixels	image_type	segmenter	n_points	n_structures	jpeg_quality	jpeg_bytes	jpeg_psnr	jpeg_ssim	jpeg_fg_psnr	jpeg_fg_ssim	jpeg_iou	jpeg_topo_q	jpeg_beta_0	jpeg_beta_1	jpeg_betti_preservation	webp_quality	webp_bytes	webp_psnr	webp_ssim	webp_fg_ssim	webp_fg_psnr	webp_topo_q	webp_iou	jp2_bytes	jp2_psnr	jp2_ssim	jp2_fg_ssim	jp2_fg_psnr	jp2_topo_q	jp2_iou	delta_fg_psnr	delta_topo_q	delta_psnr	delta_ssim	gt_available	gt_topology_q	recon_topology_q	jpeg_gt_iou	jpeg_gt_fg_psnr	jpeg_gt_fg_ssim	stem
1_1.png	0.806974	0.807880	0.893732	0.827028	0.972141	0.994251	30.264608	0.998918	35.215780	1.000000	0.721963	1.156056	32.632995	0.883848	3992	4	0	0	8	1.968992	0.000000	258	254	367.333044	7.972698	0.022677	-0.011948	-12.678028	-0.005579	-0.000868	0.047710	4463.205814	0.943010	4	0	4	0	8	1.968992	0.000000	5	0	258	254	250	1.446193	7.972698	367.333044	0.022677	11179	2.800351	20.346944	285x285	81225	sparse	Otsu	380	5	78	3985	50.702143	0.997635	42.749621	0.999786	0.952290	0.659271	6	0	0.900000	97	3896	54.593707	0.998952	0.999914	47.049244	0.662661	0.952011	828	34.483649	0.948534	0.990908	25.747487	0.519695	0.947338	-7.533841	0.062692	-18.069149	-0.113786	True	0.577895	0.668079	0.818922	42.942636	0.999830	1_1
1_10.png	0.808289	0.812465	0.896530	0.834500	0.968523	0.993813	32.686726	0.998342	37.173257	1.000000	0.727468	1.403800	36.043444	0.909932	3517	4	2	4	8	1.984674	0.500000	261	259	374.918831	8.079703	0.025108	-0.020042	-12.329570	-0.005901	-0.001307	0.069875	2679.424524	0.912276	4	2	2	4	8	1.984674	0.500000	5	0	261	259	249	1.447563	8.079703	374.918831	0.025108	10010	2.846176	23.094967	285x285	81225	sparse	Otsu	383	5	79	3485	52.284763	0.997565	44.719434	0.999649	0.930125	0.631068	7	0	0.800000	98	3220	55.459845	0.998777	0.999834	48.348970	0.683363	0.930020	4150	56.399488	0.998711	0.999859	49.247562	0.690666	0.930425	-7.546177	0.096400	-16.241319	-0.087632	True	0.588316	0.825878	0.828331	45.016296	0.999714	1_10
1_11.png	0.814269	0.796938	0.886995	0.815270	0.972559	0.994040	31.553818	0.998484	36.347295	1.000000	0.730719	1.425547	34.271610	0.901338	3827	4	1	3	9	1.977358	0.250000	265	262	375.676190	8.213395	0.025525	-0.017793	-12.807593	-0.005733	-0.001229	0.086035	2871.546268	0.897301	4	1	3	3	9	1.977358	0.250000	5	0	265	262	253	1.433879	8.213395	375.676190	0.025525	10779	2.816567	21.224196	285x285	81225	sparse	Otsu	417	5	79	3759	51.696763	0.997575	44.168352	0.999713	0.913965	0.678042	6	0	0.900000	98	3588	55.215915	0.998830	0.999866	48.094185	0.747413	0.916211	825	37.907105	0.959247	0.992745	29.578624	0.612706	0.919855	-7.821057	0.052677	-17.425153	-0.096237	True	0.594445	0.847410	0.832062	44.361411	0.999773	1_11
1_12.png	0.813328	0.793986	0.885164	0.811093	0.974124	0.994103	30.476070	0.998761	36.201569	1.000000	0.733931	1.380830	33.348202	0.894619	3879	4	1	3	9	1.977186	0.250000	263	260	378.676190	8.263804	0.031937	-0.015782	-13.280299	-0.005678	-0.000961	0.087642	2576.315641	0.901118	4	1	3	3	9	1.977186	0.250000	5	0	263	260	251	1.456447	8.263804	378.676190	0.031937	11444	2.950245	20.939675	285x285	81225	sparse	Otsu	385	5	77	3815	50.819906	0.997173	43.481625	0.999722	0.912358	0.684417	6	0	0.900000	97	3748	54.429891	0.998646	0.999876	47.465995	0.745384	0.913867	821	35.758827	0.954214	0.990445	27.073557	0.613811	0.919015	-7.280056	0.049514	-17.471704	-0.102554	True	0.605446	0.836018	0.829109	43.756369	0.999781	1_12
1_13.png	0.809406	0.778558	0.875493	0.794969	0.974169	0.994083	30.296002	0.998727	36.096769	1.000000	0.732865	1.326135	33.877490	0.903295	3909	4	2	4	9	1.984314	0.500000	255	253	375.847763	8.155029	0.027481	-0.018771	-13.601370	-0.005708	-0.001002	0.093649	2743.659735	0.895655	4	2	2	4	9	1.984314	0.500000	5	0	255	253	242	1.485564	8.155029	375.847763	0.027481	11301	2.891021	20.778972	285x285	81225	sparse	Otsu	407	5	78	3879	51.012926	0.997362	43.536048	0.999729	0.906351	0.626827	7	0	0.800000	97	3766	54.332926	0.998608	0.999866	47.378433	0.628954	0.906390	828	36.083890	0.952920	0.989999	27.532798	0.537501	0.914707	-7.439279	0.106037	-17.135436	-0.094066	True	0.592413	0.785619	0.828176	43.897371	0.999791	1_13
1_14.png	0.799198	0.779239	0.875924	0.796853	0.972416	0.994243	30.587084	0.998720	35.425157	1.000000	0.717478	1.279307	33.901931	0.903135	3811	4	1	2	8	1.975104	0.250000	241	238	360.019336	8.048392	0.045886	-0.011967	-12.408586	-0.005536	-0.000994	0.100143	2315.973759	0.887399	4	1	3	2	8	1.975104	0.250000	5	0	241	238	231	1.512686	8.048392	360.019336	0.045886	11561	3.033587	21.313304	285x285	81225	sparse	Otsu	363	5	76	3808	50.309904	0.996877	42.734193	0.999713	0.899857	0.676967	6	0	0.900000	96	3284	53.151753	0.998443	0.999841	45.670173	0.739200	0.896414	825	35.647633	0.954346	0.992018	26.960173	0.655846	0.912865	-7.309035	0.040512	-16.407973	-0.093742	True	0.581048	0.743339	0.811165	42.995670	0.999778	1_14
1_15.png	0.793914	0.776941	0.874470	0.793197	0.974301	0.994159	29.591653	0.998765	35.531137	1.000000	0.716346	1.414069	33.237181	0.898536	3993	4	0	0	8	1.968872	0.000000	257	253	361.190909	8.129493	0.025408	-0.021039	-14.022252	-0.005664	-0.000999	0.096866	2596.489191	0.891627	4	0	4	0	8	1.968872	0.000000	5	0	257	253	249	1.427632	8.129493	361.190909	0.025408	11301	2.830203	20.341848	285x285	81225	sparse	Otsu	409	5	79	3967	51.092877	0.997544	43.413078	0.999763	0.903134	0.639405	7	0	0.800000	97	3832	54.372353	0.998691	0.999881	47.134837	0.632121	0.900879	821	35.012210	0.945456	0.989662	26.221983	0.630012	0.903674	-7.881941	0.076941	-17.855696	-0.099008	True	0.589344	0.833373	0.814954	43.613905	0.999823	1_15
1_16.png	0.797166	0.779288	0.875955	0.796705	0.972713	0.993973	30.305689	0.998786	35.737182	1.000000	0.727468	1.190293	33.534633	0.901332	4007	4	1	3	9	1.976096	0.250000	251	248	371.676190	8.050595	0.027413	-0.015541	-13.533167	-0.005845	-0.000980	0.097669	2775.930643	0.890405	4	1	3	3	9	1.976096	0.250000	5	0	251	248	239	1.498694	8.050595	371.676190	0.027413	11201	2.795358	20.270776	285x285	81225	sparse	Otsu	403	5	80	3995	51.310712	0.996936	43.665672	0.999766	0.902331	0.614913	7	0	0.800000	98	3934	54.981852	0.998828	0.999901	47.966577	0.610487	0.897696	828	35.903135	0.956008	0.991183	27.298032	0.614913	0.907276	-7.928490	0.112555	-17.776079	-0.095604	True	0.584179	0.695344	0.812707	43.838856	0.999818	1_16
1_17.png	0.797880	0.770801	0.870568	0.787991	0.972477	0.994090	30.293358	0.998763	36.030862	1.000000	0.725279	1.284532	34.326075	0.905380	3863	4	3	6	9	1.991632	0.750000	239	238	369.918831	8.034771	0.039087	-0.008290	-13.652141	-0.005728	-0.000995	0.122216	2664.332867	0.878219	4	3	1	6	9	1.991632	0.750000	5	0	239	238	224	1.554281	8.034771	369.918831	0.039087	11038	2.857365	21.026404	285x285	81225	sparse	Otsu	391	5	79	3820	51.388688	0.997495	43.674105	0.999757	0.877784	0.674806	6	0	0.900000	97	3678	54.540050	0.998683	0.999877	47.436836	0.676967	0.886036	806	35.940475	0.959903	0.991604	27.201241	0.648894	0.885690	-7.643243	0.050473	-17.062613	-0.092115	True	0.587286	0.754387	0.806171	43.945498	0.999818	1_17
1_18.png	0.773357	0.783504	0.878612	0.801598	0.971997	0.994033	30.577040	0.998788	36.103103	1.000000	0.725279	1.047510	34.466800	0.902615	3716	4	1	4	10	1.974790	0.250000	238	235	369.190909	8.100381	0.041402	-0.014957	-13.326994	-0.005776	-0.000958	0.134905	2435.478449	0.856754	4	1	3	4	10	1.974790	0.250000	5	0	238	235	224	1.571025	8.100381	369.190909	0.041402	10772	2.898816	21.858181	285x285	81225	sparse	Otsu	360	5	78	3710	51.485651	0.997620	43.694510	0.999746	0.865095	0.512165	9	0	0.600000	97	3552	54.533272	0.998734	0.999872	47.181555	0.496749	0.865412	3796	53.767498	0.997605	0.999851	46.769334	0.459899	0.867371	-7.591407	0.213114	-17.018851	-0.095006	True	0.587286	0.615188	0.788314	43.904035	0.999809	1_18
