filename	gt_iou	seg_iou	seg_f1	seg_precision	seg_recall	gt_fg_ssim	gt_fg_psnr	ng_fg_ssim	ng_fg_psnr	ng_iou	ng_topo_q	topo_preservation	ng_psnr	ng_ssim	ng_bytes	graph_n_components	graph_n_cycles	graph_n_junctions	graph_n_endpoints	graph_mean_degree	graph_complexity	n_nodes	n_edges	total_edge_length	mean_width_px	mean_curvature	delta_gt_iou	delta_gt_fg_psnr	delta_gt_fg_ssim	delta_fg_ssim	delta_iou	total_time_ms	ng_recon_iou	ng_n_components	ng_n_cycles	ng_euler_characteristic	ng_n_junctions	ng_n_endpoints	ng_mean_degree	ng_graph_complexity	ng_seg_beta_0	ng_seg_beta_1	graph_n_nodes	graph_n_edges	graph_n_sampled	graph_mean_edge_length	graph_mean_width	graph_total_edge_length	graph_mean_curvature	png_bytes	ng_vs_png	ng_vs_raw	image_shape	image_pixels	image_type	segmenter	n_points	n_structures	webp_quality	webp_bytes	webp_psnr	webp_ssim	webp_fg_ssim	webp_fg_psnr	webp_topo_q	webp_iou	gt_available	gt_topology_q	recon_topology_q	stem	jpeg_quality	jpeg_bytes	jpeg_psnr	jpeg_ssim	jpeg_fg_psnr	jpeg_fg_ssim	jpeg_iou	jpeg_topo_q	jpeg_beta_0	jpeg_beta_1	jpeg_betti_preservation	jp2_bytes	jp2_psnr	jp2_ssim	jp2_fg_ssim	jp2_fg_psnr	jp2_topo_q	jp2_iou	delta_fg_psnr	delta_topo_q	delta_psnr	delta_ssim	jpeg_gt_iou	jpeg_gt_fg_psnr	jpeg_gt_fg_ssim
M1_001_y0x0.png	0.244966	0.004227	0.008419	0.117647	0.004366	0.957352	18.634440	0.999893	28.384218	1.000000	0.193459	1.184749	20.664751	0.600436	1170	3	4	7	3	2.090909	1.333333	22	23	38.384776	2.562188	0.097033						2583.626747	0.009103	3	4	-1	7	3	2.090909	1.333333	4	1	22	23	12	1.668903	2.562188	38.384776	0.097033	35816	30.611966	56.013675	256x256	65536	sparse	Frangi	144	4	1	1130	30.649809	0.857466	0.999666	22.285261	0.108977	0.058645	True	0.688003	0.815111	M1_001_y0x0																									
M1_001_y0x256.png	0.028807	0.058623	0.110753	0.105774	0.116225	0.984880	21.619086	0.998864	31.035662	1.000000	0.182756	0.177777	23.861182	0.707277	4083	22	6	13	44	1.802469	0.272727	162	146	299.495153	4.306739	0.105312	-0.020626	-13.714802	-0.013274	-0.000206	0.645792	1758.429766	0.391057	22	6	16	13	44	1.802469	0.272727	33	0	162	146	105	2.051337	4.306739	299.495153	0.105312	37087	9.083272	16.050943	256x256	65536	sparse	Otsu	332	33	66	4066	38.156485	0.950654	0.999307	33.219010	0.074059	0.347211	True	0.437662	0.077806	M1_001_y0x256	28	4055	36.427998	0.932327	31.352416	0.999071	0.354208	0.086852	70	1	0.000000	541	23.785970	0.662606	0.981137	16.882851	0.175593	0.388444	-0.316754	0.095905	-12.566815	-0.225050	0.049433	35.333887	0.998154
M1_001_y0x512.png	0.137886	0.056586	0.107112	0.057062	0.871667	0.995937	21.760269	0.986982	34.834125	1.000000	0.767764	0.627013	31.807570	0.913143	13150	16	175	327	86	2.239638	10.937500	1327	1486	3110.310986	3.614151	0.084731	0.049154	-23.896941	-0.003986	-0.011625	0.498728	8115.273237	0.234143	16	175	-159	327	86	2.239638	10.937500	36	22	1327	1486	914	2.093076	3.614151	3110.310986	0.084731	29783	2.264867	4.983726	256x256	65536	sparse	Learned	1949	36	98	11876	48.886294	0.991171	0.998912	47.768682	0.333640	0.487387	True	0.299216	0.187612	M1_001_y0x512	95	12887	48.159793	0.991060	46.159401	0.998607	0.501272	0.343783	95	32	0.000000	245	22.989600	0.533716	0.891966	19.705985	0.997342	0.318393	-11.325276	0.423981	-16.352223	-0.077917	0.088732	45.657209	0.999924
M1_001_y256x0.png	0.252974	0.011606	0.022945	0.272358	0.011977	0.967573	16.706141	0.999921	26.182972	1.000000	0.197481	1.332064	21.527380	0.723130	1047	3	0	0	4	1.760000	0.000000	25	22	35.798990	2.934699	0.059344						724.821091	0.011570	3	0	3	0	4	1.760000	0.000000	3	0	25	22	21	1.627227	2.934699	35.798990	0.059344	32062	30.622732	62.594078	256x256	65536	sparse	Frangi	145	3	3	1000	32.728390	0.890171	0.999904	24.263639	0.217651	0.056796	True	0.708291	0.943490	M1_001_y256x0																									
M1_001_y256x512.png	0.418813	0.347729	0.516022	0.405647	0.708913	0.988086	30.067031	0.990996	34.388008	1.000000	0.665969	0.489190	28.897183	0.772469	8089	16	54	105	42	2.107345	3.375000	708	746	1390.555483	6.717138	0.064820	0.049078	-10.202820	-0.009634	-0.005873	0.450704	4067.095757	0.555222	16	54	-38	105	42	2.107345	3.375000	23	4	708	746	561	1.864015	6.717138	1390.555483	0.064820	36877	4.558907	8.101867	256x256	65536	sparse	Otsu	842	23	89	7518	42.189737	0.972523	0.996819	40.483940	0.355373	0.544020	True	0.891632	0.436178	M1_001_y256x512	80	7846	42.083085	0.972661	40.069308	0.996868	0.549296	0.340928	117	34	0.000000	279	23.198103	0.607376	0.896459	19.186556	0.999746	0.326803	-5.681300	0.325041	-13.185903	-0.200192	0.369735	40.269851	0.997720
M1_001_y256x768.png	0.476838	0.377363	0.547950	0.450096	0.700173	0.990956	28.209306	0.992652	33.776196	1.000000	0.818310	0.608798	30.609499	0.851687	7501	8	23	57	33	2.049342	2.875000	608	623	1055.193001	7.227778	0.044897	-0.021486	-12.695216	-0.007796	-0.005265	0.400964	6236.190796	0.594001	8	23	-15	57	33	2.049342	2.875000	11	0	608	623	518	1.693729	7.227778	1055.193001	0.044897	32108	4.280496	8.736968	256x256	65536	sparse	Otsu	882	11	92	6730	44.853474	0.982226	0.998306	41.940732	0.586770	0.598229	True	0.967752	0.589166	M1_001_y256x768	87	7468	44.172235	0.979406	40.382435	0.997917	0.599036	0.641342	26	24	0.000000	272	22.754851	0.546652	0.897453	17.310971	0.999823	0.538155	-6.606239	0.176969	-13.562736	-0.127719	0.498324	40.904521	0.998753
M1_001_y512x512.png	0.057150	0.145628	0.254232	0.271543	0.238996	0.984287	26.667070	0.998160	31.722907	1.000000	0.271578	0.107206	28.775028	0.717966	4860	25	9	17	50	1.892617	0.360000	298	282	497.261977	4.612864	0.082506	-0.016716	-10.459237	-0.013505	-0.000944	0.751179	2033.202171	0.232603	25	9	16	17	50	1.892617	0.360000	32	0	298	282	231	1.763340	4.612864	497.261977	0.082506	37273	7.669342	13.484774	256x256	65536	sparse	Meijering	430	32	79	4646	39.632398	0.953658	0.999262	36.110212	0.086364	0.249606	True	0.717155	0.076884	M1_001_y512x512	47	4807	38.884891	0.950224	34.297909	0.999104	0.248821	0.081412	61	1	0.046875	410	24.569490	0.649133	0.970628	17.289504	0.309841	0.391419	-2.575002	0.190166	-10.109863	-0.232259	0.073866	37.126308	0.997791
M1_002_y256x512.png	0.166863	0.008879	0.017601	0.084095	0.009829	0.981548	21.305956	0.999787	26.739228	1.000000	0.222755	1.748086	21.668183	0.706847	1376	4	2	4	6	1.900000	0.500000	40	38	59.384776	3.372693	0.041065	0.100046	-3.332537	-0.004490	0.001004	0.873603	862.735987	0.019423	4	2	2	4	6	1.900000	0.500000	5	0	40	38	30	1.562757	3.372693	59.384776	0.041065	30535	22.191134	47.627907	256x256	65536	sparse	Frangi	162	5	13	1352	34.660900	0.918913	0.999788	26.362381	0.155437	0.145299	True	0.572050	0.999993	M1_002_y256x512	3	1366	27.072349	0.776278	19.657378	0.998783	0.126397	0.235956	46	5	0.000000								7.081850	-0.013201	-5.404166	-0.069431	0.066817	24.638493	0.986038
M1_002_y256x768.png	0.285625	0.000286	0.000572	0.007246	0.000298	0.963336	23.077960	0.999905	27.268071	1.000000	0.202814	1.283412	19.461614	0.610006	1388	3	0	0	6	1.785714	0.000000	28	25	34.313708	4.588274	0.039039	0.258830	-1.535032	0.001022	0.000479	0.911032	785.893440	0.014217	3	0	3	0	6	1.785714	0.000000	3	0	28	25	22	1.372548	4.588274	34.313708	0.039039	34434	24.808357	47.216138	256x256	65536	dense	Frangi	228	3	4	1370	31.794749	0.882518	0.999856	24.107068	0.117164	0.111517	True	0.776423	0.996471	M1_002_y256x768	2	1383	25.018069	0.672876	18.782832	0.999427	0.088968	0.201621	58	3	0.000000								8.485239	0.001192	-5.556454	-0.062871	0.026795	24.612992	0.962314
M1_002_y768x256.png	0.193516	0.081912	0.151422	0.082626	0.904580	0.999447	34.336859	0.993011	35.490822	1.000000	0.833928	0.358632	31.966042	0.889697	11299	15	130	258	84	2.171898	8.666667	1338	1453	3110.866316	3.118123	0.087971	-0.013705	-10.330216	-0.000504	-0.006008	0.754786	3050.769567	0.257144	15	130	-115	258	84	2.171898	8.666667	30	9	1338	1453	996	2.140995	3.118123	3110.866316	0.087971	31302	2.770334	5.800159	256x256	65536	sparse	Learned	1534	30	97	11292	48.406640	0.991395	0.999181	46.890637	0.172710	0.268452	True	0.614032	0.220211	M1_002_y768x256	93	10915	47.272092	0.990579	45.005332	0.999019	0.245214	0.167047	72	4	0.022222	244	20.971054	0.467057	0.883664	16.568107	0.999999	0.328343	-9.514510	0.666881	-15.306051	-0.100881	0.207221	44.667075	0.999951
