filename	gt_iou	seg_iou	seg_f1	seg_precision	seg_recall	gt_fg_ssim	gt_fg_psnr	ng_fg_ssim	ng_fg_psnr	ng_iou	ng_topo_q	topo_preservation	ng_psnr	ng_ssim	ng_bytes	graph_n_components	graph_n_cycles	graph_n_junctions	graph_n_endpoints	graph_mean_degree	graph_complexity	n_nodes	n_edges	total_edge_length	mean_width_px	mean_curvature	delta_gt_iou	delta_gt_fg_psnr	delta_gt_fg_ssim	delta_fg_ssim	delta_iou	total_time_ms	ng_recon_iou	ng_n_components	ng_n_cycles	ng_euler_characteristic	ng_n_junctions	ng_n_endpoints	ng_mean_degree	ng_graph_complexity	ng_seg_beta_0	ng_seg_beta_1	graph_n_nodes	graph_n_edges	graph_n_sampled	graph_mean_edge_length	graph_mean_width	graph_total_edge_length	graph_mean_curvature	png_bytes	ng_vs_png	ng_vs_raw	image_shape	image_pixels	image_type	segmenter	n_points	n_structures	jpeg_quality	jpeg_bytes	jpeg_psnr	jpeg_ssim	jpeg_fg_psnr	jpeg_fg_ssim	jpeg_iou	jpeg_topo_q	jpeg_beta_0	jpeg_beta_1	jpeg_betti_preservation	webp_quality	webp_bytes	webp_psnr	webp_ssim	webp_fg_ssim	webp_fg_psnr	webp_topo_q	webp_iou	jp2_bytes	jp2_psnr	jp2_ssim	jp2_fg_ssim	jp2_fg_psnr	jp2_topo_q	jp2_iou	delta_fg_psnr	delta_topo_q	delta_psnr	delta_ssim	gt_available	gt_topology_q	recon_topology_q	jpeg_gt_iou	jpeg_gt_fg_psnr	jpeg_gt_fg_ssim	stem
M1_001.png	0.077947	0.085115	0.156877	0.088001	0.721823	0.997676	25.636071	0.994268	35.516441	1.000000	1.000000	1.769898	27.426887	0.823085	148155	17	3466	6564	829	2.354598	203.882353	19453	22902	57346.435705	3.463169	0.112302	-0.008155	-16.005481	-0.002221	-0.004391	0.579797	150017.083645	0.421669	17	3466	-3449	6564	829	2.354598	203.882353	18	499	19453	22902	12060	2.503992	3.463169	57346.435705	0.112302	612767	4.135986	9.719550	1200x1200	1440000	sparse	Learned	19573	18	89	146381	45.456335	0.983393	42.794279	0.998659	0.420203	0.711090	610	644	0.000000	94	145310	46.355354	0.986021	0.998863	44.007638	0.666825	0.423328	5712	31.187232	0.802480	0.978718	28.095290	0.862916	0.365670	-7.277837	0.288910	-18.029448	-0.160308	True	0.426010	0.753994	0.086103	41.641552	0.999897	M1_001
M1_002.png	0.126066	0.137285	0.241426	0.142904	0.777357	0.998082	29.257553	0.995998	35.397597	1.000000	1.000000	1.312152	28.807646	0.871525	103960	19	2169	4196	588	2.328973	114.157895	13071	15221	39018.678847	3.378764	0.116498	-0.005911	-12.356954	-0.001766	-0.003047	0.547852	111621.314526	0.463320	19	2169	-2150	4196	588	2.328973	114.157895	26	313	13071	15221	8287	2.563477	3.378764	39018.678847	0.116498	531728	5.114736	13.851481	1200x1200	1440000	sparse	Learned	13191	26	87	99447	46.508988	0.981205	42.391371	0.999045	0.452148	0.612045	571	445	0.000000	94	99856	47.412766	0.984743	0.999193	43.934398	0.614382	0.459474	8647	35.648939	0.901646	0.990423	30.736089	0.717553	0.412496	-6.993775	0.387955	-17.701342	-0.109681	True	0.521479	0.684260	0.131976	41.614507	0.999848	M1_002
M1_003.png	0.063252	0.102494	0.185931	0.103758	0.893767	0.998723	25.926723	0.995748	35.085408	1.000000	1.000000	2.003408	28.935391	0.878015	105513	10	2428	4586	530	2.364651	242.800000	13262	15680	40001.648796	3.590325	0.115412	-0.013192	-15.317962	-0.001203	-0.003269	0.518647	116175.110340	0.440769	10	2428	-2418	4586	530	2.364651	242.800000	11	373	13262	15680	8146	2.551126	3.590325	40001.648796	0.115412	492678	4.669358	13.647607	1200x1200	1440000	sparse	Learned	13382	11	88	104746	46.653963	0.984265	42.436492	0.999017	0.481353	0.814637	397	682	0.000000	94	99596	47.566771	0.987218	0.999214	43.783469	0.756121	0.480861	8628	36.278903	0.914830	0.991135	31.439103	0.898701	0.448012	-7.351085	0.185363	-17.718572	-0.106251	True	0.473284	0.948181	0.076444	41.244685	0.999926	M1_003
M1_004.png	0.067513	0.077673	0.144150	0.079151	0.806196	0.998879	22.908197	0.996488	33.729433	1.000000	1.000000	2.031524	29.463748	0.856724	115911	7	2501	4766	566	2.363451	357.285714	13724	16218	41294.180855	3.415541	0.117329	-0.004533	-15.898580	-0.001074	-0.002569	0.470992	111361.407042	0.517392	7	2501	-2494	4766	566	2.363451	357.285714	8	373	13724	16218	8392	2.546194	3.415541	41294.180855	0.117329	593357	5.119074	12.423325	1200x1200	1440000	sparse	Learned	13844	8	87	112298	44.669013	0.980184	40.422146	0.999057	0.529008	0.790594	391	599	0.000000	93	113580	46.065762	0.983959	0.999340	42.635858	0.716089	0.528072	8626	35.186996	0.871454	0.992461	30.351739	0.887716	0.498487	-6.692713	0.209406	-15.205265	-0.123460	True	0.419258	0.851732	0.072046	38.806777	0.999953	M1_004
M1_005.png	0.053545	0.088026	0.161808	0.088438	0.949771	0.999500	32.285310	0.990262	34.414186	1.000000	1.000000	2.162681	28.453512	0.806587	92885	15	792	1614	313	2.201478	52.800000	7713	8490	21469.175282	10.063930	0.093141	0.002337	-4.935866	-0.000339	-0.004491	0.461537	249648.501396	0.559485	15	792	-777	1614	313	2.201478	52.800000	18	96	7713	8490	5786	2.528760	10.063930	21469.175282	0.093141	703734	7.576401	15.503041	1200x1200	1440000	sparse	Otsu	7833	18	73	90733	41.744603	0.968309	37.978355	0.994753	0.538463	0.955604	289	1265	0.000000	88	92654	42.355524	0.970214	0.995727	39.114192	0.939045	0.536387	10015	33.668960	0.856832	0.970649	29.226385	0.999629	0.532469	-3.564169	0.044396	-13.291090	-0.161722	True	0.462389	1.000000	0.051208	37.221176	0.999839	M1_005
M1_006.png	0.133289	0.119028	0.212734	0.123977	0.748855	0.997581	27.117691	0.995591	35.186399	1.000000	1.000000	1.016290	30.754618	0.871018	110887	11	2339	4479	589	2.334699	212.636364	13911	16239	41445.818366	3.441881	0.117753	-0.001312	-13.531074	-0.002217	-0.003250	0.541200	125858.830452	0.470187	11	2339	-2328	4479	589	2.334699	212.636364	13	337	13911	16239	8843	2.552240	3.441881	41445.818366	0.117753	592188	5.340464	12.986193	1200x1200	1440000	sparse	Learned	14031	13	87	106291	45.689048	0.980396	41.825818	0.998841	0.458800	0.529487	636	364	0.000000	94	110878	46.849302	0.984336	0.999161	43.808362	0.490831	0.456003	8561	35.997685	0.883685	0.990890	31.529969	0.592915	0.426625	-6.639418	0.470513	-14.934430	-0.109378	True	0.576536	0.585928	0.134601	40.648765	0.999798	M1_006
M1_007.png	0.034731	0.045210	0.086508	0.045405	0.913034	0.999648	23.887739	0.996945	33.035741	1.000000	1.000000	2.536252	28.557463	0.869952	105826	3	2403	4464	460	2.382806	801.000000	12539	14939	36650.708709	3.427535	0.106003	-0.002320	-14.471092	-0.000333	-0.002157	0.494094	116619.949818	0.498866	3	2403	-2400	4464	460	2.382806	801.000000	3	399	12539	14939	7615	2.453358	3.427535	36650.708709	0.106003	583599	5.514703	13.607242	1200x1200	1440000	sparse	Learned	12659	3	86	104228	44.371161	0.978453	39.570375	0.999102	0.505906	0.741441	285	299	0.000000	93	103468	46.140951	0.982022	0.999463	42.558279	0.669715	0.506331	8357	35.507449	0.873234	0.994081	29.979232	0.829110	0.485356	-6.534634	0.258559	-15.813699	-0.108500	True	0.325253	0.824924	0.037051	38.358831	0.999981	M1_007
M1_008.png	0.027698	0.042906	0.082281	0.043214	0.857464	0.998760	21.023894	0.995837	33.964413	1.000000	1.000000	3.198610	28.393612	0.825931	169384	10	3199	5948	668	2.267444	319.900000	23848	27037	51782.168835	3.102509	0.098075	-0.000966	-18.534305	-0.001215	-0.003105	0.551625	148150.135040	0.451601	10	3199	-3189	5948	668	2.267444	319.900000	14	502	23848	27037	17232	1.915234	3.102509	51782.168835	0.098075	699933	4.132226	8.501393	1200x1200	1440000	dense	Learned	24048	14	89	160826	43.777514	0.977647	40.796719	0.998943	0.448375	0.675443	767	1116	0.000000	93	157852	45.031775	0.980968	0.999252	42.761392	0.590528	0.447600	5520	31.433809	0.813968	0.985999	27.345865	0.982168	0.400476	-6.832306	0.324557	-15.383901	-0.151715	True	0.282911	0.904921	0.028664	39.558199	0.999975	M1_008
M1_009.png	0.059616	0.037382	0.072070	0.107520	0.054200	0.996097	25.585336	0.999781	31.568500	1.000000	0.853167	2.387634	23.683832	0.766012	11018	12	63	123	44	2.141667	5.250000	720	771	1413.782441	5.511670	0.071399						70719.066620	0.029589	12	63	-51	123	44	2.141667	5.250000	13	1	720	771	553	1.833700	5.511670	1413.782441	0.071399	527887	47.911327	130.695226	1200x1200	1440000	sparse	Meijering	840	13												1	10890	34.131943	0.857880	0.999168	24.185693	0.751823	0.048689												True	0.418825	1.000000				M1_009
M1_010.png	0.099532	0.122965	0.219000	0.125615	0.853553	0.998656	27.536060	0.996299	33.414189	1.000000	1.000000	1.500782	29.177382	0.876786	123842	1	3394	6056	461	2.466167	3394.000000	14557	17950	44478.466218	3.396667	0.108343	-0.007402	-12.179134	-0.001243	-0.002845	0.465661	120645.559072	0.512183	1	3394	-3393	6056	461	2.466167	3394.000000	1	620	14557	17950	8040	2.477909	3.396667	44478.466218	0.108343	597838	4.827425	11.627719	1200x1200	1440000	sparse	Learned	14677	1	88	121075	45.194846	0.983366	40.687352	0.999144	0.534339	0.920508	215	560	0.000000	94	114050	46.740411	0.985526	0.999443	43.268146	0.873540	0.533645	7193	33.280238	0.858657	0.988292	27.743202	0.960735	0.503647	-7.273163	0.079492	-16.017464	-0.106580	True	0.608137	0.912681	0.106934	39.715194	0.999899	M1_010
