filename	gt_iou	seg_iou	seg_f1	seg_precision	seg_recall	gt_fg_ssim	gt_fg_psnr	ng_fg_ssim	ng_fg_psnr	ng_iou	ng_topo_q	topo_preservation	ng_psnr	ng_ssim	ng_bytes	graph_n_components	graph_n_cycles	graph_n_junctions	graph_n_endpoints	graph_mean_degree	graph_complexity	n_nodes	n_edges	total_edge_length	mean_width_px	mean_curvature	delta_gt_iou	delta_gt_fg_psnr	delta_gt_fg_ssim	delta_fg_ssim	delta_iou	total_time_ms	ng_recon_iou	ng_n_components	ng_n_cycles	ng_euler_characteristic	ng_n_junctions	ng_n_endpoints	ng_mean_degree	ng_graph_complexity	ng_seg_beta_0	ng_seg_beta_1	graph_n_nodes	graph_n_edges	graph_n_sampled	graph_mean_edge_length	graph_mean_width	graph_total_edge_length	graph_mean_curvature	png_bytes	ng_vs_png	ng_vs_raw	image_shape	image_pixels	image_type	segmenter	n_points	n_structures	gt_available	gt_topology_q	recon_topology_q	stem	jpeg_quality	jpeg_bytes	jpeg_psnr	jpeg_ssim	jpeg_fg_psnr	jpeg_fg_ssim	jpeg_iou	jpeg_topo_q	jpeg_beta_0	jpeg_beta_1	jpeg_betti_preservation	webp_quality	webp_bytes	webp_psnr	webp_ssim	webp_fg_ssim	webp_fg_psnr	webp_topo_q	webp_iou	jp2_bytes	jp2_psnr	jp2_ssim	jp2_fg_ssim	jp2_fg_psnr	jp2_topo_q	jp2_iou	delta_fg_psnr	delta_topo_q	delta_psnr	delta_ssim	jpeg_gt_iou	jpeg_gt_fg_psnr	jpeg_gt_fg_ssim
M1_001_y0x0.png	0.028245	0.000000	0.000000	0.000000	0.000000	0.996291	21.691342	0.999992	23.730870	1.000000	0.164730	5.936079	22.264640	0.658537	505	1	0	0	2	1.600000	0.000000	5	4	9.242641	1.860113	0.102575						3368.705273	0.001519	1	0	1	0	2	1.600000	0.000000	1	0	5	4	3	2.310660	1.860113	9.242641	0.102575	34720	68.752475	129.774257	256x256	65536	sparse	Frangi	36	1	True	0.160322	0.951684	M1_001_y0x0																																	
M1_001_y0x256.png	0.000417	0.015867	0.031239	0.018323	0.105853	0.998741	24.792293	0.998839	30.715210	1.000000	0.172122	0.234863	27.976848	0.721484	4165	23	0	0	50	1.741573	0.000000	178	155	322.569318	4.155499	0.088264	-0.001901	-12.514368	-0.001196	-0.000460	0.653403	1766.780376	0.344040	23	0	23	0	50	1.741573	0.000000	36	0	178	155	128	2.081092	4.155499	322.569318	0.088264	37074	8.901321	15.734934	256x256	65536	sparse	Meijering	348	36	True	0.310646	0.072959	M1_001_y0x256	34	4088	37.475517	0.939228	31.648056	0.999298	0.346597	0.072257	44	0	0.888889	76	4110	39.085729	0.951714	0.999579	34.490750	0.073011	0.339001	451	23.533524	0.653206	0.977720	15.221765	0.293352	0.399977	-0.932845	0.099865	-9.498669	-0.217744	0.002318	37.306661	0.999937
M1_001_y256x0.png	0.043022	0.030093	0.058428	0.030554	0.666189	0.999482	26.276182	0.993826	34.629241	1.000000	0.785619	1.556901	29.550553	0.886474	10900	18	125	249	69	2.193315	6.944444	1107	1214	2570.733091	3.321132	0.090736	0.003971	-17.319949	-0.000499	-0.004959	0.611516	5518.203497	0.289154	18	125	-107	249	69	2.193315	6.944444	29	13	1107	1214	789	2.117573	3.321132	2570.733091	0.090736	32742	3.003853	6.012477	256x256	65536	sparse	Learned	1601	29	True	0.221199	0.344385	M1_001_y256x0	92	9812	45.492622	0.985209	43.357119	0.998785	0.388484	0.536581	57	53	0.000000	96	10478	47.255917	0.988249	0.999243	45.953604	0.418896	0.377882	247	20.809193	0.430987	0.922921	16.799566	0.999969	0.296168	-8.727877	0.249038	-15.942069	-0.098735	0.039051	43.596131	0.999981
M1_001_y256x256.png	0.132279	0.115570	0.207195	0.117660	0.866824	0.998464	30.544843	0.986607	35.027139	1.000000	0.650600	1.444576	29.193358	0.787975	10723	21	44	100	60	2.054502	2.095238	844	867	1564.621001	7.231257	0.050218	0.002605	-11.013714	-0.001448	-0.009293	0.449426	14331.301451	0.569845	21	44	-23	100	60	2.054502	2.095238	26	3	844	867	684	1.804638	7.231257	1564.621001	0.050218	35686	3.327987	6.111722	256x256	65536	sparse	Otsu	1448	26	True	0.354351	0.511887	M1_001_y256x256	89	10078	43.711313	0.978289	41.867979	0.995900	0.550574	0.402017	62	38	0.000000	92	9582	43.929878	0.978949	0.996601	42.709811	0.401615	0.551072	245	22.774750	0.627003	0.893715	19.372938	0.984077	0.458963	-6.840840	0.248583	-14.517955	-0.190314	0.129673	41.558557	0.999913
M1_001_y256x512.png	0.095101	0.108431	0.195648	0.108749	0.973756	0.998267	27.779150	0.983793	34.206410	1.000000	0.718303	2.181509	27.258914	0.777732	11504	18	76	144	62	2.123799	4.222222	937	995	1918.843088	7.559749	0.064940	0.028155	-12.747511	-0.001540	-0.011337	0.474149	12520.078421	0.626854	18	76	-58	144	62	2.123799	4.222222	26	7	937	995	731	1.928486	7.559749	1918.843088	0.064940	37260	3.238873	5.696801	256x256	65536	sparse	Otsu	1399	26	True	0.345412	0.753520	M1_001_y256x512	89	10755	42.639843	0.975369	41.247376	0.995130	0.525851	0.927109	33	169	0.000000	92	10632	43.327854	0.979216	0.996021	42.175861	0.860989	0.526860	244	23.022643	0.573258	0.856096	20.724533	0.999959	0.455568	-7.040966	-0.208806	-15.380929	-0.197638	0.066946	40.526661	0.999807
M1_001_y256x768.png	0.200606	0.184535	0.311573	0.185331	0.977234	0.998188	31.015116	0.986873	34.923503	1.000000	0.982461	1.107697	30.277046	0.846813	8140	3	47	101	32	2.112388	15.666667	783	827	1430.269393	8.715648	0.040202	-0.008244	-9.098979	-0.001484	-0.008526	0.355394	5449.285984	0.629753	3	47	-44	101	32	2.112388	15.666667	6	3	783	827	650	1.729467	8.715648	1430.269393	0.040202	33481	4.113145	8.051106	256x256	65536	sparse	Otsu	935	6	True	0.485898	0.538227	M1_001_y256x768	88	7901	43.637122	0.976440	40.707293	0.995399	0.644606	0.438232	48	19	0.000000	92	7306	44.272491	0.980202	0.996449	41.844369	0.400013	0.646675	271	24.125455	0.538854	0.870512	20.325983	0.999927	0.595766	-5.783790	0.544229	-13.360077	-0.129627	0.208850	40.114095	0.999672
M1_001_y512x256.png	0.137390	0.000000	0.000000	0.000000	0.000000	0.989080	22.333690	0.999957	27.216387	1.000000	0.153518	2.140944	22.426838	0.589301	1029	3	0	0	5	1.600000	0.000000	15	12	24.899495	2.549106	0.095849						626.057386	0.005590	3	0	3	0	5	1.600000	0.000000	3	0	15	12	10	2.074958	2.549106	24.899495	0.095849	37186	36.137998	63.689018	256x256	65536	sparse	Frangi	135	3	True	0.464292	0.994024	M1_001_y512x256												1	994	31.347578	0.833453	0.999925	22.855752	0.972631	0.006794														
M1_001_y512x512.png	0.046851	0.029975	0.058206	0.030037	0.936147	0.999630	32.804601	0.979593	34.493026	1.000000	0.836275	0.625133	27.245030	0.774920	13473	20	75	171	71	2.096831	3.750000	1136	1191	2411.538467	7.266753	0.067136	0.018458	-9.150935	-0.000323	-0.014689	0.396882	15153.291941	0.084999	20	75	-55	171	71	2.096831	3.750000	23	4	1136	1191	894	2.024801	7.266753	2411.538467	0.067136	38093	2.827358	4.864247	256x256	65536	sparse	Otsu	1736	23	True	0.259182	0.162023	M1_001_y512x512	91	13301	42.946122	0.977381	42.251795	0.994282	0.603118	0.752523	73	165	0.000000	93	13330	44.197505	0.983083	0.995738	43.669274	0.572919	0.596338	249	21.260770	0.561446	0.845989	19.233468	1.000000	0.495179	-7.758770	0.083752	-15.701092	-0.202462	0.028393	41.955536	0.999954
M1_001_y512x768.png	0.273951	0.173742	0.296048	0.183932	0.758228	0.996113	30.355957	0.989967	35.380695	1.000000	0.998089	0.814658	30.439423	0.845122	18494	10	305	556	76	2.228240	30.500000	2585	2880	4885.208936	3.295032	0.072203	-0.011763	-13.264643	-0.003597	-0.008448	0.660592	3236.518383	0.343738	10	305	-295	556	76	2.228240	30.500000	13	50	2585	2880	1953	1.696253	3.295032	4885.208936	0.072203	36387	1.967503	3.543636	256x256	65536	dense	Learned	2787	13	True	0.587973	0.478997	M1_001_y512x768	95	17769	45.384810	0.987079	44.505473	0.998415	0.339408	0.599006	42	44	0.000000	98	17354	47.963813	0.992496	0.999171	47.570208	0.581142	0.338503	248	22.571207	0.513439	0.891528	20.562847	0.944424	0.257610	-9.124778	0.399082	-14.945387	-0.141957	0.285714	43.620601	0.999711
M1_001_y768x256.png	0.208229	0.000000	0.000000	0.000000	0.000000	0.981680	22.853695	0.999977	25.685630	1.000000	0.130642	2.187616	24.236499	0.588178	609	1	0	0	2	1.333333	0.000000	3	2	6.828427	2.707702	0.460076						447.092056	0.002117	1	0	1	0	2	1.333333	0.000000	1	0	3	2	1	3.414214	2.707702	6.828427	0.460076	36326	59.648604	107.612479	256x256	65536	sparse	Frangi	65	1	True	0.454199	0.993612	M1_001_y768x256																																	
M1_001_y768x512.png	0.077135	0.000000	0.000000	0.000000	0.000000	0.986227	21.484284	0.999942	25.861223	1.000000	0.153518	2.455424	21.184690	0.539828	1164	3	2	4	4	1.882353	0.666667	17	16	23.899495	3.165926	0.060998						583.161831	0.008943	3	2	1	4	4	1.882353	0.666667	3	0	17	16	9	1.493718	3.165926	23.899495	0.060998	38174	32.795533	56.302405	256x256	65536	dense	Frangi	175	3	True	0.314182	0.771450	M1_001_y768x512												1	1150	30.942734	0.829880	0.999924	23.391541	0.630435	0.010582														
M1_002_y256x512.png	0.112556	0.014196	0.027994	0.072816	0.017328	0.988441	20.774653	0.999833	26.507917	1.000000	0.210219	2.204627	21.829056	0.718871	1311	4	0	0	4	1.809524	0.000000	42	38	51.798990	3.083027	0.035012	0.036276	-2.281780	-0.001661	0.000984	0.826653	840.143442	0.027275	4	0	4	0	4	1.809524	0.000000	5	0	42	38	38	1.363131	3.083027	51.798990	0.035012	31295	23.871091	49.989321	256x256	65536	sparse	Frangi	164	5	True	0.453243	0.999231	M1_002_y256x512	2	1294	26.606218	0.760867	17.876545	0.998849	0.173347	0.348406	24	8	0.000000	14	1292	35.172402	0.932658	0.999836	25.942951	0.206601	0.209919								8.631372	-0.138186	-4.777162	-0.041995	0.076280	23.056433	0.990102
M1_002_y256x768.png	0.238391	0.000160	0.000319	0.002347	0.000171	0.979687	22.632640	0.999912	27.155410	1.000000	0.273851	1.643040	19.639767	0.633305	1450	3	2	3	5	1.942857	0.666667	35	34	48.627417	4.111285	0.066978	0.189499	-1.666067	-0.001099	0.000313	0.909473	851.308584	0.019103	3	2	1	3	5	1.942857	0.666667	3	0	35	34	27	1.430218	4.111285	48.627417	0.066978	34557	23.832414	45.197241	256x256	65536	dense	Frangi	235	3	True	0.608627	0.999999	M1_002_y256x768	3	1418	26.021014	0.687755	19.756965	0.999598	0.090527	0.235802	56	1	0.000000	8	1438	33.073273	0.899011	0.999879	24.835393	0.132060	0.122128								7.398446	0.038049	-6.381247	-0.054451	0.048892	24.298707	0.980786
