nohup: ignoring input
  [GRAPH] 34 branches traced, 72/72 nodes assigned, 0 orphans, 84 edges, 4 components
  0/726
  [GRAPH] 29 branches traced, 180/180 nodes assigned, 0 orphans, 183 edges, 4 components
  [GRAPH] 26 branches traced, 178/178 nodes assigned, 0 orphans, 180 edges, 4 components
  [GRAPH] 7 branches traced, 119/119 nodes assigned, 0 orphans, 116 edges, 4 components
  [GRAPH] 12 branches traced, 133/133 nodes assigned, 0 orphans, 131 edges, 4 components
  [GRAPH] 6 branches traced, 178/178 nodes assigned, 0 orphans, 174 edges, 4 components
  [GRAPH] 20 branches traced, 142/142 nodes assigned, 0 orphans, 143 edges, 4 components
  [GRAPH] 16 branches traced, 160/160 nodes assigned, 0 orphans, 158 edges, 4 components
  [GRAPH] 19 branches traced, 186/186 nodes assigned, 0 orphans, 188 edges, 4 components
  [GRAPH] 10 branches traced, 187/187 nodes assigned, 0 orphans, 183 edges, 5 components
  [GRAPH] 4 branches traced, 123/123 nodes assigned, 0 orphans, 119 edges, 4 components
  [GRAPH] 8 branches traced, 168/168 nodes assigned, 0 orphans, 162 edges, 6 components
  [GRAPH] 26 branches traced, 176/176 nodes assigned, 0 orphans, 178 edges, 5 components
  [GRAPH] 16 branches traced, 155/155 nodes assigned, 0 orphans, 152 edges, 5 components
  [GRAPH] 11 branches traced, 155/155 nodes assigned, 0 orphans, 153 edges, 4 components
  [GRAPH] 14 branches traced, 131/131 nodes assigned, 0 orphans, 129 edges, 4 components
  [GRAPH] 5 branches traced, 166/166 nodes assigned, 0 orphans, 161 edges, 5 components
  [GRAPH] 5 branches traced, 160/160 nodes assigned, 0 orphans, 155 edges, 5 components
  [GRAPH] 33 branches traced, 173/173 nodes assigned, 0 orphans, 178 edges, 4 components
  [GRAPH] 32 branches traced, 186/186 nodes assigned, 0 orphans, 187 edges, 5 components
  [GRAPH] 24 branches traced, 176/176 nodes assigned, 0 orphans, 179 edges, 4 components
  [GRAPH] 6 branches traced, 183/183 nodes assigned, 0 orphans, 177 edges, 6 components
  [GRAPH] 20 branches traced, 186/186 nodes assigned, 0 orphans, 184 edges, 6 components
  [GRAPH] 9 branches traced, 105/105 nodes assigned, 0 orphans, 102 edges, 5 components
  [GRAPH] 4 branches traced, 108/108 nodes assigned, 0 orphans, 104 edges, 4 components
  [GRAPH] 21 branches traced, 169/169 nodes assigned, 0 orphans, 169 edges, 5 components
  [GRAPH] 8 branches traced, 156/156 nodes assigned, 0 orphans, 152 edges, 5 components
  [GRAPH] 21 branches traced, 188/188 nodes assigned, 0 orphans, 189 edges, 5 components
  [GRAPH] 14 branches traced, 161/161 nodes assigned, 0 orphans, 159 edges, 4 components
  [GRAPH] 4 branches traced, 90/90 nodes assigned, 0 orphans, 86 edges, 4 components
  [GRAPH] 21 branches traced, 173/173 nodes assigned, 0 orphans, 175 edges, 4 components
  [GRAPH] 4 branches traced, 170/170 nodes assigned, 0 orphans, 166 edges, 4 components
  [GRAPH] 19 branches traced, 188/188 nodes assigned, 0 orphans, 187 edges, 5 components
  [GRAPH] 4 branches traced, 134/134 nodes assigned, 0 orphans, 130 edges, 4 components
  [GRAPH] 8 branches traced, 107/107 nodes assigned, 0 orphans, 105 edges, 4 components
  [GRAPH] 4 branches traced, 149/149 nodes assigned, 0 orphans, 145 edges, 4 components
  [GRAPH] 5 branches traced, 170/170 nodes assigned, 0 orphans, 165 edges, 5 components
  [GRAPH] 16 branches traced, 162/162 nodes assigned, 0 orphans, 161 edges, 4 components
  [GRAPH] 18 branches traced, 144/144 nodes assigned, 0 orphans, 144 edges, 4 components
  [GRAPH] 7 branches traced, 171/171 nodes assigned, 0 orphans, 164 edges, 7 components
  [GRAPH] 8 branches traced, 155/155 nodes assigned, 0 orphans, 151 edges, 5 components
  [GRAPH] 2 branches traced, 28/28 nodes assigned, 0 orphans, 26 edges, 2 components
  [GRAPH] 15 branches traced, 129/129 nodes assigned, 0 orphans, 129 edges, 4 components
  [GRAPH] 6 branches traced, 142/142 nodes assigned, 0 orphans, 137 edges, 5 components
  [GRAPH] 31 branches traced, 199/199 nodes assigned, 0 orphans, 205 edges, 4 components
  [GRAPH] 16 branches traced, 166/166 nodes assigned, 0 orphans, 165 edges, 4 components
  [GRAPH] 15 branches traced, 173/173 nodes assigned, 0 orphans, 172 edges, 4 components
  [GRAPH] 11 branches traced, 189/189 nodes assigned, 0 orphans, 186 edges, 5 components
  [GRAPH] 30 branches traced, 192/192 nodes assigned, 0 orphans, 196 edges, 4 components
  [GRAPH] 10 branches traced, 165/165 nodes assigned, 0 orphans, 161 edges, 5 components
  [GRAPH] 16 branches traced, 121/121 nodes assigned, 0 orphans, 120 edges, 4 components
  [GRAPH] 29 branches traced, 160/160 nodes assigned, 0 orphans, 164 edges, 4 components
  [GRAPH] 27 branches traced, 216/216 nodes assigned, 0 orphans, 218 edges, 5 components
  [GRAPH] 23 branches traced, 152/152 nodes assigned, 0 orphans, 152 edges, 4 components
  [GRAPH] 19 branches traced, 148/148 nodes assigned, 0 orphans, 148 edges, 5 components
  [GRAPH] 28 branches traced, 189/189 nodes assigned, 0 orphans, 193 edges, 4 components
  [GRAPH] 31 branches traced, 185/185 nodes assigned, 0 orphans, 188 edges, 4 components
  [GRAPH] 4 branches traced, 120/120 nodes assigned, 0 orphans, 116 edges, 4 components
