filename,fg_psnr_with,fg_psnr_without,fg_ssim_with,fg_ssim_without,full_psnr_with,full_psnr_without,bytes_with,bytes_without
7249,27.469842809749586,12.526540851542476,0.9993238401046534,0.9822032514349595,29.423261249503142,13.570981869615037,1569,955
7250,28.504649932354347,13.72110422293175,0.9990615215029315,0.9690272170371684,31.332172870652208,15.124292290214989,2329,1530
7251,27.134131432728488,9.755405345573896,0.9994932544090264,0.9643278726918992,31.14341292503021,15.457293980170467,2476,1516
7252,27.697521765892755,11.644108518997282,0.9993934188100221,0.9762794952001912,30.807314650978952,13.874247056840083,1902,1197
7253,28.10001066037919,11.469575118307759,0.9995360966317943,0.9741154234746292,31.155322937500102,14.85762862669925,1841,1208
7254,27.70143236470099,11.276428606526462,0.9994082797990341,0.9678693311357925,31.22223652594027,15.045797806350912,2339,1473
7255,27.76754906289081,11.504593254607036,0.9994253306868001,0.9722532901297807,30.684097209420766,13.694616350478164,2076,1309
7256,28.983010128086313,13.794573692038162,0.9992138718667177,0.9712608582483332,31.605527675720296,15.718090840459135,2093,1392
7257,28.08002272682539,12.27793722267827,0.9993776057140846,0.9695132280111329,30.327108357979093,13.084780323361162,2278,1521
7258,27.217480067225857,9.699869209473045,0.9994495085663353,0.9613139240688761,30.060793468310916,12.70838651826323,2451,1529
7259,28.08980662921583,12.07543929411511,0.9991626301913636,0.9735644560656812,30.830637379730845,13.885802089014433,1883,1200
7260,27.414720156508807,11.66392386166693,0.9992681018422281,0.9647603472854267,31.34206405007118,15.07662020523679,2406,1572
7261,27.606145306968607,11.21632050215085,0.99934295304987,0.9674474313464764,30.481354194647153,13.515954287197884,2319,1517
7262,28.703521589576493,14.234002789309548,0.9989349219155765,0.9697389576981124,31.709248461059264,15.97523147947011,2320,1539
7263,27.665945783595088,10.74826157714497,0.9993127172986199,0.9698159962500364,31.538716260635205,15.604768768319918,2230,1363
7264,27.774187838263305,11.221780725320755,0.9993500148296661,0.9759315933773554,31.51414224272191,15.609605761453707,1927,1221
7265,28.02220543164148,12.330063801026093,0.9992292811844813,0.9679777904750081,30.563369331217846,13.563801222037764,2160,1403
7266,26.356066444306066,10.443134999939884,0.9991350765097171,0.9660921439086003,30.83534322719807,14.606980615109176,2445,1431
7267,28.516529102767176,13.626292447905499,0.9990539171555656,0.9707296455030711,31.413207604329788,15.496020409115266,2281,1506
7268,28.340870869925922,14.019302836824671,0.9979993496053012,0.9627909904276417,30.91700338474782,14.286933255671197,2620,1629
7269,28.106701151536875,10.95961888204797,0.9994785549006279,0.9660793805948923,30.39025718270117,13.209075686574518,2286,1471
7270,27.942268819663948,11.943232373601365,0.9990998934128499,0.9615043949849555,31.143177138626285,14.882935692396245,2436,1513
7272,28.788795378212555,13.43458780236422,0.998857653328365,0.9600492283361102,31.14744742542136,15.10478402447909,2436,1569
7273,28.703521070914917,14.52106519209466,0.9984629472605694,0.9735440307855282,30.331830886384775,12.869420915578889,1883,1157
7274,28.00537288658171,11.087956859119231,0.9995948297221631,0.9761750885961246,30.537963835023007,13.517282067018686,1687,1086
7275,27.785122120649945,11.507213771626352,0.999398472447084,0.9665212218762382,31.073765978852954,14.537969560081304,2263,1458
7276,27.82747006869492,11.611747367380005,0.999157049895013,0.9665019541804593,30.19932504661743,13.049100546033163,2243,1392
7277,28.384182796598402,12.47503968497747,0.9992968689020394,0.9664483689393212,30.53654909497537,13.562673936911384,2398,1580
7278,27.671883654952346,11.909873319698,0.9990008748353749,0.9668421860025356,31.617718689708553,15.849684837777957,2314,1451
7279,28.09908401557875,12.102804409276544,0.9995620300460785,0.9806234652240433,31.09022562985971,14.227731735038414,1545,1006
7280,28.42841222237341,13.263515947818508,0.9982362970935443,0.9643853062767622,30.25690183511841,12.985628457098372,2384,1506
7281,28.360495208259792,11.39968912566244,0.9995218939091771,0.9695207996527245,30.672262470308368,13.988768407578991,2153,1410
7283,28.63271194371702,13.67593918502979,0.9986772805703018,0.9610905436724879,31.612090095414285,15.90461922421268,2540,1629
7284,27.848252402142673,11.257229791456284,0.9993891492885617,0.9719654514103775,30.46578877958386,13.35675137051172,1930,1205
7285,27.855594089238096,12.009716377466313,0.9993563227356133,0.9769115180928645,30.197481849518482,12.653335404913538,1798,1120
7286,26.934020494737094,9.793848889350429,0.9995234058167964,0.9702705741643579,30.92261739543875,14.289262173061628,2192,1321
7287,27.2330916003,9.871566902883014,0.9994975739521872,0.9658519534636498,31.049909377053364,15.13002825657215,2315,1416
7288,28.47916289892764,12.534393165910737,0.9993708212248765,0.9699750010952299,30.623070268267213,13.57612087466694,2087,1403
7289,28.026855417472845,11.178204917567438,0.9995166900117812,0.9728755158724721,31.10713968882607,15.190044912988759,2018,1326
7290,28.62343044548397,12.188276695710398,0.9991844326765357,0.962326053275479,30.51509699605913,13.700657062809434,2329,1442
7291,27.51783895607897,10.400552537127531,0.9995019734997033,0.9672885129393688,30.011248057093663,12.587122859448625,2147,1359
7292,27.279654253828838,12.430017614765505,0.9996166203344864,0.9922094252315503,27.51485650282254,13.939081042070033,1007,677
7293,28.420578094376225,12.999868269426042,0.9991147653743498,0.9726201478160582,30.46650225206794,13.277571644511317,1967,1273
7294,27.244161406858307,10.408934003261145,0.9993466287560467,0.9676767047784073,30.309467768841735,13.187706201547273,2309,1320
7295,27.973974962959602,12.358040231221743,0.9991699679147785,0.967103833356437,31.41758041413812,15.290253452666825,2546,1644
7296,28.200349198209476,13.087895377820411,0.9990239732526105,0.9694200964041955,31.44494285940146,15.329885688801795,2330,1463
7297,28.770628113906405,13.478626479874434,0.9991829876511318,0.9691688673785064,31.349411126691102,15.140344183753472,2243,1476
7298,29.27386837431914,14.316465565060092,0.9987391702244395,0.9627099816907566,30.477071734417862,13.337974740801219,2309,1542
7299,27.53783194806497,11.814928826817912,0.998995415596412,0.9637012385914526,30.69568804607971,14.028759331383672,2656,1617
7300,27.543680499653448,11.253210309215243,0.9993197326533524,0.9675988448061951,31.50008155022458,15.440067908654436,2293,1457
7301,28.232465821152406,13.219553174722167,0.9993012246758431,0.9744824834825454,30.71017489506852,13.601784230299,1816,1212
7302,28.464996787550373,13.68392245955765,0.9988181609386403,0.9684387916767023,31.505205752044603,15.715158772414625,2311,1446
7303,28.599044144144862,13.415280646233064,0.9989510395396368,0.9616555855966272,30.812530441594262,14.087898531320144,2559,1703
7305,28.388691435402897,12.496366541128982,0.9992328138241565,0.9701246155821514,30.48559089088097,13.413714630036093,2116,1362
7306,28.521983051893223,13.6667730788865,0.9986494649209182,0.9718264927144848,30.690611119580705,13.768371237865063,2190,1405
7307,28.26932856832739,13.249399121594227,0.9990867638153658,0.9680153640069197,30.986512495005194,14.592767356471343,2517,1609
7308,28.31477808301541,13.249744581254097,0.9987290270283217,0.9633186100046284,31.139560887674442,15.288605530026146,2611,1583
7309,27.871978110409174,10.437431969564912,0.9995350871909017,0.9738528469015985,31.23431067203424,15.193020543200982,1821,1110
7310,28.423713236275056,13.205577759559022,0.9985662677287819,0.9596599292410474,30.45021216083546,13.600071639245943,2994,1931
7311,28.1934207171936,12.19019661933526,0.9993493845083624,0.9707892376042478,31.704655164919938,15.89595858350642,2157,1384
7312,28.034818620039424,11.89011025486208,0.9994730775789893,0.9721488434700285,31.641314387988942,15.48118625867579,2071,1364
7313,27.856240376556123,11.86494477407797,0.9992901955222012,0.9773458855257906,30.965655145749697,14.52656145718618,1819,1124
7314,28.277087559008006,12.091667308459433,0.9993140079761519,0.973890058126509,30.699067866911346,13.56960453754738,1905,1243
7315,27.970053962670058,12.071295268275204,0.9992856823118939,0.9702194442161746,31.186583826404352,14.724656384022252,2293,1497
7316,29.013963726974264,14.841718968139581,0.9984958546838205,0.9687138115819828,30.47924010096896,13.338721058825907,2214,1452
7317,27.70331778339328,12.240464583260845,0.999165975375832,0.9674005597191583,31.008989234560126,14.541225723203233,2327,1470
7318,28.479686626909853,12.783398232299394,0.9993364788066927,0.9681095829564419,31.035944981154067,14.572806926223985,2227,1513
7319,27.43891616285872,11.441449283183102,0.9992520048697362,0.9754697671629665,30.27919660465576,13.078806018743457,2185,1392
7320,29.068078541354684,13.946296667936844,0.9990851109880742,0.9764366965861186,31.00356614963573,14.101143326364024,1778,1162
7321,27.862063602741923,11.92581840722555,0.9990498353955956,0.9615961405421186,29.94248451575332,12.653046326125947,2546,1609
7322,27.86848565893797,11.757885391535467,0.9987469103373178,0.9618369491104328,30.221386644564543,12.947818957795725,2655,1612
7323,28.732563322669655,13.071828115407412,0.9993762736267761,0.9725630165588021,31.491381200220886,15.146601761204458,2024,1354
7324,28.083534112491687,12.09816589247578,0.9991988061610818,0.9642749113252643,30.303595020748794,13.232416603999127,2442,1593
7325,28.86573932025407,14.213637591102405,0.998708125769688,0.9708801965012627,31.270415882532827,14.8064853439793,2050,1333
7326,27.856760086894514,12.055157509682598,0.9990019142076201,0.9718898635461714,31.393363329564078,15.281935516923625,2033,1265
7327,27.44331451065961,9.615115143016471,0.9996601748075074,0.9759271163626436,30.221619527178774,13.002784978898436,1790,1143
7328,28.1838563406224,13.179152512029724,0.9986378022938978,0.966800314067868,30.33630786229926,13.13739972940522,2587,1690
7329,28.252980759800742,12.693764272601841,0.9991823595393636,0.9680683974141471,30.3664972229055,13.244657563707648,2207,1486
7330,27.085048857213113,10.523712169722025,0.9992417280888376,0.9655815116937776,30.80122615720745,14.27787859663589,2431,1533
7331,27.875446687700688,11.869992218381993,0.9992722303024106,0.9720260233335253,31.361621041028606,15.444172438853048,2222,1370
7332,27.995111639973473,12.770557497333726,0.9984331341461018,0.9650902501787308,30.95606601897961,14.569344369783028,2519,1532
7333,28.08186899284752,11.970044697751678,0.9990809392825614,0.9671262173486724,30.67863613199201,13.73006333728273,2255,1404
7334,29.089350130501472,14.565548390504455,0.9986010882960097,0.9730910417887563,30.770977161194082,13.789373465810797,2047,1358
7335,28.2761708792475,12.711494894644137,0.9992504996244875,0.9670752160064906,31.545303496402376,15.506962894735794,2189,1424
7336,28.004590406143777,10.89287256978827,0.9996472701998094,0.9759687426926085,30.42235000593724,13.064059046725223,1756,1158
7337,28.69950150049801,14.147907104082131,0.9990522430897716,0.9721078016328479,31.541630619194947,15.368208467501374,1965,1331
7339,27.891112020411395,10.33134079353081,0.9994989785070623,0.9678211066062385,31.127937800245608,14.977213220961652,2262,1386
7340,29.034775607679887,14.159737043936065,0.9991071094979402,0.9731900719665489,31.495160472229177,15.35978531039034,1929,1277
7341,28.84046011219402,13.462692192598674,0.999441597679456,0.9777040522521986,31.932094859439704,15.958659738668114,1695,1117
7342,28.55427428584447,12.964415166275893,0.9991699713538906,0.9663973496297504,31.44648032946881,15.639068534034005,2404,1583
7343,27.31242048223595,10.102206313269338,0.9994171696605242,0.9618812984697367,30.090420891772432,12.992357246875105,2568,1583
7344,28.348496728300066,11.96346468333626,0.9993624886220879,0.9651951052506391,31.16164498351312,15.03834627645687,2180,1467
7345,28.09904406485524,11.087691049898574,0.9996315388558481,0.9767600487576557,31.30220807051775,14.724775898020212,1752,1126
7346,28.540458744690312,12.869979647432515,0.9994004708683846,0.9713911220453754,30.638401446772065,13.585679200674974,2148,1478
7347,28.520469351875487,12.869707776308882,0.9991230658709248,0.9661247288713999,30.756729303594543,13.910539824304845,2468,1582
7348,27.638761475957008,10.870820063553445,0.9993881760814541,0.9706616590551481,30.359711134198886,13.072964400365368,2262,1405
7349,28.21538490362794,12.957156202312275,0.9990936779729213,0.9636760248919869,30.96667058746228,14.555087497359139,2447,1627
7350,27.6507189605519,10.891136722148936,0.9994337003495828,0.9632206412916396,29.910488016360794,12.718322741695244,2446,1588
7351,27.747309709365226,10.15069044253634,0.9996657032054432,0.9751550592181261,30.157279104999137,12.730225337801455,1798,1153
7352,28.750890543705392,14.416306838639336,0.9988646514210988,0.9700943845839269,31.534856667264023,15.365394871093836,2141,1408
7353,28.16401409423767,11.763835251175678,0.9992225559829868,0.959503916834106,30.47227266987853,13.825680187430066,2599,1673
7354,28.67965684305878,15.091138197110636,0.9978498061820507,0.9641901329113315,30.38165128875956,13.22167700122613,2491,1589
7355,27.301411672331447,10.765837519122481,0.999416259444191,0.9678154086574279,30.934594188751888,14.498665256997139,2327,1447
7356,27.96685082886644,11.977423332852553,0.9991322825499129,0.95981025186075,30.552216619401634,13.858485702525051,2765,1782
7357,28.08193818026414,12.523583220249172,0.9991621307121884,0.9663538393433522,30.315775511939975,13.111170511118235,2424,1583
7358,27.65595272357048,9.344919444314721,0.9996660596672918,0.9693475362213583,30.408256351048752,13.301474284909498,1972,1169
7359,27.72748039147651,11.23867666758002,0.9994301348512167,0.9766499568339225,31.438792722797288,15.260969085975693,1753,1066
7360,28.350452260246488,11.571265627527554,0.9994617104873302,0.9710400565055515,30.211271292453343,12.653547601691354,2077,1343
7361,28.865000738350698,13.027827366121201,0.9987878465634026,0.9568308716039595,30.643298977189435,13.748286020445711,2617,1713
7362,28.743186448656175,13.680525037554485,0.9985176495937022,0.9668054885644332,30.56771755331043,13.461055105050761,2397,1538
7363,27.7659522148193,10.526373332771438,0.9995737495730161,0.9752803711652401,30.082148697488122,12.735378874787619,1773,1102
7364,26.822377148537,9.845596989634132,0.999430428172807,0.9684673719605393,30.484220773503342,13.76876239031005,2305,1405
7365,27.211710617474942,9.96235217529695,0.9993842339843825,0.9634780913841952,29.92786807872548,12.689406727576738,2553,1545
7367,28.141707545199605,11.665020266166344,0.9992216634212827,0.959317893323718,30.165347933046462,12.799427147077518,2452,1539
7368,28.02323440991543,12.815522553255585,0.999025274623506,0.9707224142148803,31.550781070229917,15.849302612187309,2288,1410
7369,28.46530239004991,13.082465997456964,0.9987222626654373,0.968680360397517,31.018058354955272,14.566745842260367,2295,1430
7370,28.22390855947591,12.810741139424241,0.9984742185487473,0.9652558274259565,30.928972397337276,14.581377509565389,2632,1588
7371,27.299339459505862,10.6876269333197,0.9995337705057366,0.9766048512272327,30.5244461092052,13.373652839628392,1824,1085
7372,28.37447717446263,12.545665313771334,0.9990605228785369,0.9644558000209911,30.61962887233947,13.866518429567298,2529,1628
7373,28.70194915676368,13.928546954672905,0.9989152021379282,0.9670589897306539,31.137263906430334,14.609153171488503,2204,1427
7374,28.098081396431382,12.656064561652647,0.9994276233016737,0.9764110114564055,31.254659929384697,14.584937425387857,1771,1135
7375,27.145079091776957,9.324166959520861,0.9996655639139335,0.9729883996637685,30.800355895272702,14.108192259547636,1981,1217
7376,28.29645148000816,12.218306343013602,0.9987235330877746,0.954847973221061,31.33835759899728,15.427960602250453,2996,1830
7377,28.778781575864873,13.971678105118379,0.9988921734313158,0.9675146319161241,30.82380317386783,14.246094403596674,2389,1613
7378,28.75493015205746,13.780579768945138,0.9988436419433295,0.9717426696319236,30.93395808973348,14.105574703015515,2077,1327
7379,28.214062390484983,12.661372833972367,0.9989947883572664,0.970087295101238,31.608804457298227,15.865656715946251,2137,1334
7380,27.167155662103433,12.782865593764415,0.9997766627643576,0.9956380948509728,27.953556708327355,14.497109598495598,838,587
7381,28.091227896478447,13.555785111199445,0.998896556966368,0.9713097053707659,31.81070676892452,15.944652605512662,2061,1297
7382,27.11079583037015,10.082184873776134,0.9995249825509609,0.9684917121464885,30.67051304337696,13.95827539770469,2343,1462
7383,27.76782791988852,11.190484743395885,0.9992112370800755,0.9659305713385102,30.557363099308752,13.969929359485636,2483,1503
7384,28.525385909124434,12.100882452835169,0.999237525234693,0.9626697960411544,30.874240699701446,14.190640832857941,2308,1426
7385,27.9683339125243,12.3702861748938,0.9990355738186847,0.963698596703132,30.3552985237866,13.13782290764134,2756,1743
7386,28.68761798465515,13.56283572663562,0.9989712490960521,0.9671415238391723,31.06790340172873,14.428643539013608,2096,1353
7387,27.226270319350995,10.27837261584138,0.9996139354940562,0.9761951870563784,30.34758134294745,12.911262184260686,1779,1105
7389,28.0784129625885,12.557494217103189,0.9989202085082779,0.963407814991795,30.525601074112856,13.442530825246513,2641,1657
7390,27.404914486067362,10.714470835979222,0.9993379990442061,0.9575400545354622,31.3595015782162,15.560188925331907,2770,1737
7391,27.722908524011885,12.81300915615596,0.9988070454771546,0.9690887892533482,30.945684919481895,14.566493615776695,2399,1513
7392,28.51151630940924,11.972821387606325,0.9993246815423927,0.9686090346447853,30.742124673105337,13.723782879414038,2123,1345
7393,27.41598004167298,10.126591066223511,0.9994714456266924,0.9639962304905606,29.886414378142607,12.692049871011461,2437,1553
7394,28.244846214446856,11.496936715845917,0.99957868368538,0.9785664874213947,30.505339666969803,13.090805766346893,1592,1077
7395,28.10656273470706,11.83086267166384,0.9992629162216217,0.9667142486706896,30.66113182896377,13.710162287068053,2167,1389
7396,28.031670824514592,11.196012212789647,0.999530302321745,0.971893624532481,30.46402346447651,13.365516897668858,2157,1352
7397,28.952726765902348,13.85278346746119,0.9986726143560948,0.9628374220265917,31.104372642147247,14.627507851696231,2698,1742
7398,28.15552832494606,11.13095576218906,0.9994047889267346,0.9585384085656065,30.169152314960566,12.786968000683885,2526,1626
7399,28.458924542409086,12.731240298161499,0.9992021009683161,0.9682067403608636,30.29856055797499,12.969169894927745,2280,1480
7400,28.036479772121922,11.003290091570975,0.9992100191525997,0.9684070376807948,30.775455306025282,13.996476670772394,2166,1363
7401,28.038394533763178,13.08594344194632,0.9991863960838879,0.978466740435098,31.407161767439682,15.142956450593841,1785,1118
7402,28.259152777084438,12.519191653298083,0.999056530071378,0.9647483704774825,30.570216055398063,13.860957758447919,2471,1606
7403,27.59422254742294,11.96255996076468,0.9991943091138811,0.973731872224753,30.189411186342767,12.669606528629856,1931,1221
7404,27.589620856247407,12.120994495670633,0.9988831146978936,0.9624870768851636,30.278733772031437,13.118146715409456,2604,1574
7405,27.339270759298586,10.777231209901597,0.9995557334843934,0.9807942778698264,31.535510191455053,15.272841060273732,1614,973
7406,27.763774332440242,11.874583144428819,0.9992649577723519,0.9684865425095549,31.196695791729802,15.04306364926049,2360,1552
7407,28.55907775501702,12.633441476923245,0.9990513256940609,0.9633006495152088,30.597956367696643,13.585450172103318,2435,1573
7408,27.809057809278414,11.858906084484433,0.9993215039568607,0.9713039412313454,31.136030506860482,14.709996024300256,2122,1304
7410,28.033577374542045,12.991033854309277,0.9990176355720884,0.9707374426228648,31.591428663055204,15.872655712789532,2182,1421
7411,27.803370951869226,11.387833252356492,0.9992797973157657,0.9605000905203602,30.82366761558811,14.162596750834645,2413,1530
7412,28.160397608866493,11.711836481471906,0.9992046094718746,0.9621375653977011,30.951578693463606,14.364111604078612,2370,1533
7413,28.150212097598338,12.46303521709985,0.9989451519497686,0.9665857310230431,30.92437683208314,14.209889664001299,2178,1357
7414,29.059305696956123,14.54481673117577,0.9985182890567927,0.9623899590746583,31.707869768622167,15.950322266653298,2486,1656
7415,28.120905794720418,11.946155162527026,0.9993372930115691,0.97066222831626,30.838678517149702,14.034055083818009,2107,1401
7416,27.848243085240888,12.340446857633566,0.9992197716340705,0.9745188677818214,31.583896283313884,15.66888698113144,2063,1257
