dataset,id,arm,iou,n_components,n_components_ref,total_length_px,total_length_px_ref,mean_width_px,mean_width_px_ref,n_branches,n_branches_ref,n_junctions,n_junctions_ref,cycle_rank,cycle_rank_ref,junc_f1_3,end_f1_3,junc_f1_5,end_f1_5,structure_bytes,split
STARE,im0001,OBS2,0.6522132910675874,3,4,11207.014495610589,8841.082245892128,4.2756168150035405,4.444827837602684,292,198,158,103,29,16,0.6590038314176245,0.09424083769633508,0.6973180076628352,0.15706806282722513,,train
STARE,im0001,PIPE,0.6216442368035702,6,4,8645.0,8841.082245892128,4.84339610399201,4.444827837602684,245,198,129,103,22,16,0.5172413793103449,0.15300546448087432,0.5862068965517242,0.22950819672131145,4008.0,train
STARE,im0002,OBS2,0.5617356644623607,3,2,8731.579720575184,8256.69032690634,3.3725303055655664,4.023903370367804,173,206,94,111,23,21,0.5658536585365853,0.23703703703703702,0.6341463414634145,0.29629629629629634,,train
STARE,im0002,PIPE,0.6299295674242208,7,2,6510.0,8256.69032690634,5.130865036305897,4.023903370367804,139,206,73,111,16,21,0.5869565217391305,0.16541353383458648,0.608695652173913,0.25563909774436094,2634.0,train
STARE,im0003,OBS2,0.528667117310883,24,8,10660.692777884891,7078.695377540225,3.0504941716304774,4.148880531635522,272,138,132,68,29,8,0.4699999999999999,0.10731707317073172,0.5100000000000001,0.18536585365853658,,val
STARE,im0003,PIPE,0.663638783522992,3,8,5244.0,7078.695377540225,5.326277409231252,4.148880531635522,115,138,60,68,13,8,0.5156249999999999,0.15652173913043477,0.53125,0.17391304347826086,2067.0,val
STARE,im0004,OBS2,0.5093241795695783,4,11,9232.675175004693,6759.546965793334,4.046749300927868,5.246159756686335,187,140,97,70,14,14,0.4431137724550898,0.08163265306122448,0.5868263473053892,0.17687074829931973,,train
STARE,im0004,PIPE,0.6066069397830971,14,11,6597.0,6759.546965793334,4.549912882666233,5.246159756686335,129,140,60,70,6,14,0.47692307692307695,0.06944444444444443,0.5384615384615384,0.1527777777777778,2609.0,train
STARE,im0005,OBS2,0.5997138603715948,11,9,14093.325604454243,8579.552375364716,3.9000929833989515,5.001655490583942,469,205,246,106,41,18,0.46590909090909094,0.10600706713780919,0.5340909090909091,0.15547703180212014,,val
STARE,im0005,PIPE,0.6863689501987374,20,9,8421.25,8579.552375364716,4.628202143951426,5.001655490583942,203,205,97,106,14,18,0.5123152709359605,0.198019801980198,0.5517241379310345,0.33663366336633654,3578.0,val
STARE,im0044,OBS2,0.5609741431148527,5,16,14852.283107342124,7727.07510321719,3.9921116804299936,4.357632519543785,469,136,252,64,53,11,0.3481012658227848,0.08943089430894309,0.37341772151898733,0.12195121951219512,,train
STARE,im0044,PIPE,0.6458250785852022,13,16,7658.0,7727.07510321719,4.852866063087766,4.357632519543785,173,136,86,64,14,11,0.6399999999999999,0.15950920245398773,0.6799999999999999,0.26993865030674846,3324.0,train
STARE,im0077,OBS2,0.5888436394812989,9,7,15840.942053632669,9995.598190007166,4.195020239481698,4.0568874434666515,537,218,281,113,45,18,0.5228426395939086,0.1464968152866242,0.5380710659898478,0.19108280254777069,,val
STARE,im0077,PIPE,0.6612829276425475,4,7,10478.5,9995.598190007166,5.054517432935198,4.0568874434666515,270,218,146,113,29,18,0.7027027027027027,0.18652849740932642,0.7490347490347491,0.31088082901554404,4305.0,val
