filename,ng_fg_ssim,ng_fg_psnr,ng_iou,ng_topo_q,ng_psnr,ng_ssim,ng_bytes,graph_n_components,graph_n_cycles,graph_n_junctions,graph_n_endpoints,graph_mean_degree,graph_complexity,n_nodes,n_edges,total_edge_length,mean_width_px,mean_curvature,delta_fg_ssim,delta_iou,total_time_ms,self_iou,ng_recon_iou,ng_n_components,ng_n_cycles,ng_euler_characteristic,ng_n_junctions,ng_n_endpoints,ng_mean_degree,ng_graph_complexity,ng_seg_beta_0,ng_seg_beta_1,graph_n_nodes,graph_n_edges,graph_n_sampled,graph_mean_edge_length,graph_mean_width,graph_total_edge_length,graph_mean_curvature,png_bytes,ng_vs_png,ng_vs_raw,image_shape,image_pixels,image_type,segmenter,n_points,n_structures,jpeg_quality,jpeg_bytes,jpeg_psnr,jpeg_ssim,jpeg_fg_psnr,jpeg_fg_ssim,jpeg_iou,jpeg_topo_q,jpeg_beta_0,jpeg_beta_1,jpeg_betti_preservation,webp_quality,webp_bytes,webp_psnr,webp_ssim,webp_fg_ssim,webp_fg_psnr,webp_topo_q,webp_iou,jp2_bytes,jp2_psnr,jp2_ssim,jp2_fg_ssim,jp2_fg_psnr,jp2_topo_q,jp2_iou,delta_fg_psnr,delta_topo_q,delta_psnr,delta_ssim,gt_available,stem
membrane_000.png,0.9276344255746533,31.155195569815373,0.4692165689671924,0.9389190689458127,26.809115811801455,0.5817716507376078,9652,9,2,32,47,1.9533333333333334,0.2222222222222222,300,293,1418.1707063234794,9.111783130810375,0.0,-0.03074826015384069,0.030258430555337112,12425.725221633911,0.4692165689671924,0.4692165689671924,9,2,7,32,47,1.9533333333333334,0.2222222222222222,9,1,300,293,221,4.840173059124494,9.111783130810375,1418.1707063234794,0.0,43915,4.54983423124741,6.789888106092001,256x256,65536,sparse,Otsu,998,9,79,9604,34.420993607642764,0.810191256330629,33.90878629670478,0.9583826857284939,0.43895813841185527,0.3252214975753276,178,250,0.0,80,9450,36.34604707008611,0.8900942927042959,0.9763734829683239,35.91206890481858,0.2563269920131337,0.4383091467453483,249,28.340562926981793,0.6252892769957462,0.9105408535436075,28.88424284886025,0.9949075692073008,0.41629518072289157,-2.75359072688941,0.6136975713704851,-7.611877795841309,-0.2284196055930212,False,membrane_000
membrane_001.png,0.9460112734964893,30.24864042531142,0.5233567141514209,0.74225626778497,26.193004482197736,0.5516596628311905,9662,19,3,41,75,1.8957654723127035,0.15789473684210525,307,291,1450.182899632299,7.211513401490505,0.0,-0.022909697826490105,0.04616175019434027,7774.228096008301,0.5233567141514209,0.5233567141514209,19,3,16,41,75,1.8957654723127035,0.15789473684210525,19,2,307,291,191,4.983446390488991,7.211513401490505,1450.182899632299,0.0,44447,4.600186296832954,6.7828606913682465,256x256,65536,sparse,Frangi,949,19,77,9468,33.793081837686756,0.7968507772772749,33.04151326193592,0.9689209713229794,0.47719496395708066,0.33475663254732124,171,255,0.0,78,9458,35.66121093195733,0.8816890168089184,0.9831272894116291,35.16385349157895,0.2752112167343653,0.4749867479459316,246,27.474723734391677,0.5925634186032381,0.9269599057232624,26.303112580788387,0.9953921780700072,0.4701790992870805,-2.792872836624497,0.40749963523764876,-7.60007735548902,-0.24519111444608443,False,membrane_001
membrane_002.png,0.9160608281681167,30.659245991163143,0.577259067719617,0.925229610399658,26.212175001160123,0.553412052316614,10570,9,2,31,45,1.946768060836502,0.2222222222222222,263,256,1309.9453095790625,10.282327755739049,0.0,-0.03957815545490173,0.04922509098353889,13416.313409805298,0.577259067719617,0.577259067719617,9,2,7,31,45,1.946768060836502,0.2222222222222222,9,2,263,256,187,5.116973865543205,10.282327755739049,1309.9453095790625,0.0,44252,4.186565752128666,6.200189214758751,256x256,65536,sparse,Otsu,1171,9,80,10534,34.27195959498775,0.8169017213119392,33.67144776999706,0.9556389836230185,0.5280339767360781,0.31378146632979154,186,281,0.0,80,9900,36.377027323372786,0.8952239019216485,0.9770999263090279,36.183580098563716,0.2679335994280838,0.5256805259981577,250,27.728973053133736,0.6039373336960979,0.8924467692285778,28.932874792906652,0.9929870721674146,0.505995895857381,-3.0122017788339157,0.6114481440698665,-8.059784593827626,-0.2634896689953252,False,membrane_002
membrane_003.png,0.9579687695650684,29.899873368241103,0.5129938235636872,0.6301343267812014,25.210020340345846,0.532341307253984,10454,26,4,36,80,1.8585209003215435,0.15384615384615385,311,289,1434.2001435750024,5.986370751282855,0.0,-0.02014562237031381,0.06270340076212022,6867.086172103882,0.5129938235636872,0.5129938235636872,26,4,22,36,80,1.8585209003215435,0.15384615384615385,26,4,311,289,195,4.962630254584773,5.986370751282855,1434.2001435750024,0.0,44374,4.244691027357949,6.268987947197245,256x256,65536,sparse,Frangi,1076,26,79,10185,34.056738428291204,0.8096390541567945,33.360679977628166,0.9781143919353822,0.45029042280156695,0.2842941219824522,214,295,0.0,79,9864,36.05867997024611,0.8914067203467079,0.9871265372440825,35.31487994503305,0.2719084766904456,0.44996147016450566,247,26.990295146511283,0.5971704182545331,0.9423579945363533,26.083069592438047,0.9939032534344844,0.4381107491856677,-3.4608066093870633,0.3458402047987492,-8.846718087945359,-0.2772977469028105,False,membrane_003
membrane_004.png,0.9205784289216253,31.131110828933544,0.5085105677029762,0.8855105645747083,27.260419790761503,0.5807942431863237,9611,11,1,29,49,1.9245283018867925,0.09090909090909091,265,255,1345.2001435750017,9.5029441871019,0.0,-0.03170520036919122,0.03199011976633076,9468.546390533447,0.5085105677029762,0.5085105677029762,11,1,10,29,49,1.9245283018867925,0.09090909090909091,11,1,265,255,187,5.275294680686273,9.5029441871019,1345.2001435750017,0.0,44103,4.588804494849652,6.8188533971491,256x256,65536,sparse,Otsu,1018,11,78,9456,34.18973999163825,0.8065445539917678,33.61449618302596,0.9522836292908166,0.47652044793664544,0.35876480748542305,156,274,0.0,79,9230,36.03367487103401,0.8857473060537556,0.9739280524351177,35.665775810124885,0.24677145262956757,0.4762209231518694,250,27.4588602638987,0.6117085354184233,0.8957816752640364,28.49132384970385,0.9987690880973266,0.454667770647899,-2.4833853540924196,0.5267457570892853,-6.929320200876745,-0.22575031080544417,False,membrane_004
membrane_005.png,0.922054616339855,30.975335076340468,0.4616438792746279,0.9783213759646416,27.26066335511469,0.5691454910225132,10243,7,1,32,45,1.96,0.14285714285714285,300,294,1515.0113267570455,8.62948232385185,0.0,-0.03322624269281571,0.03191688230799494,7948.934078216553,0.4616438792746279,0.4616438792746279,7,1,6,32,45,1.96,0.14285714285714285,7,1,300,294,223,5.153099750874294,8.62948232385185,1515.0113267570455,0.0,44375,4.332226886654301,6.3981255491555205,256x256,65536,sparse,Otsu,1087,7,79,10104,34.03796789224719,0.80936028792326,33.47563963747148,0.9552808590326707,0.42972699696663297,0.31786484925763625,182,266,0.0,79,9742,36.05829342481619,0.8910069864922291,0.9761941703707897,35.77674717941008,0.26295287580650684,0.4323447084747781,246,26.167064964490258,0.5960596417946223,0.8974550222824991,27.34671702982766,0.9996711799771859,0.40618303380096576,-2.5003045611310135,0.6604565267070054,-6.777304537132498,-0.24021479690074676,False,membrane_005
membrane_006.png,0.9294980195445033,30.672738216375585,0.45129050711713836,0.892900824503131,26.165739024945974,0.5479054279310082,10683,10,2,26,43,1.9405204460966543,0.2,269,261,1264.1585130146586,9.135086281704622,0.0,-0.03250316829216193,0.031171429965066888,14035.3262424469,0.45129050711713836,0.45129050711713836,10,2,8,26,43,1.9405204460966543,0.2,10,1,269,261,200,4.843519206952708,9.135086281704622,1264.1585130146586,0.0,44186,4.136104090611251,6.134606383974539,256x256,65536,sparse,Otsu,1258,10,80,10479,34.32461485718467,0.820159662950348,33.763908841780456,0.9620011878366652,0.4201190771520715,0.3225571281752493,193,296,0.0,80,10314,36.499586575225464,0.9008297249685732,0.9803054839078942,36.23223610707457,0.2686809118703257,0.4214077880269919,246,26.803163104148258,0.6013031046472596,0.9068158514072902,27.55899661137061,0.9998399461120905,0.392953002473554,-3.091170625404871,0.5703436963278817,-8.158875832238696,-0.2722542350193399,False,membrane_006
membrane_007.png,0.9991343043128385,29.511984904220864,0.058113061933243296,0.4700645116824316,29.165328365267822,0.6097356478420701,2499,8,1,10,24,1.8108108108108107,0.125,74,67,285.1076477383248,2.8516816707408665,0.0,-0.00013653532881063857,-3.00835410619385e-05,1538.9068126678467,0.058113061933243296,0.058113061933243296,8,1,7,10,24,1.8108108108108107,0.125,8,1,74,67,40,4.255338025945146,2.8516816707408665,285.1076477383248,0.0,43997,17.605842336934774,26.224889955982395,256x256,65536,sparse,Learned,267,8,30,2489,32.5286036256903,0.6877539757294131,31.324235946589866,0.9992708396416491,0.058143145474305234,0.9111968656909062,15,29,0.0,42,2292,32.71017477000959,0.705442976012017,0.9992524386669128,31.298265613682766,0.550965581243658,0.05916528337680816,3734,33.264599622602034,0.7480249952025381,0.9995002058512481,33.05366400191568,0.4817614324495265,0.05918278891997321,-1.8122510423690024,-0.4411323540084746,-3.36327526042248,-0.07801832788734298,False,membrane_007
membrane_008.png,0.9989782538351286,29.852246955687704,0.06314058436591709,0.35488928988954194,29.02806500040583,0.6147979292353956,2497,12,0,9,34,1.6962025316455696,0.0,79,67,288.10764773832494,2.705519107365575,0.0,-0.0001352599675691346,-0.0014073824718247169,1446.0175037384033,0.06314058436591709,0.06314058436591709,12,0,12,9,34,1.6962025316455696,0.0,12,0,79,67,36,4.300114145348131,2.705519107365575,288.10764773832494,0.0,43889,17.576692030436522,26.245895074088907,256x256,65536,sparse,Learned,270,12,29,2435,32.56931776577301,0.6933831893905849,31.296994720811185,0.9991135138026978,0.0645479668377418,0.8429872978399651,21,43,0.0,44,2320,32.75435518566872,0.7049496219387478,0.9991250320082957,31.5222674277981,0.5842000485862017,0.0639162369120175,3755,33.360156585907916,0.7530097614531541,0.9996330579005135,33.73958704304968,0.47496256506040146,0.06607042140037064,-1.4447477651234806,-0.48809800795042313,-3.541252765367176,-0.0785852601551893,False,membrane_008
membrane_009.png,0.9984787825281186,29.48841902250447,0.09123141441097979,0.3880539237847034,28.09459318235962,0.5950386347157292,3641,18,4,19,48,1.7941176470588236,0.2222222222222222,136,122,485.81832585697987,2.645166565333845,0.0,-0.00037562660982826124,-0.0018066611028006857,1626.3070106506348,0.09123141441097979,0.09123141441097979,18,4,14,19,48,1.7941176470588236,0.2222222222222222,18,4,136,122,69,3.982117425057209,2.645166565333845,485.81832585697987,0.0,43980,12.079099148585554,17.999450700357045,256x256,65536,sparse,Learned,361,18,40,3554,32.812330326687075,0.7225457584179926,31.68267014961303,0.9988544091379469,0.09303807551378047,0.5480364961722829,65,69,0.0,51,3444,32.98622434048599,0.7477163263988671,0.9988829990772847,31.752974534169297,0.41645428178749555,0.09161662452591657,520,31.97613677213927,0.6530111773384025,0.9984981699360487,30.599719096537918,0.9688829693389391,0.09032864585373497,-2.1942511271085614,-0.1599825723875795,-4.7177371443274545,-0.12750712370226347,False,membrane_009
membrane_010.png,0.997749199674654,29.752496817983495,0.11187029530978576,0.4190891026513165,27.960152970049506,0.6019856310288606,4119,19,3,20,53,1.7922077922077921,0.15789473684210525,154,138,571.0731598529192,2.9579350557598323,0.0,-0.0005320509649464622,-0.0015120106627469765,1888.7481689453125,0.11187029530978576,0.11187029530978576,19,3,16,20,53,1.7922077922077921,0.15789473684210525,19,2,154,138,81,4.138211303282018,2.9579350557598323,571.0731598529192,0.0,43805,10.63486283078417,15.910657926681234,256x256,65536,sparse,Learned,423,19,47,4114,33.21512216227147,0.7446129269959508,31.971217600233892,0.9982812506396005,0.11338230597253274,0.5212292193315566,75,86,0.0,57,3884,33.37643589866336,0.7677594225214577,0.9981889867990557,31.868058483176785,0.3673649954450505,0.11353886862045463,464,31.84837245066994,0.6628420427115227,0.9976362056372295,30.55115890896156,0.9568899874884806,0.10985185471705411,-2.218720782250397,-0.10214011668024015,-5.254969192221964,-0.14262729596709023,False,membrane_010
membrane_011.png,0.9415991516827806,30.907976183105802,0.45438336809527013,0.8626193858830458,25.897180239005195,0.5764392684742703,10475,12,0,19,43,1.9101123595505618,0.0,267,255,1346.756492761106,7.926296251746493,0.0,-0.02573922542078033,0.029077194245193005,12588.354587554932,0.45438336809527013,0.45438336809527013,12,0,12,19,43,1.9101123595505618,0.0,12,0,267,255,205,5.281398010827856,7.926296251746493,1346.756492761106,0.0,43754,4.1769928400954655,6.256420047732697,256x256,65536,sparse,Otsu,1253,12,80,10158,34.6916770101576,0.8339449583503284,34.10235022871179,0.967338377103561,0.42530617385007713,0.37233321869659475,181,280,0.0,80,9680,36.428946813165275,0.8988942905204437,0.9812174394422589,35.964186758260006,0.31136685475266057,0.4245726154337754,247,25.25091310303701,0.6001270262801934,0.9123226745438865,25.049469115133153,0.9912613538145267,0.3596206351487283,-3.19437404560599,0.490286167186451,-8.794496771152403,-0.25750568987605815,False,membrane_011
membrane_012.png,0.9952680494677157,30.325484780952713,0.23677032187670485,0.5759615036031103,26.358663675959868,0.5788179561880312,8561,29,3,40,92,1.8385093167701863,0.10344827586206896,322,296,1392.3839097590756,3.0551771896061526,0.0,-0.002406036122153954,0.017006035896855787,3778.2933712005615,0.23677032187670485,0.23677032187670485,29,3,26,40,92,1.8385093167701863,0.10344827586206896,29,3,322,296,190,4.703999695132003,3.0551771896061526,1392.3839097590756,0.0,43445,5.074757621773157,7.655180469571312,256x256,65536,sparse,Learned,1041,29,76,8310,34.67352068831747,0.8276817752448424,33.93838634772286,0.9976740855898697,0.21976428597984907,0.41069487405355787,143,180,0.0,78,8436,35.82336841385653,0.882427887336107,0.9983240365601416,35.08183842467622,0.34035164875645296,0.21782287011940518,249,24.86380646844235,0.6037092295138593,0.9901425183277474,23.84628170528989,0.999991870409462,0.16552050358403378,-3.612901566770148,0.1652666295495524,-8.3148570123576,-0.2488638190568112,False,membrane_012
