filename	ng_fg_ssim	ng_fg_psnr	ng_iou	ng_topo_q	ng_psnr	ng_ssim	ng_bytes	graph_n_components	graph_n_cycles	graph_n_junctions	graph_n_endpoints	graph_mean_degree	graph_complexity	n_nodes	n_edges	total_edge_length	mean_width_px	mean_curvature	delta_fg_ssim	delta_iou	total_time_ms	self_iou	ng_recon_iou	ng_n_components	ng_n_cycles	ng_euler_characteristic	ng_n_junctions	ng_n_endpoints	ng_mean_degree	ng_graph_complexity	ng_seg_beta_0	ng_seg_beta_1	graph_n_nodes	graph_n_edges	graph_n_sampled	graph_mean_edge_length	graph_mean_width	graph_total_edge_length	graph_mean_curvature	png_bytes	ng_vs_png	ng_vs_raw	image_shape	image_pixels	image_type	segmenter	n_points	n_structures	jpeg_quality	jpeg_bytes	jpeg_psnr	jpeg_ssim	jpeg_fg_psnr	jpeg_fg_ssim	jpeg_iou	jpeg_topo_q	jpeg_beta_0	jpeg_beta_1	jpeg_betti_preservation	webp_quality	webp_bytes	webp_psnr	webp_ssim	webp_fg_ssim	webp_fg_psnr	webp_topo_q	webp_iou	jp2_bytes	jp2_psnr	jp2_ssim	jp2_fg_ssim	jp2_fg_psnr	jp2_topo_q	jp2_iou	delta_fg_psnr	delta_topo_q	delta_psnr	delta_ssim	gt_available	stem
membrane_000.png	0.927634	31.155196	0.469217	0.938919	26.809116	0.581772	9351	9	44	97	43	2.088832	4.888889	788	823	1464.082395	9.545495	0.051016	-0.029339	0.029296	9621.394634	0.469217	0.469217	9	44	-35	97	43	2.088832	4.888889	9	1	788	823	648	1.778958	9.545495	1464.082395	0.051016	43915	4.696289	7.008448	256x256	65536	sparse	Otsu	998	9	78	9215	34.334900	0.804982	33.806604	0.956974	0.439920	0.358884	154	226	0.000000	79	8908	36.031034	0.881216	0.974447	35.568019	0.249020	0.438305	249	28.340563	0.625289	0.910541	28.884243	0.994908	0.416295	-2.651408	0.580035	-7.525784	-0.223210	False	membrane_000
membrane_001.png	0.946011	30.248640	0.523357	0.742256	26.193004	0.551660	10155	16	57	116	48	2.116643	3.562500	703	744	1450.052957	7.751405	0.075410	-0.024011	0.045844	7858.260393	0.523357	0.523357	16	57	-41	116	48	2.116643	3.562500	19	2	703	744	539	1.948996	7.751405	1450.052957	0.075410	44447	4.376859	6.453570	256x256	65536	sparse	Frangi	949	19	78	9868	33.871247	0.801803	33.145599	0.970023	0.477512	0.334367	171	263	0.000000	79	9684	35.935637	0.887697	0.983893	35.401799	0.275515	0.474882	246	27.474724	0.592563	0.926960	26.303113	0.995392	0.470179	-2.896959	0.407889	-7.678243	-0.250143	False	membrane_001
membrane_002.png	0.916061	30.659246	0.577259	0.925230	26.212175	0.553412	11195	8	45	99	37	2.102921	5.625000	719	756	1347.856998	11.161617	0.052876	-0.041474	0.049438	13485.567570	0.577259	0.577259	8	45	-37	99	37	2.102921	5.625000	9	2	719	756	583	1.782880	11.161617	1347.856998	0.052876	44252	3.952836	5.854042	256x256	65536	sparse	Otsu	1171	9	81	11133	34.424656	0.824721	33.829580	0.957535	0.527821	0.330247	189	333	0.000000	81	10740	36.795573	0.906616	0.979375	36.576314	0.253511	0.526292	250	27.728973	0.603937	0.892447	28.932875	0.992987	0.505996	-3.170334	0.594982	-8.212481	-0.271308	False	membrane_002
membrane_003.png	0.957969	29.899873	0.512994	0.630134	25.210020	0.532341	11111	17	44	98	57	2.070866	2.588235	762	789	1449.144840	6.285147	0.060174	-0.020963	0.063740	7101.275682	0.512994	0.512994	17	44	-27	98	57	2.070866	2.588235	26	4	762	789	607	1.836685	6.285147	1449.144840	0.060174	44374	3.993700	5.898299	256x256	65536	sparse	Frangi	1076	26	80	10669	34.177368	0.816300	33.510799	0.978932	0.449253	0.277989	224	297	0.000000	81	11088	36.939074	0.911235	0.989443	36.211586	0.232925	0.447792	247	26.990295	0.597170	0.942358	26.083070	0.993903	0.438111	-3.610925	0.352146	-8.967348	-0.283959	False	membrane_003
membrane_004.png	0.920578	31.131111	0.508511	0.885511	27.260420	0.580794	9396	10	37	87	38	2.072193	3.700000	748	775	1377.727056	10.158514	0.045091	-0.030380	0.033348	9627.934217	0.508511	0.508511	10	37	-27	87	38	2.072193	3.700000	11	1	748	775	623	1.777712	10.158514	1377.727056	0.045091	44103	4.693806	6.974883	256x256	65536	sparse	Otsu	1018	11	77	9073	34.115594	0.801730	33.541971	0.950959	0.475162	0.383455	138	253	0.000000	79	9230	36.033675	0.885747	0.973928	35.665776	0.246771	0.476221	250	27.458860	0.611709	0.895782	28.491324	0.998769	0.454668	-2.410861	0.502056	-6.855175	-0.220936	False	membrane_004
membrane_005.png	0.922055	30.975335	0.461644	0.978321	27.260663	0.569145	10908	6	41	97	37	2.082840	6.833333	845	880	1551.266161	9.059990	0.046196	-0.034883	0.031564	8047.210217	0.461644	0.461644	6	41	-35	97	37	2.082840	6.833333	7	1	845	880	711	1.762802	9.059990	1551.266161	0.046196	44375	4.068115	6.008067	256x256	65536	sparse	Otsu	1087	7	80	10594	34.157988	0.815962	33.612023	0.956938	0.430079	0.306724	196	299	0.000000	81	10794	36.826641	0.908470	0.980051	36.553288	0.245157	0.432313	246	26.167065	0.596060	0.897455	27.346717	0.999671	0.406183	-2.636688	0.671598	-6.897324	-0.246816	False	membrane_005
membrane_006.png	0.929498	30.672738	0.451291	0.892901	26.165739	0.547905	11353	8	37	76	31	2.081006	4.625000	716	745	1291.685425	9.224075	0.049959	-0.034159	0.030556	14097.053051	0.451291	0.451291	8	37	-29	76	31	2.081006	4.625000	10	1	716	745	609	1.733806	9.224075	1291.685425	0.049959	44186	3.892011	5.772571	256x256	65536	sparse	Otsu	1258	10	81	11072	34.475613	0.827513	33.936684	0.963657	0.420734	0.312173	211	340	0.000000	81	10692	36.817493	0.907459	0.981857	36.579893	0.282341	0.420960	246	26.803163	0.601303	0.906816	27.558997	0.999840	0.392953	-3.263946	0.580728	-8.309874	-0.279608	False	membrane_006
membrane_007.png	0.999134	29.511985	0.058113	0.470065	29.165328	0.609736	2473	6	11	23	13	2.069930	1.833333	143	148	263.208153	2.983869	0.062380	-0.000126	-0.000266	1551.737547	0.058113	0.058113	6	11	-5	23	13	2.069930	1.833333	8	1	143	148	107	1.778433	2.983869	263.208153	0.062380	43997	17.790942	26.500607	256x256	65536	sparse	Learned	267	8	29	2403	32.494298	0.684892	31.221644	0.999260	0.058379	0.882639	16	27	0.000000	42	2292	32.710175	0.705443	0.999252	31.298266	0.550966	0.059165	3734	33.264600	0.748025	0.999500	33.053664	0.481761	0.059183	-1.709659	-0.412574	-3.328969	-0.075156	False	membrane_007
membrane_008.png	0.998978	29.852247	0.063141	0.354889	29.028065	0.614798	2451	8	8	15	17	2.000000	1.000000	144	144	258.379726	2.962168	0.067401	-0.000135	-0.001407	1467.856407	0.063141	0.063141	8	8	0	15	17	2.000000	1.000000	12	0	144	144	112	1.794304	2.962168	258.379726	0.067401	43889	17.906569	26.738474	256x256	65536	sparse	Learned	270	12	29	2435	32.569318	0.693383	31.296995	0.999114	0.064548	0.842987	21	43	0.000000	44	2320	32.754355	0.704950	0.999125	31.522267	0.584200	0.063916	3755	33.360157	0.753010	0.999633	33.739587	0.474963	0.066070	-1.444748	-0.488098	-3.541253	-0.078585	False	membrane_008
membrane_009.png	0.998479	29.488419	0.091231	0.388054	28.094593	0.595039	3583	13	29	54	31	2.136170	2.230769	235	251	515.250266	2.836814	0.064866	-0.000376	-0.001807	1667.592287	0.091231	0.091231	13	29	-16	54	31	2.136170	2.230769	18	4	235	251	150	2.052790	2.836814	515.250266	0.064866	43980	12.274630	18.290818	256x256	65536	sparse	Learned	361	18	40	3554	32.812330	0.722546	31.682670	0.998854	0.093038	0.548036	65	69	0.000000	51	3444	32.986224	0.747716	0.998883	31.752975	0.416454	0.091617	596	32.033055	0.656902	0.998565	30.859537	0.907449	0.091144	-2.194251	-0.159983	-4.717737	-0.127507	False	membrane_009
