filename	ng_fg_ssim	ng_fg_psnr	ng_iou	ng_topo_q	ng_psnr	ng_ssim	ng_bytes	graph_n_components	graph_n_cycles	graph_n_junctions	graph_n_endpoints	graph_mean_degree	graph_complexity	n_nodes	n_edges	total_edge_length	mean_width_px	mean_curvature	delta_fg_ssim	delta_iou	total_time_ms	self_iou	ng_recon_iou	ng_n_components	ng_n_cycles	ng_euler_characteristic	ng_n_junctions	ng_n_endpoints	ng_mean_degree	ng_graph_complexity	ng_seg_beta_0	ng_seg_beta_1	graph_n_nodes	graph_n_edges	graph_n_sampled	graph_mean_edge_length	graph_mean_width	graph_total_edge_length	graph_mean_curvature	png_bytes	ng_vs_png	ng_vs_raw	image_shape	image_pixels	image_type	segmenter	n_points	n_structures	jpeg_quality	jpeg_bytes	jpeg_psnr	jpeg_ssim	jpeg_fg_psnr	jpeg_fg_ssim	jpeg_iou	jpeg_topo_q	jpeg_beta_0	jpeg_beta_1	jpeg_betti_preservation	webp_quality	webp_bytes	webp_psnr	webp_ssim	webp_fg_ssim	webp_fg_psnr	webp_topo_q	webp_iou	jp2_bytes	jp2_psnr	jp2_ssim	jp2_fg_ssim	jp2_fg_psnr	jp2_topo_q	jp2_iou	delta_fg_psnr	delta_topo_q	delta_psnr	delta_ssim	gt_available	stem
nuclei_000.png	0.934345	24.474187	0.447523	0.673720	22.080790	0.315276	14201	32	4	55	116	1.878788	0.125000	462	434	2011.670273	5.581411	0.000000	-0.028455	0.140945	10298.731804	0.447523	0.447523	32	4	28	55	116	1.878788	0.125000	32	4	462	434	291	4.635185	5.581411	2011.670273	0.000000	53981	3.801211	4.614886	256x256	65536	sparse	Frangi	1218	32	61	14164	26.502302	0.775237	26.366722	0.962800	0.306578	0.418766	853	3379	0.000000	42	14114	30.122837	0.907036	0.983205	29.829794	0.412157	0.304754	249	22.790217	0.164823	0.859566	22.433367	0.999997	0.364269	-1.892535	0.254954	-4.421512	-0.459960	False	nuclei_000
nuclei_001.png	0.944118	23.656041	0.534805	0.634478	20.920256	0.260897	13749	28	0	37	93	1.837209	0.000000	344	316	1545.028571	6.204569	0.000000	-0.019533	0.214724	11377.325773	0.534805	0.534805	28	0	28	37	93	1.837209	0.000000	28	0	344	316	214	4.889331	6.204569	1545.028571	0.000000	55316	4.023274	4.766601	256x256	65536	sparse	Otsu	1426	28	54	13494	25.239430	0.752937	25.033306	0.963652	0.320081	0.461189	758	3569	0.000000	33	13612	29.045508	0.902785	0.984952	28.697810	0.457595	0.317129	248	21.821578	0.136411	0.874754	21.650806	0.999988	0.321434	-1.377266	0.173289	-4.319174	-0.492039	False	nuclei_001
nuclei_002.png	0.937781	23.682418	0.527370	0.751579	21.140765	0.279365	12656	19	3	39	71	1.895765	0.157895	307	291	1489.253967	6.851061	0.000000	-0.015738	0.182847	9576.200247	0.527370	0.527370	19	3	16	39	71	1.895765	0.157895	19	3	307	291	197	5.117711	6.851061	1489.253967	0.000000	55526	4.387326	5.178255	256x256	65536	sparse	Otsu	1153	19	49	12584	24.806581	0.731433	24.661020	0.953519	0.344523	0.419158	818	3013	0.000000	28	12590	28.011168	0.882544	0.978338	27.697215	0.455060	0.336876	247	21.623725	0.132466	0.851675	21.485045	0.993395	0.327792	-0.978601	0.332421	-3.665816	-0.452068	False	nuclei_002
nuclei_003.png	0.915587	23.381424	0.527431	0.898500	21.147238	0.305518	13388	13	4	48	68	1.950276	0.307692	362	353	1710.444876	7.835721	0.000000	-0.026059	0.131061	5520.479441	0.527431	0.527431	13	4	9	48	68	1.950276	0.307692	13	2	362	353	246	4.845453	7.835721	1710.444876	0.000000	55986	4.181805	4.895130	256x256	65536	sparse	Otsu	1016	13	50	13213	24.689161	0.746855	24.497113	0.941646	0.396370	0.382289	922	3191	0.000000	28	13136	28.347344	0.897773	0.976175	28.152352	0.419720	0.390881	248	21.286650	0.124914	0.796840	21.094840	1.000000	0.466538	-1.115689	0.516210	-3.541922	-0.441337	False	nuclei_003
nuclei_004.png	0.920649	23.719818	0.559583	0.847070	21.393592	0.315213	14477	18	4	44	74	1.928389	0.222222	391	377	1881.520995	6.783205	0.000000	-0.031327	0.165404	8112.160921	0.559583	0.559583	18	4	14	44	74	1.928389	0.222222	18	2	391	377	273	4.990772	6.783205	1881.520995	0.000000	55467	3.831388	4.526905	256x256	65536	sparse	Otsu	1282	18	57	14418	25.461050	0.775216	25.299373	0.951976	0.394180	0.422449	855	3565	0.000000	34	14208	29.319733	0.911445	0.980398	29.135559	0.418618	0.393320	250	21.651631	0.135199	0.817712	21.486690	0.999989	0.415121	-1.579555	0.424621	-4.067458	-0.460003	False	nuclei_004
nuclei_005.png	0.924130	23.483699	0.554025	0.816159	21.121221	0.304370	13905	19	2	46	82	1.907859	0.105263	369	352	1820.716954	7.029595	0.000000	-0.026768	0.156614	6153.020144	0.554025	0.554025	19	2	17	46	82	1.907859	0.105263	19	2	369	352	241	5.172491	7.029595	1820.716954	0.000000	55899	4.020065	4.713125	256x256	65536	sparse	Otsu	1136	19	53	13797	24.941739	0.758283	24.832698	0.950898	0.397411	0.393550	904	3331	0.000000	31	13576	28.709031	0.903884	0.979440	28.453167	0.402893	0.394390	250	21.341368	0.129019	0.818457	21.119811	0.999565	0.393824	-1.348998	0.422609	-3.820517	-0.453913	False	nuclei_005
nuclei_006.png	0.999674	23.550968	0.009144	0.249238	21.720339	0.139163	1493	6	0	0	12	1.555556	0.000000	27	21	88.284271	2.333972	0.000000	0.000215	-0.004372	866.233826	0.009144	0.009144	6	0	6	0	12	1.555556	0.000000	6	0	27	21	15	4.204013	2.333972	88.284271	0.000000	55655	37.277294	43.895512	256x256	65536	sparse	Learned	181	6	6	1345	21.708634	0.193274	21.377009	0.999459	0.013516	0.775025	51	77	0.000000	1	1394	22.130807	0.254205	0.999529	21.985241	0.712778	0.010530								2.173959	-0.525787	0.011706	-0.054112	False	nuclei_006
nuclei_007.png	0.921472	24.175852	0.578267	0.809623	22.043474	0.302621	12050	16	4	45	72	1.925926	0.250000	324	312	1507.508801	7.394220	0.000000	-0.022003	0.172625	7184.857368	0.578267	0.578267	16	4	12	45	72	1.925926	0.250000	16	3	324	312	207	4.831759	7.394220	1507.508801	0.000000	54622	4.532946	5.438672	256x256	65536	sparse	Otsu	982	16	50	11923	25.313895	0.717956	25.139497	0.943475	0.405642	0.352006	963	2699	0.000000	29	12050	28.195637	0.869808	0.972089	27.851339	0.358653	0.391811	246	22.132560	0.153167	0.825295	21.787880	1.000000	0.395785	-0.963645	0.457618	-3.270421	-0.415334	False	nuclei_007
nuclei_008.png	0.912457	23.898230	0.606409	0.867345	21.682915	0.321702	13719	14	0	42	71	1.915408	0.000000	331	317	1619.775829	8.400327	0.000000	-0.031153	0.172533	11645.783663	0.606409	0.606409	14	0	14	42	71	1.915408	0.000000	14	0	331	317	218	5.109703	8.400327	1619.775829	0.000000	54901	4.001822	4.777025	256x256	65536	sparse	Otsu	1185	14	55	13457	25.544421	0.757078	25.285809	0.943610	0.433876	0.327957	1075	3042	0.000000	34	13640	29.312736	0.903505	0.977460	29.084756	0.402231	0.429818	243	21.685066	0.147561	0.794589	21.123420	1.000000	0.426004	-1.387579	0.539388	-3.861506	-0.435376	False	nuclei_008
nuclei_009.png	0.998640	23.413202	0.042915	0.326320	21.853384	0.160130	3102	16	1	11	42	1.705882	0.062500	102	87	336.450793	2.518461	0.000000	0.000459	-0.003522	1225.598335	0.042915	0.042915	16	1	15	11	42	1.705882	0.062500	16	0	102	87	49	3.867250	2.518461	336.450793	0.000000	55240	17.807866	21.127015	256x256	65536	sparse	Learned	293	16	12	3010	22.636006	0.380123	22.185971	0.998181	0.046437	0.546155	276	618	0.000000	3	2872	22.859158	0.377684	0.998323	22.467709	0.449945	0.040606	649	22.176474	0.188119	0.998017	21.948627	0.792064	0.046291	1.227231	-0.219835	-0.782622	-0.219993	False	nuclei_009
nuclei_010.png	0.998442	23.603860	0.050768	0.409127	22.125559	0.171027	3252	13	1	12	36	1.775701	0.076923	107	95	379.291414	2.547162	0.000000	0.000598	-0.005418	1418.167830	0.050768	0.050768	13	1	12	12	36	1.775701	0.076923	13	1	107	95	59	3.992541	2.547162	379.291414	0.000000	54877	16.874846	20.152522	256x256	65536	sparse	Learned	324	13	13	3146	22.945961	0.388311	22.219407	0.997844	0.056186	0.516054	294	604	0.000000	4	3118	23.234999	0.414484	0.997899	22.381804	0.399027	0.053276	649	22.434308	0.201394	0.997433	21.764486	0.882691	0.051285	1.384453	-0.106927	-0.820402	-0.217284	False	nuclei_010
nuclei_011.png	0.997203	23.549758	0.074423	0.429463	22.005939	0.176273	3959	17	3	18	47	1.792593	0.176471	135	121	513.776695	2.730473	0.000000	0.000820	-0.002185	1728.787422	0.074423	0.074423	17	3	14	18	47	1.792593	0.176471	17	2	135	121	70	4.246088	2.730473	513.776695	0.000000	54855	13.855772	16.553675	256x256	65536	sparse	Learned	389	17	15	3852	23.127165	0.435878	22.559923	0.996383	0.076608	0.416227	421	677	0.000000	5	3908	23.449352	0.464399	0.996388	22.650847	0.361655	0.075680	532	22.429419	0.187415	0.995253	21.896845	0.956407	0.076916	0.989835	0.013236	-1.121226	-0.259606	False	nuclei_011
nuclei_012.png	0.996720	23.427042	0.099314	0.414819	21.744189	0.181608	4923	24	5	29	69	1.792350	0.208333	183	164	695.315801	2.660999	0.000000	0.000858	-0.003738	1811.230659	0.099314	0.099314	24	5	19	29	69	1.792350	0.208333	24	5	183	164	85	4.239730	2.660999	695.315801	0.000000	55184	11.209425	13.312208	256x256	65536	sparse	Learned	465	24	18	4838	23.118397	0.476438	22.580114	0.995862	0.103052	0.368692	511	813	0.000000	6	4636	23.481456	0.536412	0.996024	22.723893	0.323372	0.103856	407	22.127935	0.170065	0.994114	21.546440	0.998946	0.098192	0.846928	0.046127	-1.374208	-0.294830	False	nuclei_012
nuclei_013.png	0.995876	23.435856	0.144550	0.456462	21.685584	0.196092	6287	29	5	38	88	1.811765	0.172414	255	231	959.482323	2.614665	0.000000	0.000469	0.005254	1795.773983	0.144550	0.144550	29	5	24	38	88	1.811765	0.172414	29	4	255	231	129	4.153603	2.614665	959.482323	0.000000	55034	8.753619	10.424050	256x256	65536	sparse	Learned	593	29	24	6274	23.606427	0.540927	22.948339	0.995408	0.139296	0.308475	673	958	0.000000	9	6046	24.187703	0.639783	0.996083	23.506865	0.303208	0.131594	333	22.104562	0.168802	0.992954	21.386893	0.998825	0.126258	0.487517	0.147987	-1.920842	-0.344835	False	nuclei_013
nuclei_014.png	0.993587	23.268692	0.170444	0.504517	21.511132	0.202999	6800	27	6	37	80	1.827869	0.222222	244	223	1036.352380	2.947193	0.000000	0.001100	0.005774	2324.606419	0.170444	0.170444	27	6	21	37	80	1.827869	0.222222	27	6	244	223	127	4.647320	2.947193	1036.352380	0.000000	55171	8.113382	9.637647	256x256	65536	sparse	Learned	637	27	25	6558	23.614412	0.554567	22.829602	0.992487	0.164670	0.308171	682	1008	0.000000	10	6634	24.339723	0.674697	0.994547	23.748702	0.282917	0.163103	273	21.284705	0.161224	0.985293	19.433003	0.998923	0.135316	0.439090	0.196346	-2.103280	-0.351568	False	nuclei_014
