filename	ng_fg_ssim	ng_fg_psnr	ng_iou	ng_topo_q	ng_psnr	ng_ssim	ng_bytes	graph_n_components	graph_n_cycles	graph_n_junctions	graph_n_endpoints	graph_mean_degree	graph_complexity	n_nodes	n_edges	total_edge_length	mean_width_px	mean_curvature	delta_fg_ssim	delta_iou	total_time_ms	self_iou	ng_recon_iou	ng_n_components	ng_n_cycles	ng_euler_characteristic	ng_n_junctions	ng_n_endpoints	ng_mean_degree	ng_graph_complexity	ng_seg_beta_0	ng_seg_beta_1	graph_n_nodes	graph_n_edges	graph_n_sampled	graph_mean_edge_length	graph_mean_width	graph_total_edge_length	graph_mean_curvature	png_bytes	ng_vs_png	ng_vs_raw	image_shape	image_pixels	image_type	segmenter	n_points	n_structures	jpeg_quality	jpeg_bytes	jpeg_psnr	jpeg_ssim	jpeg_fg_psnr	jpeg_fg_ssim	jpeg_iou	jpeg_topo_q	jpeg_beta_0	jpeg_beta_1	jpeg_betti_preservation	webp_quality	webp_bytes	webp_psnr	webp_ssim	webp_fg_ssim	webp_fg_psnr	webp_topo_q	webp_iou	jp2_bytes	jp2_psnr	jp2_ssim	jp2_fg_ssim	jp2_fg_psnr	jp2_topo_q	jp2_iou	delta_fg_psnr	delta_topo_q	delta_psnr	delta_ssim	gt_available	stem
retina_green_full.png	0.996733	32.086715	0.166045	1.000000	24.359890	0.827353	136538	2	188	557	315	2.069938	94.000000	5319	5505	28175.875021	3.661299	0.000000	-0.002508	0.092944	233022.661686	0.166045	0.166045	2	188	-186	557	315	2.069938	94.000000	2	282	5319	5505	4447	5.118233	3.661299	28175.875021	0.000000	542875	3.975999	14.581443	1411x1411	1990921	dense	Learned	15946	2	84	133135	49.759239	0.991620	48.162892	0.999241	0.073100	1.000000	16	230	0.000000	95	130822	49.678891	0.991674	0.999384	48.032478	1.000000	0.073197	13939	40.765512	0.955601	0.994361	38.294577	1.000000	0.073815	-16.076177	0.000000	-25.399349	-0.164267	False	retina_green_full
retina_tile_000.png	0.996305	33.031588	0.124468	0.928161	25.986835	0.796517	8599	9	5	23	31	1.969231	0.555556	260	256	1367.396103	3.691285	0.000000	-0.003422	-0.014115	4257.557869	0.124468	0.124468	9	5	4	23	31	1.969231	0.555556	9	5	260	256	206	5.341391	3.691285	1367.396103	0.000000	17682	2.056286	7.621351	256x256	65536	dense	Learned	1131	9	95	8242	56.411797	0.998234	54.377146	0.999727	0.138582	0.999927	1	4	0.455556	100	6684	52.228839	0.995360	0.999511	50.818487	0.999590	0.138558	249	26.620870	0.758945	0.913998	21.808048	0.994483	0.144244	-21.345558	-0.071765	-30.424962	-0.201716	False	retina_tile_000
retina_tile_001.png	0.996317	33.802724	0.565087	0.931711	26.141126	0.796778	9648	10	2	18	34	1.944637	0.200000	289	281	1520.810317	3.847129	0.000000	-0.003452	0.434185	5645.819664	0.565087	0.565087	10	2	8	18	34	1.944637	0.200000	10	2	289	281	237	5.412136	3.847129	1520.810317	0.000000	22634	2.345978	6.792703	256x256	65536	dense	Learned	1429	10	94	9587	54.831222	0.997436	54.049719	0.999769	0.130901	0.999937	1	4	0.050000	100	8846	50.843150	0.993683	0.999606	50.895376	0.999158	0.130990	244	26.562380	0.784996	0.938562	22.512112	0.999998	0.131485	-20.246995	-0.068227	-28.690095	-0.200658	False	retina_tile_001
retina_tile_002.png	0.998461	33.080245	0.008694	0.719729	28.512950	0.862803	3394	5	0	2	12	1.841270	0.000000	63	58	338.681241	4.275733	0.000000	-0.001163	-0.045407	3021.743298	0.008694	0.008694	5	0	5	2	12	1.841270	0.000000	5	0	63	58	49	5.839332	4.275733	338.681241	0.000000	19901	5.863583	19.309369	256x256	65536	dense	Meijering	488	5	71	3390	46.952740	0.983986	44.448589	0.999624	0.054101	0.986700	1	0	0.600000	91	3208	47.567574	0.986433	0.999667	44.949731	0.986431	0.054109	596	38.733869	0.944373	0.997236	34.228608	0.992250	0.054112	-11.368344	-0.266971	-18.439790	-0.121183	False	retina_tile_002
retina_tile_003.png	0.994315	33.174736	0.264374	0.993126	31.989046	0.892875	6963	3	6	28	22	2.032967	2.000000	182	185	850.239682	3.773643	0.000000	-0.005586	0.000639	6442.843437	0.264374	0.264374	3	6	-3	28	22	2.032967	2.000000	3	7	182	185	132	4.595890	3.773643	850.239682	0.000000	12317	1.768921	9.412035	256x256	65536	dense	Learned	1099	3	96	6512	58.163798	0.998849	53.322375	0.999902	0.263735	0.999731	1	0	0.166667	100	4552	54.293940	0.997011	0.999812	50.440492	0.999731	0.263691	278	29.875287	0.760682	0.978049	23.450138	0.999910	0.251707	-20.147639	-0.006605	-26.174752	-0.105974	False	retina_tile_003
retina_tile_004.png	0.996603	33.065464	0.116553	0.892740	27.501084	0.842607	6843	8	1	12	27	1.925532	0.125000	188	181	1016.719913	3.989919	0.000000	-0.002829	0.008339	4360.513926	0.116553	0.116553	8	1	7	12	27	1.925532	0.125000	8	0	188	181	149	5.617237	3.989919	1016.719913	0.000000	17849	2.608359	9.577086	256x256	65536	dense	Learned	922	8	92	6763	53.824221	0.996818	51.508556	0.999432	0.108214	0.999780	1	5	0.000000	100	6752	52.386252	0.995413	0.999543	51.066060	0.999907	0.108122	275	28.950512	0.840175	0.938140	22.967779	0.994142	0.109240	-18.443092	-0.107040	-26.323136	-0.154211	False	retina_tile_004
retina_tile_005.png	0.994566	33.153676	0.663708	0.831783	27.666140	0.801395	7385	8	0	5	21	1.901840	0.000000	163	155	845.004184	5.631081	0.000000	-0.004835	0.646411	6437.999249	0.663708	0.663708	8	0	8	5	21	1.901840	0.000000	8	0	163	155	137	5.451640	5.631081	845.004184	0.000000	26143	3.540014	8.874204	256x256	65536	dense	Meijering	947	8	85	6946	48.254209	0.989925	47.139037	0.999401	0.017297	0.970653	14	30	0.000000	95	6950	48.011776	0.990053	0.999251	46.254660	0.927956	0.016654	278	27.358485	0.784425	0.968270	23.805379	0.988667	0.034870	-13.985361	-0.138870	-20.588069	-0.188530	False	retina_tile_005
retina_tile_006.png	0.996301	34.806671	0.196367	0.942444	30.416841	0.877129	4814	4	0	2	10	1.933333	0.000000	120	116	659.369624	5.409238	0.000000	-0.002982	0.174561	3570.045471	0.196367	0.196367	4	0	4	2	10	1.933333	0.000000	4	0	120	116	108	5.684221	5.409238	659.369624	0.000000	22266	4.625260	13.613627	256x256	65536	sparse	Otsu	564	4	80	4741	48.168808	0.987986	46.075671	0.999283	0.021806	0.939251	20	51	0.000000	94	4790	48.202835	0.988479	0.999288	45.741490	0.963025	0.027710	407	36.183177	0.908119	0.986773	31.901566	0.999965	0.032958	-11.269000	0.003193	-17.751968	-0.110857	False	retina_tile_006
retina_tile_007.png	0.998253	33.925190	0.820896	0.773498	30.571433	0.883974	3262	4	0	0	8	1.864407	0.000000	59	55	315.367532	4.878091	0.000000	-0.001303	0.815962	2661.509275	0.820896	0.820896	4	0	4	0	8	1.864407	0.000000	4	0	59	55	51	5.733955	4.878091	315.367532	0.000000	20311	6.226548	20.090742	256x256	65536	dense	Meijering	474	4	69	3204	46.875076	0.983640	44.185269	0.999555	0.004933	0.999920	6	40	0.000000	91	3004	47.272691	0.985380	0.999530	44.023045	0.999447	0.004683	669	40.601314	0.954867	0.997476	36.131458	1.000000	0.004201	-10.260079	-0.226422	-16.303642	-0.099666	False	retina_tile_007
retina_tile_008.png	0.997988	33.394777	0.637426	0.930921	26.904509	0.812909	7989	8	4	26	36	1.967480	0.500000	246	242	1249.153462	3.079095	0.000000	-0.001808	0.596894	4979.967117	0.637426	0.637426	8	4	4	26	36	1.967480	0.500000	8	7	246	242	184	5.161791	3.079095	1249.153462	0.000000	21452	2.685192	8.203280	256x256	65536	dense	Learned	1141	8	92	7862	53.248113	0.995969	51.991880	0.999797	0.040532	0.979349	7	11	0.651786	100	7722	50.940383	0.993348	0.999754	50.388202	0.986341	0.040135	277	32.224391	0.886913	0.979193	25.520330	1.000000	0.098794	-18.597103	-0.048428	-26.343605	-0.183060	False	retina_tile_008
