filename	gt_iou	seg_iou	seg_f1	seg_precision	seg_recall	gt_fg_ssim	gt_fg_psnr	ng_fg_ssim	ng_fg_psnr	ng_iou	ng_topo_q	topo_preservation	ng_psnr	ng_ssim	ng_bytes	graph_n_components	graph_n_cycles	graph_n_junctions	graph_n_endpoints	graph_mean_degree	graph_complexity	n_nodes	n_edges	total_edge_length	mean_width_px	mean_curvature	delta_gt_iou	delta_gt_fg_psnr	delta_gt_fg_ssim	delta_fg_ssim	delta_iou	total_time_ms	self_iou	ng_recon_iou	ng_n_components	ng_n_cycles	ng_euler_characteristic	ng_n_junctions	ng_n_endpoints	ng_mean_degree	ng_graph_complexity	ng_seg_beta_0	ng_seg_beta_1	graph_n_nodes	graph_n_edges	graph_n_sampled	graph_mean_edge_length	graph_mean_width	graph_total_edge_length	graph_mean_curvature	png_bytes	ng_vs_png	ng_vs_raw	image_shape	image_pixels	image_type	segmenter	n_points	n_structures	jpeg_quality	jpeg_bytes	jpeg_psnr	jpeg_ssim	jpeg_fg_psnr	jpeg_fg_ssim	jpeg_iou	jpeg_topo_q	jpeg_beta_0	jpeg_beta_1	jpeg_betti_preservation	webp_quality	webp_bytes	webp_psnr	webp_ssim	webp_fg_ssim	webp_fg_psnr	webp_topo_q	webp_iou	jp2_bytes	jp2_psnr	jp2_ssim	jp2_fg_ssim	jp2_fg_psnr	jp2_topo_q	jp2_iou	delta_fg_psnr	delta_topo_q	delta_psnr	delta_ssim	gt_available	pre_gt_iou	pre_ng_psnr	pre_ng_ssim	pre_ng_fg_psnr	gt_topology_q	recon_topology_q	jpeg_gt_iou	jpeg_gt_fg_psnr	jpeg_gt_fg_ssim	stem
21.png	0.110277	0.611155	0.758655	0.711304	0.812759	0.995200	25.971585	0.997816	32.396210	0.112958	1.000000	1.000280	21.478379	0.643772	32458	7	201	355	61	2.086222	28.714286	4500	4694	8048.862766	2.072459	0.072335	0.000486	-15.535617	-0.004665	-0.001990	0.001477	16828.619719	0.112958	0.112958	7	201	-194	355	61	2.086222	28.714286	7	27	4500	4694	4084	1.714713	2.072459	8048.862766	0.072335	151363	4.663350	10.165753	584x565	329960	dense	Learned	4700	7	83	32040	43.395704	0.968906	42.049285	0.999806	0.111481	0.316139	1	0	0.071429	91	32002	44.512547	0.975004	0.999836	42.916870	0.316139	0.111466	1666	33.099025	0.856482	0.996610	28.525185	0.999720	0.111506	-9.653075	0.683861	-21.917325	-0.325134	True	0.110298	21.474330	0.643744	32.393737	0.999720	1.000000	0.109791	41.507201	0.999865	21
22.png	0.133316	0.579379	0.733680	0.796612	0.679962	0.993974	27.536170	0.998257	33.121458	0.105895	0.999947	1.000000	23.174860	0.687795	29333	12	99	226	72	2.042553	8.250000	4089	4176	7402.110458	1.967539	0.080215	0.000958	-13.616225	-0.005821	-0.001545	0.002209	11443.703175	0.105895	0.105895	12	99	-87	226	72	2.042553	8.250000	13	9	4089	4176	3791	1.772536	1.967539	7402.110458	0.080215	150746	5.139127	11.248764	584x565	329960	dense	Learned	4289	13	81	29288	43.137023	0.968204	41.368685	0.999802	0.103686	1.000000	1	12	0.371795	90	26916	44.018137	0.972311	0.999836	42.170662	0.999994	0.103769	1657	33.339393	0.852068	0.996925	28.076418	1.000000	0.103885	-8.247227	-0.000053	-19.962163	-0.280409	True	0.133356	23.172312	0.687816	33.133787	1.000000	1.000000	0.132358	41.152395	0.999795	22
23.png	0.094435	0.514187	0.679159	0.641445	0.721585	0.996212	26.702435	0.998111	33.116387	0.096717	0.999946	0.998737	20.770371	0.638752	27886	11	143	292	70	2.068768	13.000000	3839	3971	6872.152646	2.097565	0.075597	-0.001114	-14.528273	-0.003649	-0.001647	0.000796	14644.428015	0.096717	0.096717	11	143	-132	292	70	2.068768	13.000000	12	17	3839	3971	3477	1.730585	2.097565	6872.152646	0.075597	150805	5.407911	11.832461	584x565	329960	dense	Learned	4039	12	77	27336	42.855208	0.971162	41.933250	0.999758	0.095921	1.000000	1	28	0.218137	90	27108	43.979344	0.974671	0.999804	42.407431	1.000000	0.095960	1650	31.525217	0.808595	0.996022	27.491029	1.000000	0.096609	-8.816863	-0.000054	-22.084838	-0.332410	True	0.094470	20.767134	0.638691	33.122446	1.000000	0.998737	0.095548	41.230708	0.999862	23
24.png	0.166630	0.637641	0.778731	0.834200	0.730179	0.991395	25.406286	0.997412	32.285750	0.134361	1.000000	1.000000	20.471318	0.607589	35601	6	197	390	79	2.078828	32.833333	4846	5037	9118.545233	2.162977	0.080995	-0.003153	-16.545032	-0.008378	-0.002356	-0.002036	14424.950838	0.134361	0.134361	6	197	-191	390	79	2.078828	32.833333	6	24	4846	5037	4377	1.810313	2.162977	9118.545233	0.080995	152792	4.291790	9.268279	584x565	329960	dense	Learned	5046	6	84	34892	43.503988	0.972583	42.149839	0.999767	0.136397	0.368716	1	0	0.083333	92	35338	44.985668	0.979296	0.999816	43.133149	0.405479	0.136388	1323	30.617788	0.811767	0.994474	25.867680	1.000000	0.136229	-9.864090	0.631284	-23.032670	-0.364995	True	0.166198	20.469645	0.607488	32.299353	1.000000	1.000000	0.169783	41.951318	0.999773	24
25.png	0.141683	0.576317	0.731220	0.811657	0.665288	0.992901	27.575059	0.998079	33.688426	0.109263	0.999981	0.999955	25.078760	0.722060	24678	11	116	250	64	2.063617	10.545455	3301	3406	6976.796749	2.130934	0.075005	0.001110	-13.988759	-0.006834	-0.001660	0.002974	12617.189169	0.109263	0.109263	11	116	-105	250	64	2.063617	10.545455	11	14	3301	3406	2987	2.048384	2.130934	6976.796749	0.075005	145763	5.906597	13.370614	584x565	329960	sparse	Learned	3421	11	79	24086	43.252241	0.964068	41.829608	0.999740	0.106289	1.000000	1	9	0.366883	90	24540	44.162885	0.969797	0.999777	42.686157	0.999792	0.106293	1992	36.535045	0.899066	0.998149	32.505162	1.000000	0.106638	-8.141182	-0.000019	-18.173481	-0.242008	True	0.141659	25.074070	0.722161	33.705015	1.000000	0.999955	0.140573	41.563819	0.999736	25
26.png	0.121808	0.639162	0.779865	0.814076	0.748413	0.993158	29.445764	0.997903	34.577527	0.110555	1.000000	1.000000	27.131566	0.766130	24695	4	133	269	55	2.073968	33.250000	3488	3617	6546.139895	2.283267	0.092205	-0.000436	-12.384071	-0.006413	-0.001713	0.000724	15456.722021	0.110555	0.110555	4	133	-129	269	55	2.073968	33.250000	4	11	3488	3617	3164	1.809826	2.283267	6546.139895	0.092205	146066	5.914801	13.361409	584x565	329960	dense	Learned	3688	4	79	24424	43.244885	0.964003	41.949057	0.999617	0.109831	0.999980	1	4	0.306818	89	22470	43.608072	0.967076	0.999600	41.709755	0.820934	0.109824	1995	36.452331	0.891535	0.997274	32.398706	1.000000	0.109756	-7.371530	0.000020	-16.113319	-0.197873	True	0.121620	27.139974	0.766422	34.587571	1.000000	1.000000	0.122243	41.829835	0.999572	26
27.png	0.130124	0.586711	0.739531	0.719411	0.760809	0.994577	26.521694	0.997511	32.190112	0.122286	1.000000	1.000000	22.536885	0.653111	34302	7	213	412	71	2.086066	30.428571	4787	4993	8823.082246	2.078864	0.076914	0.000946	-14.345457	-0.005261	-0.002235	0.002203	13153.996229	0.122286	0.122286	7	213	-206	412	71	2.086066	30.428571	7	34	4787	4993	4304	1.767090	2.078864	8823.082246	0.076914	154288	4.497930	9.619264	584x565	329960	dense	Learned	4987	7	83	33362	43.055411	0.967489	41.278897	0.999745	0.120082	0.617107	1	0	0.071429	91	33628	44.342770	0.974835	0.999806	42.688146	0.820934	0.120083	1311	31.933320	0.826304	0.995555	27.116800	0.999684	0.120191	-9.088785	0.382893	-20.518525	-0.314378	True	0.130140	22.533817	0.653151	32.190159	1.000000	1.000000	0.129178	40.867151	0.999838	27
28.png	0.144829	0.614702	0.761381	0.782291	0.741560	0.992107	25.979692	0.997561	32.017415	0.130104	0.999997	1.000000	22.971198	0.645969	33011	8	164	323	72	2.070829	20.500000	4405	4561	8259.534385	2.133938	0.089480	0.001726	-14.745206	-0.007676	-0.002194	0.004309	13516.992331	0.130104	0.130104	8	164	-156	323	72	2.070829	20.500000	11	22	4405	4561	4010	1.810904	2.133938	8259.534385	0.089480	155392	4.707279	9.995456	584x565	329960	dense	Learned	4605	11	82	31854	42.869165	0.966379	41.053040	0.999755	0.125795	0.859142	1	0	0.045455	90	29214	43.648955	0.970777	0.999766	41.735645	0.982403	0.125771	1316	31.996743	0.816557	0.995639	27.103402	0.999979	0.126008	-9.035624	0.140855	-19.897967	-0.320410	True	0.144806	22.974041	0.645889	32.023066	1.000000	1.000000	0.143103	40.724899	0.999783	28
29.png	0.128098	0.626115	0.770075	0.776350	0.763900	0.994479	30.173448	0.997704	34.093300	0.124413	1.000000	1.000000	27.669235	0.765218	23704	5	167	350	66	2.104550	33.400000	3099	3261	7209.781597	2.204154	0.090012	0.005313	-10.809051	-0.005076	-0.001865	0.007384	14429.252386	0.124413	0.124413	5	167	-162	350	66	2.104550	33.400000	6	22	3099	3261	2683	2.210911	2.204154	7209.781597	0.090012	146821	6.193934	13.920013	584x565	329960	sparse	Learned	3219	6	77	23093	43.043940	0.963349	41.116584	0.999569	0.117029	1.000000	1	27	0.469697	89	22932	43.642465	0.968260	0.999618	41.454356	1.000000	0.116973	1987	36.409790	0.889521	0.997090	31.908642	1.000000	0.117515	-7.023285	-0.000000	-15.374705	-0.198132	True	0.128083	27.670057	0.765622	34.092232	1.000000	1.000000	0.122786	40.982499	0.999555	29
30.png	0.111078	0.599928	0.749944	0.727243	0.774108	0.994277	30.034612	0.997884	34.991993	0.117582	1.000000	1.000000	26.256944	0.770305	23152	5	170	317	49	2.102548	34.000000	3218	3383	7347.308509	2.223605	0.088483	-0.003886	-12.062649	-0.005318	-0.001713	-0.003281	16060.097456	0.117582	0.117582	5	170	-165	317	49	2.102548	34.000000	5	29	3218	3383	2852	2.171832	2.223605	7347.308509	0.088483	143220	6.186075	14.251900	584x565	329960	sparse	Learned	3338	5	79	22920	43.348243	0.963604	42.277228	0.999598	0.120863	0.273851	1	0	0.100000	90	22834	44.115274	0.968433	0.999633	42.664394	0.996151	0.120846	2315	37.397368	0.905812	0.997110	32.982711	1.000000	0.120817	-7.285235	0.726149	-17.091298	-0.193299	True	0.111095	26.264305	0.770537	35.006071	1.000000	1.000000	0.114964	42.097262	0.999595	30
