filename	gt_iou	seg_iou	seg_f1	seg_precision	seg_recall	gt_fg_ssim	gt_fg_psnr	ng_fg_ssim	ng_fg_psnr	ng_iou	ng_topo_q	topo_preservation	ng_psnr	ng_ssim	ng_bytes	graph_n_components	graph_n_cycles	graph_n_junctions	graph_n_endpoints	graph_mean_degree	graph_complexity	n_nodes	n_edges	total_edge_length	mean_width_px	mean_curvature	delta_gt_iou	delta_gt_fg_psnr	delta_gt_fg_ssim	delta_fg_ssim	delta_iou	total_time_ms	self_iou	ng_recon_iou	ng_n_components	ng_n_cycles	ng_euler_characteristic	ng_n_junctions	ng_n_endpoints	ng_mean_degree	ng_graph_complexity	ng_seg_beta_0	ng_seg_beta_1	graph_n_nodes	graph_n_edges	graph_n_sampled	graph_mean_edge_length	graph_mean_width	graph_total_edge_length	graph_mean_curvature	png_bytes	ng_vs_png	ng_vs_raw	image_shape	image_pixels	image_type	segmenter	n_points	n_structures	jpeg_quality	jpeg_bytes	jpeg_psnr	jpeg_ssim	jpeg_fg_psnr	jpeg_fg_ssim	jpeg_iou	jpeg_topo_q	jpeg_beta_0	jpeg_beta_1	jpeg_betti_preservation	webp_quality	webp_bytes	webp_psnr	webp_ssim	webp_fg_ssim	webp_fg_psnr	webp_topo_q	webp_iou	jp2_bytes	jp2_psnr	jp2_ssim	jp2_fg_ssim	jp2_fg_psnr	jp2_topo_q	jp2_iou	delta_fg_psnr	delta_topo_q	delta_psnr	delta_ssim	gt_available	pre_gt_iou	pre_ng_psnr	pre_ng_ssim	pre_ng_fg_psnr	gt_topology_q	recon_topology_q	jpeg_gt_iou	jpeg_gt_fg_psnr	jpeg_gt_fg_ssim	stem
slice000.png	0.008098	0.816524	0.898996	0.935787	0.864988	0.970859	24.519888	0.981355	27.428088	0.007767	0.897156	0.261461	19.733392	0.275477	27853	22	172	335	74	2.264550	7.818182	1134	1284	3108.014644	2.591343	0.000000	0.005019	-2.959123	0.000417	0.004778	0.004742	70415.253639	0.007767	0.007767	22	172	-150	335	74	2.264550	7.818182	22	195	1134	1284	725	2.420572	2.591343	3108.014644	0.000000	575084	20.647112	28.235091	768x1024	786432	sparse	Learned	1602	22	10	26929	27.380232	0.685293	27.482685	0.976577	0.003025	0.603598	935	611	0.000000	8	26520	27.853468	0.682409	0.978415	28.129523	0.611152	0.001254	49545	29.166060	0.779278	0.983366	29.066686	0.468789	0.003046	-0.054597	0.293558	-7.646840	-0.409816	True	0.008058	19.733652	0.275613	27.513212	0.638091	0.166836	0.003079	27.479011	0.970442	slice000
slice018.png	0.008031	0.789368	0.882287	0.916535	0.850507	0.970433	24.482144	0.981710	27.525677	0.010107	0.890000	0.294170	19.756945	0.274352	26562	22	155	301	69	2.252372	7.045455	1054	1187	3000.546607	2.874950	0.000000	0.005589	-2.978469	0.000453	0.005212	0.005157	65696.188927	0.010107	0.010107	22	155	-133	301	69	2.252372	7.045455	22	177	1054	1187	684	2.527840	2.874950	3000.546607	0.000000	574879	21.642911	29.607409	768x1024	786432	sparse	Learned	1498	22	10	26452	27.402855	0.680004	27.476270	0.976498	0.004950	0.633436	860	585	0.000000	8	26328	27.875867	0.678511	0.978578	28.169224	0.575891	0.004547	51003	29.230721	0.780617	0.984057	29.162886	0.453029	0.005689	0.049407	0.256564	-7.645910	-0.405652	True	0.007944	19.757891	0.274566	27.640086	0.674406	0.198390	0.002442	27.460613	0.969979	slice018
slice036.png	0.005976	0.670095	0.802464	0.913945	0.715222	0.966464	24.286602	0.983961	27.232630	0.005734	0.927879	0.256349	19.873541	0.272838	24023	17	164	308	64	2.277358	9.647059	1060	1207	2773.166881	2.448565	0.000000	0.001041	-2.773387	-0.000775	0.005251	0.003412	54263.149977	0.005734	0.005734	17	164	-147	308	64	2.277358	9.647059	17	188	1060	1207	688	2.297570	2.448565	2773.166881	0.000000	574522	23.915498	32.736627	768x1024	786432	sparse	Learned	1440	17	8	22673	26.905063	0.651479	27.032249	0.978710	0.002322	0.680146	737	559	0.000000	6	22776	27.738677	0.662324	0.980420	27.983977	0.619632	0.000748	56383	29.422831	0.789708	0.987779	29.494758	0.426805	0.002082	0.200381	0.247733	-7.031522	-0.378641	True	0.005916	19.873868	0.272923	27.306896	0.678256	0.173871	0.004935	27.059989	0.967240	slice036
slice054.png	0.007576	0.825536	0.904432	0.971526	0.846006	0.970463	24.702783	0.982294	27.335162	0.006960	0.902607	0.281414	19.890865	0.278808	25531	20	156	301	80	2.259542	7.800000	1048	1184	2884.061325	2.460817	0.000000	0.004877	-2.597040	0.001323	0.004847	0.004448	54449.172735	0.006960	0.006960	20	156	-136	301	80	2.259542	7.800000	20	188	1048	1184	667	2.435863	2.460817	2884.061325	0.000000	574217	22.490972	30.803024	768x1024	786432	sparse	Learned	1481	20	9	24336	27.207176	0.663691	27.285962	0.977447	0.002512	0.652374	801	605	0.000000	7	24338	27.829400	0.665878	0.979153	28.128200	0.656105	0.001163	52424	29.314909	0.780278	0.985439	29.274273	0.452519	0.002591	0.049200	0.250233	-7.316310	-0.384883	True	0.007532	19.891037	0.278920	27.400468	0.590574	0.166196	0.002699	27.299823	0.969140	slice054
slice072.png	0.003459	0.844240	0.915543	0.909538	0.921627	0.983559	24.988488	0.987901	27.500722	0.004464	0.821827	0.487262	19.886454	0.268659	17419	16	103	208	55	2.256637	6.437500	678	765	1718.238816	2.385069	0.000000	0.001697	-1.090602	0.004936	0.006660	0.001268	43167.441368	0.004464	0.004464	16	103	-87	208	55	2.256637	6.437500	16	121	678	765	415	2.246064	2.385069	1718.238816	0.000000	574452	32.978472	45.147942	768x1024	786432	sparse	Learned	929	16	5	16762	25.528758	0.576539	26.099313	0.981241	0.003196	0.829483	464	440	0.000000	2	16324	27.231633	0.625904	0.983360	27.595394	0.757513	0.001723								1.401409	-0.007656	-5.642305	-0.307881	True	0.003472	19.887826	0.268695	27.515170	0.501549	0.244386	0.001763	26.079090	0.978623	slice072
slice091.png	0.003241	0.876455	0.934161	0.931976	0.936355	0.989170	23.688921	0.992484	27.293427	0.001453	0.896112	0.714672	19.801807	0.261568	12364	9	82	150	32	2.288538	9.111111	506	579	1267.479364	2.134117	0.000000	0.003237	-0.142065	0.005922	0.006837	0.001410	32065.263510	0.001453	0.001453	9	82	-73	150	32	2.288538	9.111111	9	94	506	579	324	2.189084	2.134117	1267.479364	0.000000	574232	46.443869	63.606600	768x1024	786432	sparse	Learned	700	9	2	11851	23.123873	0.417249	23.842116	0.985647	0.000044	0.833974	269	101	0.000000																3.451310	0.062138	-3.322066	-0.155680	True	0.003170	19.802883	0.261634	27.380898	0.422525	0.301967	0.000005	23.830986	0.983248	slice091
slice109.png	0.001320	0.803011	0.890744	0.898448	0.883171	0.990086	24.144588	0.992977	27.718972	0.001481	0.764647	0.987858	19.680369	0.262679	11857	12	53	105	37	2.214660	4.416667	382	423	1050.187950	2.619331	0.000000	0.001302	0.025009	0.005696	0.006773	0.001159	44048.207760	0.001481	0.001481	12	53	-41	105	37	2.214660	4.416667	12	64	382	423	240	2.482714	2.619331	1050.187950	0.000000	574546	48.456271	66.326389	768x1024	786432	sparse	Learned	676	12	2	11825	23.132019	0.417419	23.945311	0.986205	0.000323	0.860373	246	96	0.000000																3.773661	-0.095726	-3.451650	-0.154741	True	0.001294	19.680287	0.262699	27.761529	0.448437	0.442992	0.000018	24.119579	0.984390	slice109
slice127.png	0.005713	0.880461	0.936431	0.928845	0.944142	0.984775	24.603755	0.988934	27.623677	0.003770	0.894505	0.517670	19.857954	0.273796	16260	11	93	178	38	2.272879	8.454545	601	683	1556.741341	2.295474	0.000000	0.003782	-0.712105	0.006934	0.008493	0.001779	40327.532530	0.003770	0.003770	11	93	-82	178	38	2.272879	8.454545	11	109	601	683	385	2.279270	2.295474	1556.741341	0.000000	573775	35.287515	48.366052	768x1024	786432	sparse	Learned	866	11	4	14603	24.788884	0.526605	25.288910	0.980441	0.001991	0.851337	405	388	0.000000	2	16020	27.261159	0.621720	0.983842	27.423906	0.783133	0.001212								2.334767	0.043168	-4.930930	-0.252809	True	0.005671	19.858956	0.273850	27.683226	0.551487	0.285488	0.001931	25.315860	0.977841	slice127
slice145.png	0.003177	0.878852	0.935520	0.940192	0.930895	0.984731	25.280973	0.988932	27.644806	0.003984	0.871265	0.554711	20.076490	0.277016	16292	12	87	162	40	2.262238	7.250000	572	647	1528.356565	2.611362	0.000000	0.001280	0.066155	0.007860	0.008992	0.001028	48106.919527	0.003984	0.003984	12	87	-75	162	40	2.262238	7.250000	12	100	572	647	370	2.362220	2.611362	1528.356565	0.000000	573545	35.204088	48.271053	768x1024	786432	sparse	Learned	868	12	4	14447	24.795903	0.521232	25.220144	0.979940	0.002956	0.883789	371	456	0.000000	2	15710	27.277069	0.617413	0.983929	27.466247	0.840675	0.001671								2.424662	-0.012524	-4.719413	-0.244216	True	0.003133	20.077591	0.277038	27.667918	0.547391	0.303644	0.001898	25.214818	0.976870	slice145
slice164.png	0.002279	0.694207	0.819506	0.924275	0.736071	0.987705	22.977204	0.994226	27.966280	0.001956	0.880268	0.956967	19.450144	0.240876	10981	8	46	86	23	2.232416	5.750000	327	365	1032.744299	4.656136	0.000000						58858.338118	0.001956	0.001956	8	46	-38	86	23	2.232416	5.750000	8	51	327	365	218	2.829436	4.656136	1032.744299	0.000000	575513	52.409890	71.617521	768x1024	786432	sparse	Learned	658	8																															True	0.002269	19.449534	0.240886	27.994345	0.412998	0.395226				slice164
