filename	gt_iou	seg_iou	seg_f1	seg_precision	seg_recall	gt_fg_ssim	gt_fg_psnr	ng_fg_ssim	ng_fg_psnr	ng_iou	ng_topo_q	topo_preservation	ng_psnr	ng_ssim	ng_bytes	graph_n_components	graph_n_cycles	graph_n_junctions	graph_n_endpoints	graph_mean_degree	graph_complexity	n_nodes	n_edges	total_edge_length	mean_width_px	mean_curvature	delta_gt_iou	delta_gt_fg_psnr	delta_gt_fg_ssim	delta_fg_ssim	delta_iou	total_time_ms	self_iou	ng_recon_iou	ng_n_components	ng_n_cycles	ng_euler_characteristic	ng_n_junctions	ng_n_endpoints	ng_mean_degree	ng_graph_complexity	ng_seg_beta_0	ng_seg_beta_1	graph_n_nodes	graph_n_edges	graph_n_sampled	graph_mean_edge_length	graph_mean_width	graph_total_edge_length	graph_mean_curvature	png_bytes	ng_vs_png	ng_vs_raw	image_shape	image_pixels	image_type	segmenter	n_points	n_structures	jpeg_quality	jpeg_bytes	jpeg_psnr	jpeg_ssim	jpeg_fg_psnr	jpeg_fg_ssim	jpeg_iou	jpeg_topo_q	jpeg_beta_0	jpeg_beta_1	jpeg_betti_preservation	webp_quality	webp_bytes	webp_psnr	webp_ssim	webp_fg_ssim	webp_fg_psnr	webp_topo_q	webp_iou	jp2_bytes	jp2_psnr	jp2_ssim	jp2_fg_ssim	jp2_fg_psnr	jp2_topo_q	jp2_iou	delta_fg_psnr	delta_topo_q	delta_psnr	delta_ssim	gt_available	pre_gt_iou	pre_ng_psnr	pre_ng_ssim	pre_ng_fg_psnr	gt_topology_q	recon_topology_q	jpeg_gt_iou	jpeg_gt_fg_psnr	jpeg_gt_fg_ssim	stem
irm_in_vitro_microtubules_0.png	0.027064	0.612916	0.760010	0.733806	0.788154	0.991985	17.841950	0.996038	20.991562	0.031555	0.869123	0.329059	17.221428	0.161556	27669	39	50	104	107	2.011329	1.282051	1942	1953	4649.581853	2.465195	0.109358	0.001542	-1.407724	-0.001837	0.001839	0.004416	9511.201143	0.031555	0.031555	39	50	-11	104	107	2.011329	1.282051	40	2	1942	1953	1731	2.380738	2.465195	4649.581853	0.109358	236897	8.561820	9.474285	512x512	262144	sparse	Learned	2062	40	16	26968	20.428434	0.622691	19.256239	0.994199	0.027138	1.000000	48	6910	0.000000	2	24404	21.006701	0.683590	0.995698	20.496656	1.000000	0.032978	982	17.298552	0.120278	0.978236	13.190327	1.000000	0.023279	1.735323	-0.130877	-3.207006	-0.461135	True	0.027065	17.222716	0.161592	20.993710	0.927983	0.305361	0.025522	19.249675	0.993822	irm_in_vitro_microtubules_0
irm_in_vitro_microtubules_1.png	0.001290	0.569009	0.725310	0.622222	0.869340	0.999642	18.346053	0.999707	19.781205	0.002106	0.522886	1.967126	16.146928	0.046716	2770	5	0	0	10	1.931973	0.000000	147	142	218.107648	2.469245	0.032617						4184.237003	0.002106	0.002106	5	0	5	0	10	1.931973	0.000000	5	0	147	142	137	1.535969	2.469245	218.107648	0.032617	247631	89.397473	94.636823	512x512	262144	sparse	Learned	267	5																															True	0.001290	16.146855	0.046715	19.781040	0.508356	1.000000				irm_in_vitro_microtubules_1
irm_in_vitro_microtubules_10.png	0.014189	0.480073	0.648715	0.654263	0.643261	0.991468	13.711977	0.999046	23.332612	0.008554	0.634478	1.446349	18.731572	0.133845	11329	28	1	3	57	1.938286	0.035714	875	848	1515.376767	2.691815	0.043924	0.007234	-5.016944	-0.004705	0.001523	0.001055	4921.350718	0.008554	0.008554	28	1	27	3	57	1.938286	0.035714	28	0	875	848	815	1.787001	2.691815	1515.376767	0.043924	223008	19.684703	23.139200	512x512	262144	sparse	Learned	995	28	6	9845	20.721603	0.475875	19.086720	0.997523	0.007499	1.000000	59	3268	0.000000	1	11218	21.615951	0.482632	0.998383	20.969413	1.000000	0.009760	13215	21.841840	0.558151	0.998650	21.855220	0.999999	0.007203	4.245893	-0.365522	-1.990031	-0.342030	True	0.014180	18.732670	0.133843	23.332453	0.452650	0.654690	0.006955	18.728921	0.996173	irm_in_vitro_microtubules_10
irm_in_vitro_microtubules_11.png	0.015490	0.495297	0.662473	0.662141	0.662805	0.991354	14.203337	0.999130	24.754727	0.010710	0.586742	1.695431	19.294285	0.165870	13316	38	5	12	80	1.934589	0.131579	1009	976	1805.058008	2.597129	0.057815	0.008027	-6.418194	-0.005611	0.001311	0.002503	5655.745268	0.010710	0.010710	38	5	33	12	80	1.934589	0.131579	38	0	1009	976	917	1.849445	2.597129	1805.058008	0.057815	211498	15.882998	19.686392	512x512	262144	sparse	Learned	1129	38	7	11821	22.342416	0.599498	20.609304	0.997819	0.008207	0.999452	136	3127	0.000000	1	10810	22.779527	0.532483	0.998171	21.360941	1.000000	0.011801	2369	20.468428	0.264470	0.994135	16.290505	1.000000	0.007680	4.145423	-0.412710	-3.048130	-0.433628	True	0.015413	19.295103	0.165876	24.754084	0.437334	0.741469	0.007463	20.621531	0.996965	irm_in_vitro_microtubules_11
irm_in_vitro_microtubules_12.png	0.005321	0.563727	0.721004	0.739036	0.703832	0.996549	13.496976	0.999669	24.426713	0.004176	0.597842	2.103149	18.896804	0.106488	5290	11	0	0	22	1.938202	0.000000	356	345	526.036580	2.773757	0.029686	0.004004	-3.233455	-0.000614	0.001328	0.002468	4211.363792	0.004176	0.004176	11	0	11	0	22	1.938202	0.000000	11	0	356	345	334	1.524744	2.773757	526.036580	0.029686	214376	40.524764	49.554631	512x512	262144	sparse	Learned	476	11	3	4822	19.494200	0.271275	17.105312	0.998341	0.001708	0.545149	465	270	0.000000																7.321402	0.052693	-0.597396	-0.164786	True	0.005321	18.897160	0.106489	24.425721	0.475476	0.999996	0.001317	16.730430	0.997163	irm_in_vitro_microtubules_12
irm_in_vitro_microtubules_13.png	0.012780	0.476625	0.645560	0.828857	0.528652	0.992600	12.631242	0.999736	26.785520	0.002930	0.520609	1.643457	21.538177	0.224976	6824	21	0	1	39	1.915493	0.000000	497	476	796.705627	2.653429	0.037580	0.008669	-7.262381	-0.005114	0.000905	0.000799	4331.689358	0.002930	0.002930	21	0	21	1	39	1.915493	0.000000	21	1	497	476	457	1.673751	2.653429	796.705627	0.037580	195640	28.669402	38.415006	512x512	262144	sparse	Learned	617	21	5	5806	23.539024	0.429745	20.292249	0.998831	0.002131	0.961483	186	976	0.000000	1	6362	24.884926	0.468267	0.999200	21.821172	1.000000	0.004613	22064	28.136661	0.790276	0.999829	28.466602	0.954560	0.002527	6.493271	-0.440875	-2.000847	-0.204769	True	0.012779	21.538087	0.224980	26.787573	0.344085	0.565489	0.004111	19.893623	0.997714	irm_in_vitro_microtubules_13
irm_in_vitro_microtubules_14.png	0.010924	0.431395	0.602761	0.666956	0.549839	0.989832	11.821903	0.999643	26.696372	0.003926	0.551953	1.981021	21.232831	0.221800	7605	21	3	7	44	1.934664	0.142857	551	533	907.671140	2.712375	0.050891	0.008268	-7.875932	-0.007065	0.001083	0.000603	4664.725780	0.003926	0.003926	21	3	18	7	44	1.934664	0.142857	21	0	551	533	500	1.702948	2.712375	907.671140	0.050891	193899	25.496252	34.469954	512x512	262144	sparse	Learned	671	21	5	6352	23.484913	0.469614	20.183226	0.998560	0.003323	1.000000	9	1074	0.000000	1	6990	24.929988	0.503894	0.999063	22.053090	1.000000	0.006160	19625	28.108136	0.799601	0.999766	27.996533	0.999849	0.002636	6.513146	-0.448047	-2.252082	-0.247815	True	0.010924	21.233614	0.221810	26.694701	0.331279	0.656270	0.002656	19.697835	0.996896	irm_in_vitro_microtubules_14
irm_in_vitro_microtubules_15.png	0.017566	0.607474	0.755812	0.749128	0.762616	0.993437	16.856884	0.998514	23.592076	0.015526	0.727922	0.658190	17.215793	0.125968	17425	36	10	24	76	1.957586	0.277778	1226	1200	2637.015511	2.520881	0.093742	0.005661	-3.526788	-0.002863	0.001584	0.002896	5614.420652	0.015526	0.015526	36	10	26	24	76	1.957586	0.277778	36	0	1226	1200	1126	2.197513	2.520881	2637.015511	0.093742	222417	12.764247	15.044132	512x512	262144	sparse	Learned	1346	36	8	17057	21.215586	0.699017	20.265205	0.996930	0.012631	1.000000	66	4004	0.000000	1	15994	21.653857	0.681064	0.997471	21.067793	1.000000	0.013772	1843	17.816764	0.219719	0.988948	14.578874	1.000000	0.010717	3.326871	-0.272078	-3.999793	-0.573049	True	0.017549	17.215998	0.125994	23.596594	0.638997	0.420581	0.011905	20.383672	0.996300	irm_in_vitro_microtubules_15
irm_in_vitro_microtubules_16.png	0.018128	0.627922	0.771440	0.770304	0.772579	0.993536	16.745334	0.998398	23.026811	0.016767	0.838214	0.609477	16.920793	0.120971	18585	27	22	48	62	1.992785	0.814815	1386	1381	2731.363707	2.562410	0.070586	0.005173	-2.956599	-0.002322	0.001823	0.003111	6335.883856	0.016767	0.016767	27	22	5	48	62	1.992785	0.814815	27	0	1386	1381	1276	1.977816	2.562410	2731.363707	0.070586	228020	12.269034	14.105139	512x512	262144	sparse	Learned	1506	27	8	17400	20.460745	0.665852	19.610674	0.996576	0.013656	1.000000	65	4508	0.000000	1	18072	21.111789	0.681366	0.997389	20.728082	0.999998	0.015105	1739	17.415607	0.200796	0.988195	14.179272	1.000000	0.012427	3.416137	-0.161786	-3.539952	-0.544880	True	0.018140	16.920571	0.120968	23.030562	0.682522	0.415982	0.012955	19.701933	0.995858	irm_in_vitro_microtubules_16
irm_in_vitro_microtubules_17.png	0.004031	0.630355	0.773274	0.713694	0.843706	0.998533	17.537811	0.999371	21.250599	0.004865	0.617107	0.976207	14.832734	0.048169	6336	12	0	2	26	1.942584	0.000000	418	406	681.076306	2.559998	0.045872						4269.899607	0.004865	0.004865	12	0	12	2	26	1.942584	0.000000	13	1	418	406	390	1.677528	2.559998	681.076306	0.045872	246960	38.977273	41.373737	512x512	262144	sparse	Learned	538	13																				24130	18.653327	0.705787	0.998781	18.334194	0.996661	0.004773					True	0.004032	14.832478	0.048167	21.250092	0.613811	0.599206				irm_in_vitro_microtubules_17
irm_in_vitro_microtubules_18.png	0.004909	0.531952	0.694476	0.788836	0.620279	0.997378	14.193968	0.999613	23.472078	0.001941	0.547967	1.476520	18.264375	0.083256	4369	10	0	0	20	1.926740	0.000000	273	263	439.190909	2.734970	0.048153						4069.013596	0.001941	0.001941	10	0	10	0	20	1.926740	0.000000	10	0	273	263	253	1.669927	2.734970	439.190909	0.048153	220378	50.441291	60.000916	512x512	262144	sparse	Learned	393	10																															True	0.004902	18.263554	0.083253	23.470023	0.460859	0.680467				irm_in_vitro_microtubules_18
irm_in_vitro_microtubules_19.png	0.005180	0.670174	0.802520	0.763310	0.845977	0.998920	19.592395	0.999658	24.674786	0.006806	0.683815	1.111843	21.741669	0.189142	7256	14	2	4	27	1.958478	0.142857	578	566	900.452886	2.627703	0.043425	0.000752	0.449155	0.000223	0.000782	0.001366	4165.082693	0.006806	0.006806	14	2	12	4	27	1.958478	0.142857	14	0	578	566	547	1.590906	2.627703	900.452886	0.043425	205088	28.264609	36.127894	512x512	262144	sparse	Learned	698	14	6	6202	22.898590	0.361194	19.380211	0.998876	0.005441	1.000000	7	1511	0.000000	1	6806	23.852163	0.394043	0.999238	20.929342	1.000000	0.008564	20959	26.212435	0.712351	0.999724	25.342778	1.000000	0.006100	5.294575	-0.316185	-1.156920	-0.172051	True	0.005165	21.740385	0.189132	24.676223	0.627959	0.698192	0.004428	19.143239	0.998697	irm_in_vitro_microtubules_19
irm_in_vitro_microtubules_2.png	0.005348	0.244347	0.392732	0.500406	0.323190	0.997803	12.406688	0.999682	19.547842	0.001745	0.588522	2.884731	15.545553	0.041975	3094	5	0	0	10	1.942529	0.000000	174	169	248.066017	2.505992	0.025898						3583.523989	0.001745	0.001745	5	0	5	0	10	1.942529	0.000000	5	0	174	169	164	1.467846	2.505992	248.066017	0.025898	249873	80.760504	84.726568	512x512	262144	sparse	Learned	294	5																															True	0.005348	15.545545	0.041973	19.550393	0.291220	0.840092				irm_in_vitro_microtubules_2
