filename,gt_iou,seg_iou,seg_f1,seg_precision,seg_recall,gt_fg_ssim,gt_fg_psnr,ng_fg_ssim,ng_fg_psnr,ng_iou,ng_topo_q,topo_preservation,ng_psnr,ng_ssim,ng_bytes,graph_n_components,graph_n_cycles,graph_n_junctions,graph_n_endpoints,graph_mean_degree,graph_complexity,n_nodes,n_edges,total_edge_length,mean_width_px,mean_curvature,delta_gt_iou,delta_gt_fg_psnr,delta_gt_fg_ssim,delta_fg_ssim,delta_iou,total_time_ms,self_iou,ng_recon_iou,ng_n_components,ng_n_cycles,ng_euler_characteristic,ng_n_junctions,ng_n_endpoints,ng_mean_degree,ng_graph_complexity,ng_seg_beta_0,ng_seg_beta_1,graph_n_nodes,graph_n_edges,graph_n_sampled,graph_mean_edge_length,graph_mean_width,graph_total_edge_length,graph_mean_curvature,png_bytes,ng_vs_png,ng_vs_raw,image_shape,image_pixels,image_type,segmenter,n_points,n_structures,jpeg_quality,jpeg_bytes,jpeg_psnr,jpeg_ssim,jpeg_fg_psnr,jpeg_fg_ssim,jpeg_iou,jpeg_topo_q,jpeg_beta_0,jpeg_beta_1,jpeg_betti_preservation,webp_quality,webp_bytes,webp_psnr,webp_ssim,webp_fg_ssim,webp_fg_psnr,webp_topo_q,webp_iou,jp2_bytes,jp2_psnr,jp2_ssim,jp2_fg_ssim,jp2_fg_psnr,jp2_topo_q,jp2_iou,delta_fg_psnr,delta_topo_q,delta_psnr,delta_ssim,gt_available,pre_gt_iou,pre_ng_psnr,pre_ng_ssim,pre_ng_fg_psnr,gt_topology_q,recon_topology_q,jpeg_gt_iou,jpeg_gt_fg_psnr,jpeg_gt_fg_ssim,stem
im0001.png,0.08604039600459648,0.6216297880252882,0.766672877639066,0.7435362802335279,0.7912956004615521,0.9953383809848643,29.95082849694255,0.9983385451132697,34.21443585412519,0.09792238801556823,0.9999999999904391,0.8404751477723784,24.871341351556353,0.7213304065574151,28741,6,241,470,97,2.1355638880876837,40.166666666666664,3467,3702,8976.479215511848,2.4109008087697896,0.10734158685914186,-0.006264207243002154,-14.318921984080134,-0.004392947837764893,-0.001457672488185957,-0.002332373364421658,28384.932279586792,0.09792238801556823,0.09792238801556823,6,241,-235,470,97,2.1355638880876837,40.166666666666664,6,24,3467,3702,2900,2.424764779986979,2.4109008087697896,8976.479215511848,0.10734158685914186,185340,6.448627396402352,14.735047493128283,605x700,423500,sparse,Learned,3587,6,76,28735,43.94694533666236,0.9695868231812432,44.12669849154718,0.9997962176014557,0.10025476137998988,0.9837148234655078,32,73,0.0,90,28092,44.39083391454535,0.9725062941547343,0.9997713758254252,43.895316086046904,0.9900315814986532,0.10013383583883961,2955,36.71665685034589,0.9066054921194064,0.998346978897672,33.49171605697738,0.9999891787633706,0.10190267699962972,-9.912262637421989,0.016285176524931333,-19.075603985106007,-0.24825641662382814,True,0.08592452371569888,24.870850749926213,0.7213035701593408,34.23454093517208,1.0,0.8404751477723784,0.09230460324759863,44.26975048102268,0.9997313288226292,im0001
im0002.png,0.06735608029641099,0.6298830909609353,0.7729181245626312,0.7629079606285616,0.7831944690657685,0.9980632656787091,31.778806571207756,0.9988718620918843,35.20175992362863,0.0662573477788026,0.9999999007589686,0.8117529343612532,26.00621092102952,0.761598243203705,26100,7,125,249,57,2.0665351000845784,17.857142857142858,3547,3665,6668.181525466264,2.5503583183280507,0.08737872185616663,-0.0007939973786717791,-12.251219132799488,-0.0018018046369846497,-0.0009333202003041219,-0.00047860352399600736,19704.277276992798,0.0662573477788026,0.0662573477788026,7,125,-118,249,57,2.0665351000845784,17.857142857142858,7,18,3547,3665,3241,1.8194219714778286,2.5503583183280507,6668.181525466264,0.08737872185616663,187261,7.174750957854406,16.226053639846743,605x700,423500,dense,Learned,3747,7,75,25427,43.48228840810765,0.9664596631502969,43.81114279152152,0.9998051822921884,0.06673595130279861,0.9397258802557896,61,128,0.0,89,24650,43.821946615269496,0.9693817602083072,0.9997893464558599,43.39427677767232,0.9781643325871112,0.06716546066240467,3336,37.749918455815134,0.921165142879558,0.9988617354368331,34.90763940963944,0.9667881482004521,0.07162557228749518,-8.60938286789289,0.06027402050317898,-17.47607748707813,-0.2048614199465919,True,0.0673793536009445,26.007407992669826,0.76157712382198,35.22723909842479,1.0,0.8117529343612532,0.06815007767508277,44.030025704007244,0.9998650703156937,im0002
im0003.png,0.07400055857006065,0.6637386038464098,0.797888084476621,0.8090197509834935,0.7870585914381535,0.9978932606306123,29.320046036412744,0.9988100103520643,33.68388499034913,0.07180573381835594,0.9999999999998631,0.9999962620917625,24.21350621731227,0.7146170439507329,19387,2,113,208,42,2.1032558139534885,56.5,2150,2261,5386.771374480527,2.629799172989158,0.09850182599691738,-0.0012751357532527208,-12.187838088180545,-0.001933916652418377,-0.0009349961525669803,-0.0012926707376558072,17543.26820373535,0.07180573381835594,0.07180573381835594,2,113,-111,208,42,2.1032558139534885,56.5,3,16,2150,2261,1900,2.3824729652722585,2.629799172989158,5386.771374480527,0.09850182599691738,189690,9.784391602620312,21.844534997678856,605x700,423500,sparse,Learned,2270,3,52,19384,41.770241895337996,0.9578026682835085,41.19851366000545,0.9997450065046313,0.07309840455601174,0.9999999999999999,3,55,0.0,84,18424,42.87144446519279,0.9652306304875145,0.9998170712136798,42.10232882685435,1.0,0.07384728667900362,19918,42.698255575423616,0.96417345188812,0.9998209566314792,42.290514221819436,0.9999999994575905,0.0723243917493125,-7.514628669656325,-1.3677947663381929e-13,-17.556735678025728,-0.24318562433277557,True,0.07399650263632072,24.21150857713579,0.7146376973431718,33.709714814897275,0.9999984230216836,0.9999946851193408,0.07527569432331337,41.50788412459329,0.9998271772830307,im0003
im0004.png,0.09067311685714725,0.6065455554014699,0.7550928803259445,0.8243431716235063,0.6965758878802357,0.9964635746096957,29.652162766033,0.9991056304773023,34.62473211963469,0.0784762818553582,0.9997387414426984,0.9679755345643788,24.940488919644288,0.7666379674768051,22779,12,102,221,71,2.0631357418449667,8.5,2851,2941,6740.281097023469,2.289109723353043,0.0960640988343197,0.0005442507827903842,-16.091336553886222,-0.0033836809802301193,-0.0008112181707357058,0.0027348954692863886,16932.552576065063,0.0784762818553582,0.0784762818553582,12,102,-90,221,71,2.0631357418449667,8.5,14,7,2851,2941,2559,2.291833082972966,2.289109723353043,6740.281097023469,0.0960640988343197,171305,7.520303788577198,18.591685324202118,605x700,423500,sparse,Learned,2971,14,76,21807,44.22401284538914,0.9681297286561017,45.67112532546497,0.999916848648038,0.07574138638607181,0.9679061517043188,22,14,0.2142857142857143,90,21420,44.72953842203342,0.971467903221621,0.9999066984059819,45.11796695682949,0.999577786733191,0.07574369018144193,3631,40.59784425196567,0.9444933760528156,0.9996790159179285,38.12614050452895,0.9999997375836135,0.07605367535307855,-11.046393205830277,0.031832589738379546,-19.283523925744852,-0.20149176117929657,True,0.09075445921764061,24.9419869541568,0.7666580470449338,34.636985887172905,0.9999773729312561,0.9679536321154157,0.09012886607435687,45.74349931991922,0.9998472555899258,im0004
im0005.png,0.11737108054746846,0.6862988075754033,0.8139705780402923,0.866739502746117,0.7672582795305434,0.9959493926884858,27.645185862089207,0.9987332629536922,32.99645211966835,0.1037075742502956,0.999312191429982,0.9995628302137943,21.893643941460866,0.6453343328889041,29985,19,164,339,106,2.0847705349313066,8.631578947368421,3421,3566,8636.631877055723,2.3155684262749325,0.10420718751627858,-0.00010493657824987845,-14.313283682360854,-0.0038373061033178946,-0.0010809713330874882,-2.383741584745247e-05,19516.56699180603,0.1037075742502956,0.1037075742502956,19,164,-145,339,106,2.0847705349313066,8.631578947368421,20,15,3421,3566,2976,2.4219382717486595,2.3155684262749325,8636.631877055723,0.10420718751627858,198942,6.63471735867934,14.123728530932132,605x700,423500,sparse,Learned,3541,20,69,29365,42.32691068999317,0.9613588221311389,41.93924025030924,0.9998142342867797,0.10373141166614305,0.9990326102479368,22,90,0.0,87,29258,42.929565941921474,0.9676847503576967,0.9997855445773914,41.48579748882511,0.998879842203969,0.10381159681194049,2908,34.26996126571676,0.8654492516800922,0.997678093424333,29.757092751583762,0.9999999999999998,0.10582187076898927,-8.942788130640892,0.00027958118204518545,-20.433266748532304,-0.3160244892422348,True,0.1173972836507092,21.894547350738065,0.6453494575335977,33.0150611022841,0.9999999173696581,0.9995627476195759,0.11747601712571834,41.95846954445006,0.9997866987918037,im0005
im0044.png,0.06112054329371817,0.645849844138004,0.7848223171005746,0.7452295311833201,0.8288581502576621,0.9974196749382739,27.509582719969714,0.9991114207760518,32.89754301000836,0.06729872353474822,0.9999640113768228,0.840833891343124,21.78201916261367,0.675182405443437,33195,12,161,318,82,2.074630603556223,13.416666666666666,3993,4142,7869.570791844857,2.434884778783938,0.09621342470262702,0.005843636292673232,-15.120961839953665,-0.0024693344832777964,-0.0007670242354740342,0.003671417388460385,17812.06512451172,0.06729872353474822,0.06729872353474822,12,161,-149,318,82,2.074630603556223,13.416666666666666,13,17,3993,4142,3593,1.8999446624444327,2.434884778783938,7869.570791844857,0.09621342470262702,197863,5.960626600391625,12.757945473715921,605x700,423500,dense,Learned,4193,13,75,32955,43.62118722689704,0.9720786016676138,42.641976810111125,0.9998784450115258,0.06362730614628784,0.7953762349470629,79,60,0.0,89,32544,43.702453331059985,0.9741855154561362,0.999863871554653,42.09441271306549,0.827216218782859,0.06377864613736411,2536,33.90422974233423,0.8743341895054102,0.9983914854697898,29.16651055593437,0.8852634076426454,0.06779498752008753,-9.744433800102762,0.2045877764297599,-21.839168064283374,-0.29689619622417684,True,0.061107257013557056,21.777525414594045,0.675241741673057,32.914347007243755,0.9997432736945809,0.8406180271647283,0.055276907001044935,42.63054455992338,0.9998890094215517,im0044
im0077.png,0.07380114511803085,0.6612688091367597,0.7961009145538257,0.6932270045881582,0.9348280840281665,0.9967022828521531,29.3211500471294,0.9974917261827752,33.14403757345068,0.10865942848525975,1.0,0.8139840910654081,24.501797942959662,0.6697447280123949,35630,4,244,494,97,2.1171588967537223,61.0,4097,4337,10777.857636939461,2.5337450657933696,0.11163556818586971,0.001801596588296886,-12.869412986993204,-0.0030334705036821896,-0.0021355089236820834,0.0027847708129892096,22408.38074684143,0.10865942848525975,0.10865942848525975,4,244,-240,494,97,2.1171588967537223,61.0,4,30,4097,4337,3506,2.4850951434031106,2.5337450657933696,10777.857636939461,0.11163556818586971,210477,5.9072972214426045,11.886051080550098,605x700,423500,sparse,Learned,4217,4,76,35225,42.27985765269757,0.9594588533085786,41.945649435476085,0.9996272351064572,0.10587465767227054,0.9696858400600197,57,169,0.0,87,32690,42.4579394860599,0.9632196126801779,0.9994995858191921,40.90857447200426,0.9544740908950078,0.10680363581235623,2115,33.30675313944025,0.8371963653238664,0.9945771925833138,28.60561132354914,0.9987460147151738,0.10931393181408214,-8.801611862025403,0.030314159939980323,-17.77805970973791,-0.2897141252961837,True,0.07381503835461187,24.507214656723466,0.6698303407961219,33.159928405576224,0.9999999999778111,0.8139840910473467,0.07199954852973396,42.190563034122604,0.9997357533558353,im0077
im0081.png,0.06065293024045174,0.6578797863879104,0.7936399150161059,0.7002902757619739,0.9157045706152143,0.9975233357830988,33.045423428291,0.9978321983760047,34.72595292878669,0.08536552823089444,1.0,0.8453617354507452,26.30744670357803,0.7247967029115647,30887,3,211,424,79,2.1114086770219602,70.33333333333333,3734,3942,9743.855982596026,2.5177187201934634,0.10906557139356678,0.00019675000205734983,-9.14963990539242,-0.002159403745512156,-0.0017193045402608131,0.0004024572176739294,21764.686584472656,0.08536552823089444,0.08536552823089444,3,211,-208,424,79,2.1114086770219602,70.33333333333333,3,27,3734,3942,3231,2.4718051706230173,2.5177187201934634,9743.855982596026,0.10906557139356678,204318,6.615016026159873,13.711270113640042,605x700,423500,sparse,Learned,3854,3,73,30119,42.13533408105336,0.9555107998615681,41.88183346870701,0.9995515029162655,0.08496307101322051,0.9849342802815612,60,270,0.0,87,27188,42.4004509518372,0.9580995520356632,0.9994993945711224,41.410272091911786,0.9916534674589383,0.08489766298880148,2525,35.51828224720338,0.8714949948274892,0.9965986588562824,31.68491005343934,0.9999205886748076,0.08967305486760967,-7.155880539920318,0.015065719718438841,-15.827887377475328,-0.23071409695000333,True,0.06057358310169746,26.304588145235023,0.7248225667062725,34.73488501266991,1.0,0.8453617354507452,0.06045618023839439,42.19506333368342,0.999682739528611,im0081
im0082.png,0.07757604684889761,0.6791281403135324,0.8089056743301596,0.7220689817761746,0.9194836385469829,0.9969939161719218,29.918016717601038,0.9977897160527082,32.83894900657175,0.10904606227643229,1.0,0.7527405463730229,24.22951453896911,0.6626483631325905,33919,3,231,469,93,2.1165644171779143,77.0,3912,4140,10123.06326884599,2.4927936902075456,0.10601289422752262,-0.00758769472453609,-11.860098803852456,-0.002777981078392777,-0.0018729290668707543,-0.003790092337726994,21929.596424102783,0.10904606227643229,0.10904606227643229,3,231,-228,469,93,2.1165644171779143,77.0,3,29,3912,4140,3350,2.4451843644555247,2.4927936902075456,10123.06326884599,0.10601289422752262,209629,6.180282437571862,12.485627524396357,605x700,423500,sparse,Learned,4032,3,75,33442,42.04100419562777,0.9563180759032796,41.67955022333164,0.9996626451195789,0.11283615461415929,0.9999999318803419,10,94,0.0,87,29412,42.348591236341306,0.9598406722004343,0.9996040432865161,41.01910883712123,0.9999998279628776,0.1140270674554072,2553,34.45799795594779,0.8609150246060443,0.9965941399665326,29.910061668582564,0.9999999999999986,0.11720725709049344,-8.840601216759886,6.811965813646736e-08,-17.81148965665866,-0.2936697127706891,True,0.07756731055195938,24.23394490395249,0.662669819917183,32.84435566538309,0.9999999996893952,0.7527405461392181,0.0851637415734337,41.77811552145349,0.9997718972503146,im0082
im0139.png,0.07665649550581966,0.6625832163398396,0.7970526946597115,0.7433064065437179,0.8591772616495874,0.997430046295063,32.22368975366681,0.998208640667861,35.18954003319617,0.09217326038980489,0.9999999949808237,0.8850212003860838,25.497009211639615,0.7294975725735546,29077,7,192,398,95,2.103525461667599,27.428571428571427,3574,3759,9094.433674248276,2.52051364715098,0.10398726474753386,-0.002826072058637441,-11.454685474639675,-0.0023500038603622153,-0.0014927147329245605,-0.0024089190755003237,18174.236536026,0.09217326038980489,0.09217326038980489,7,192,-185,398,95,2.103525461667599,27.428571428571427,8,20,3574,3759,3081,2.4193758111860086,2.52051364715098,9094.433674248276,0.10398726474753386,191340,6.580458781855074,14.564776283660626,605x700,423500,sparse,Learned,3694,8,75,28364,43.242317555074116,0.9649646948376855,43.662171475220674,0.9997013554007855,0.09458217946530521,0.9999994565528272,15,154,0.0,89,28088,43.74939613976562,0.9695047009372173,0.9996490352954946,42.93393909242254,0.9999999998300566,0.09581121098733164,2959,36.398950560031736,0.9002287521110326,0.9978113636734965,33.237787416363815,0.9999999999967667,0.10079732645650229,-8.472631442024507,5.384279965214844e-07,-17.745308343434502,-0.2354671222641309,True,0.07659258748015736,25.497486721823634,0.7294588776422687,35.2049430940346,1.0,0.8850212003860838,0.0794825675644571,43.678375228306486,0.9997800501554253,im0139
