filename	gt_iou	seg_iou	seg_f1	seg_precision	seg_recall	gt_fg_ssim	gt_fg_psnr	ng_fg_ssim	ng_fg_psnr	ng_iou	ng_topo_q	topo_preservation	ng_psnr	ng_ssim	ng_bytes	graph_n_components	graph_n_cycles	graph_n_junctions	graph_n_endpoints	graph_mean_degree	graph_complexity	n_nodes	n_edges	total_edge_length	mean_width_px	mean_curvature	delta_gt_iou	delta_gt_fg_psnr	delta_gt_fg_ssim	delta_fg_ssim	delta_iou	total_time_ms	self_iou	ng_recon_iou	ng_n_components	ng_n_cycles	ng_euler_characteristic	ng_n_junctions	ng_n_endpoints	ng_mean_degree	ng_graph_complexity	ng_seg_beta_0	ng_seg_beta_1	graph_n_nodes	graph_n_edges	graph_n_sampled	graph_mean_edge_length	graph_mean_width	graph_total_edge_length	graph_mean_curvature	png_bytes	ng_vs_png	ng_vs_raw	image_shape	image_pixels	image_type	segmenter	n_points	n_structures	jpeg_quality	jpeg_bytes	jpeg_psnr	jpeg_ssim	jpeg_fg_psnr	jpeg_fg_ssim	jpeg_iou	jpeg_topo_q	jpeg_beta_0	jpeg_beta_1	jpeg_betti_preservation	webp_quality	webp_bytes	webp_psnr	webp_ssim	webp_fg_ssim	webp_fg_psnr	webp_topo_q	webp_iou	jp2_bytes	jp2_psnr	jp2_ssim	jp2_fg_ssim	jp2_fg_psnr	jp2_topo_q	jp2_iou	delta_fg_psnr	delta_topo_q	delta_psnr	delta_ssim	gt_available	pre_gt_iou	pre_ng_psnr	pre_ng_ssim	pre_ng_fg_psnr	gt_topology_q	recon_topology_q	jpeg_gt_iou	jpeg_gt_fg_psnr	jpeg_gt_fg_ssim	stem
im0001.png	0.086040	0.621630	0.766673	0.743536	0.791296	0.995338	29.950828	0.998339	34.214436	0.097922	1.000000	0.840475	24.871341	0.721330	29458	6	22	154	126	2.019765	3.666667	1619	1635	8727.879144	2.375137	0.000000	-0.006264	-14.318922	-0.004393	-0.001458	-0.002332	27766.137838	0.097922	0.097922	6	22	-16	154	126	2.019765	3.666667	6	24	1619	1635	1339	5.338152	2.375137	8727.879144	0.000000	185340	6.291669	14.376400	605x700	423500	sparse	Learned	3587	6	76	28735	43.946945	0.969587	44.126698	0.999796	0.100255	0.983715	32	73	0.000000	90	28092	44.390834	0.972506	0.999771	43.895316	0.990032	0.100134	2955	36.716657	0.906605	0.998347	33.491716	0.999989	0.101903	-9.912263	0.016285	-19.075604	-0.248256	True	0.085925	24.870851	0.721304	34.234541	1.000000	0.840475	0.092305	44.269750	0.999731	im0001
im0002.png	0.067356	0.629883	0.772918	0.762908	0.783194	0.998063	31.778807	0.998872	35.201760	0.066257	1.000000	0.811753	26.006211	0.761598	25990	7	16	84	69	2.015748	2.285714	1143	1152	6537.659664	2.528518	0.000000	-0.000794	-12.251219	-0.001802	-0.000933	-0.000479	17543.394804	0.066257	0.066257	7	16	-9	84	69	2.015748	2.285714	7	18	1143	1152	990	5.675052	2.528518	6537.659664	0.000000	187261	7.205117	16.294729	605x700	423500	dense	Learned	3747	7	75	25427	43.482288	0.966460	43.811143	0.999805	0.066736	0.939726	61	128	0.000000	89	24650	43.821947	0.969382	0.999789	43.394277	0.978164	0.067165	3336	37.749918	0.921165	0.998862	34.907639	0.966788	0.071626	-8.609383	0.060274	-17.476077	-0.204861	True	0.067379	26.007408	0.761577	35.227239	1.000000	0.811753	0.068150	44.030026	0.999865	im0002
im0003.png	0.074001	0.663739	0.797888	0.809020	0.787059	0.997893	29.320046	0.998810	33.683885	0.071806	1.000000	0.999996	24.213506	0.714617	19831	3	13	63	49	2.022002	4.333333	909	919	5247.674816	2.585906	0.000000	-0.001275	-12.187838	-0.001934	-0.000935	-0.001293	16232.187033	0.071806	0.071806	3	13	-10	63	49	2.022002	4.333333	3	16	909	919	797	5.710201	2.585906	5247.674816	0.000000	189690	9.565327	21.355454	605x700	423500	sparse	Learned	2270	3	52	19384	41.770242	0.957803	41.198514	0.999745	0.073098	1.000000	3	55	0.000000	84	18424	42.871444	0.965231	0.999817	42.102329	1.000000	0.073847	19918	42.698256	0.964173	0.999821	42.290514	1.000000	0.072324	-7.514629	-0.000000	-17.556736	-0.243186	True	0.073997	24.211509	0.714638	33.709715	0.999998	0.999995	0.075276	41.507884	0.999827	im0003
im0004.png	0.090673	0.606546	0.755093	0.824343	0.696576	0.996464	29.652163	0.999106	34.624732	0.078476	0.999739	0.967976	24.940489	0.766638	23114	14	6	72	89	1.986099	0.428571	1151	1143	6639.576403	2.227070	0.000000	0.000520	-16.366353	-0.003394	-0.000817	0.002745	14696.863890	0.078476	0.078476	14	6	8	72	89	1.986099	0.428571	14	7	1151	1143	990	5.808903	2.227070	6639.576403	0.000000	171305	7.411309	18.322229	605x700	423500	sparse	Learned	2971	14	77	23080	44.381140	0.969159	45.959920	0.999922	0.075731	0.941574	24	17	0.000000	90	21420	44.729538	0.971468	0.999907	45.117967	0.999578	0.075744	3631	40.597844	0.944493	0.999679	38.126141	1.000000	0.076054	-11.335188	0.058164	-19.440651	-0.202521	True	0.090754	24.941987	0.766658	34.636986	0.999977	0.967954	0.090153	46.018515	0.999857	im0004
im0005.png	0.117371	0.686299	0.813971	0.866740	0.767258	0.995949	27.645186	0.998733	32.996452	0.103708	0.999312	0.999563	21.893644	0.645334	30490	20	14	109	125	1.992126	0.700000	1524	1518	8456.408148	2.289613	0.000000	-0.000122	-14.545218	-0.003849	-0.001091	-0.000040	17095.373631	0.103708	0.103708	20	14	6	109	125	1.992126	0.700000	20	15	1524	1518	1290	5.570756	2.289613	8456.408148	0.000000	198942	6.524828	13.889800	605x700	423500	sparse	Learned	3541	20	70	30299	42.456545	0.962369	42.150432	0.999824	0.103747	0.999194	21	87	0.000000	87	29258	42.929566	0.967685	0.999786	41.485797	0.998880	0.103812	2496	33.500470	0.850374	0.997201	28.664050	1.000000	0.106628	-9.153980	0.000118	-20.562901	-0.317035	True	0.117397	21.894547	0.645349	33.015061	1.000000	0.999563	0.117493	42.190404	0.999798	im0005
im0044.png	0.061121	0.645850	0.784822	0.745230	0.828858	0.997420	27.509583	0.999111	32.897543	0.067299	0.999964	0.840834	21.782019	0.675182	33042	13	14	105	106	2.001413	1.076923	1415	1416	7719.499418	2.371316	0.000000	0.005844	-15.120962	-0.002469	-0.000767	0.003671	15388.488293	0.067299	0.067299	13	14	-1	105	106	2.001413	1.076923	13	17	1415	1416	1204	5.451624	2.371316	7719.499418	0.000000	197863	5.988227	12.817021	605x700	423500	dense	Learned	4193	13	75	32955	43.621187	0.972079	42.641977	0.999878	0.063627	0.795376	79	60	0.000000	89	32544	43.702453	0.974186	0.999864	42.094413	0.827216	0.063779	2536	33.904230	0.874334	0.998391	29.166511	0.885263	0.067795	-9.744434	0.204588	-21.839168	-0.296896	True	0.061107	21.777525	0.675242	32.914347	0.999743	0.840618	0.055277	42.630545	0.999889	im0044
im0077.png	0.073801	0.661269	0.796101	0.693227	0.934828	0.996702	29.321150	0.997492	33.144038	0.108659	1.000000	0.813984	24.501798	0.669745	36199	4	29	155	109	2.027655	7.250000	1808	1833	10499.681451	2.474572	0.000000	0.001802	-12.869413	-0.003033	-0.002136	0.002785	19889.826536	0.108659	0.108659	4	29	-25	155	109	2.027655	7.250000	4	30	1808	1833	1544	5.728140	2.474572	10499.681451	0.000000	210477	5.814442	11.699218	605x700	423500	sparse	Learned	4217	4	76	35225	42.279858	0.959459	41.945649	0.999627	0.105875	0.969686	57	169	0.000000	88	35868	42.873244	0.966270	0.999552	41.398172	0.959378	0.106938	2115	33.306753	0.837196	0.994577	28.605611	0.998746	0.109314	-8.801612	0.030314	-17.778060	-0.289714	True	0.073815	24.507215	0.669830	33.159928	1.000000	0.813984	0.072000	42.190563	0.999736	im0077
im0081.png	0.060653	0.657880	0.793640	0.700290	0.915705	0.997523	33.045423	0.997832	34.725953	0.085366	1.000000	0.845362	26.307447	0.724797	31309	3	25	137	94	2.026715	8.333333	1647	1669	9528.268104	2.476489	0.000000	0.000197	-9.149640	-0.002159	-0.001719	0.000402	19622.590780	0.085366	0.085366	3	25	-22	137	94	2.026715	8.333333	3	27	1647	1669	1416	5.708968	2.476489	9528.268104	0.000000	204318	6.525855	13.526462	605x700	423500	sparse	Learned	3854	3	73	30119	42.135334	0.955511	41.881833	0.999552	0.084963	0.984934	60	270	0.000000	87	27188	42.400451	0.958100	0.999499	41.410272	0.991653	0.084898	2525	35.518282	0.871495	0.996599	31.684910	0.999921	0.089673	-7.155881	0.015066	-15.827887	-0.230714	True	0.060574	26.304588	0.724823	34.734885	1.000000	0.845362	0.060456	42.195063	0.999683	im0081
im0082.png	0.077576	0.679128	0.808906	0.722069	0.919484	0.996994	29.918017	0.997790	32.838949	0.109046	1.000000	0.752741	24.229515	0.662648	34500	3	26	146	106	2.026760	8.666667	1719	1742	9860.291624	2.470981	0.000000	-0.007659	-11.988932	-0.002785	-0.001886	-0.003850	19644.461155	0.109046	0.109046	3	26	-23	146	106	2.026760	8.666667	3	29	1719	1742	1467	5.660328	2.470981	9860.291624	0.000000	209629	6.076203	12.275362	605x700	423500	sparse	Learned	4032	3	76	34274	42.128944	0.957072	41.816719	0.999676	0.112896	0.999982	14	88	0.000000	88	34406	42.806130	0.963937	0.999634	41.536095	1.000000	0.113762	2553	34.457998	0.860915	0.996594	29.910062	1.000000	0.117207	-8.977770	0.000018	-17.899429	-0.294424	True	0.077567	24.233945	0.662670	32.844356	1.000000	0.752741	0.085235	41.906949	0.999779	im0082
im0139.png	0.076656	0.662583	0.797053	0.743306	0.859177	0.997430	32.223690	0.998209	35.189540	0.092173	1.000000	0.885021	25.497009	0.729498	29649	8	20	125	104	2.015504	2.500000	1548	1560	8874.930009	2.499992	0.000000	-0.002920	-11.602596	-0.002358	-0.001504	-0.002496	15927.897215	0.092173	0.092173	8	20	-12	125	104	2.015504	2.500000	8	20	1548	1560	1319	5.689058	2.499992	8874.930009	0.000000	191340	6.453506	14.283787	605x700	423500	sparse	Learned	3694	8	76	29116	43.327978	0.965544	43.802815	0.999713	0.094669	1.000000	14	163	0.000000	90	29634	44.008371	0.970801	0.999685	43.387371	1.000000	0.095616	2959	36.398951	0.900229	0.997811	33.237787	1.000000	0.100797	-8.613275	0.000000	-17.830969	-0.236046	True	0.076593	25.497487	0.729459	35.204943	1.000000	0.885021	0.079576	43.826286	0.999788	im0139
im0162.png	0.096299	0.644825	0.784065	0.701970	0.887906	0.997610	31.075623	0.998410	32.640717	0.124939	1.000000	1.000000	24.384508	0.669034	34379	3	18	123	97	2.017261	6.000000	1738	1753	10145.159590	2.191461	0.000000	0.002428	-9.316376	-0.002167	-0.001321	0.005188	16097.980499	0.124939	0.124939	3	18	-15	123	97	2.017261	6.000000	3	21	1738	1753	1518	5.787313	2.191461	10145.159590	0.000000	212696	6.186800	12.318567	605x700	423500	sparse	Learned	4230	3	75	34173	41.597844	0.952591	40.398815	0.999732	0.119751	1.000000	3	99	0.000000	87	30854	42.059625	0.956838	0.999734	40.428798	1.000000	0.119813	2550	34.256766	0.848481	0.996973	29.218283	1.000000	0.121975	-7.758098	0.000000	-17.213336	-0.283556	True	0.096244	24.385276	0.669060	32.658640	1.000000	1.000000	0.093871	40.391999	0.999777	im0162
im0163.png	0.054229	0.683076	0.811699	0.714127	0.940154	0.934272	10.089981	0.999092	33.633415	0.063690	1.000000	0.458364	24.059133	0.765176	40166	8	20	111	90	2.014898	2.500000	1611	1623	9469.001077	2.573609	0.000000	-0.044711	-32.601184	-0.065584	-0.000542	-0.062398	19392.380476	0.063690	0.063690	8	20	-12	111	90	2.014898	2.500000	8	24	1611	1623	1410	5.834258	2.573609	9469.001077	0.000000	208725	5.196559	10.543743	605x700	423500	dense	Learned	5376	8	80	39098	42.773329	0.962593	42.486377	0.999633	0.126088	1.000000	1	69	0.000000	89	35752	43.155257	0.968042	0.999636	41.530136	1.000000	0.125991	2129	33.248435	0.847767	0.995557	28.512936	1.000000	0.128091	-8.852962	-0.000000	-18.714196	-0.197416	True	0.054217	6.154571	0.281862	9.424408	1.000000	0.458364	0.098940	42.691165	0.999856	im0163
im0235.png	0.090767	0.702986	0.825592	0.770850	0.888703	0.996216	30.469314	0.997638	33.694715	0.107425	1.000000	0.669410	24.787671	0.682741	33427	6	22	136	109	2.019185	3.666667	1668	1684	9354.087297	2.630949	0.000000	-0.011572	-12.123193	-0.003485	-0.001926	-0.010027	23120.985508	0.107425	0.107425	6	22	-16	136	109	2.019185	3.666667	6	26	1668	1684	1423	5.554684	2.630949	9354.087297	0.000000	205195	6.138601	12.669399	605x700	423500	sparse	Learned	3871	6	76	31986	42.457378	0.958986	42.422791	0.999564	0.117452	1.000000	13	132	0.000000	88	31612	42.911393	0.964606	0.999520	41.731733	1.000000	0.118914	2444	35.084360	0.869747	0.995936	30.972811	1.000000	0.121637	-8.728076	0.000000	-17.669707	-0.276245	True	0.090901	24.787164	0.682619	33.713139	1.000000	0.669410	0.102339	42.592507	0.999702	im0235
