,value
n_images,726
n_common,716
payload_bytes_mean,2193.7988980716254
payload_bytes_median,2216.0
jpeg_bytes_mean,2142.990223463687
jpeg_bytes_median,2144.5
raw_bytes_mean,65536.0
raw_bytes_median,65536.0
png_bytes_mean,45371.68319559229
png_bytes_median,45398.0
ref_s_median,0.0049218224594369
graph_s_median,0.0012726590503006501
jpeg_s_median,0.2659816640079953
ref_skeleton_skan_s_median,0.0034283560235053
ref_descriptors_s_median,0.0014200019650161
graph_decode_graph_s_median,0.00070739601505915
graph_descriptors_s_median,0.0005541899590752501
jpeg_decode_s_median,0.0001645165029913
jpeg_segment_s_median,0.26012693950906396
jpeg_skeleton_skan_s_median,0.00367869203910225
jpeg_descriptors_s_median,0.0015513995313085
ratio_jpeg_over_graph,208.99679607445557
ratio_ref_over_graph,3.8673535211761387
ratio_jpeg_nosegment_over_graph,4.3423122617903
cpu,Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GHz
python,3.11.3
threads,"OMP/MKL/OPENBLAS_NUM_THREADS=1, torch.set_num_threads(1), cv2.setNumThreads(1), CPU only"
