junction_def,L,test,p,better,p_holm_family,p_holm_all
t10,0,n_components,7.349172650712147e-41,GRAPH,3.6745863253560736e-40,2.204751795213644e-39
t10,0,total_length_px,4.994508903062753e-09,JPEG,1.498352670918826e-08,6.492861573981579e-08
t10,0,mean_width_px,8.17881157659767e-43,GRAPH,4.907286945958602e-42,2.699007820277231e-41
t10,0,n_branches,4.259291108753516e-06,JPEG,8.518582217507032e-06,3.4074328870028127e-05
t10,0,n_junctions,5.392259406236112e-05,JPEG,5.392259406236112e-05,0.00037745815843652784
t10,0,cycle_rank,2.1108219549193776e-12,GRAPH,8.44328781967751e-12,4.2216439098387554e-11
t10,0,branch_lengths_w1,1.5393204875101768e-43,JPEG,1.0775243412571238e-42,5.233689657534601e-42
degree,0,n_components,7.349172650712147e-41,GRAPH,3.6745863253560736e-40,2.204751795213644e-39
degree,0,total_length_px,4.994508903062753e-09,JPEG,5.741393604727767e-09,6.492861573981579e-08
degree,0,mean_width_px,8.17881157659767e-43,GRAPH,4.907286945958602e-42,2.699007820277231e-41
degree,0,n_branches,2.8706968023638835e-09,JPEG,5.741393604727767e-09,4.018975523309437e-08
degree,0,n_junctions,1.5124187146102064e-16,JPEG,6.049674858440826e-16,3.327321172142454e-15
degree,0,cycle_rank,2.1108219549193776e-12,GRAPH,6.332465864758132e-12,4.2216439098387554e-11
degree,0,branch_lengths_w1,1.0837222416573945e-56,JPEG,7.586055691601762e-56,3.793027845800881e-55
degree,2,n_components,7.349172650712147e-41,GRAPH,4.409503590427288e-40,2.204751795213644e-39
degree,2,total_length_px,1.1442424184603124e-07,JPEG,3.4327272553809373e-07,1.2222671251167046e-06
degree,2,mean_width_px,1.1529993830630869e-42,GRAPH,8.070995681441609e-42,3.574298087495569e-41
degree,2,n_branches,0.0286780418867557,JPEG,0.0286780418867557,0.1147121675470228
degree,2,n_junctions,1.0291738301110117e-06,JPEG,2.0583476602220234e-06,9.262564470999104e-06
degree,2,cycle_rank,2.1108219549193776e-12,GRAPH,8.44328781967751e-12,4.2216439098387554e-11
degree,2,branch_lengths_w1,1.015358429597714e-26,JPEG,5.0767921479885695e-26,2.335324388074742e-25
degree,5,n_components,7.349172650712147e-41,GRAPH,5.1444208554985025e-40,2.204751795213644e-39
degree,5,total_length_px,0.9486233377805116,JPEG,0.9486233377805116,0.9486233377805116
degree,5,mean_width_px,3.153128812687924e-40,GRAPH,1.8918772876127545e-39,7.567509150451018e-39
degree,5,n_branches,4.613479821229644e-16,GRAPH,2.3067399106148217e-15,9.688307624582253e-15
degree,5,n_junctions,0.0002201145988981,GRAPH,0.0004402291977962,0.0011005729944905
degree,5,cycle_rank,2.1108219549193776e-12,GRAPH,8.44328781967751e-12,4.2216439098387554e-11
degree,5,branch_lengths_w1,1.111151931924277e-07,GRAPH,3.333455795772831e-07,1.2222671251167046e-06
degree,10,n_components,7.349172650712147e-41,GRAPH,5.1444208554985025e-40,2.204751795213644e-39
degree,10,total_length_px,0.1710318672343935,JPEG,0.342063734468787,0.5130956017031805
degree,10,mean_width_px,1.737964198402369e-40,GRAPH,1.0427785190414213e-39,4.344910496005922e-39
degree,10,n_branches,4.5879637927956e-11,GRAPH,1.83518551711824e-10,6.8819456891934e-10
degree,10,n_junctions,0.3510769437134931,JPEG,0.3510769437134931,0.7021538874269861
degree,10,cycle_rank,2.1108219549193776e-12,GRAPH,1.0554109774596888e-11,4.2216439098387554e-11
degree,10,branch_lengths_w1,5.527156040583488e-05,GRAPH,0.00016581468121750466,0.00037745815843652784
