stem,segmenter,iou_cpu_gpu,pixels_differ,segGPU_t100_n_components,segGPU_t100_total_length_px,segGPU_t100_mean_width_px,segGPU_t100_n_branches,segGPU_t100_n_junctions,segGPU_t100_cycle_rank,segGPU_degree5_n_components,segGPU_degree5_total_length_px,segGPU_degree5_mean_width_px,segGPU_degree5_n_branches,segGPU_degree5_n_junctions,segGPU_degree5_cycle_rank
7249,Frangi,1.0,0,4,110.01219330881976,8.025171934703268,11,3,1,4,101.59797974644667,8.303615297612787,7,2,1
7250,Learned,1.0,0,4,285.3797256769669,5.918804668423083,15,6,1,4,281.9655121145938,5.905712883768427,13,5,1
7251,Learned,1.0,0,4,275.45079348883235,4.7972161473961465,12,4,0,4,273.45079348883235,4.788453062639686,10,3,0
7252,Learned,1.0,0,4,174.6101730552664,6.2395407305067225,6,1,0,4,169.78174593052017,6.268893005557314,4,0,0
7253,Learned,1.0,0,4,195.3380951166243,5.325626996950914,8,2,0,4,192.92388155425118,5.286874550546788,6,1,0
7254,Learned,1.0,0,4,258.7645019878171,5.313956108233369,8,2,0,4,255.35028842544395,5.2787182823854675,6,1,0
7255,Learned,1.0,0,4,224.37972567696687,5.765346934848666,9,3,1,4,224.37972567696687,5.765346934848666,9,3,1
7256,Learned,1.0,0,4,242.23759005323592,5.804611462870575,10,3,0,4,242.23759005323592,5.804611462870575,10,3,0
7257,Learned,1.0,0,4,277.2792206135785,4.941363232650226,11,4,2,4,272.45079348883235,4.952225808455932,8,3,2
7258,Learned,1.0,0,5,286.49242404917493,4.956967685232774,7,1,0,5,286.49242404917493,4.956967685232774,7,1,0
7259,Learned,1.0,0,4,176.40916292848974,6.436894980726085,4,0,0,4,176.40916292848974,6.436894980726085,4,0,0
7260,Learned,1.0,0,6,251.17871555019025,5.40875674921518,8,1,0,6,251.17871555019025,5.40875674921518,8,1,0
7261,Learned,1.0,0,5,275.24978336205567,5.272512442702805,12,4,1,5,275.24978336205567,5.272512442702805,12,4,1
7262,Learned,1.0,0,5,226.45079348883237,6.585889879759534,11,3,0,5,222.03657992645924,6.6122255139339945,9,2,0
7263,Learned,1.0,0,4,225.79393923933995,5.640586429472759,8,2,0,4,218.96551211459376,5.546545990033593,6,1,0
7264,Learned,1.0,0,4,185.71067811865476,5.765900838417637,8,2,0,4,185.71067811865476,5.765900838417637,8,2,0
7265,Learned,1.0,0,5,233.8944443027283,5.76798121242377,5,0,0,5,233.8944443027283,5.76798121242377,5,0,0
7266,Learned,1.0,0,5,238.52186130069776,6.440263192221871,7,1,0,5,235.1076477383247,6.451846140869526,5,0,0
7267,Learned,1.0,0,4,284.37972567696687,6.404242322185591,17,7,1,4,271.7228714274745,6.419271766096021,11,4,1
7268,Learned,1.0,0,5,307.62236636408625,7.399199457184821,15,5,0,5,307.62236636408625,7.399199457184821,15,5,0
7269,Learned,1.0,0,4,279.42135623730945,4.92188328195882,11,4,1,4,269.59292911256324,4.888127114082786,7,2,1
