    junction_def   L       descriptor    arm    n       ccc      mdape   bias_pct    wilcoxon_p  wins_graph  wins_jpeg
0            t10   0     n_components  GRAPH  715  0.766258   0.000000  -2.202233  7.349173e-41       251.0       23.0
1            t10   0     n_components   JPEG  715 -0.009225   0.000000  68.982630  7.349173e-41       251.0       23.0
2            t10   0     n_components    PRE  715  0.766258   0.000000  -2.202233           NaN         NaN        NaN
3            t10   0     n_components    SEG  715  0.811315   0.000000  -1.364764           NaN         NaN        NaN
6            t10   0  total_length_px  GRAPH  715  0.723890  10.017199 -11.581630  4.994509e-09       216.0      499.0
7            t10   0  total_length_px   JPEG  715 -0.027772   5.016065  22.893958  4.994509e-09       216.0      499.0
8            t10   0  total_length_px    PRE  715  0.762162   8.264780  -9.803109           NaN         NaN        NaN
9            t10   0  total_length_px    SEG  715  0.841162   4.970305  -6.016233           NaN         NaN        NaN
12           t10   0    mean_width_px  GRAPH  715  0.868172   2.901603   3.221409  8.178812e-43       517.0      192.0
13           t10   0    mean_width_px   JPEG  709  0.791573   5.054640   4.960028  8.178812e-43       517.0      192.0
14           t10   0    mean_width_px    PRE  715  0.859121   3.229801   3.768768           NaN         NaN        NaN
15           t10   0    mean_width_px    SEG  715  0.829355   4.197762   5.028543           NaN         NaN        NaN
18           t10   0       n_branches  GRAPH  715  0.291721  40.000000 -41.041557  4.259291e-06       191.0      434.0
19           t10   0       n_branches   JPEG  715 -0.017276  27.272727  37.296160  4.259291e-06       191.0      434.0
20           t10   0       n_branches    PRE  715  0.291721  40.000000 -41.041557           NaN         NaN        NaN
21           t10   0       n_branches    SEG  715  0.472129  28.571429 -27.617044           NaN         NaN        NaN
24           t10   0      n_junctions  GRAPH  715  0.354301  50.000000 -54.341737  5.392259e-05       177.0      354.0
25           t10   0      n_junctions   JPEG  715  0.021217  40.000000  22.533458  5.392259e-05       177.0      354.0
26           t10   0      n_junctions    PRE  715  0.354301  50.000000 -54.341737           NaN         NaN        NaN
27           t10   0      n_junctions    SEG  715  0.513117  50.000000 -39.495798           NaN         NaN        NaN
30           t10   0       cycle_rank  GRAPH  715  0.507464  50.000000 -44.757033  2.110822e-12       141.0       46.0
31           t10   0       cycle_rank   JPEG  715  0.183350  50.000000  20.716113  2.110822e-12       141.0       46.0
32           t10   0       cycle_rank    PRE  715  0.507464  50.000000 -44.757033           NaN         NaN        NaN
33           t10   0       cycle_rank    SEG  715  0.514397  50.000000 -36.572890           NaN         NaN        NaN
36        degree   0     n_components  GRAPH  715  0.766258   0.000000  -2.202233  7.349173e-41       251.0       23.0
37        degree   0     n_components   JPEG  715 -0.009225   0.000000  68.982630  7.349173e-41       251.0       23.0
38        degree   0     n_components    PRE  715  0.766258   0.000000  -2.202233           NaN         NaN        NaN
39        degree   0     n_components    SEG  715  0.811315   0.000000  -1.364764           NaN         NaN        NaN
42        degree   0  total_length_px  GRAPH  715  0.723890  10.017199 -11.581630  4.994509e-09       216.0      499.0
43        degree   0  total_length_px   JPEG  715 -0.027772   5.016065  22.893958  4.994509e-09       216.0      499.0
44        degree   0  total_length_px    PRE  715  0.762162   8.264780  -9.803109           NaN         NaN        NaN
45        degree   0  total_length_px    SEG  715  0.841162   4.970305  -6.016233           NaN         NaN        NaN
48        degree   0    mean_width_px  GRAPH  715  0.868172   2.901603   3.221409  8.178812e-43       517.0      192.0
