    junction_def     L       descriptor    arm    n       ccc      mdape   bias_pct    wilcoxon_p  wins_graph  wins_jpeg
0            t10     0     n_components  GRAPH  716  0.805525   0.000000  -1.424590  2.047840e-43       261.0       16.0
1            t10     0     n_components   JPEG  716 -0.008262   0.000000  68.008671  2.047840e-43       261.0       16.0
2            t10     0     n_components    PRE  716  0.805525   0.000000  -1.424590           NaN         NaN        NaN
3            t10     0     n_components    SEG  716  0.805525   0.000000  -1.424590           NaN         NaN        NaN
6            t10     0  total_length_px  GRAPH  716  0.828375   4.944928  -6.085330  6.100478e-07       369.0      347.0
7            t10     0  total_length_px   JPEG  716 -0.030872   5.108719  21.631059  6.100478e-07       369.0      347.0
8            t10     0  total_length_px    PRE  716  0.827767   4.980026  -6.139405           NaN         NaN        NaN
9            t10     0  total_length_px    SEG  716  0.827737   4.980026  -6.141514           NaN         NaN        NaN
12           t10     0    mean_width_px  GRAPH  716  0.806609   4.055048   5.030811  6.835045e-11       427.0      283.0
13           t10     0    mean_width_px   JPEG  710  0.786508   4.796357   4.994995  6.835045e-11       427.0      283.0
14           t10     0    mean_width_px    PRE  716  0.805284   4.183905   5.090100           NaN         NaN        NaN
15           t10     0    mean_width_px    SEG  716  0.804311   4.201793   5.146917           NaN         NaN        NaN
18           t10     0       n_branches  GRAPH  716  0.468485  28.571429 -27.722356  3.522907e-03       273.0      286.0
19           t10     0       n_branches   JPEG  716 -0.015968  28.571429  34.810459  3.522907e-03       273.0      286.0
20           t10     0       n_branches    PRE  716  0.468485  28.571429 -27.722356           NaN         NaN        NaN
21           t10     0       n_branches    SEG  716  0.468485  28.571429 -27.722356           NaN         NaN        NaN
24           t10     0      n_junctions  GRAPH  716  0.510035  50.000000 -39.627329  1.345870e-01       234.0      259.0
25           t10     0      n_junctions   JPEG  716  0.033658  41.428571  19.068323  1.345870e-01       234.0      259.0
26           t10     0      n_junctions    PRE  716  0.510035  50.000000 -39.627329           NaN         NaN        NaN
27           t10     0      n_junctions    SEG  716  0.510035  50.000000 -39.627329           NaN         NaN        NaN
30           t10     0       cycle_rank  GRAPH  716  0.511041  50.000000 -36.895674  7.674673e-11       146.0       55.0
31           t10     0       cycle_rank   JPEG  716  0.237158  50.000000  15.521628  7.674673e-11       146.0       55.0
32           t10     0       cycle_rank    PRE  716  0.511041  50.000000 -36.895674           NaN         NaN        NaN
33           t10     0       cycle_rank    SEG  716  0.511041  50.000000 -36.895674           NaN         NaN        NaN
36        degree     0     n_components  GRAPH  716  0.805525   0.000000  -1.424590  2.047840e-43       261.0       16.0
37        degree     0     n_components   JPEG  716 -0.008262   0.000000  68.008671  2.047840e-43       261.0       16.0
