stem,setting,param,value,junction_def,L,payload_bytes,fg_psnr,n_points,n_components,total_length_px,mean_width_px,n_branches,n_junctions,cycle_rank,n_junction_nodes,n_endpoints,n_isolated_cycles
7283,default,,,t10,0,2540,28.63271194371702,308,5,283.1345209037868,6.262882546256167,9,3,0,9,11,0
7283,default,,,degree,0,2540,28.63271194371702,308,5,283.1345209037868,6.262882546256167,9,2,0,9,11,0
7283,default,,,degree,2,2540,28.63271194371702,308,5,283.1345209037868,6.262882546256167,9,2,0,9,11,0
7283,default,,,degree,5,2540,28.63271194371702,308,5,283.1345209037868,6.262882546256167,9,2,0,9,11,0
7283,default,,,degree,10,2540,28.63271194371702,308,5,277.74935609665226,6.214660877729777,7,1,0,9,11,0
7285,default,,,t10,0,1798,27.855594089238096,227,4,144.83119595054416,6.862562025272157,4,1,0,3,7,0
7285,default,,,degree,0,1798,27.855594089238096,227,4,144.83119595054416,6.862562025272157,4,0,0,3,7,0
7285,default,,,degree,2,1798,27.855594089238096,227,4,144.83119595054416,6.862562025272157,4,0,0,3,7,0
7285,default,,,degree,5,1798,27.855594089238096,227,4,144.83119595054416,6.862562025272157,4,0,0,3,7,0
7285,default,,,degree,10,1798,27.855594089238096,227,4,144.83119595054416,6.862562025272157,4,0,0,3,7,0
7287,default,,,t10,0,2315,27.2330916003,290,5,235.4107199618321,5.018645414752331,5,0,0,0,10,0
7287,default,,,degree,0,2315,27.2330916003,290,5,235.4107199618321,5.018645414752331,5,0,0,0,10,0
7287,default,,,degree,2,2315,27.2330916003,290,5,235.4107199618321,5.018645414752331,5,0,0,0,10,0
7287,default,,,degree,5,2315,27.2330916003,290,5,235.4107199618321,5.018645414752331,5,0,0,0,10,0
7287,default,,,degree,10,2315,27.2330916003,290,5,235.4107199618321,5.018645414752331,5,0,0,0,10,0
7291,default,,,t10,0,2147,27.51783895607897,275,5,228.4376982648905,5.009004213469504,6,1,0,2,10,0
7291,default,,,degree,0,2147,27.51783895607897,275,5,228.4376982648905,5.009004213469505,5,0,0,2,10,0
7291,default,,,degree,2,2147,27.51783895607897,275,5,228.4376982648905,5.009004213469505,5,0,0,2,10,0
7291,default,,,degree,5,2147,27.51783895607897,275,5,228.4376982648905,5.009004213469505,5,0,0,2,10,0
7291,default,,,degree,10,2147,27.51783895607897,275,5,228.4376982648905,5.009004213469505,5,0,0,2,10,0
7250,default,,,t10,0,2329,28.504649932354347,300,4,266.0473733307374,5.7975570912695975,13,5,1,15,11,0
7250,default,,,degree,0,2329,28.504649932354347,300,4,266.0473733307374,5.797557091269597,12,4,1,15,11,0
7250,default,,,degree,2,2329,28.504649932354347,300,4,266.0473733307374,5.797557091269597,12,4,1,15,11,0
7250,default,,,degree,5,2329,28.504649932354347,300,4,266.0473733307374,5.797557091269597,12,4,1,15,11,0
7250,default,,,degree,10,2329,28.504649932354347,300,4,266.0473733307374,5.797557091269597,12,4,1,15,11,0
7252,default,,,t10,0,1902,27.697521765892755,239,4,165.30600770203105,6.198328930192863,5,1,0,2,8,0
7252,default,,,degree,0,1902,27.697521765892755,239,4,165.30600770203102,6.198328930192864,4,0,0,2,8,0
7252,default,,,degree,2,1902,27.697521765892755,239,4,165.30600770203102,6.198328930192864,4,0,0,2,8,0
7252,default,,,degree,5,1902,27.697521765892755,239,4,165.30600770203102,6.198328930192864,4,0,0,2,8,0
7252,default,,,degree,10,1902,27.697521765892755,239,4,165.30600770203102,6.198328930192864,4,0,0,2,8,0
7254,default,,,t10,0,2339,27.70143236470099,298,4,251.32873669007347,5.198420134626822,6,1,0,1,9,0
7254,default,,,degree,0,2339,27.70143236470099,298,4,251.32873669007347,5.198420134626822,6,1,0,1,9,0
7254,default,,,degree,2,2339,27.70143236470099,298,4,251.32873669007347,5.198420134626822,6,1,0,1,9,0
7254,default,,,degree,5,2339,27.70143236470099,298,4,251.32873669007347,5.198420134626822,6,1,0,1,9,0
7254,default,,,degree,10,2339,27.70143236470099,298,4,251.32873669007347,5.198420134626822,6,1,0,1,9,0
7258,default,,,t10,0,2451,27.217480067225857,307,5,279.06605326502637,4.882626094370388,7,1,0,3,11,0
7258,default,,,degree,0,2451,27.217480067225857,307,5,279.06605326502637,4.882626094370388,7,1,0,3,11,0
7258,default,,,degree,2,2451,27.217480067225857,307,5,279.06605326502637,4.882626094370388,7,1,0,3,11,0
7258,default,,,degree,5,2451,27.217480067225857,307,5,279.06605326502637,4.882626094370388,7,1,0,3,11,0
7258,default,,,degree,10,2451,27.217480067225857,307,5,279.06605326502637,4.882626094370388,7,1,0,3,11,0
7393,default,,,t10,0,2437,27.41598004167298,306,5,263.8933775084496,4.8990302251599935,7,1,0,4,11,0
7393,default,,,degree,0,2437,27.41598004167298,306,5,263.8933775084496,4.8990302251599935,7,1,0,4,11,0
7393,default,,,degree,2,2437,27.41598004167298,306,5,263.8933775084496,4.8990302251599935,7,1,0,4,11,0
7393,default,,,degree,5,2437,27.41598004167298,306,5,263.8933775084496,4.8990302251599935,7,1,0,4,11,0
7393,default,,,degree,10,2437,27.41598004167298,306,5,263.8933775084496,4.8990302251599935,7,1,0,4,11,0
7396,default,,,t10,0,2157,28.031670824514592,267,4,208.18846381473844,5.225135050311026,9,2,1,10,10,0
7396,default,,,degree,0,2157,28.031670824514592,267,4,208.18846381473844,5.225135050311026,9,2,1,10,10,0
7396,default,,,degree,2,2157,28.031670824514592,267,4,208.18846381473844,5.225135050311026,9,2,1,10,10,0
7396,default,,,degree,5,2157,28.031670824514592,267,4,208.18846381473844,5.225135050311026,9,2,1,10,10,0
