stem,junction_def,L,n_components,total_length_px,mean_width_px,n_branches,n_junctions,cycle_rank,n_junction_nodes,n_endpoints,n_isolated_cycles
7250,t10,0,4,302.9655121145939,5.5398870984538116,21,9,1,9,15,0
7250,degree,0,4,302.9655121145939,5.5398870984538116,21,9,1,9,15,0
7250,degree,2,4,301.5512985522207,5.54241905789305,19,8,1,9,15,0
7250,degree,5,4,290.89444430272823,5.584389645054271,15,6,1,9,15,0
7250,degree,10,4,269.9949493661166,5.530147266230821,13,5,1,9,15,0
7252,t10,0,4,179.02438661763946,6.032099581215346,8,2,0,2,10,0
7252,degree,0,4,179.02438661763946,6.032099581215346,8,2,0,2,10,0
7252,degree,2,4,179.02438661763946,6.032099581215346,8,2,0,2,10,0
7252,degree,5,4,172.3675323681471,6.042279523837289,6,1,0,2,10,0
7252,degree,10,4,164.5391052434009,6.116910005176621,4,0,0,2,10,0
7254,t10,0,4,267.5218613006978,5.208454897529595,14,5,0,5,13,0
7254,degree,0,4,267.5218613006978,5.208454897529595,14,5,0,5,13,0
7254,degree,2,4,263.27922061357845,5.2209426507926375,8,2,0,5,13,0
7254,degree,5,4,252.20815280171297,5.271655834604259,6,1,0,5,13,0
7254,degree,10,4,252.20815280171297,5.271655834604259,6,1,0,5,13,0
7258,t10,0,5,307.32085117392114,5.067156680699653,15,5,0,5,15,0
7258,degree,0,5,307.32085117392114,5.067156680699653,15,5,0,5,15,0
7258,degree,2,5,305.90663761154804,5.0756218465808605,13,4,0,5,15,0
7258,degree,5,5,293.6639969244287,5.110189798590585,9,2,0,5,15,0
7258,degree,10,5,284.83556979968256,5.13366083118638,7,1,0,5,15,0
7262,t10,0,4,251.52186130069785,6.644469226198,15,5,0,6,14,0
7262,degree,0,4,251.52186130069785,6.644469226198,15,5,0,6,14,0
7262,degree,2,4,251.52186130069785,6.644469226198,15,5,0,6,14,0
7262,degree,5,4,230.20815280171306,6.860401984436519,9,2,0,6,14,0
7262,degree,10,4,224.20815280171308,6.870353143782753,8,2,0,6,14,0
7266,t10,0,5,256.42135623730945,6.336746191086153,11,3,0,3,13,0
7266,degree,0,5,256.42135623730945,6.336746191086153,11,3,0,3,13,0
7266,degree,2,5,253.59292911256327,6.353569099799937,9,2,0,3,13,0
7266,degree,5,5,239.6934341759516,6.424409346461063,5,0,0,3,13,0
7266,degree,10,5,239.6934341759516,6.424409346461063,5,0,0,3,13,0
7269,t10,0,4,303.73506473629425,4.7424048600634965,18,7,2,9,13,0
7269,degree,0,4,303.73506473629425,4.7424048600634965,18,7,2,9,13,0
7269,degree,2,4,303.73506473629425,4.7424048600634965,18,7,2,9,13,0
7269,degree,5,4,288.0782104868019,4.76051117065625,10,4,2,9,13,0
7269,degree,10,4,288.0782104868019,4.76051117065625,10,4,2,9,13,0
7273,t10,0,5,209.23759005323598,7.506626552697358,16,6,2,7,13,0
7273,degree,0,5,209.23759005323598,7.506626552697358,16,6,2,7,13,0
7273,degree,2,5,209.23759005323598,7.506626552697358,16,6,2,7,13,0
7273,degree,5,5,195.1665222413705,7.581310009280948,9,3,2,7,13,0
7273,degree,10,5,189.33809511662432,7.679276818293995,9,3,2,7,13,0
7283,t10,0,5,309.56349186104046,6.258483332911577,13,4,0,4,14,0
7283,degree,0,5,309.56349186104046,6.258483332911577,13,4,0,4,14,0
7283,degree,2,5,309.56349186104046,6.258483332911577,13,4,0,4,14,0
7283,degree,5,5,300.90663761154804,6.294544021865964,9,2,0,4,14,0
7283,degree,10,5,289.83556979968256,6.2668726607159195,7,1,0,4,14,0
7285,t10,0,4,166.09545442950497,6.439040855365201,8,2,0,2,10,0
7285,degree,0,4,166.09545442950497,6.439040855365201,8,2,0,2,10,0
7285,degree,2,4,164.6812408671319,6.452872132309977,6,1,0,2,10,0
7285,degree,5,4,156.4386001800126,6.565354675963046,4,0,0,2,10,0
7285,degree,10,4,151.0243866176395,6.6391620424830435,4,0,0,2,10,0
7287,t10,0,5,232.40916292848974,5.063250295294775,5,0,0,0,10,0
7287,degree,0,5,232.40916292848974,5.063250295294775,5,0,0,0,10,0
7287,degree,2,5,232.40916292848974,5.063250295294775,5,0,0,0,10,0
7287,degree,5,5,232.40916292848974,5.063250295294775,5,0,0,0,10,0
7287,degree,10,5,232.40916292848974,5.063250295294775,5,0,0,0,10,0
7291,t10,0,5,252.42135623730942,5.082925060349037,7,1,1,2,10,0
7291,degree,0,5,252.42135623730942,5.082925060349037,7,1,1,2,10,0
7291,degree,2,5,251.42135623730942,5.093539558505114,6,1,1,2,10,0
7291,degree,5,5,251.42135623730942,5.093539558505114,6,1,1,2,10,0
7291,degree,10,5,251.42135623730942,5.093539558505114,6,1,1,2,10,0
7294,t10,0,5,238.20815280171303,6.314778972869694,11,3,0,3,13,0
7294,degree,0,5,238.20815280171303,6.314778972869694,11,3,0,3,13,0
7294,degree,2,5,238.20815280171303,6.314778972869694,11,3,0,3,13,0
7294,degree,5,5,223.72287142747447,6.4190707947647825,5,0,0,3,13,0
7294,degree,10,5,218.48023074035518,6.466057109029095,5,0,0,3,13,0
7298,t10,0,5,303.906637611548,5.492659917552086,7,1,0,1,11,0
7298,degree,0,5,303.906637611548,5.492659917552086,7,1,0,1,11,0
7298,degree,2,5,303.906637611548,5.492659917552086,7,1,0,1,11,0
7298,degree,5,5,297.07821048680177,5.508926617595068,5,0,0,1,11,0
7298,degree,10,5,297.07821048680177,5.508926617595068,5,0,0,1,11,0
7300,t10,0,5,247.73506473629428,5.702033076705433,7,1,0,1,11,0
7300,degree,0,5,247.73506473629428,5.702033076705433,7,1,0,1,11,0
