[1/1950]
[151/1950]
[301/1950]
[451/1950]
[601/1950]
[751/1950]
[901/1950]
[1051/1950]
[1201/1950]
[1351/1950]
[1501/1950]
[1651/1950]
[1801/1950]
                   setting  payload_bytes    fg_psnr  n_branches_bias_pct  n_junctions_bias_pct  total_length_px_bias_pct
3                  default    2203.266667  28.077549           -18.084291            -40.000000                 -9.211025
8        spur_min_length=0    2215.686667  28.083204           -17.318008            -38.840580                 -9.102777
13       spur_min_length=2    2212.220000  28.078158           -17.318008            -38.840580                 -8.973639
18      spur_min_length=10    2185.700000  28.073278           -29.501916            -58.840580                -11.637152
23              bridge=off    2203.260000  28.077549           -18.007663            -40.000000                 -9.227214
28      bridge_max_gap=6.0    2203.260000  28.077549           -18.007663            -40.000000                 -9.227214
33     bridge_max_gap=20.0    2203.313333  28.077549           -18.160920            -40.000000                 -9.114579
38   min_component_nodes=0    2203.286667  28.077549           -17.854406            -40.000000                 -9.181232
43   min_component_nodes=6    2203.160000  28.077549           -18.467433            -40.000000                 -9.318541
48  min_component_nodes=10    2202.413333  28.077549           -19.540230            -40.000000                 -9.872240
53               spacing=2    2308.880000  28.086373           -17.088123            -36.521739                 -8.118668
58               spacing=5    2059.706667  28.069891           -19.770115            -43.768116                -10.737906
63               spacing=8    1895.606667  28.058422           -22.528736            -48.985507                -13.942290
