dataset,format,n,bytes_mean,bytes_median,ratio_v7_over_format,ratio_ci_lo,ratio_ci_hi,decode_descr_ms_median,external_process,swc_dup_nodes_mean,exact_n_components,exact_total_length_px,exact_mean_width_px,exact_n_branches,exact_n_junctions,exact_cycle_rank
CBMI,mask_jbig2,68,621.2647058823529,563.5,1.1905032429105715,1.1301733022488836,1.2532798680349617,12.529234518297017,True,,1.0,1.0,1.0,1.0,1.0,1.0
CBMI,mask_png,68,1371.4411764705883,1289.0,0.539299577516138,0.49806048816580895,0.5805943306701554,9.778171544894576,False,,1.0,1.0,1.0,1.0,1.0,1.0
CBMI,mask_webp_lossless,68,1001.2352941176471,960.0,0.7387051289583456,0.6902293309672229,0.7911595092597465,10.548243997618556,False,,1.0,1.0,1.0,1.0,1.0,1.0
CBMI,mask_zlib,68,1166.6029411764705,1130.0,0.6339926130418889,0.5926511192559898,0.6805349623881102,9.595450945198536,False,,1.0,1.0,1.0,1.0,1.0,1.0
CBMI,skel_chain,68,1025.1764705882354,935.5,0.7214539820977737,0.6986997993317029,0.7461523762092122,8.776519913226366,False,,1.0,1.0,0.0,1.0,1.0,1.0
CBMI,swc,68,5716.720588235294,5079.0,0.12937795990605475,0.12768649633738186,0.13116349843563974,2.932704985141754,False,5.3088235294117645,1.0,0.0,0.0,1.0,1.0,1.0
CBMI,swc_gz,68,2283.529411764706,2080.0,0.32389232354456465,0.3176105610551618,0.3299731658609729,2.970569592434913,False,5.3088235294117645,1.0,0.0,0.0,1.0,1.0,1.0
CBMI,v7_struct_e0.75,68,739.6176470588235,679.5,1.0,1.0,1.0,4.388188477605581,False,,1.0,0.0,0.0,1.0,1.0,1.0
CBMI,v7_struct_e3,68,661.4117647058823,593.5,1.1182408395588759,1.1120744916578564,1.1250603189649706,3.7766570458188653,False,,0.9852941176470589,0.0,0.0,0.9852941176470589,1.0,0.9852941176470589
HUMAN,mask_jbig2,33,406.2121212121212,360.0,1.068929503916449,0.9774343564603843,1.1516897789531133,9.971392923034728,True,,1.0,1.0,1.0,1.0,1.0,1.0
HUMAN,mask_png,33,755.7272727272727,655.0,0.574561931111913,0.5335788652852383,0.6126851958810237,7.0604130160063505,False,,1.0,1.0,1.0,1.0,1.0,1.0
HUMAN,mask_webp_lossless,33,530.3030303030303,448.0,0.8188000000000001,0.7712345650324987,0.8589524291806011,7.647684076800942,False,,1.0,1.0,1.0,1.0,1.0,1.0
HUMAN,mask_zlib,33,610.939393939394,509.0,0.7107286344923366,0.6711648726449162,0.747708924900148,6.9738299353048205,False,,1.0,1.0,1.0,1.0,1.0,1.0
HUMAN,skel_chain,33,624.060606060606,566.0,0.6957851801495581,0.6771575997668394,0.7127026898793312,5.58510806877166,False,,1.0,1.0,0.0,1.0,1.0,1.0
HUMAN,swc,33,3375.6969696969695,2806.0,0.12862888023124294,0.12472671294753236,0.13397107285114435,1.7801959766075015,False,4.515151515151516,1.0,0.0,0.0,1.0,1.0,1.0
HUMAN,swc_gz,33,1373.6060606060605,1163.0,0.31611109885503763,0.3092233909911082,0.3239055255097508,1.8397390376776457,False,4.515151515151516,1.0,0.0,0.0,1.0,1.0,1.0
HUMAN,v7_struct_e0.75,33,434.2121212121212,370.0,1.0,1.0,1.0,2.604134031571448,False,,1.0,0.0,0.0,1.0,1.0,1.0
HUMAN,v7_struct_e3,33,386.24242424242425,328.0,1.1241958261415346,1.1127421903934231,1.1341164225353004,2.2150689037516713,False,,1.0,0.0,0.0,1.0,1.0,1.0
MITO,mask_jbig2,133,463.812030075188,423.0,1.2353494253246227,1.180274376855816,1.288787913062498,10.208562016487122,True,,1.0,1.0,1.0,1.0,1.0,1.0
MITO,mask_png,133,777.2330827067669,714.0,0.7371918894865147,0.7078419875325873,0.764226313035331,7.843756931833923,False,,1.0,1.0,1.0,1.0,1.0,1.0
MITO,mask_webp_lossless,133,531.984962406015,464.0,1.0770415806880176,1.0421700164326626,1.1093378136267023,8.618996012955904,False,,1.0,1.0,1.0,1.0,1.0,1.0
MITO,mask_zlib,133,611.5187969924812,532.0,0.9369620813455959,0.9073463040828879,0.963465829302774,7.538891979493201,False,,1.0,1.0,1.0,1.0,1.0,1.0
MITO,skel_chain,133,800.3383458646616,648.0,0.7159096246888065,0.7085380997132171,0.723073784685399,6.648320006206632,False,,1.0,1.0,0.0,1.0,1.0,1.0
MITO,swc,133,4161.022556390977,3158.0,0.1376993075733264,0.13587377079274068,0.13966763089725698,2.244984032586217,False,2.037593984962406,1.0,0.0,0.0,1.0,1.0,1.0
MITO,swc_gz,133,1705.157894736842,1367.0,0.33602162390976514,0.33176531861161856,0.34025923701541066,2.3525040596723557,False,2.037593984962406,1.0,0.0,0.0,1.0,1.0,1.0
MITO,v7_struct_e0.75,133,572.9699248120301,477.0,1.0,1.0,1.0,3.2752190018072724,False,,1.0,0.0,0.0,1.0,1.0,1.0
MITO,v7_struct_e3,133,510.17293233082705,427.0,1.1230896202083918,1.1181534801760467,1.128080032032182,2.878435072489083,False,,1.0,0.0,0.0,1.0,1.0,1.0
ORGANELLE,mask_jbig2,726,268.56473829201104,267.0,0.7167783031931807,0.7099788926570967,0.7237140203176601,6.954732059966773,True,,1.0,1.0,1.0,1.0,1.0,1.0
ORGANELLE,mask_png,726,515.9338842975206,515.0,0.37311249225774756,0.3694089989431898,0.3765665696848095,4.827758530154824,False,,1.0,1.0,1.0,1.0,1.0,1.0
