filename,gt_iou,seg_iou,seg_f1,seg_precision,seg_recall,gt_fg_ssim,gt_fg_psnr,ng_fg_ssim,ng_fg_psnr,ng_iou,ng_topo_q,topo_preservation,ng_psnr,ng_ssim,ng_bytes,graph_n_components,graph_n_cycles,graph_n_junctions,graph_n_endpoints,graph_mean_degree,graph_complexity,n_nodes,n_edges,total_edge_length,mean_width_px,mean_curvature,delta_gt_iou,delta_gt_fg_psnr,delta_gt_fg_ssim,delta_fg_ssim,delta_iou,total_time_ms,self_iou,ng_recon_iou,ng_n_components,ng_n_cycles,ng_euler_characteristic,ng_n_junctions,ng_n_endpoints,ng_mean_degree,ng_graph_complexity,ng_seg_beta_0,ng_seg_beta_1,graph_n_nodes,graph_n_edges,graph_n_sampled,graph_mean_edge_length,graph_mean_width,graph_total_edge_length,graph_mean_curvature,png_bytes,ng_vs_png,ng_vs_raw,image_shape,image_pixels,image_type,segmenter,n_points,n_structures,webp_quality,webp_bytes,webp_psnr,webp_ssim,webp_fg_ssim,webp_fg_psnr,webp_topo_q,webp_iou,gt_available,pre_gt_iou,pre_ng_psnr,pre_ng_ssim,pre_ng_fg_psnr,gt_topology_q,recon_topology_q,stem,jpeg_quality,jpeg_bytes,jpeg_psnr,jpeg_ssim,jpeg_fg_psnr,jpeg_fg_ssim,jpeg_iou,jpeg_topo_q,jpeg_beta_0,jpeg_beta_1,jpeg_betti_preservation,jp2_bytes,jp2_psnr,jp2_ssim,jp2_fg_ssim,jp2_fg_psnr,jp2_topo_q,jp2_iou,delta_fg_psnr,delta_topo_q,delta_psnr,delta_ssim,jpeg_gt_iou,jpeg_gt_fg_psnr,jpeg_gt_fg_ssim
M1_001_y0x0.png,0.2445528455284553,0.00422727837871441,0.00841896743840535,0.11764705882352941,0.004365690806368772,0.9574109472758607,18.638254193585844,0.9998927599090447,28.393404021077938,0.009100782742219392,0.19345855982267313,1.189014694719847,20.665240938541572,0.6004891794015388,1189,3,4,7,3,2.090909090909091,1.3333333333333333,22,23,38.384776310850235,2.5621882622892205,0.09703264034339906,,,,,,2568.0267810821533,0.009100782742219392,0.009100782742219392,3,4,-1,7,3,2.090909090909091,1.3333333333333333,4,1,22,23,12,1.6689033178630535,2.5621882622892205,38.384776310850235,0.09703264034339906,35816,30.122792262405383,55.11858704793944,256x256,65536,sparse,Frangi,144,4,1,1130,30.64980858102927,0.8574658519478676,0.9996658855687361,22.285261294510043,0.10897662330444369,0.05864509605662285,True,0.24496583637612523,20.664750859313838,0.6004361001617787,28.384217527086353,0.6880030618248223,0.818045750521961,M1_001_y0x0,,,,,,,,,,,,,,,,,,,,,,,,,
M1_001_y0x256.png,0.02880658436213992,0.05862295081967213,0.11075322101090188,0.10577378135352579,0.11622464898595944,0.9848760668258668,21.61328534898687,0.9988644967858524,31.033607137923976,0.3910574875798439,0.1827564958370722,0.17777716548861172,23.861071886959998,0.7072097678200675,4371,22,6,13,44,1.8024691358024691,0.2727272727272727,162,146,299.49515286394046,4.306739297178057,0.10531175977162024,-0.02013199933580207,-14.400757850598573,-0.013588177376983146,-0.0003433152051609545,0.03777944650559428,1938.4095668792725,0.3910574875798439,0.3910574875798439,22,6,16,13,44,1.8024691358024691,0.2727272727272727,33,0,162,146,105,2.051336663451645,4.306739297178057,299.49515286394046,0.10531175977162024,37087,8.484786090139556,14.99336536261725,256x256,65536,sparse,Otsu,332,33,72,4352,38.7518825373559,0.9557236894401365,0.9993725399029123,33.79071748591705,0.07384375620324946,0.3469591226321037,True,0.02880658436213992,23.861182236773377,0.7072768817464663,31.03566169381893,0.4376619929873736,0.07780630855539195,M1_001_y0x256,32,4358,37.00742129361099,0.9394137293909753,32.08149824425747,0.9992078119910134,0.3532780410742496,0.07736937648896691,76,0,0.3484848484848485,474,22.649601101484397,0.6387842354464424,0.9759563167654872,15.21834312597358,0.1695754324582538,0.3963846710050615,-1.0478911063334913,0.1053871193481053,-13.146349406650991,-0.23220396157090784,0.04893858369794199,36.014043199585444,0.99846424420285
M1_001_y0x512.png,0.13769878391019644,0.05658642142277522,0.10711177103066918,0.05706180786645573,0.8716666666666667,0.9959406342963942,21.756260657042805,0.9869461492338817,34.82453944157906,0.23415567843470864,0.7677637252702412,0.6296899083915422,31.80328209488454,0.9124210356212142,15743,16,175,327,86,2.239638281838734,10.9375,1327,1486,3110.3109864682483,3.614150988579515,0.08473132818391113,0.04843752555202356,-24.996783338501576,-0.003998442338184138,-0.011875222300266608,-0.26743644423221935,8619.428634643555,0.23415567843470864,0.23415567843470864,16,175,-159,327,86,2.239638281838734,10.9375,36,22,1327,1486,914,2.0930760339625074,3.614150988579515,3110.3109864682483,0.08473132818391113,29783,1.8918249380677126,4.162866035698405,256x256,65536,sparse,Learned,1949,36,100,13722,49.98644490773203,0.9925367161722386,0.9991441494604615,49.148386174903216,0.3710200595574177,0.4876491262808772,True,0.13788587464920488,31.807569841820378,0.9131426861852513,34.83412465751525,0.2992159894074672,0.18841328895927267,M1_001_y0x512,96,14777,48.83284260747011,0.9920745571383139,47.046999657978816,0.9988213715341483,0.501592122666928,0.3629142797803122,94,66,0.0,245,22.989599536521258,0.5337162068329394,0.891965765551083,19.70598517433882,0.9973415180112236,0.318393144732444,-12.222460216399753,0.40484944548992896,-17.029560512585572,-0.0796535215170997,0.08926125835817288,46.75304399554438,0.9999390766345784
M1_001_y256x0.png,0.2530558925072315,0.011605750909405854,0.022945205479452058,0.27235772357723576,0.011977118341079729,0.9675680908295718,16.70338043440674,0.9999211738703361,26.187935919207845,0.011568848758465011,0.1974812020375215,1.327130790971957,21.52734787803899,0.7221140491136853,1083,3,0,0,4,1.76,0.0,25,22,35.798989873223334,2.934699387550354,0.05934365997224615,,,,,,803.8539886474609,0.011568848758465011,0.011568848758465011,3,0,3,0,4,1.76,0.0,3,0,25,22,21,1.6272268124192424,2.934699387550354,35.798989873223334,0.05934365997224615,32062,29.604801477377656,60.51338873499538,256x256,65536,sparse,Frangi,145,3,4,1050,33.08332940552316,0.9060310090670819,0.9999093100737636,25.082274417557553,0.23151430728480504,0.056455571919489446,True,0.252974385293706,21.52737987351506,0.7231299156516514,26.182972408057708,0.7082914232788756,0.9399953568147473,M1_001_y256x0,,,,,,,,,,,,,,,,,,,,,,,,,
M1_001_y256x512.png,0.41779900443966095,0.3477287268074216,0.5160218371706623,0.40564746859062073,0.7089130434782609,0.9880919951927564,30.078090841997632,0.9909992035195044,34.381985004051224,0.5553886385133255,0.6659690879133631,0.4819059484075858,28.90318497833883,0.77240193350756,9402,16,54,105,42,2.1073446327683616,3.375,708,746,1390.5554826343305,6.717138219687898,0.06481965506308628,0.04853024034645792,-10.920456057677203,-0.00990464718655204,-0.006321226015822967,0.003857806258043106,4603.969573974609,0.5553886385133255,0.5553886385133255,16,54,-38,105,42,2.1073446327683616,3.375,23,4,708,746,561,1.8640153922712155,6.717138219687898,1390.5554826343305,0.06481965506308628,36877,3.922250584981919,6.970431823016379,256x256,65536,sparse,Otsu,842,23,90,8440,42.679967631599325,0.9752120381118986,0.9971982994240268,41.057263323329295,0.3573931819276064,0.5452806993580112,True,0.41881261346063337,28.8971827940443,0.7724688266084404,34.38800754965639,0.8916319767781041,0.4296827533997828,M1_001_y256x512,85,9197,42.73610968703814,0.9758994703818944,40.85273721414296,0.9973204295353274,0.5515308322552824,0.32712677975634263,121,35,0.0,243,22.339629377713948,0.5927065101286474,0.8929734097489719,18.68927756170034,0.9851536316619132,0.42335647202939974,-6.470752210091739,0.33884230815702043,-13.832924708699306,-0.20349753687433436,0.36926876409320303,40.998546899674835,0.9979966423793084
M1_001_y256x768.png,0.4764259226558361,0.3773631686605095,0.5479501372575493,0.45009611119325743,0.7001725129384704,0.9909567483024619,28.19825598870858,0.992645613965468,33.76173807238288,0.5943079464904333,0.8183102188612361,0.6197298128280346,30.605983044991127,0.8488232173203009,8517,8,23,57,33,2.049342105263158,2.875,608,623,1055.1930009000655,7.227777963798297,0.04489746863537764,-0.020971624457535087,-13.058453017545425,-0.00787744335219731,-0.005422655461067238,-0.00393644680828753,6822.8600025177,0.5943079464904333,0.5943079464904333,8,23,-15,57,33,2.049342105263158,2.875,11,0,608,623,518,1.693728733386939,7.227777963798297,1055.1930009000655,0.04489746863537764,32108,3.769872020664553,7.694728190677469,256x256,65536,sparse,Otsu,882,11,93,7710,45.36583635872955,0.9835374844191086,0.9985388813462021,42.60464492246636,0.5361101318752891,0.5993975903614458,True,0.476837953970216,30.60949889751967,0.8516867153381668,33.776196357184816,0.967751563395192,0.5997444952469402,M1_001_y256x768,89,8243,44.51553680641996,0.9813145711868779,40.782697695734996,0.9980682694265353,0.5982443932987208,0.5657754786655095,31,21,0.0,249,22.09754260040252,0.5150846213305679,0.8966965795839826,17.206621253969235,0.9943719935855959,0.5149047750483026,-7.0209596233521125,0.25253474019572664,-13.909553761428832,-0.13249135386657707,0.4973975471133712,41.256709006254006,0.9988341916546593
M1_001_y512x512.png,0.057282526949110055,0.1456276753734603,0.2542321183468049,0.27154259651409024,0.23899641577060932,0.9842883502073367,26.669663489555848,0.9981603257678269,31.713089085967823,0.23260340632603407,0.27157819783958637,0.1067206038739111,28.774291117794263,0.717853462772679,5384,25,9,17,50,1.8926174496644295,0.36,298,282,497.2619766708763,4.6128644623212365,0.0825062010673208,-0.015971722775727906,-11.049591288073916,-0.013801889504258535,-0.0011056721022109084,-0.01660993539832087,2395.2791690826416,0.23260340632603407,0.23260340632603407,25,9,16,17,50,1.8926174496644295,0.36,32,0,298,282,231,1.763340342804523,4.6128644623212365,497.2619766708763,0.0825062010673208,37273,6.922919762258544,12.172362555720653,256x256,65536,sparse,Meijering,430,32,81,5012,40.044032675493845,0.9568440733648707,0.9993145422906119,36.64865360586015,0.08681763171699186,0.24744215331339525,True,0.057150018799348286,28.775027699090998,0.7179657506352235,31.722907038059965,0.7171552569062589,0.0765352420883858,M1_001_y512x512,56,5343,39.56392800138016,0.9565661359106905,34.94684522623839,0.9992659978700378,0.24921334172435494,0.08321770587738697,61,0,0.546875,410,24.5694904222113,0.6491329501168045,0.9706282173070669,17.289503748176497,0.30984104153314185,0.3914187944195841,-3.2337561402705646,0.1883604919621994,-10.7896368835859,-0.23871267313801148,0.07325424972483796,37.719254777629764,0.9980902397115953
M1_002_y256x512.png,0.16671422456841203,0.008878594865856012,0.017600918308781327,0.08409506398537477,0.009829059829059829,0.9815120721931215,21.298888016916678,0.9997877119350277,26.755675558459057,0.019405700424499697,0.22275526193105388,1.7480881829242805,21.66847127346632,0.7032838700372492,1419,4,2,4,6,1.9,0.5,40,38,59.38477631085023,3.3726931869983674,0.041065449157260556,0.09989760641546151,-3.3396053698211148,-0.004526301802548538,0.0010049743367865904,-0.10699154807077114,945.5862045288086,0.019405700424499697,0.019405700424499697,4,2,2,4,6,1.9,0.5,5,0,40,38,30,1.562757271338164,3.3726931869983674,59.38477631085023,0.041065449157260556,30535,21.518675123326286,46.184637068358,256x256,65536,sparse,Frangi,162,5,15,1418,34.87941536727805,0.9232582246997931,0.9998016452260039,26.636698397734587,0.15430795614414272,0.14113597246127366,True,0.16686301810003212,21.668182680533903,0.706847012205346,26.739227802369857,0.572050465329246,0.9999946584783906,M1_002_y256x512,3,1366,27.072349110978436,0.7762775880579795,19.657378297730034,0.9987827375982411,0.12639724849527084,0.23595640871124257,46,5,0.0,,,,,,,,7.098297260729023,-0.013201146780188688,-5.403877837512116,-0.07299371802073029,0.06681661815295052,24.638493386737792,0.9860383739956701
M1_002_y256x768.png,0.2855924139515044,0.00028598665395614874,0.0005718097779472029,0.007246376811594203,0.0002976485762476436,0.9633034177165238,23.075018350791755,0.9999051633992019,27.263208546145556,0.014225826403683596,0.20281353317080053,1.2838170185727509,19.461322381715433,0.6104229519873439,1367,3,0,0,6,1.7857142857142858,0.0,28,25,34.31370849898477,4.588274359703064,0.03903870853705719,,,,,,857.9769134521484,0.014225826403683596,0.014225826403683596,3,0,3,0,6,1.7857142857142858,0.0,3,0,28,25,22,1.3725483399593903,4.588274359703064,34.31370849898477,0.03903870853705719,34434,25.189465983906363,47.94147768836869,256x256,65536,dense,Frangi,228,3,3,1310,31.54717958098228,0.883968273549713,0.9998395224219996,23.62894495976912,0.12218777998842356,0.10737273259215915,True,0.2856252664720737,19.461614202382428,0.6100055998776508,27.268070549054325,0.7764231329732973,0.9967852317246931,M1_002_y256x768,,,,,,,,,,,,,,,,,,,,,,,,,
M1_002_y768x256.png,0.19165217391304348,0.08191244239631336,0.1514215738473006,0.08262638001162115,0.9045801526717557,0.9994464680915695,34.327270381415914,0.993005742789261,35.48444527470815,0.2481962481962482,0.8339279142423384,0.3747337221337693,31.964910176186162,0.8876005013504522,13982,15,130,258,84,2.171898355754858,8.666666666666666,1338,1453,3110.8663156099005,3.11812329702135,0.08797050112499477,-0.013385212942525204,-11.35896782364491,-0.0005143400238034612,-0.006171399425764723,0.004511255625668703,3363.123655319214,0.2481962481962482,0.2481962481962482,15,130,-115,258,84,2.171898355754858,8.666666666666666,30,9,1338,1453,996,2.140995399593899,3.11812329702135,3110.8663156099005,0.08797050112499477,31302,2.238735517093406,4.687169217565441,256x256,65536,sparse,Learned,1534,30,99,13722,49.845213923147455,0.993180983381508,0.9994485590773905,48.722491312036034,0.16495249761591424,0.24372821304074518,True,0.1935158743490677,31.966041824490983,0.8896973187124195,35.490822027930015,0.6140316856257579,0.23009837906261277,M1_002_y768x256,95,13765,48.19825547688851,0.9921615228567314,46.146277575507,0.9991771422150257,0.2436849925705795,0.16565735119342073,72,3,0.0,244,20.97105385994951,0.4670570866013185,0.8836642044340722,16.568106618708136,0.9999988548787141,0.3283429267212752,-10.66183230079885,0.6682705630489176,-16.23334530070235,-0.10456102150627922,0.2050373868555687,45.686238205060825,0.9999608081153729
