filename	gt_iou	seg_iou	seg_f1	seg_precision	seg_recall	gt_fg_ssim	gt_fg_psnr	ng_fg_ssim	ng_fg_psnr	ng_iou	ng_topo_q	topo_preservation	ng_psnr	ng_ssim	ng_bytes	graph_n_components	graph_n_cycles	graph_n_junctions	graph_n_endpoints	graph_mean_degree	graph_complexity	n_nodes	n_edges	total_edge_length	mean_width_px	mean_curvature	delta_gt_iou	delta_gt_fg_psnr	delta_gt_fg_ssim	delta_fg_ssim	delta_iou	total_time_ms	self_iou	ng_recon_iou	ng_n_components	ng_n_cycles	ng_euler_characteristic	ng_n_junctions	ng_n_endpoints	ng_mean_degree	ng_graph_complexity	ng_seg_beta_0	ng_seg_beta_1	graph_n_nodes	graph_n_edges	graph_n_sampled	graph_mean_edge_length	graph_mean_width	graph_total_edge_length	graph_mean_curvature	png_bytes	ng_vs_png	ng_vs_raw	image_shape	image_pixels	image_type	segmenter	n_points	n_structures	webp_quality	webp_bytes	webp_psnr	webp_ssim	webp_fg_ssim	webp_fg_psnr	webp_topo_q	webp_iou	gt_available	pre_gt_iou	pre_ng_psnr	pre_ng_ssim	pre_ng_fg_psnr	gt_topology_q	recon_topology_q	stem	jpeg_quality	jpeg_bytes	jpeg_psnr	jpeg_ssim	jpeg_fg_psnr	jpeg_fg_ssim	jpeg_iou	jpeg_topo_q	jpeg_beta_0	jpeg_beta_1	jpeg_betti_preservation	jp2_bytes	jp2_psnr	jp2_ssim	jp2_fg_ssim	jp2_fg_psnr	jp2_topo_q	jp2_iou	delta_fg_psnr	delta_topo_q	delta_psnr	delta_ssim	jpeg_gt_iou	jpeg_gt_fg_psnr	jpeg_gt_fg_ssim
M1_001_y0x0.png	0.244553	0.004227	0.008419	0.117647	0.004366	0.957411	18.638254	0.999893	28.393404	0.009101	0.193459	1.189015	20.665241	0.600489	1230	4	1	3	9	1.666667	0.250000	18	15	44.970563	2.656017	0.000000						5089.641094	0.009101	0.009101	4	1	3	3	9	1.666667	0.250000	4	1	18	15	6	2.998038	2.656017	44.970563	0.000000	35816	29.118699	53.281301	256x256	65536	sparse	Frangi	144	4	2	1224	31.121850	0.863977	0.999699	23.480322	0.111812	0.063961	True	0.244966	20.664751	0.600436	28.384218	0.688003	0.818046	M1_001_y0x0																									
M1_001_y0x256.png	0.028807	0.058623	0.110753	0.105774	0.116225	0.984876	21.613285	0.998864	31.033607	0.391057	0.182756	0.177777	23.861072	0.707210	4410	33	0	4	70	1.359223	0.000000	103	70	340.592929	4.104092	0.000000	-0.020132	-14.400758	-0.013588	-0.000343	0.037779	1905.454636	0.391057	0.391057	33	0	33	4	70	1.359223	0.000000	33	0	103	70	29	4.865613	4.104092	340.592929	0.000000	37087	8.409751	14.860771	256x256	65536	sparse	Otsu	332	33	72	4352	38.751883	0.955724	0.999373	33.790717	0.073844	0.346959	True	0.028807	23.861182	0.707277	31.035662	0.437662	0.077806	M1_001_y0x256	32	4358	37.007421	0.939414	32.081498	0.999208	0.353278	0.077369	76	0	0.348485	474	22.649601	0.638784	0.975956	15.218343	0.169575	0.396385	-1.047891	0.105387	-13.146349	-0.232204	0.048939	36.014043	0.998464
M1_001_y0x512.png	0.137699	0.056586	0.107112	0.057062	0.871667	0.995941	21.756261	0.986946	34.824539	0.234156	0.767764	0.629690	31.803282	0.912421	14586	36	23	111	141	1.959877	0.638889	648	635	2970.123159	3.463592	0.000000	0.048967	-23.900949	-0.003983	-0.011661	-0.267117	8221.374989	0.234156	0.234156	36	23	13	111	141	1.959877	0.638889	36	22	648	635	396	4.677359	3.463592	2970.123159	0.000000	29783	2.041889	4.493076	256x256	65536	sparse	Learned	1949	36	100	13722	49.986445	0.992537	0.999144	49.148386	0.371020	0.487649	True	0.137886	31.807570	0.913143	34.834125	0.299216	0.188413	M1_001_y0x512	95	12887	48.159793	0.991060	46.159401	0.998607	0.501272	0.343783	95	32	0.000000	245	22.989600	0.533716	0.891966	19.705985	0.997342	0.318393	-11.334862	0.423981	-16.356511	-0.078639	0.088732	45.657209	0.999924
M1_001_y256x0.png	0.253056	0.011606	0.022945	0.272358	0.011977	0.967568	16.703380	0.999921	26.187936	0.011569	0.197481	1.327131	21.527348	0.722114	1093	3	0	0	6	1.454545	0.000000	11	8	35.798990	3.014032	0.000000						792.361021	0.011569	0.011569	3	0	3	0	6	1.454545	0.000000	3	0	11	8	5	4.474874	3.014032	35.798990	0.000000	32062	29.333943	59.959744	256x256	65536	sparse	Frangi	145	3	5	1088	33.388202	0.901589	0.999916	25.287138	0.194059	0.054769	True	0.252974	21.527380	0.723130	26.182972	0.708291	0.939995	M1_001_y256x0																									
M1_001_y256x512.png	0.417799	0.347729	0.516022	0.405647	0.708913	0.988092	30.078091	0.990999	34.381985	0.555389	0.665969	0.481906	28.903185	0.772402	8879	23	4	34	75	1.872910	0.173913	299	280	1402.200144	6.196652	0.000000	0.047964	-10.656130	-0.009810	-0.006172	0.006341	4409.472704	0.555389	0.555389	23	4	19	34	75	1.872910	0.173913	23	4	299	280	190	5.007858	6.196652	1402.200144	0.000000	36877	4.153283	7.381011	256x256	65536	sparse	Otsu	842	23	90	8440	42.679968	0.975212	0.997198	41.057263	0.357393	0.545281	True	0.418813	28.897183	0.772469	34.388008	0.891632	0.429683	M1_001_y256x512	83	8750	42.520737	0.974978	40.581524	0.997171	0.549048	0.331545	122	41	0.000000	243	22.339629	0.592707	0.892973	18.689278	0.985154	0.423356	-6.199539	0.334424	-13.617552	-0.202576	0.369835	40.734220	0.997902
M1_001_y256x768.png	0.476426	0.377363	0.547950	0.450096	0.700173	0.990957	28.198256	0.992646	33.761738	0.594308	0.818310	0.619730	30.605983	0.848823	7941	11	0	22	44	1.896714	0.000000	213	202	1043.808225	7.076792	0.000000	-0.021808	-12.880070	-0.007837	-0.005352	-0.004054	6608.605385	0.594308	0.594308	11	0	11	22	44	1.896714	0.000000	11	0	213	202	147	5.167367	7.076792	1043.808225	0.000000	32108	4.043319	8.252865	256x256	65536	sparse	Otsu	882	11	93	7710	45.365836	0.983537	0.998539	42.604645	0.536110	0.599398	True	0.476838	30.609499	0.851687	33.776196	0.967752	0.599744	M1_001_y256x768	88	7926	44.336081	0.980278	40.570884	0.997997	0.598362	0.558232	33	23	0.000000	272	22.754851	0.546652	0.897453	17.310971	0.999823	0.538155	-6.809145	0.260079	-13.730098	-0.131454	0.498234	41.078326	0.998794
M1_001_y512x512.png	0.057283	0.145628	0.254232	0.271543	0.238996	0.984288	26.669663	0.998160	31.713089	0.232603	0.271578	0.106721	28.774291	0.717853	5266	32	0	8	72	1.564626	0.000000	147	115	532.989899	4.413495	0.000000	-0.015814	-10.976026	-0.013778	-0.001081	-0.016100	2227.352142	0.232603	0.232603	32	0	32	8	72	1.564626	0.000000	32	0	147	115	67	4.634695	4.413495	532.989899	0.000000	37273	7.078048	12.445120	256x256	65536	sparse	Meijering	430	32	81	5012	40.044033	0.956844	0.999315	36.648654	0.086818	0.247442	True	0.057150	28.775028	0.717966	31.722907	0.717155	0.076535	M1_001_y512x512	55	5260	39.472455	0.955613	34.869741	0.999241	0.248703	0.081340	62	2	0.000000	410	24.569490	0.649133	0.970628	17.289504	0.309841	0.391419	-3.156652	0.190239	-10.698164	-0.237759	0.073096	37.645689	0.998066
M1_002_y256x512.png	0.166714	0.008879	0.017601	0.084095	0.009829	0.981512	21.298888	0.999788	26.755676	0.019406	0.222755	1.748088	21.668471	0.703284	1427	5	0	1	11	1.500000	0.000000	20	15	63.384776	3.390552	0.000000	0.099898	-3.339605	-0.004526	0.001005	-0.106992	941.222906	0.019406	0.019406	5	0	5	1	11	1.500000	0.000000	5	0	20	15	8	4.225652	3.390552	63.384776	0.000000	30535	21.398038	45.925718	256x256	65536	sparse	Frangi	162	5	15	1418	34.879415	0.923258	0.999802	26.636698	0.154308	0.141136	True	0.166863	21.668183	0.706847	26.739228	0.572050	0.999995	M1_002_y256x512	3	1366	27.072349	0.776278	19.657378	0.998783	0.126397	0.235956	46	5	0.000000								7.098297	-0.013201	-5.403878	-0.072994	0.066817	24.638493	0.986038
M1_002_y256x768.png	0.285592	0.000286	0.000572	0.007246	0.000298	0.963303	23.075018	0.999905	27.263209	0.014226	0.202814	1.283817	19.461322	0.610423	1388	3	0	0	6	1.454545	0.000000	11	8	34.313708	4.315912	0.000000	0.258797	-1.537974	0.000989	0.000479	-0.074742	854.514122	0.014226	0.014226	3	0	3	0	6	1.454545	0.000000	3	0	11	8	5	4.289214	4.315912	34.313708	0.000000	34434	24.808357	47.216138	256x256	65536	dense	Frangi	228	3	4	1370	31.794749	0.882518	0.999856	24.107068	0.117164	0.111517	True	0.285625	19.461614	0.610006	27.268071	0.776423	0.996785	M1_002_y256x768	2	1383	25.018069	0.672876	18.782832	0.999427	0.088968	0.201621	58	3	0.000000								8.480377	0.001192	-5.556746	-0.062453	0.026795	24.612992	0.962314
M1_002_y768x256.png	0.191652	0.081912	0.151422	0.082626	0.904580	0.999446	34.327270	0.993006	35.484445	0.248196	0.833928	0.374734	31.964910	0.887601	12822	30	10	95	139	1.940030	0.333333	667	647	3054.632827	3.031903	0.000000	-0.012858	-10.930760	-0.000511	-0.006091	0.003639	3082.083225	0.248196	0.248196	30	10	20	95	139	1.940030	0.333333	30	9	667	647	433	4.721225	3.031903	3054.632827	0.000000	31302	2.441273	5.111215	256x256	65536	sparse	Learned	1534	30	98	12392	49.107017	0.992339	0.999348	47.879555	0.181500	0.267337	True	0.193516	31.966042	0.889697	35.490822	0.614032	0.230098	M1_002_y768x256	94	12181	47.697018	0.991360	45.572754	0.999096	0.244557	0.166787	73	6	0.116667	244	20.971054	0.467057	0.883664	16.568107	0.999999	0.328343	-10.088309	0.667141	-15.732108	-0.103760	0.204510	45.258030	0.999957
M1_002_y768x768.png	0.009554	0.042043	0.080694	0.069702	0.095800	0.991754	28.811286	0.996974	32.844880	0.276731	0.201363	0.165700	30.222108	0.784260	4232	33	3	10	73	1.523810	0.090909	126	96	386.462987	4.218080	0.000000	-0.039388	-11.514030	-0.007205	-0.001857	0.025138	2036.365032	0.276731	0.276731	33	3	30	10	73	1.523810	0.090909	33	2	126	96	43	4.025656	4.218080	386.462987	0.000000	34321	8.109877	15.485822	256x256	65536	sparse	Meijering	319	33	82	4194	41.445604	0.964371	0.999018	37.395374	0.242821	0.231665	True	0.009539	30.225681	0.784361	32.853245	0.474112	0.078561	M1_002_y768x768	50	4232	40.558754	0.957604	36.181038	0.998830	0.251593	0.241043	148	37	0.000000	473	27.900329	0.742140	0.974069	20.956663	0.494939	0.207486	-3.336158	-0.039681	-10.336646	-0.173343	0.048942	40.325316	0.998958
M1_003_y256x256.png	0.190191	0.118495	0.211883	0.121430	0.830606	0.999242	30.824917	0.997097	34.590767	0.371117	0.717101	1.361219	33.238163	0.950834	6289	15	4	31	53	1.909465	0.266667	243	232	1071.862048	3.359814	0.000000	-0.037863	-12.790046	-0.000708	-0.002433	0.018484	3418.659210	0.371117	0.371117	15	4	11	31	53	1.909465	0.266667	15	4	243	232	159	4.620095	3.359814	1071.862048	0.000000	22795	3.624583	10.420735	256x256	65536	sparse	Learned	884	15	98	6106	50.853186	0.990890	0.999665	47.227586	0.233191	0.356406	True	0.191053	33.250355	0.956884	34.581347	0.340320	0.463250	M1_003_y256x256	93	5945	49.229449	0.991222	44.106780	0.999531	0.352633	0.251736	26	2	0.383333	334	26.405454	0.567293	0.962637	18.849749	0.510318	0.322028	-9.516013	0.465365	-15.991286	-0.040388	0.228054	43.614963	0.999950
M1_003_y256x512.png	0.182971	0.003197	0.006373	0.221154	0.003233	0.971156	21.426694	0.999965	25.218173	0.002904	0.147856	1.806521	19.586948	0.569690	865	2	0	0	4	1.333333	0.000000	6	4	16.071068	2.290536	0.000000						541.929483	0.002904	0.002904	2	0	2	0	4	1.333333	0.000000	2	0	6	4	2	4.017767	2.290536	16.071068	0.000000	35895	41.497110	75.764162	256x256	65536	sparse	Frangi	100	2									True	0.183055	19.587607	0.569997	25.219929	0.553550	1.000000	M1_003_y256x512																									
