filename	ng_fg_ssim	ng_fg_psnr	ng_iou	ng_topo_q	ng_psnr	ng_ssim	ng_bytes	graph_n_components	graph_n_cycles	graph_n_junctions	graph_n_endpoints	graph_mean_degree	graph_complexity	n_nodes	n_edges	total_edge_length	mean_width_px	mean_curvature	delta_fg_ssim	delta_iou	total_time_ms	self_iou	ng_recon_iou	ng_n_components	ng_n_cycles	ng_euler_characteristic	ng_n_junctions	ng_n_endpoints	ng_mean_degree	ng_graph_complexity	ng_seg_beta_0	ng_seg_beta_1	graph_n_nodes	graph_n_edges	graph_n_sampled	graph_mean_edge_length	graph_mean_width	graph_total_edge_length	graph_mean_curvature	png_bytes	ng_vs_png	ng_vs_raw	image_shape	image_pixels	image_type	segmenter	n_points	n_structures	jpeg_quality	jpeg_bytes	jpeg_psnr	jpeg_ssim	jpeg_fg_psnr	jpeg_fg_ssim	jpeg_iou	jpeg_topo_q	jpeg_beta_0	jpeg_beta_1	jpeg_betti_preservation	webp_quality	webp_bytes	webp_psnr	webp_ssim	webp_fg_ssim	webp_fg_psnr	webp_topo_q	webp_iou	jp2_bytes	jp2_psnr	jp2_ssim	jp2_fg_ssim	jp2_fg_psnr	jp2_topo_q	jp2_iou	delta_fg_psnr	delta_topo_q	delta_psnr	delta_ssim	gt_available	stem
d1_d0001_p0004_t0000.png	0.977041	22.259054	0.379683	0.999994	21.610352	0.257941	46780	11	120	332	140	2.133989	10.909091	1627	1736	7594.865725	4.110553	0.000000	0.001143	0.018391	28689.820528	0.379683	0.379683	11	120	-109	332	140	2.133989	10.909091	11	129	1627	1736	1155	4.374923	4.110553	7594.865725	0.000000	270816	5.789141	7.695596	600x600	360000	dense	Learned	4376	11	32	45763	23.643242	0.620859	22.049707	0.975898	0.361292	0.242727	2773	4169	0.000000	15	46078	25.196157	0.756649	0.987970	24.765247	0.185560	0.341460	1093	21.238924	0.185701	0.940067	18.711639	0.992259	0.367846	0.209348	0.757268	-2.032889	-0.362918	False	d1_d0001_p0004_t0000
d1_d0001_p0006_t0000.png	0.971459	22.609685	0.584554	0.999702	22.493905	0.332566	60803	23	189	475	170	2.148479	8.217391	2236	2402	10674.420341	4.065939	0.000000	-0.007631	0.078392	26460.741520	0.584554	0.584554	23	189	-166	475	170	2.148479	8.217391	23	194	2236	2402	1591	4.443972	4.065939	10674.420341	0.000000	279098	4.590201	5.920760	600x600	360000	dense	Learned	5917	23	47	59791	25.345004	0.706668	23.766529	0.979090	0.506163	0.251883	3005	5113	0.000000	28	60420	27.827482	0.850855	0.990432	27.087967	0.214312	0.489419	706	21.328102	0.212520	0.921933	18.337808	0.999990	0.449435	-1.156843	0.747819	-2.851099	-0.374102	False	d1_d0001_p0006_t0000
d1_d0001_p0007_t0000.png	0.976498	22.357165	0.420132	0.999437	21.948885	0.302314	49505	22	157	421	166	2.136709	7.136364	1975	2110	9366.409014	4.157673	0.000000	-0.001279	0.006963	23841.226339	0.420132	0.420132	22	157	-135	421	166	2.136709	7.136364	22	159	1975	2110	1388	4.439056	4.157673	9366.409014	0.000000	281114	5.678497	7.271993	600x600	360000	sparse	Learned	3992	22	36	48721	24.303954	0.650239	22.530935	0.977776	0.413169	0.257120	3152	5008	0.000000	19	48466	25.836165	0.779999	0.988072	25.091900	0.223032	0.402228	1093	21.574642	0.217903	0.935988	18.744132	0.999766	0.401501	-0.173770	0.742317	-2.355069	-0.347925	False	d1_d0001_p0007_t0000
d1_d0001_p0008_t0000.png	0.970127	21.814004	0.555477	0.999973	20.806435	0.333198	77688	23	201	606	272	2.121460	8.739130	2931	3109	13926.611609	3.782481	0.000000	-0.010751	0.086979	23157.950878	0.555477	0.555477	23	201	-178	606	272	2.121460	8.739130	23	203	2931	3109	2053	4.479451	3.782481	13926.611609	0.000000	274593	3.534561	4.633920	600x600	360000	dense	Learned	7328	23	51	76355	24.634493	0.768497	23.563017	0.980877	0.468498	0.271393	4166	9313	0.000000	31	77056	28.612106	0.908260	0.993322	28.247442	0.246061	0.466487	671	19.853121	0.162289	0.910988	17.567357	0.996602	0.422176	-1.749013	0.728581	-3.828058	-0.435299	False	d1_d0001_p0008_t0000
d1_d0001_p0009_t0000.png	0.986161	24.091643	0.463818	0.999991	25.471633	0.413768	33307	9	100	269	95	2.147368	11.111111	1235	1326	5984.670632	3.973140	0.000000	-0.001706	0.036502	20323.230505	0.463818	0.463818	9	100	-91	269	95	2.147368	11.111111	9	100	1235	1326	871	4.513326	3.973140	5984.670632	0.000000	272870	8.192572	10.808539	600x600	360000	dense	Learned	3536	9	40	32987	27.744567	0.635126	24.560109	0.987867	0.427316	0.260906	1279	1407	0.000000	28	32646	28.403689	0.725203	0.990092	25.392823	0.253984	0.423897	1738	25.897232	0.390098	0.973141	21.773076	0.911704	0.435854	-0.468465	0.739085	-2.272935	-0.221358	False	d1_d0001_p0009_t0000
d1_d0001_p0010_t0000.png	0.972582	24.207682	0.517887	0.998046	23.318361	0.406574	66777	36	185	523	245	2.111236	5.138889	2679	2828	12820.416516	3.814372	0.000000	-0.010876	0.067503	23212.962627	0.517887	0.517887	36	185	-149	523	245	2.111236	5.138889	36	189	2679	2828	1911	4.533386	3.814372	12820.416516	0.000000	267192	4.001258	5.391078	600x600	360000	dense	Learned	6917	36	61	65733	27.598117	0.763663	26.245816	0.983457	0.450384	0.192918	3873	4336	0.000000	45	66234	30.433726	0.888078	0.992398	29.500462	0.182483	0.439799	700	22.647769	0.293995	0.933097	20.089685	0.969090	0.418522	-2.038134	0.805128	-4.279756	-0.357089	False	d1_d0001_p0010_t0000
d1_d0001_p0011_t0000.png	0.985860	23.689417	0.302020	0.990970	24.291546	0.388155	38207	25	107	280	126	2.115007	4.280000	1426	1508	6717.910314	3.795096	0.000000	-0.001544	-0.026567	23575.580597	0.302020	0.302020	25	107	-82	280	126	2.115007	4.280000	25	108	1426	1508	1020	4.454848	3.795096	6717.910314	0.000000	279656	7.319496	9.422357	600x600	360000	dense	Learned	3857	25	40	37672	26.897645	0.647488	24.142383	0.987404	0.328586	0.390292	1355	3277	0.000000	26	36518	27.550849	0.738733	0.990458	25.092657	0.346183	0.328295	1447	24.550252	0.355004	0.969597	20.751770	0.969706	0.309522	-0.452966	0.600678	-2.606098	-0.259333	False	d1_d0001_p0011_t0000
d1_d0001_p0013_t0000.png	0.978050	25.036331	0.472665	1.000000	24.802583	0.500218	57235	13	147	463	210	2.113800	11.307692	2355	2489	11559.157498	3.603662	0.000000	-0.009284	0.013298	21271.699429	0.472665	0.472665	13	147	-134	463	210	2.113800	11.307692	13	149	2355	2489	1682	4.644097	3.603662	11559.157498	0.000000	271903	4.750642	6.289858	600x600	360000	dense	Learned	6099	13	65	56223	29.508748	0.765417	27.318875	0.987334	0.459367	0.247645	1865	2780	0.000000	53	56520	31.629413	0.869390	0.992812	29.770318	0.237309	0.462634	1096	25.194444	0.446191	0.955629	21.849296	0.875624	0.410149	-2.282544	0.752355	-4.706165	-0.265200	False	d1_d0001_p0013_t0000
d1_d0001_p0014_t0000.png	0.965058	24.359834	0.633468	1.000000	22.913916	0.484933	77532	20	283	736	247	2.147092	14.150000	3576	3839	17377.266730	3.985849	0.000000	-0.017985	0.084827	25573.215485	0.633468	0.633468	20	283	-263	736	247	2.147092	14.150000	20	289	3576	3839	2593	4.526509	3.985849	17377.266730	0.000000	286148	3.690708	4.643244	600x600	360000	sparse	Learned	6625	20	67	75568	28.362939	0.812982	27.166354	0.983044	0.548640	0.354432	2500	6661	0.000000	59	77124	32.080480	0.923681	0.993270	31.239068	0.336170	0.544004	719	21.727193	0.325584	0.907220	19.454652	0.999987	0.482139	-2.806521	0.645568	-5.449024	-0.328050	False	d1_d0001_p0014_t0000
d1_d0001_p0015_t0000.png	0.973316	21.896009	0.578415	0.999999	21.118094	0.329801	72949	17	219	585	201	2.147877	12.882353	2732	2934	13165.335347	3.795777	0.000000	-0.009329	0.101468	22552.172184	0.578415	0.578415	17	219	-202	585	201	2.147877	12.882353	17	215	2732	2934	1946	4.487163	3.795777	13165.335347	0.000000	280805	3.849333	4.934955	600x600	360000	dense	Learned	7002	17	50	72679	24.746699	0.755966	23.554882	0.982645	0.476947	0.260409	4257	8642	0.000000	29	71658	28.144877	0.891190	0.993144	27.684222	0.233438	0.473330	710	20.218062	0.174500	0.921424	17.679216	0.999954	0.442568	-1.658873	0.739589	-3.628605	-0.426165	False	d1_d0001_p0015_t0000
