stem,seg_iou,precision,recall,precision_dil20,tp,fp,fn
M1_001_y0x0,0.004227,0.117647,0.004366,0.188889,34,255,7754
M1_001_y0x256,0.000000,0.000000,0.000000,0.000000,0,51,3846
M1_001_y0x512,0.000000,0.000000,0.000000,0.000000,0,146,1200
M1_001_y256x0,0.011606,0.272358,0.011977,0.272358,67,179,5527
M1_001_y256x512,0.004928,0.255556,0.005000,0.255556,46,134,9154
M1_002_y256x512,0.008879,0.084095,0.009829,0.084095,46,501,4634
M1_002_y256x768,0.000286,0.007246,0.000298,0.007246,3,411,10076
M1_002_y768x256,0.000000,0.000000,0.000000,nan,0,57,1572
M1_002_y768x768,0.000000,0.000000,0.000000,0.000000,0,246,3643
M1_003_y256x256,0.000000,0.000000,0.000000,0.000000,0,157,1039
M1_003_y256x512,0.003197,0.221154,0.003233,0.605263,23,81,7091
M1_003_y512x256,0.009316,0.088435,0.010305,0.089347,26,268,2497
M1_003_y768x512,0.001674,0.085106,0.001705,0.085106,12,129,7026
M1_004_y256x256,0.000000,0.000000,0.000000,nan,0,46,2931
M1_004_y256x512,0.000000,0.000000,0.000000,nan,0,184,2058
M1_004_y512x0,0.000000,0.000000,0.000000,0.000000,0,58,1089
M1_004_y768x0,0.000000,0.000000,0.000000,nan,0,38,932
M1_004_y768x512,0.023364,0.527778,0.023863,0.527778,95,85,3886
M1_004_y768x768,0.000521,0.027397,0.000531,0.027397,2,71,3765
M1_005_y256x512,0.000000,0.000000,0.000000,nan,0,66,4712
M1_005_y768x512,0.000000,0.000000,0.000000,0.000000,0,57,13073
M1_005_y768x768,0.000000,0.000000,0.000000,0.000000,0,57,1873
M1_006_y0x768,0.000000,0.000000,0.000000,nan,0,43,1786
M1_006_y256x512,0.003666,0.240964,0.003709,0.240964,20,63,5373
M1_006_y512x512,0.015059,0.385475,0.015429,0.385475,69,110,4403
M1_006_y768x512,0.000000,0.000000,0.000000,nan,0,91,3785
M1_007_y512x0,0.018626,0.122137,0.021505,0.280702,16,115,728
M1_007_y512x512,0.000000,0.000000,0.000000,0.000000,0,90,7894
M1_007_y512x768,0.000000,0.000000,0.000000,0.000000,0,57,2634
M1_007_y768x256,0.000000,0.000000,0.000000,0.000000,0,201,1546
M1_008_y512x0,0.000815,0.011236,0.000878,0.011236,1,88,1138
M1_008_y512x256,0.002904,0.450980,0.002914,0.450980,23,28,7870
M1_008_y512x512,0.000000,0.000000,0.000000,0.000000,0,57,10638
M1_008_y768x512,0.000000,0.000000,0.000000,0.000000,0,33,1765
M1_009_y256x0,0.000000,0.000000,0.000000,0.000000,0,747,12027
M1_009_y512x256,0.000000,0.000000,0.000000,nan,0,75,3591
M1_009_y768x512,0.022510,0.086614,0.029517,0.118280,33,348,1085
M1_010_y256x0,0.000815,0.032787,0.000835,0.032787,2,59,2393
M1_010_y256x512,0.000000,0.000000,0.000000,nan,0,59,2121
M1_010_y512x256,0.000000,0.000000,0.000000,0.000000,0,150,2511
M1_010_y512x768,0.011255,0.276423,0.011596,0.276423,34,89,2898
M1_010_y768x512,0.003193,0.328767,0.003214,0.328767,24,49,7444
M1_011_y512x512,0.000000,0.000000,0.000000,nan,0,97,2346
M1_012_y0x512,0.004144,0.223301,0.004205,0.696970,23,80,5447
M1_012_y0x768,0.000000,0.000000,0.000000,0.000000,0,87,860
M1_012_y512x256,0.000000,0.000000,0.000000,0.000000,0,57,2081
M1_012_y512x512,0.000000,0.000000,0.000000,0.000000,0,125,5134
M1_013_y0x512,0.000000,0.000000,0.000000,nan,0,38,1088
M1_013_y512x256,0.000385,0.020833,0.000392,0.020833,2,94,5104
M1_013_y512x512,0.002328,0.473684,0.002334,0.473684,27,30,11542
M1_014_y512x0,0.000000,0.000000,0.000000,0.000000,0,122,1071
M1_014_y768x256,0.004884,0.169935,0.005003,0.169935,26,127,5171
M1_014_y768x512,0.000773,0.133333,0.000777,0.133333,6,39,7712
M1_015_y256x256,0.003719,0.011394,0.005490,0.017173,13,1128,2355
