stem,seg_iou,precision,recall,precision_dil20,tp,fp,fn
M1_001_y0x0,0.143716,0.182762,0.402157,0.302638,3132,14005,4656
M1_001_y0x256,0.093447,0.116455,0.321113,0.222643,1235,9370,2611
M1_001_y0x512,0.056586,0.057062,0.871667,0.155032,1046,17285,154
M1_001_y256x0,0.111385,0.142331,0.338756,0.308682,1895,11419,3699
M1_001_y256x512,0.178619,0.212924,0.525761,0.473380,4837,17880,4363
M1_001_y256x768,0.221446,0.287046,0.492122,0.514427,4279,10628,4416
M1_001_y512x512,0.099722,0.120637,0.365161,0.251954,2547,18566,4428
M1_002_y256x512,0.230450,0.257309,0.688248,0.309176,3221,9297,1459
M1_002_y256x768,0.257861,0.358255,0.479214,0.415698,4830,8652,5249
M1_002_y768x256,0.081912,0.082626,0.904580,0.234036,1422,15788,150
M1_002_y768x768,0.091857,0.099923,0.532254,0.253729,1939,17466,1704
M1_003_y256x256,0.118495,0.121430,0.830606,0.218813,863,6244,176
M1_003_y256x512,0.236817,0.274591,0.632556,0.335221,4500,11888,2614
M1_003_y512x256,0.119514,0.121860,0.861276,0.264098,2173,15659,350
M1_003_y512x768,0.105860,0.115963,0.548539,0.191157,1859,14172,1530
M1_003_y768x512,0.214933,0.233740,0.727621,0.310948,5121,16788,1917
M1_003_y768x768,0.207539,0.228974,0.689154,0.378677,3463,11661,1562
M1_004_y256x256,0.109759,0.115389,0.692255,0.315749,2029,15555,902
M1_004_y256x512,0.084509,0.087273,0.727405,0.332519,1497,15656,561
M1_004_y512x0,0.084393,0.085119,0.908173,0.211009,989,10630,100
M1_004_y768x0,0.050057,0.050208,0.943133,0.162387,879,16628,53
M1_004_y768x512,0.097248,0.109200,0.470485,0.282248,1873,15279,2108
M1_004_y768x768,0.126557,0.130731,0.798513,0.263282,3008,20001,759
M1_005_y256x512,0.142552,0.154341,0.651104,0.310275,3068,16810,1644
M1_005_y512x0,0.093612,0.094776,0.884011,0.191432,1631,15578,214
M1_005_y512x768,0.198871,0.213413,0.744802,0.375336,4191,15447,1436
M1_005_y768x0,0.050000,0.051059,0.706872,0.167442,504,9367,209
M1_005_y768x256,0.137416,0.154648,0.552218,0.471553,3622,19799,2937
M1_005_y768x512,0.228143,0.302074,0.482445,0.503834,6307,14572,6766
M1_005_y768x768,0.066154,0.068376,0.670582,0.282120,1256,17113,617
M1_006_y0x512,0.133183,0.144452,0.630617,0.307807,828,4904,485
M1_006_y0x768,0.061632,0.065026,0.541433,0.240847,967,13904,819
M1_006_y256x512,0.166420,0.177345,0.729835,0.328383,3936,18258,1457
M1_006_y512x512,0.119146,0.125786,0.692979,0.227617,3099,21538,1373
M1_006_y768x512,0.136288,0.145895,0.674240,0.303376,2552,14940,1233
M1_006_y768x768,0.205399,0.258106,0.501459,0.321021,4641,13340,4614
M1_007_y512x0,0.034384,0.035054,0.642473,0.158646,478,13158,266
M1_007_y512x256,0.139534,0.151183,0.644231,0.323900,2747,15423,1517
M1_007_y512x512,0.253654,0.280244,0.727768,0.428316,5745,14755,2149
M1_007_y512x768,0.138187,0.146899,0.699696,0.268776,1843,10703,791
M1_007_y768x0,0.150327,0.153728,0.871704,0.340151,2711,14924,399
M1_007_y768x256,0.061140,0.062225,0.778137,0.224022,1203,18130,343
M1_007_y768x512,0.249955,0.315573,0.545889,0.445213,5603,12152,4661
M1_008_y0x768,0.191310,0.196844,0.871892,0.415123,2981,12163,438
M1_008_y256x256,0.063133,0.064534,0.744244,0.157992,1196,17337,411
M1_008_y512x0,0.060997,0.061333,0.917471,0.157096,1045,15993,94
M1_008_y512x256,0.194514,0.212298,0.698974,0.333192,5517,20470,2376
M1_008_y512x512,0.243013,0.374130,0.409475,0.463404,4356,7287,6282
M1_008_y512x768,0.239278,0.266719,0.699315,0.288418,1021,2807,439
M1_008_y768x0,0.085747,0.087555,0.805888,0.119961,2354,24532,567
M1_008_y768x256,0.272041,0.302978,0.727093,0.339355,8078,18584,3032
M1_008_y768x512,0.146463,0.153998,0.749575,0.238722,1323,7268,442
M1_009_y256x0,0.184064,0.276933,0.354369,0.336731,4262,11128,7765
M1_009_y256x512,0.068900,0.072450,0.584416,0.248729,1125,14403,800
M1_009_y512x256,0.082787,0.097151,0.358953,0.359754,1289,11979,2302
M1_009_y512x768,0.069947,0.078643,0.387461,0.199379,1477,17304,2335
M1_009_y768x512,0.031238,0.032470,0.451699,0.163008,505,15048,613
M1_010_y0x0,0.280509,0.330743,0.648737,0.423321,4342,8786,2351
M1_010_y256x0,0.211648,0.221562,0.825470,0.286605,1977,6946,418
M1_010_y256x512,0.128440,0.131542,0.844884,0.254365,1792,11831,329
M1_010_y512x256,0.107017,0.110713,0.762246,0.262984,1914,15374,597
M1_010_y512x768,0.166548,0.170639,0.874147,0.312790,2563,12457,369
M1_010_y768x512,0.173220,0.202654,0.543921,0.365551,4062,15982,3406
M1_010_y768x768,0.322894,0.382591,0.674200,0.544400,8681,14009,4195
M1_011_y0x768,0.122829,0.152246,0.388640,0.544550,2518,14021,3961
M1_011_y256x512,0.155389,0.193189,0.442638,0.337027,2859,11940,3600
M1_011_y256x768,0.252413,0.356739,0.463266,0.509297,5177,9335,5998
M1_011_y512x512,0.061006,0.068048,0.370844,0.195111,870,11915,1476
M1_011_y512x768,0.184334,0.206444,0.632512,0.384800,3210,12339,1865
M1_011_y768x768,0.162768,0.228262,0.361953,0.486425,2150,7269,3790
M1_012_y0x512,0.190357,0.195763,0.873309,0.332521,4777,19625,693
M1_012_y0x768,0.032766,0.032877,0.906977,0.121742,780,22945,80
M1_012_y256x768,0.056437,0.057080,0.833658,0.297157,857,14157,171
M1_012_y512x256,0.107424,0.110048,0.818357,0.339717,1703,13772,378
M1_012_y512x512,0.146919,0.155064,0.736658,0.270124,3782,20608,1352
M1_012_y768x256,0.064748,0.066027,0.769656,0.269057,1253,17724,375
M1_012_y768x512,0.210558,0.233360,0.683030,0.421865,5329,17507,2473
M1_013_y0x512,0.063384,0.063705,0.926471,0.313823,1008,14815,80
M1_013_y0x768,0.133773,0.135984,0.891631,0.446534,831,5280,101
M1_013_y256x256,0.227804,0.235501,0.874531,0.303232,3959,12852,568
M1_013_y256x768,0.143724,0.155110,0.661916,0.366015,1161,6324,593
M1_013_y512x256,0.181479,0.184970,0.905797,0.337838,4625,20379,481
M1_013_y512x512,0.222868,0.259918,0.609906,0.400363,7056,20091,4513
M1_013_y512x768,0.222482,0.252344,0.652789,0.304937,4657,13798,2477
M1_013_y768x768,0.225503,0.256949,0.648209,0.406645,4308,12458,2338
M1_014_y256x768,0.090247,0.091931,0.831301,0.246386,1227,12120,249
M1_014_y512x0,0.077884,0.078458,0.914099,0.198822,979,11499,92
M1_014_y512x256,0.202914,0.214129,0.794842,0.360093,4777,17532,1233
M1_014_y768x256,0.162827,0.183182,0.594381,0.282178,3089,13774,2108
M1_014_y768x512,0.179630,0.210143,0.552993,0.337765,4268,16042,3450
M1_014_y768x768,0.237236,0.442736,0.338234,0.581984,3773,4749,7382
M1_015_y256x256,0.106049,0.125064,0.410895,0.236280,973,6807,1395
M1_015_y256x512,0.124175,0.160949,0.352116,0.353997,1656,8633,3047
M1_015_y512x256,0.105429,0.124957,0.402844,0.462370,2181,15273,3233
M1_015_y512x512,0.187115,0.220357,0.553651,0.355056,5748,20337,4634
M1_015_y512x768,0.130455,0.167829,0.369407,0.298915,2287,11340,3904
M1_015_y768x512,0.136086,0.159423,0.481772,0.385339,2828,14911,3042
M1_015_y768x768,0.104175,0.181514,0.196462,0.425031,1355,6110,5542
M1_016_y0x512,0.036098,0.036162,0.953623,0.124292,658,17538,32
M1_016_y256x256,0.146331,0.176071,0.464187,0.192516,674,3154,778
M1_016_y256x768,0.211207,0.223020,0.799497,0.303683,4131,14392,1036
M1_016_y512x256,0.105511,0.118770,0.485901,0.195097,2085,15470,2206
M1_016_y512x768,0.084203,0.086050,0.796875,0.354167,1581,16792,403
M1_016_y768x0,0.178733,0.193971,0.694682,0.547795,4298,17860,1889
M1_016_y768x256,0.161204,0.167566,0.809366,0.361912,3664,18202,863
M1_016_y768x512,0.103884,0.109164,0.682295,0.442880,1950,15913,908
M1_017_y0x512,0.324139,0.371935,0.716098,0.494762,7509,12680,2977
M1_017_y0x768,0.164081,0.178645,0.668057,0.305450,1121,5154,557
M1_017_y256x512,0.070263,0.070948,0.879098,0.220075,1287,16853,177
M1_017_y512x256,0.172921,0.194014,0.613984,0.423784,2327,9667,1463
M1_017_y512x512,0.138211,0.153285,0.584270,0.401629,2860,15798,2035
M1_017_y768x512,0.255800,0.306356,0.607855,0.451596,5943,13456,3834
M1_018_y256x256,0.096305,0.103431,0.582958,0.214857,1423,12335,1018
M1_018_y256x768,0.271475,0.315420,0.660851,0.578469,5341,11592,2741
M1_018_y512x256,0.183730,0.199695,0.696793,0.336543,4194,16808,1825
M1_018_y512x768,0.276341,0.314945,0.692734,0.470420,5749,12505,2550
M1_018_y768x256,0.067466,0.073385,0.455492,0.293830,962,12147,1150
M1_018_y768x768,0.009783,0.012258,0.046218,0.022330,55,4432,1135
M1_019_y256x0,0.116964,0.119845,0.829502,0.243532,1299,9540,267
M1_019_y256x256,0.294345,0.330973,0.726755,0.462613,7152,14457,2689
M1_019_y256x512,0.274818,0.313876,0.688325,0.458193,7458,16303,3377
M1_019_y256x768,0.240536,0.261998,0.745959,0.446360,7015,19760,2389
M1_019_y512x0,0.064463,0.065152,0.859056,0.230871,1219,17491,200
M1_019_y512x512,0.120466,0.132939,0.562170,0.266000,3192,20819,2486
M1_019_y512x768,0.226405,0.251054,0.697523,0.420759,6194,18478,2686
M1_019_y768x512,0.063520,0.064399,0.823109,0.272154,1382,20078,297
M1_020_y256x512,0.027686,0.027816,0.855362,0.262735,686,23976,116
M1_020_y256x768,0.116061,0.142480,0.384971,0.387984,1834,11038,2930
M1_020_y512x512,0.091760,0.113209,0.326294,0.250976,1607,12588,3318
M1_020_y768x256,0.028689,0.028973,0.744884,0.148008,546,18299,187
M1_020_y768x512,0.057641,0.060353,0.561987,0.273298,1437,22373,1120
M1_020_y768x768,0.213618,0.256448,0.561221,0.463979,3291,9542,2573
M1_021_y256x0,0.131207,0.135168,0.817431,0.286475,2476,15842,553
M1_021_y512x0,0.213111,0.237237,0.676963,0.321202,5172,16629,2468
M1_021_y512x512,0.084461,0.093566,0.464644,0.201665,1623,15723,1870
M1_021_y512x768,0.143213,0.160254,0.573884,0.313779,2070,10847,1537
M1_021_y768x512,0.161050,0.211054,0.404675,0.350838,3895,14560,5730
M2_001_y256x0,0.078805,0.079246,0.934126,0.270249,1021,11863,72
M2_001_y256x256,0.334006,0.365540,0.794735,0.530830,4468,7755,1154
M2_001_y256x512,0.251957,0.303565,0.597104,0.518495,4990,11448,3367
M2_001_y512x0,0.519928,0.577939,0.838183,0.639673,7749,5659,1496
M2_002_y0x0,0.131876,0.133504,0.915361,0.205229,1460,9476,135
M2_002_y0x256,0.145592,0.209090,0.324058,0.342084,2958,11189,6170
