stem,seg_iou,precision,recall,precision_dil20,tp,fp,fn
M1_001_y0x0,0.089885,0.195971,0.142399,0.280759,1109,4550,6679
M1_001_y0x256,0.044802,0.079319,0.093344,0.138236,359,4167,3487
M1_001_y0x512,0.099323,0.108108,0.550000,0.226105,660,5445,540
M1_001_y256x0,0.161643,0.297138,0.261709,0.351079,1464,3463,4130
M1_001_y256x512,0.215736,0.358809,0.351087,0.499536,3230,5772,5970
M1_001_y256x768,0.215108,0.406255,0.313744,0.472626,2728,3987,5967
M1_001_y512x512,0.145628,0.271543,0.238996,0.377320,1667,4472,5308
M1_002_y256x512,0.174813,0.237320,0.398932,0.244949,1867,6000,2813
M1_002_y256x768,0.063026,0.157592,0.095049,0.160927,958,5121,9121
M1_002_y768x256,0.141424,0.153834,0.636768,0.398012,1001,5506,571
M1_002_y768x768,0.042043,0.069702,0.095800,0.229003,349,4658,3294
M1_003_y256x256,0.202452,0.217367,0.746872,0.240248,776,2794,263
M1_003_y256x512,0.101519,0.171529,0.199185,0.190278,1417,6844,5697
M1_003_y512x256,0.195161,0.220450,0.629806,0.315215,1589,5619,934
M1_003_y512x768,0.135600,0.171517,0.393036,0.223753,1332,6434,2057
M1_003_y768x512,0.195777,0.336533,0.318841,0.398579,2244,4424,4794
M1_003_y768x768,0.119976,0.193486,0.240000,0.278137,1206,5027,3819
M1_004_y256x256,0.172229,0.183680,0.734220,0.338844,2152,9564,779
M1_004_y256x512,0.139482,0.151859,0.631195,0.363764,1299,7255,759
M1_004_y512x0,0.181307,0.183141,0.947658,0.270086,1032,4603,57
M1_004_y768x0,0.114266,0.115985,0.885193,0.197984,825,6288,107
M1_004_y768x512,0.163503,0.203441,0.454408,0.345691,1809,7083,2172
M1_004_y768x768,0.209461,0.244532,0.593576,0.315998,2236,6908,1531
M1_005_y256x512,0.225961,0.291348,0.501698,0.423656,2364,5750,2348
M1_005_y512x0,0.212581,0.215429,0.941463,0.325891,1737,6326,108
M1_005_y512x768,0.281597,0.338321,0.626799,0.429650,3527,6898,2100
M1_005_y768x0,0.077200,0.081928,0.572230,0.177778,408,4572,305
M1_005_y768x256,0.183410,0.284712,0.340143,0.527174,2231,5605,4328
M1_005_y768x512,0.170654,0.395776,0.230781,0.503841,3017,4606,10056
M1_005_y768x768,0.108102,0.121033,0.502936,0.337393,942,6841,931
M1_006_y0x512,0.236799,0.269266,0.662605,0.470270,870,2361,443
M1_006_y0x768,0.046732,0.061496,0.162934,0.138440,291,4441,1495
M1_006_y256x512,0.215131,0.289797,0.455034,0.382780,2454,6014,2939
M1_006_y512x512,0.191103,0.233462,0.512970,0.330691,2294,7532,2178
M1_006_y768x512,0.167220,0.219519,0.412417,0.356800,1561,5550,2224
M1_006_y768x768,0.182363,0.335065,0.285791,0.396909,2645,5249,6610
M1_007_y512x0,0.055106,0.056351,0.713710,0.232895,531,8892,213
M1_007_y512x256,0.198431,0.236554,0.551829,0.374622,2353,7594,1911
M1_007_y512x512,0.318742,0.390033,0.635546,0.486049,5017,7846,2877
M1_007_y512x768,0.177854,0.222302,0.470767,0.262768,1240,4338,1394
M1_007_y768x0,0.211487,0.226298,0.763666,0.393147,2375,8120,735
M1_007_y768x256,0.108075,0.111263,0.790427,0.323623,1222,9761,324
M1_007_y768x512,0.236029,0.366098,0.399162,0.442536,4097,7094,6167
M1_008_y0x768,0.341463,0.402655,0.692015,0.475674,2366,3510,1053
M1_008_y256x256,0.144295,0.154016,0.695706,0.253342,1118,6141,489
M1_008_y512x0,0.126434,0.128639,0.880597,0.212951,1003,6794,136
M1_008_y512x256,0.218075,0.303054,0.437476,0.425928,3453,7941,4440
M1_008_y512x512,0.224315,0.430182,0.319139,0.464178,3395,4497,7243
M1_008_y512x768,0.117360,0.205921,0.214384,0.210491,313,1207,1147
M1_008_y768x0,0.157569,0.171954,0.653201,0.205493,1908,9188,1013
M1_008_y768x256,0.274495,0.461349,0.403960,0.474018,4488,5240,6622
M1_008_y768x512,0.321484,0.370877,0.707082,0.370877,1248,2117,517
M1_009_y256x0,0.048491,0.120432,0.075081,0.161538,903,6595,11124
M1_009_y256x512,0.150263,0.174520,0.519481,0.327761,1000,4730,925
M1_009_y512x256,0.115023,0.185772,0.231969,0.408333,833,3651,2758
M1_009_y512x768,0.048886,0.077015,0.118048,0.191002,450,5393,3362
M1_009_y768x512,0.030487,0.035984,0.166369,0.155129,186,4983,932
M1_010_y0x0,0.113663,0.242937,0.176005,0.294132,1178,3671,5515
M1_010_y256x0,0.293005,0.343373,0.666388,0.370646,1596,3052,799
M1_010_y256x512,0.252916,0.260265,0.899576,0.353858,1908,5423,213
M1_010_y512x256,0.151289,0.165496,0.637993,0.289640,1602,8078,909
M1_010_y512x768,0.294965,0.330413,0.733288,0.396313,2150,4357,782
M1_010_y768x512,0.201313,0.306599,0.369577,0.376638,2760,6242,4708
M1_010_y768x768,0.208941,0.500811,0.263902,0.584050,3398,3387,9478
M1_011_y0x768,0.107565,0.219394,0.174255,0.419547,1129,4017,5350
M1_011_y256x512,0.117871,0.233918,0.191980,0.345308,1240,4061,5219
M1_011_y256x768,0.104974,0.321459,0.134855,0.500332,1507,3181,9668
M1_011_y512x512,0.082670,0.122126,0.203751,0.197766,478,3436,1868
M1_011_y512x768,0.171193,0.269640,0.319212,0.372842,1620,4388,3455
M1_011_y768x768,0.106028,0.266148,0.149832,0.368225,890,2454,5050
M1_012_y0x512,0.354402,0.401485,0.751371,0.491392,4110,6127,1360
M1_012_y0x768,0.092503,0.094081,0.846512,0.223176,728,7010,132
M1_012_y256x768,0.070384,0.073589,0.617704,0.268385,635,7994,393
M1_012_y512x256,0.219360,0.220453,0.977895,0.443259,2035,7196,46
M1_012_y512x512,0.219280,0.244214,0.682314,0.383680,3503,10841,1631
M1_012_y768x256,0.147418,0.151508,0.845209,0.377711,1376,7706,252
M1_012_y768x512,0.319007,0.397606,0.617406,0.508444,4817,7298,2985
M1_013_y0x512,0.170188,0.171565,0.954963,0.385672,1039,5017,49
M1_013_y0x768,0.290209,0.292841,0.969957,0.477801,904,2183,28
M1_013_y256x256,0.297144,0.333636,0.730948,0.360222,3309,6609,1218
M1_013_y256x768,0.169569,0.215253,0.444128,0.311351,779,2840,975
M1_013_y512x256,0.272247,0.293860,0.787309,0.411801,4020,9660,1086
M1_013_y512x512,0.184572,0.292529,0.333391,0.428841,3857,9328,7712
M1_013_y512x768,0.191599,0.295332,0.352958,0.351480,2518,6008,4616
M1_013_y768x768,0.158389,0.238974,0.319591,0.357155,2124,6764,4522
M1_014_y256x768,0.294776,0.310108,0.856369,0.385601,1264,2812,212
M1_014_y512x0,0.153917,0.160759,0.783380,0.284214,839,4380,232
M1_014_y512x256,0.210963,0.315279,0.389351,0.409091,2340,5082,3670
M1_014_y768x256,0.145574,0.217160,0.306331,0.313880,1592,5739,3605
M1_014_y768x512,0.160105,0.255719,0.299819,0.349917,2314,6735,5404
M1_014_y768x768,0.161473,0.394724,0.214612,0.447477,2394,3671,8761
M1_015_y256x256,0.120525,0.159616,0.329814,0.207217,781,4112,1587
M1_015_y256x512,0.079140,0.132976,0.163513,0.260237,769,5014,3934
M1_015_y512x256,0.132123,0.194554,0.291651,0.499684,1579,6537,3835
M1_015_y512x512,0.149572,0.254920,0.265748,0.349772,2759,8064,7623
M1_015_y512x768,0.054385,0.094622,0.113390,0.189320,702,6717,5489
M1_015_y768x512,0.061419,0.113024,0.118569,0.265852,696,5462,5174
M1_015_y768x768,0.053047,0.126284,0.083805,0.262369,578,3999,6319
M1_016_y0x512,0.079857,0.080262,0.940580,0.191615,649,7437,41
M1_016_y256x256,0.224428,0.284950,0.513774,0.295914,746,1872,706
M1_016_y256x768,0.140918,0.213311,0.293400,0.278882,1516,5591,3651
M1_016_y512x256,0.133831,0.178880,0.347005,0.236087,1489,6835,2802
M1_016_y512x768,0.155921,0.174239,0.597278,0.392514,1185,5616,799
M1_016_y768x0,0.249651,0.324425,0.519961,0.603225,3217,6699,2970
M1_016_y768x256,0.209715,0.296349,0.417716,0.530435,1891,4490,2636
M1_016_y768x512,0.185972,0.208681,0.630861,0.613057,1803,6837,1055
M1_017_y0x512,0.294521,0.444081,0.466527,0.492599,4892,6124,5594
M1_017_y0x768,0.199407,0.254093,0.480930,0.291968,807,2369,871
M1_017_y256x512,0.125361,0.127362,0.888661,0.293150,1301,8914,163
M1_017_y512x256,0.297314,0.419404,0.505277,0.508362,1915,2651,1875
M1_017_y512x512,0.119922,0.166421,0.300306,0.359325,1470,7363,3425
M1_017_y768x512,0.238068,0.381961,0.387235,0.500330,3786,6126,5991
M1_018_y256x256,0.063499,0.081559,0.222859,0.179597,544,6126,1897
M1_018_y256x768,0.336799,0.477764,0.533036,0.607445,4308,4709,3774
M1_018_y512x256,0.174775,0.274153,0.325303,0.377337,1958,5184,4061
M1_018_y512x768,0.126588,0.309137,0.176527,0.437967,1465,3274,6834
M1_018_y768x256,0.109401,0.131176,0.397254,0.243259,839,5557,1273
M1_018_y768x768,0.004372,0.005874,0.016807,0.007896,20,3385,1170
M1_019_y256x0,0.282230,0.316230,0.724138,0.376995,1134,2452,432
