stem,seg_iou,precision,recall,precision_dil20,tp,fp,fn
M1_001_y0x0,0.214859,0.298805,0.433359,0.404579,3375,7920,4413
M1_001_y0x256,0.058623,0.105774,0.116225,0.154138,447,3779,3399
M1_001_y0x512,0.075614,0.075906,0.951667,0.176452,1142,13903,58
M1_001_y256x0,0.189930,0.289754,0.355381,0.356272,1988,4873,3606
M1_001_y256x512,0.347729,0.405647,0.708913,0.525248,6522,9556,2678
M1_001_y256x768,0.377363,0.450096,0.700173,0.522217,6088,7438,2607
M1_001_y512x512,0.166815,0.194660,0.538351,0.285682,3755,15535,3220
M1_002_y256x512,0.249951,0.264586,0.818803,0.285353,3832,10651,848
M1_002_y256x768,0.203467,0.336277,0.340014,0.337602,3427,6764,6652
M1_002_y768x256,0.146132,0.146911,0.965013,0.332530,1517,8809,55
M1_002_y768x768,0.105269,0.149415,0.262696,0.367512,957,5448,2686
M1_003_y256x256,0.169205,0.170329,0.962464,0.214869,1000,4871,39
M1_003_y256x512,0.273945,0.319294,0.658561,0.343400,4685,9988,2429
M1_003_y512x256,0.132224,0.133697,0.923107,0.225089,2329,15091,194
M1_003_y512x768,0.116737,0.120063,0.808203,0.166121,2739,20074,650
M1_003_y768x512,0.289044,0.367101,0.576158,0.436444,4055,6991,2983
M1_003_y768x768,0.280935,0.338865,0.621692,0.451119,3124,6095,1901
M1_004_y256x256,0.119173,0.119562,0.973388,0.257282,2853,21009,78
M1_004_y256x512,0.111693,0.111884,0.984937,0.268940,2027,16090,31
M1_004_y512x0,0.127461,0.127582,0.992654,0.191871,1081,7392,8
M1_004_y768x0,0.055066,0.055066,1.000000,0.119949,932,15993,0
M1_004_y768x512,0.200415,0.206369,0.874152,0.336134,3480,13383,501
M1_004_y768x768,0.167678,0.170256,0.917175,0.259911,3455,16838,312
M1_005_y256x512,0.194289,0.199097,0.889431,0.325262,4191,16859,521
M1_005_y512x0,0.118728,0.118759,0.997832,0.187341,1841,13661,4
M1_005_y512x768,0.232600,0.235068,0.956815,0.318825,5384,17520,243
M1_005_y768x0,0.070601,0.070601,1.000000,0.150517,713,9386,0
M1_005_y768x256,0.272239,0.303250,0.726940,0.562397,4768,10955,1791
M1_005_y768x512,0.265160,0.469417,0.378643,0.557244,4950,5595,8123
M1_005_y768x768,0.103365,0.103557,0.982381,0.324286,1840,15928,33
M1_006_y0x512,0.178291,0.179908,0.952018,0.340321,1250,5698,63
M1_006_y0x768,0.120087,0.129734,0.617581,0.264572,1103,7399,683
M1_006_y256x512,0.291639,0.326085,0.734100,0.414772,3959,8182,1434
M1_006_y512x512,0.195591,0.201013,0.878801,0.296671,3930,15621,542
M1_006_y768x512,0.209824,0.223976,0.768560,0.364491,2909,10079,876
M1_006_y768x768,0.217208,0.314859,0.411885,0.370961,3812,8295,5443
M1_007_y512x0,0.028634,0.028732,0.893817,0.153261,665,22480,79
M1_007_y512x256,0.165867,0.169883,0.875235,0.305701,3732,18236,532
M1_007_y512x512,0.299748,0.311213,0.890550,0.387371,7030,15559,864
M1_007_y512x768,0.200219,0.201401,0.971526,0.259455,2559,10147,75
M1_007_y768x0,0.156121,0.157358,0.952090,0.302297,2961,15856,149
M1_007_y768x256,0.058949,0.059437,0.877749,0.201694,1357,21474,189
M1_007_y768x512,0.313205,0.357368,0.717069,0.463184,7360,13235,2904
M1_008_y0x768,0.251811,0.254057,0.966072,0.393683,3303,9698,116
M1_008_y256x256,0.130697,0.133157,0.876167,0.207915,1408,9166,199
M1_008_y512x0,0.082218,0.082795,0.921861,0.144053,1050,11632,89
M1_008_y512x256,0.280609,0.302661,0.793868,0.413379,6266,14437,1627
M1_008_y512x512,0.252566,0.419100,0.388607,0.455487,4134,5730,6504
M1_008_y512x768,0.267101,0.361587,0.505479,0.374050,738,1303,722
M1_008_y768x0,0.120103,0.124618,0.768230,0.161172,2244,15763,677
M1_008_y768x256,0.291369,0.389649,0.536004,0.412339,5955,9328,5155
M1_008_y768x512,0.269284,0.278546,0.890085,0.299010,1571,4069,194
M1_009_y256x0,0.060476,0.152392,0.091128,0.203189,1096,6096,10931
M1_009_y256x512,0.137697,0.143662,0.768312,0.265625,1479,8816,446
M1_009_y512x256,0.193863,0.266679,0.415205,0.456103,1491,4100,2100
M1_009_y512x768,0.096778,0.148486,0.217471,0.331733,829,4754,2983
M1_009_y768x512,0.036740,0.042515,0.212880,0.198997,238,5360,880
M1_010_y0x0,0.323425,0.390361,0.653519,0.426399,4374,6831,2319
M1_010_y256x0,0.304991,0.310335,0.946555,0.344948,2267,5038,128
M1_010_y256x512,0.158737,0.158845,0.995757,0.215819,2112,11184,9
M1_010_y512x256,0.116624,0.117665,0.929510,0.223435,2334,17502,177
M1_010_y512x768,0.189102,0.191570,0.936221,0.268512,2745,11584,187
M1_010_y768x512,0.293406,0.310194,0.844269,0.404789,6305,14021,1163
M1_010_y768x768,0.383221,0.510435,0.605934,0.580117,7802,7483,5074
M1_011_y0x768,0.199938,0.376654,0.298812,0.540631,1936,3204,4543
M1_011_y256x512,0.241658,0.352174,0.435052,0.418279,2810,5169,3649
M1_011_y256x768,0.333311,0.560182,0.451454,0.659305,5045,3961,6130
M1_011_y512x512,0.177179,0.227322,0.445439,0.297636,1045,3552,1301
M1_011_y512x768,0.293449,0.309599,0.849064,0.447735,4309,9609,766
M1_011_y768x768,0.328573,0.388133,0.681650,0.503169,4049,6383,1891
M1_012_y0x512,0.342152,0.353386,0.914991,0.410987,5005,9158,465
M1_012_y0x768,0.067174,0.067344,0.963953,0.161661,829,11481,31
M1_012_y256x768,0.065644,0.066044,0.915370,0.218634,941,13307,87
M1_012_y512x256,0.132102,0.132102,1.000000,0.261039,2081,13672,0
M1_012_y512x512,0.220912,0.225726,0.911959,0.336423,4682,16060,452
M1_012_y768x256,0.122410,0.122494,0.994472,0.300818,1619,11598,9
M1_012_y768x512,0.352876,0.382162,0.821584,0.487972,6410,10363,1392
M1_013_y0x512,0.089341,0.089341,1.000000,0.228236,1088,11090,0
M1_013_y0x768,0.272941,0.273263,0.995708,0.403654,928,2468,4
M1_013_y256x256,0.287079,0.299178,0.876519,0.324528,3968,9295,559
M1_013_y256x768,0.173087,0.173825,0.976055,0.323324,1712,8137,42
M1_013_y512x256,0.281566,0.289661,0.909714,0.393911,4645,11391,461
M1_013_y512x512,0.259923,0.319952,0.580776,0.426251,6719,14281,4850
M1_013_y512x768,0.283613,0.322820,0.700168,0.359223,4995,10478,2139
M1_013_y768x768,0.245462,0.303662,0.561541,0.407646,3732,8558,2914
M1_014_y256x768,0.181523,0.182023,0.985095,0.256800,1454,6534,22
M1_014_y512x0,0.104066,0.104509,0.960784,0.220768,1029,8817,42
M1_014_y512x256,0.279695,0.348389,0.586522,0.424239,3525,6593,2485
M1_014_y768x256,0.227898,0.282347,0.541659,0.394092,2815,7155,2382
M1_014_y768x512,0.234226,0.291173,0.544960,0.420853,4206,10239,3512
M1_014_y768x768,0.350570,0.538202,0.501390,0.564322,5593,4799,5562
M1_015_y256x256,0.140402,0.160255,0.531250,0.206704,1258,6592,1110
M1_015_y256x512,0.199175,0.253235,0.482671,0.439497,2270,6694,2433
M1_015_y512x256,0.205859,0.230195,0.660694,0.559518,3577,11962,1837
M1_015_y512x512,0.270872,0.338567,0.575323,0.428879,5973,11669,4409
M1_015_y512x768,0.148026,0.190326,0.399774,0.314445,2475,10529,3716
M1_015_y768x512,0.124916,0.182415,0.283816,0.368992,1666,7467,4204
M1_015_y768x768,0.257127,0.354322,0.483834,0.548127,3337,6081,3560
M1_016_y0x512,0.039054,0.039054,1.000000,0.099024,690,16978,0
M1_016_y256x256,0.267950,0.280889,0.853306,0.290232,1239,3172,213
M1_016_y256x768,0.206593,0.240316,0.595510,0.293803,3077,9727,2090
M1_016_y512x256,0.161181,0.180768,0.597996,0.236193,2566,11629,1725
M1_016_y512x768,0.134797,0.136830,0.900706,0.315724,1787,11273,197
M1_016_y768x0,0.224006,0.245982,0.714886,0.538668,4423,13558,1764
M1_016_y768x256,0.302231,0.326588,0.802076,0.515840,3631,7487,896
M1_016_y768x512,0.176941,0.181892,0.866690,0.463250,2477,11141,381
M1_017_y0x512,0.396794,0.413757,0.906351,0.469264,9504,13466,982
M1_017_y0x768,0.218423,0.224197,0.894517,0.306765,1501,5194,177
M1_017_y256x512,0.079054,0.079322,0.959016,0.213406,1404,16296,60
M1_017_y512x256,0.338550,0.386840,0.730607,0.497127,2769,4389,1021
M1_017_y512x512,0.170295,0.202163,0.519305,0.433640,2542,10032,2353
M1_017_y768x512,0.354194,0.442479,0.639665,0.530315,6254,7880,3523
