filename	gt_iou	seg_iou	seg_f1	seg_precision	seg_recall	gt_fg_ssim	gt_fg_psnr	ng_fg_ssim	ng_fg_psnr	ng_iou	ng_topo_q	topo_preservation	ng_psnr	ng_ssim	ng_bytes	graph_n_components	graph_n_cycles	graph_n_junctions	graph_n_endpoints	graph_mean_degree	graph_complexity	n_nodes	n_edges	total_edge_length	mean_width_px	mean_curvature	delta_gt_iou	delta_gt_fg_psnr	delta_gt_fg_ssim	delta_fg_ssim	delta_iou	total_time_ms	self_iou	ng_recon_iou	ng_n_components	ng_n_cycles	ng_euler_characteristic	ng_n_junctions	ng_n_endpoints	ng_mean_degree	ng_graph_complexity	ng_seg_beta_0	ng_seg_beta_1	graph_n_nodes	graph_n_edges	graph_n_sampled	graph_mean_edge_length	graph_mean_width	graph_total_edge_length	graph_mean_curvature	png_bytes	ng_vs_png	ng_vs_raw	image_shape	image_pixels	image_type	segmenter	n_points	n_structures	jpeg_quality	jpeg_bytes	jpeg_psnr	jpeg_ssim	jpeg_fg_psnr	jpeg_fg_ssim	jpeg_iou	jpeg_topo_q	jpeg_beta_0	jpeg_beta_1	jpeg_betti_preservation	webp_quality	webp_bytes	webp_psnr	webp_ssim	webp_fg_ssim	webp_fg_psnr	webp_topo_q	webp_iou	jp2_bytes	jp2_psnr	jp2_ssim	jp2_fg_ssim	jp2_fg_psnr	jp2_topo_q	jp2_iou	delta_fg_psnr	delta_topo_q	delta_psnr	delta_ssim	gt_available	gt_topology_q	recon_topology_q	jpeg_gt_iou	jpeg_gt_fg_psnr	jpeg_gt_fg_ssim	stem
7249.png	0.331210	0.362319	0.531915	0.760649	0.408942	0.993695	19.680706	0.999324	27.469843	0.651741	0.402499	0.387946	29.423261	0.532626	1569	3	16	14	8	2.361111	5.333333	72	85	137.045014	3.838214	0.065382	-0.270294	-7.859189	-0.005193	0.000071	0.207434	1464.582443	0.651741	0.651741	3	16	-13	14	8	2.361111	5.333333	4	2	72	85	50	1.612294	3.838214	137.045014	0.065382	45624	29.078394	41.769280	256x256	65536	sparse	Frangi	192	4	18	1525	30.697197	0.570919	27.104609	0.999252	0.444308	0.381217	10	2	0.250000	26	1420	30.929476	0.608959	0.999210	26.947881	0.400171	0.443874	5873	32.293918	0.754215	0.999722	31.667940	0.194888	0.439655	0.365234	0.021283	-1.273936	-0.038293	True	0.677612	0.262877	0.601504	27.539896	0.998888	7249
7250.png	0.601828	0.466346	0.636066	0.485324	0.922638	0.998837	27.916237	0.996110	29.303971	0.516910	0.509338	0.373047	31.352417	0.589064	2255	5	3	7	12	1.970370	0.600000	135	133	198.781746	6.974869	0.034847	-0.005852	-0.368566	-0.000299	0.000331	0.010074	2714.881659	0.516910	0.516910	5	3	2	7	12	1.970370	0.600000	5	0	135	133	116	1.494600	6.974869	198.781746	0.034847	44906	19.913969	29.062528	256x256	65536	sparse	Otsu	255	5	29	2254	31.673816	0.635571	28.914026	0.995779	0.506836	0.528813	8	8	0.000000	38	2208	31.944214	0.674171	0.995699	28.902642	0.382341	0.491339	4216	32.398679	0.718801	0.997746	31.625609	0.277989	0.509784	0.389945	-0.019475	-0.321399	-0.046506	True	0.743339	0.277301	0.607680	28.284803	0.999136	7250
7251.png	0.729285	0.398284	0.569675	0.403803	0.966821	0.998695	24.601602	0.997160	28.899226	0.461538	0.655272	0.768042	31.299099	0.609076	2536	4	5	11	11	2.012270	1.250000	163	164	242.994949	6.239722	0.026839	-0.013983	-3.053569	-0.000833	0.000127	-0.002895	2311.506987	0.461538	0.461538	4	5	-1	11	11	2.012270	1.250000	4	0	163	164	141	1.481677	6.239722	242.994949	0.026839	44830	17.677445	25.842271	256x256	65536	sparse	Otsu	283	4	31	2496	31.892746	0.657443	28.768716	0.997032	0.464434	0.719168	4	2	0.000000	41	2372	32.197086	0.694537	0.996962	28.857097	0.739460	0.459968	3465	32.308023	0.697988	0.998262	31.240999	0.549546	0.461882	0.130510	-0.063896	-0.593647	-0.048367	True	0.724729	0.556622	0.743269	27.655171	0.999529	7251
7252.png	0.503111	0.348301	0.516652	0.504837	0.529032	0.996309	20.012842	0.998777	28.229452	0.505181	0.208110	0.822708	30.012416	0.541321	1581	4	0	1	9	1.849057	0.000000	53	49	78.801515	4.199866	0.042970	-0.276216	-7.010761	-0.003032	0.000064	0.124821	1235.855341	0.505181	0.505181	4	0	4	1	9	1.849057	0.000000	9	0	53	49	43	1.608194	4.199866	78.801515	0.042970	45467	28.758381	41.452245	256x256	65536	sparse	Frangi	181	9	19	1547	30.701947	0.570523	28.044727	0.998713	0.380360	0.574717	4	3	0.000000	27	1414	31.117803	0.610068	0.998799	27.627282	0.497420	0.386449	5929	32.489792	0.757328	0.999309	32.006880	0.615572	0.380862	0.184725	-0.366606	-0.689530	-0.029202	True	0.548419	0.451188	0.779327	27.023603	0.999341	7252
7253.png	0.531500	0.285991	0.444779	0.290682	0.946581	0.999384	27.602688	0.996015	29.509182	0.253020	0.360776	0.443739	31.151890	0.580054	2451	7	3	6	15	1.934959	0.428571	123	119	193.166522	6.567255	0.056411	-0.011800	-0.563055	-0.000235	0.000066	0.005888	2671.422482	0.253020	0.253020	7	3	4	6	15	1.934959	0.428571	8	0	123	119	102	1.623248	6.567255	193.166522	0.056411	44924	18.328845	26.738474	256x256	65536	sparse	Otsu	275	8	30	2373	31.624285	0.632694	29.453009	0.995948	0.247132	0.483149	5	2	0.000000	40	2284	31.897025	0.673083	0.995997	29.527384	0.305803	0.226885	3539	32.085495	0.688927	0.997285	31.439606	0.280422	0.246068	0.056173	-0.122373	-0.472395	-0.052640	True	0.581048	0.257834	0.543300	28.165743	0.999619	7253
7254.png	0.721289	0.489042	0.656855	0.513640	0.910809	0.997932	23.747818	0.998022	28.670830	0.527257	0.501424	0.634948	31.011477	0.588407	2214	5	5	10	11	2.000000	1.000000	126	126	199.823376	5.194442	0.046191	-0.054860	-3.867887	-0.001485	0.000171	0.012268	1965.114594	0.527257	0.527257	5	5	0	10	11	2.000000	1.000000	5	0	126	126	105	1.585900	5.194442	199.823376	0.046191	44986	20.318880	29.600723	256x256	65536	sparse	Otsu	246	5	28	2191	31.610139	0.633120	28.400628	0.997851	0.514990	0.529205	6	2	0.000000	37	2192	31.842865	0.674132	0.997739	28.246647	0.508356	0.511312	3998	32.223445	0.705249	0.998884	31.398653	0.367568	0.508454	0.270202	-0.027781	-0.598662	-0.044712	True	0.688077	0.436893	0.776149	27.615705	0.999417	7254
7255.png	0.649561	0.298908	0.460245	0.301754	0.969404	0.998990	26.133459	0.994118	29.055263	0.271681	0.361460	0.503922	29.883441	0.545283	3587	12	13	23	27	2.010000	1.083333	200	201	354.204663	5.303034	0.059586	-0.080324	-2.093226	-0.000466	-0.000890	-0.011545	4140.215397	0.271681	0.271681	12	13	-1	23	27	2.010000	1.083333	14	1	200	201	150	1.762212	5.303034	354.204663	0.059586	45536	12.694731	18.270421	256x256	65536	sparse	Otsu	412	14	38	3587	31.381300	0.650031	29.836299	0.995008	0.283225	0.324296	10	0	0.357143	42	3296	31.676328	0.699790	0.994880	29.703273	0.495069	0.262450	604	30.478570	0.550562	0.992564	27.740581	0.448989	0.274969	-0.781036	0.037164	-1.497859	-0.104749	True	0.651808	0.328460	0.729885	28.226686	0.999456	7255
7256.png	0.459037	0.446848	0.617684	0.463674	0.924886	0.998751	27.966228	0.996520	29.650124	0.348631	0.476909	0.615646	31.500327	0.601603	2059	4	3	9	9	1.979381	0.750000	97	96	161.367532	6.761909	0.068516	-0.053414	-1.128242	-0.000509	0.000022	-0.016515	1937.863588	0.348631	0.348631	4	3	1	9	9	1.979381	0.750000	5	0	97	96	79	1.680912	6.761909	161.367532	0.068516	44562	21.642545	31.829043	256x256	65536	sparse	Otsu	219	5	28	2048	32.005421	0.642083	29.579584	0.996498	0.365145	0.257204	15	1	0.000000	40	1998	32.278548	0.677178	0.996213	29.484628	0.350791	0.347416	4445	32.798050	0.737664	0.997861	31.990171	0.240263	0.349284	0.070540	0.219705	-0.505094	-0.040480	True	0.698806	0.430217	0.512451	29.094470	0.999260	7256
7257.png	0.546941	0.244270	0.392632	0.249707	0.918162	0.998772	26.993434	0.991855	29.377966	0.259119	0.325196	0.441321	29.495555	0.524214	4430	20	19	33	36	1.992157	0.950000	255	254	436.019336	5.446852	0.065699	-0.074017	-1.832703	-0.000672	-0.001458	0.008439	4650.333166	0.259119	0.259119	20	19	1	33	36	1.992157	0.950000	21	1	255	254	186	1.716612	5.446852	436.019336	0.065699	45763	10.330248	14.793679	256x256	65536	sparse	Otsu	527	21	44	4391	31.300988	0.660339	30.275587	0.993313	0.250680	0.294430	16	3	0.000000	46	4166	31.734864	0.724804	0.993638	30.357127	0.122754	0.241359	471	29.666116	0.511560	0.988041	27.629163	0.151148	0.291258	-0.897621	0.030766	-1.805433	-0.136125	True	0.726102	0.320444	0.620958	28.826137	0.999444	7257
7258.png	0.717277	0.385941	0.556937	0.392173	0.960456	0.998938	25.889226	0.996671	28.665027	0.376952	0.462056	0.959274	29.787846	0.528009	3129	7	7	13	16	2.000000	1.000000	180	180	296.450793	5.642253	0.052775	-0.047961	-1.834802	-0.000566	0.000010	-0.005009	2529.646635	0.376952	0.376952	7	7	0	13	16	2.000000	1.000000	9	0	180	180	151	1.646949	5.642253	296.450793	0.052775	46114	14.737616	20.944711	256x256	65536	sparse	Otsu	304	9	31	3072	30.690395	0.617471	28.738618	0.996661	0.381961	0.626187	5	0	0.777778	35	3088	31.037417	0.674879	0.996333	28.344307	0.647956	0.361610	672	29.956761	0.530859	0.994934	26.661754	0.519695	0.394129	-0.073591	-0.164132	-0.902549	-0.089462	True	0.657677	0.630892	0.765238	27.724027	0.999504	7258
