filename	gt_iou	seg_iou	seg_f1	seg_precision	seg_recall	gt_fg_ssim	gt_fg_psnr	ng_fg_ssim	ng_fg_psnr	ng_iou	ng_topo_q	topo_preservation	ng_psnr	ng_ssim	ng_bytes	graph_n_components	graph_n_cycles	graph_n_junctions	graph_n_endpoints	graph_mean_degree	graph_complexity	n_nodes	n_edges	total_edge_length	mean_width_px	mean_curvature	delta_gt_iou	delta_gt_fg_psnr	delta_gt_fg_ssim	delta_fg_ssim	delta_iou	total_time_ms	self_iou	ng_recon_iou	ng_n_components	ng_n_cycles	ng_euler_characteristic	ng_n_junctions	ng_n_endpoints	ng_mean_degree	ng_graph_complexity	ng_seg_beta_0	ng_seg_beta_1	graph_n_nodes	graph_n_edges	graph_n_sampled	graph_mean_edge_length	graph_mean_width	graph_total_edge_length	graph_mean_curvature	png_bytes	ng_vs_png	ng_vs_raw	image_shape	image_pixels	image_type	segmenter	n_points	n_structures	jpeg_quality	jpeg_bytes	jpeg_psnr	jpeg_ssim	jpeg_fg_psnr	jpeg_fg_ssim	jpeg_iou	jpeg_topo_q	jpeg_beta_0	jpeg_beta_1	jpeg_betti_preservation	webp_quality	webp_bytes	webp_psnr	webp_ssim	webp_fg_ssim	webp_fg_psnr	webp_topo_q	webp_iou	jp2_bytes	jp2_psnr	jp2_ssim	jp2_fg_ssim	jp2_fg_psnr	jp2_topo_q	jp2_iou	delta_fg_psnr	delta_topo_q	delta_psnr	delta_ssim	gt_available	gt_topology_q	recon_topology_q	jpeg_gt_iou	jpeg_gt_fg_psnr	jpeg_gt_fg_ssim	stem
7249.png	0.331210	0.362319	0.531915	0.760649	0.408942	0.993695	19.680706	0.999324	27.469843	0.651741	0.402499	0.387946	29.423261	0.532626	1569	3	16	14	8	2.361111	5.333333	72	85	137.045014	3.838214	0.065382	-0.270294	-7.859189	-0.005193	0.000071	0.207434	3027.167320	0.651741	0.651741	3	16	-13	14	8	2.361111	5.333333	4	2	72	85	50	1.612294	3.838214	137.045014	0.065382	45624	29.078394	41.769280	256x256	65536	sparse	Frangi	192	4	18	1525	30.697197	0.570919	27.104609	0.999252	0.444308	0.381217	10	2	0.250000	26	1420	30.929476	0.608959	0.999210	26.947881	0.400171	0.443874	5873	32.293918	0.754215	0.999722	31.667940	0.194888	0.439655	0.365234	0.021283	-1.273936	-0.038293	True	0.677612	0.262877	0.601504	27.539896	0.998888	7249
7250.png	0.640798	0.867914	0.929287	0.917233	0.941661	0.999002	28.250846	0.999062	28.504650	0.674289	0.719168	0.723287	31.332173	0.589089	2329	4	7	15	11	2.033333	1.750000	180	183	291.450793	2.891803	0.041276	0.033118	-0.033956	-0.000134	0.000015	0.043967	1259.972095	0.674289	0.674289	4	7	-3	15	11	2.033333	1.750000	4	1	180	183	154	1.592627	2.891803	291.450793	0.041276	44906	19.281237	28.139116	256x256	65536	sparse	Learned	300	4	29	2254	31.673816	0.635571	28.279766	0.999046	0.630322	0.528813	8	8	0.000000	40	2272	31.999157	0.676917	0.998999	28.387641	0.540447	0.613459	3883	32.286070	0.707634	0.999468	31.224137	0.282733	0.632716	0.224884	0.190355	-0.341643	-0.046481	True	0.743339	0.537648	0.607680	28.284803	0.999136	7250
7251.png	0.775216	0.854467	0.921523	0.928013	0.915123	0.998848	25.193724	0.999493	27.134131	0.865751	0.703290	0.847257	31.143413	0.605927	2476	4	6	13	11	2.022472	1.500000	178	180	282.936075	2.369187	0.044698	0.031321	-2.417311	-0.000676	-0.000077	0.113376	863.333702	0.865751	0.865751	4	6	-2	13	11	2.022472	1.500000	4	0	178	180	154	1.571867	2.369187	282.936075	0.044698	44830	18.105816	26.468498	256x256	65536	sparse	Learned	298	4	30	2387	31.860479	0.654127	27.650899	0.999570	0.752375	0.574007	6	1	0.250000	41	2372	32.197086	0.694537	0.999585	28.122859	0.739460	0.753983	3790	32.415584	0.708988	0.999783	31.167212	0.557361	0.742079	-0.516767	0.129283	-0.717066	-0.048200	True	0.724729	0.614032	0.743895	27.611035	0.999523	7251
7252.png	0.800353	0.918990	0.957785	0.943649	0.972350	0.999359	27.400948	0.999393	27.697522	0.824670	0.539296	1.089452	30.807315	0.553671	1902	4	1	2	8	1.949580	0.250000	119	116	171.195959	3.189224	0.028851	0.014935	-0.086277	-0.000051	0.000036	0.029756	1110.035658	0.824670	0.824670	4	1	3	2	8	1.949580	0.250000	4	0	119	116	109	1.475827	3.189224	171.195959	0.028851	45467	23.904837	34.456362	256x256	65536	sparse	Learned	239	4	23	1881	30.879887	0.588256	27.443537	0.999357	0.794914	0.541594	4	1	0.500000	31	1888	31.266112	0.631997	0.999268	26.909524	0.607414	0.788916	4893	32.093680	0.723088	0.999735	31.439515	0.615572	0.777138	0.253985	-0.002298	-0.072572	-0.034585	True	0.548419	0.597476	0.785418	27.487225	0.999410	7252
7253.png	0.539130	0.847314	0.917347	0.877930	0.960470	0.999503	27.730036	0.999536	28.100011	0.572498	0.576838	0.503031	31.155323	0.579740	1841	4	2	5	9	1.969925	0.500000	133	131	195.752309	2.552237	0.040323	0.015853	-0.041811	-0.000088	0.000006	0.019345	1001.235723	0.572498	0.572498	4	2	2	5	9	1.969925	0.500000	4	0	133	131	119	1.494292	2.552237	195.752309	0.040323	44924	24.401955	35.598045	256x256	65536	sparse	Learned	253	4	24	1732	31.460646	0.609646	27.740615	0.999530	0.553153	0.312220	7	2	0.000000	34	1710	31.695093	0.646057	0.999486	27.629923	0.221907	0.539485	5117	32.649453	0.744223	0.999791	31.998933	0.262877	0.563877	0.359396	0.264618	-0.305323	-0.029906	True	0.581048	0.292285	0.523277	27.771847	0.999591	7253
7254.png	0.800292	0.921225	0.958998	0.963387	0.954649	0.999241	27.068793	0.999408	27.701432	0.830231	0.672085	0.850511	31.222237	0.590056	2339	4	0	1	9	1.955056	0.000000	178	174	255.350288	2.600488	0.026880	0.025175	-0.620419	-0.000183	-0.000022	0.047680	950.902700	0.830231	0.830231	4	0	4	1	9	1.955056	0.000000	4	0	178	174	168	1.467530	2.600488	255.350288	0.026880	44986	19.233006	28.018811	256x256	65536	sparse	Learned	298	4	29	2286	31.627317	0.636202	27.662886	0.999430	0.782550	0.595053	5	2	0.000000	38	2326	31.915290	0.679501	0.999363	27.608647	0.568289	0.758988	3998	32.223445	0.705249	0.999723	31.194030	0.367568	0.760403	0.038547	0.077031	-0.405080	-0.046145	True	0.688077	0.585217	0.775116	27.689212	0.999424	7254
7255.png	0.728538	0.897614	0.946045	0.953393	0.938808	0.999158	26.957106	0.999425	27.767549	0.767145	0.619017	0.888220	30.684097	0.550019	2076	4	5	10	9	2.014085	1.250000	142	143	230.036580	2.809929	0.034504	0.017250	-0.443336	-0.000190	0.000019	0.034501	1041.483402	0.767145	0.767145	4	5	-1	10	9	2.014085	1.250000	4	1	142	143	123	1.608647	2.809929	230.036580	0.034504	45536	21.934489	31.568401	256x256	65536	sparse	Learned	262	4	25	2037	30.977887	0.595712	27.444819	0.999406	0.732644	0.458457	6	1	0.750000	32	2038	31.210706	0.639573	0.999331	27.113479	0.466342	0.737988	4251	31.743872	0.695611	0.999705	30.977399	0.388054	0.731055	0.322730	0.160560	-0.293790	-0.045693	True	0.651808	0.578948	0.711288	27.400442	0.999348	7255
7256.png	0.490169	0.818560	0.900228	0.903670	0.896813	0.998984	28.421309	0.999214	28.983010	0.534884	0.660404	0.448039	31.605528	0.603037	2093	4	2	7	11	1.975000	0.500000	160	158	245.066017	2.867818	0.043782	-0.022282	-0.673161	-0.000277	-0.000042	-0.006364	1264.167309	0.534884	0.534884	4	2	2	7	11	1.975000	0.500000	4	0	160	158	142	1.551051	2.867818	245.066017	0.043782	44562	21.290970	31.311992	256x256	65536	sparse	Learned	280	4	28	2048	32.005421	0.642083	29.032080	0.999256	0.541247	0.257204	15	1	0.000000	40	1998	32.278548	0.677178	0.999128	28.827639	0.350791	0.528174	4445	32.798050	0.737664	0.999581	31.896493	0.240263	0.534284	-0.049069	0.403201	-0.399893	-0.039046	True	0.698806	0.313092	0.512451	29.094470	0.999260	7256
7257.png	0.634065	0.815087	0.898124	0.920814	0.876525	0.999070	27.522465	0.999378	28.080023	0.695529	0.703290	0.554786	30.327108	0.530919	2278	4	6	10	7	2.021505	1.500000	186	188	279.107648	2.421113	0.041137	0.020156	-0.479179	-0.000261	0.000011	0.054904	998.526335	0.695529	0.695529	4	6	-2	10	7	2.021505	1.500000	4	1	186	188	169	1.484615	2.421113	279.107648	0.041137	45763	20.089113	28.769096	256x256	65536	sparse	Learned	306	4	25	2124	30.718891	0.586264	27.865650	0.999367	0.640625	0.405479	10	4	0.000000	31	2044	30.937600	0.625395	0.999258	27.297323	0.247392	0.633540	4031	31.394489	0.678758	0.999664	30.709526	0.102954	0.600828	0.214373	0.297811	-0.391783	-0.055345	True	0.726102	0.402831	0.613909	28.001644	0.999331	7257
7258.png	0.754851	0.858242	0.923714	0.952313	0.896783	0.999080	26.140683	0.999450	27.217480	0.814789	0.629166	0.835016	30.060793	0.528937	2451	5	1	3	11	1.957219	0.200000	187	183	287.906638	2.434917	0.040490	-0.000104	-1.222121	-0.000381	-0.000062	0.051730	967.968941	0.814789	0.814789	5	1	4	3	11	1.957219	0.200000	5	0	187	183	173	1.573260	2.434917	287.906638	0.040490	46114	18.814361	26.738474	256x256	65536	sparse	Learned	307	5	26	2405	30.551810	0.593779	27.297793	0.999512	0.763060	0.421124	9	1	0.100000	28	2220	30.704282	0.630602	0.999409	26.637341	0.637960	0.749220	3721	31.088559	0.657021	0.999728	30.193397	0.557044	0.756875	-0.080313	0.208042	-0.491017	-0.064842	True	0.657677	0.549171	0.754955	27.362804	0.999461	7258
7259.png	0.622924	0.911548	0.953728	0.953728	0.953728	0.999070	27.610306	0.999163	28.089807	0.637888	0.529989	0.469092	30.830637	0.553030	1883	4	0	0	8	1.934959	0.000000	123	119	176.409163	3.235346	0.025410	-0.007918	0.086837	-0.000046	0.000054	0.012111	1214.152336	0.637888	0.637888	4	0	4	0	8	1.934959	0.000000	4	0	123	119	115	1.482430	3.235346	176.409163	0.025410	45422	24.122146	34.804036	256x256	65536	sparse	Learned	243	4	23	1869	30.871605	0.587237	27.647438	0.999109	0.625776	0.303872	9	2	0.000000	33	1844	31.307659	0.634096	0.999003	27.415075	0.396925	0.607396	4875	32.075839	0.722221	0.999606	31.579535	0.244216	0.618297	0.442369	0.226117	-0.040968	-0.034207	True	0.543880	0.255130	0.630841	27.523469	0.999116	7259
7260.png	0.710471	0.899721	0.947214	0.951399	0.943066	0.999049	26.883780	0.999268	27.414720	0.741193	0.514868	0.830867	31.342064	0.592999	2406	5	0	1	11	1.939759	0.000000	166	161	244.521861	2.639554	0.021956	-0.004693	-1.092997	-0.000336	-0.000139	0.018933	991.726398	0.741193	0.741193	5	0	5	1	11	1.939759	0.000000	6	0	166	161	154	1.518769	2.639554	244.521861	0.021956	44960	18.686617	27.238570	256x256	65536	sparse	Learned	288	6	30	2339	31.718234	0.639494	28.004730	0.999407	0.722261	0.408445	8	1	0.333333	41	2276	32.031583	0.680217	0.999382	28.391232	0.435887	0.722491	3910	32.248090	0.704786	0.999658	30.979574	0.409430	0.710943	-0.590009	0.106423	-0.376170	-0.046496	True	0.535441	0.444880	0.715164	27.976778	0.999385	7260
7261.png	0.684388	0.855950	0.922385	0.897810	0.948342	0.999333	27.122706	0.999343	27.606145	0.707091	0.612485	0.884000	30.481354	0.545446	2319	5	7	13	11	2.022727	1.400000	176	178	278.906638	2.630868	0.027007	0.013469	-0.653353	-0.000181	-0.000080	0.012314	1011.734247	0.707091	0.707091	5	7	-2	13	11	2.022727	1.400000	5	1	176	178	152	1.566891	2.630868	278.906638	0.027007	45701	19.707201	28.260457	256x256	65536	sparse	Learned	296	5	27	2319	30.955036	0.604604	27.839337	0.999423	0.694777	0.593430	6	6	0.000000	31	2088	31.063448	0.638046	0.999277	26.984158	0.583832	0.648182	4116	31.589899	0.688468	0.999666	30.525918	0.373746	0.684639	-0.233191	0.019054	-0.473682	-0.059159	True	0.610932	0.540063	0.670918	27.776059	0.999513	7261
7262.png	0.646647	0.904705	0.949969	0.953547	0.946417	0.998754	28.451329	0.998935	28.703522	0.661939	0.541594	0.764787	31.709248	0.611477	2320	4	2	7	9	1.973856	0.500000	153	151	222.450793	3.294987	0.023354	-0.040632	-0.213544	-0.000154	-0.000031	-0.032242	1442.056417	0.661939	0.661939	4	2	2	7	9	1.973856	0.500000	5	0	153	151	137	1.473184	3.294987	222.450793	0.023354	44541	19.198707	28.248276	256x256	65536	sparse	Learned	275	5	31	2259	32.104402	0.651784	28.695778	0.998966	0.694181	0.681458	5	10	0.000000	42	2280	32.396857	0.694841	0.998904	28.821694	0.627183	0.678763	3839	32.646538	0.718147	0.999346	31.503522	0.399966	0.647512	0.007744	-0.139864	-0.395154	-0.040307	True	0.663784	0.507653	0.687279	28.664873	0.998908	7262
7263.png	0.620233	0.911631	0.953773	0.942233	0.965600	0.999179	27.121987	0.999313	27.665946	0.627889	0.622808	0.792553	31.538716	0.606294	2230	4	2	4	9	1.974194	0.500000	155	153	221.793939	2.750990	0.024096	0.003604	-0.695120	-0.000240	-0.000062	0.011053	1151.238441	0.627889	0.627889	4	2	2	4	9	1.974194	0.500000	4	0	155	153	142	1.449634	2.750990	221.793939	0.024096	44795	20.087444	29.388341	256x256	65536	sparse	Learned	275	4	29	2211	31.926820	0.645006	27.823584	0.999374	0.616836	0.453379	5	0	0.875000	43	2210	32.275738	0.683106	0.999412	28.774402	0.411395	0.598545	3993	32.527553	0.715353	0.999636	31.365117	0.384742	0.611233	-0.157638	0.169428	-0.388104	-0.038712	True	0.552465	0.437858	0.616630	27.817107	0.999420	7263
7264.png	0.648264	0.836679	0.911078	0.882579	0.941478	0.999360	26.763105	0.999350	27.774188	0.724572	0.570443	0.429404	31.514142	0.604430	1927	4	2	6	10	1.969466	0.500000	131	129	188.539105	2.740069	0.040675	0.020017	-0.751038	-0.000252	0.000109	0.051713	1095.372915	0.724572	0.724572	4	2	2	6	10	1.969466	0.500000	4	0	131	129	115	1.461543	2.740069	188.539105	0.040675	44597	23.143228	34.009341	256x256	65536	sparse	Learned	251	4	25	1812	31.852000	0.634480	27.429056	0.999241	0.672859	0.273851	9	0	0.375000	38	1896	32.206057	0.673405	0.999273	27.871361	0.350420	0.661003	4824	32.945467	0.746811	0.999772	32.697055	0.265505	0.684426	0.345132	0.296592	-0.337858	-0.030050	True	0.607414	0.260826	0.628247	27.514143	0.999612	7264
7265.png	0.653047	0.896671	0.945521	0.952135	0.938998	0.999048	27.492022	0.999229	28.022205	0.671136	0.563078	0.546896	30.563369	0.545060	2160	5	0	0	10	1.939759	0.000000	166	161	233.894444	2.862865	0.037968	-0.029721	-0.573205	-0.000208	-0.000018	-0.012416	1142.463446	0.671136	0.671136	5	0	5	0	10	1.939759	0.000000	5	0	166	161	156	1.452761	2.862865	233.894444	0.037968	45603	21.112500	30.340741	256x256	65536	sparse	Learned	286	5	25	2078	30.885163	0.593479	27.983935	0.999248	0.683553	0.326320	12	3	0.000000	31	2052	31.121141	0.636174	0.999087	27.313243	0.253871	0.609556	4237	31.677380	0.695100	0.999566	30.670621	0.138901	0.646602	0.038271	0.236758	-0.321793	-0.048419	True	0.550671	0.301160	0.682768	28.065227	0.999256	7265
7266.png	0.820715	0.934676	0.966235	0.967151	0.965322	0.998933	25.805401	0.999135	26.356066	0.837821	0.559568	0.820528	30.835343	0.586320	2445	5	0	0	10	1.937500	0.000000	160	155	235.107648	3.156283	0.032037	0.039553	-1.089687	-0.000310	-0.000123	0.059355	1224.784374	0.837821	0.837821	5	0	5	0	10	1.937500	0.000000	5	0	160	155	150	1.516824	3.156283	235.107648	0.032037	45309	18.531288	26.804090	256x256	65536	sparse	Learned	280	5	28	2391	31.337994	0.630702	26.916676	0.999258	0.778467	0.497707	7	7	0.000000	37	2408	31.687206	0.678894	0.999284	27.240259	0.569726	0.766648	3763	31.955384	0.688373	0.999690	31.033530	0.467408	0.770263	-0.560609	0.061861	-0.502651	-0.044383	True	0.585217	0.480187	0.781162	26.895088	0.999242	7266
7267.png	0.732143	0.861095	0.925364	0.927052	0.923683	0.998802	27.695273	0.999054	28.516529	0.758055	0.717761	0.730851	31.413208	0.599101	2281	4	9	18	9	2.057803	2.250000	173	178	284.036580	3.117158	0.053545	-0.015541	-0.841793	-0.000306	-0.000008	0.025912	1290.162086	0.758055	0.758055	4	9	-5	18	9	2.057803	2.250000	4	1	173	178	146	1.595711	3.117158	284.036580	0.053545	44738	19.613327	28.731258	256x256	65536	sparse	Learned	293	4	28	2227	31.780188	0.640838	28.571281	0.999062	0.732143	0.600341	7	8	0.000000	41	2172	32.135864	0.682647	0.998988	28.325203	0.513248	0.712834	4028	32.485321	0.719021	0.999461	31.176519	0.413354	0.718699	-0.054752	0.117420	-0.366981	-0.041737	True	0.744619	0.544206	0.747684	28.537067	0.999109	7267
7268.png	0.691258	0.898712	0.946655	0.946655	0.946655	0.998026	28.097626	0.997999	28.340871	0.711696	0.669781	0.925547	30.917003	0.571514	2620	5	6	16	15	2.010753	1.200000	186	187	316.107648	3.528560	0.047798	-0.028436	-0.073079	-0.000045	0.000117	-0.027229	1773.486853	0.711696	0.711696	5	6	-1	16	15	2.010753	1.200000	5	0	186	187	155	1.690415	3.528560	316.107648	0.047798	45398	17.327481	25.013740	256x256	65536	sparse	Learned	306	5	29	2569	31.244240	0.627683	28.221870	0.997883	0.738925	0.505891	12	16	0.000000	38	2546	31.570382	0.675158	0.997934	28.424641	0.385913	0.750843	3562	31.690583	0.676774	0.998546	30.108264	0.302324	0.702923	0.119001	0.163890	-0.327237	-0.056169	True	0.697599	0.645661	0.719694	28.170705	0.998071	7268
7269.png	0.625599	0.851195	0.919617	0.949011	0.891989	0.999190	27.399841	0.999479	28.106701	0.688283	0.700308	0.477756	30.390257	0.537024	2286	4	7	13	7	2.034091	1.750000	176	179	279.078210	2.444519	0.031878	-0.052718	-0.507045	-0.000232	-0.000005	-0.040869	912.473202	0.688283	0.688283	4	7	-3	13	7	2.034091	1.750000	4	1	176	179	156	1.559096	2.444519	279.078210	0.031878	45739	20.008311	28.668416	256x256	65536	sparse	Learned	296	4	26	2279	30.770402	0.595485	27.779432	0.999483	0.729152	0.481670	7	2	0.125000	31	2178	30.993931	0.635832	0.999357	27.148767	0.303591	0.637570	4123	31.472866	0.683500	0.999693	30.453317	0.243420	0.654886	0.327270	0.218638	-0.380144	-0.058461	True	0.731526	0.349491	0.678317	27.906886	0.999422	7269
7270.png	0.659477	0.927802	0.962549	0.954397	0.970842	0.999027	27.647217	0.999100	27.942269	0.662346	0.555142	0.465155	31.143177	0.587130	2436	6	0	0	12	1.934426	0.000000	183	177	265.793939	2.777834	0.021988	0.009868	-0.460737	-0.000164	-0.000086	0.012972	1078.135729	0.662346	0.662346	6	0	6	0	12	1.934426	0.000000	6	0	183	177	171	1.501661	2.777834	265.793939	0.021988	45065	18.499589	26.903120	256x256	65536	sparse	Learned	303	6	29	2402	31.558591	0.636763	28.161211	0.999186	0.649374	0.311147	11	0	0.583333	40	2384	31.917489	0.680193	0.999157	28.220535	0.272733	0.626946	3699	32.061185	0.694398	0.999561	31.039430	0.226510	0.641363	-0.218943	0.243995	-0.415414	-0.049633	True	0.562495	0.261647	0.649609	28.107955	0.999191	7270
7272.png	0.636364	0.867851	0.929251	0.907666	0.951888	0.998673	28.418151	0.998858	28.788795	0.683095	0.572585	0.866031	31.147447	0.585093	2436	6	4	9	13	1.978495	0.666667	186	184	302.119841	2.761373	0.045062	0.011008	-0.478527	-0.000287	-0.000070	0.003804	1411.919594	0.683095	0.683095	6	4	2	9	13	1.978495	0.666667	6	0	186	184	164	1.641956	2.761373	302.119841	0.045062	44984	18.466338	26.903120	256x256	65536	sparse	Learned	306	6	30	2381	31.670585	0.638177	28.875119	0.998928	0.679291	0.474462	12	11	0.000000	40	2322	31.939057	0.676016	0.998763	28.643369	0.256000	0.644543	3658	32.113353	0.696198	0.999320	31.155756	0.113796	0.632435	-0.086324	0.098123	-0.523138	-0.053085	True	0.583832	0.505617	0.625356	28.896678	0.998960	7272
