filename	gt_iou	seg_iou	seg_f1	seg_precision	seg_recall	gt_fg_ssim	gt_fg_psnr	ng_fg_ssim	ng_fg_psnr	ng_iou	ng_topo_q	topo_preservation	ng_psnr	ng_ssim	ng_bytes	graph_n_components	graph_n_cycles	graph_n_junctions	graph_n_endpoints	graph_mean_degree	graph_complexity	n_nodes	n_edges	total_edge_length	mean_width_px	mean_curvature	delta_gt_iou	delta_gt_fg_psnr	delta_gt_fg_ssim	delta_fg_ssim	delta_iou	total_time_ms	self_iou	ng_recon_iou	ng_n_components	ng_n_cycles	ng_euler_characteristic	ng_n_junctions	ng_n_endpoints	ng_mean_degree	ng_graph_complexity	ng_seg_beta_0	ng_seg_beta_1	graph_n_nodes	graph_n_edges	graph_n_sampled	graph_mean_edge_length	graph_mean_width	graph_total_edge_length	graph_mean_curvature	png_bytes	ng_vs_png	ng_vs_raw	image_shape	image_pixels	image_type	segmenter	n_points	n_structures	jpeg_quality	jpeg_bytes	jpeg_psnr	jpeg_ssim	jpeg_fg_psnr	jpeg_fg_ssim	jpeg_iou	jpeg_topo_q	jpeg_beta_0	jpeg_beta_1	jpeg_betti_preservation	webp_quality	webp_bytes	webp_psnr	webp_ssim	webp_fg_ssim	webp_fg_psnr	webp_topo_q	webp_iou	jp2_bytes	jp2_psnr	jp2_ssim	jp2_fg_ssim	jp2_fg_psnr	jp2_topo_q	jp2_iou	delta_fg_psnr	delta_topo_q	delta_psnr	delta_ssim	gt_available	pre_gt_iou	pre_ng_psnr	pre_ng_ssim	pre_ng_fg_psnr	gt_topology_q	recon_topology_q	jpeg_gt_iou	jpeg_gt_fg_psnr	jpeg_gt_fg_ssim	stem
7249.png	0.610965	0.912235	0.954104	0.944920	0.963468	0.998991	28.253285	0.999062	28.504015	0.620545	0.657677	0.433410	30.652665	0.555851	2521	5	0	2	12	1.841270	0.000000	63	58	306.078210	2.975833	0.000000	-0.010467	0.010512	-0.000051	0.000035	-0.002658	5640.359640	0.620545	0.620545	5	0	5	2	12	1.841270	0.000000	5	0	63	58	49	5.277211	2.975833	306.078210	0.000000	45624	18.097580	25.996033	256x256	65536	sparse	Learned	319	5	28	2496	31.012760	0.615384	28.232048	0.999026	0.623203	0.327442	12	4	0.000000	35	2454	31.291314	0.662016	0.998907	27.867744	0.291071	0.584004	3640	31.455945	0.669072	0.999316	29.983771	0.332547	0.591479	0.271967	0.330235	-0.360095	-0.059533	True	0.610438	30.653682	0.555879	28.502094	0.677612	0.293684	0.621432	28.242774	0.999042	7249
7250.png	0.640798	0.867914	0.929287	0.917233	0.941661	0.999002	28.250846	0.999062	28.504650	0.674289	0.719168	0.723287	31.332173	0.589089	2334	4	1	6	12	1.900000	0.250000	60	57	285.379726	2.977619	0.000000	0.033118	-0.033956	-0.000134	0.000015	0.043967	1227.500677	0.674289	0.674289	4	1	3	6	12	1.900000	0.250000	4	1	60	57	42	5.006662	2.977619	285.379726	0.000000	44906	19.239931	28.078835	256x256	65536	sparse	Learned	300	4	29	2254	31.673816	0.635571	28.279766	0.999046	0.630322	0.528813	8	8	0.000000	40	2272	31.999157	0.676917	0.998999	28.387641	0.540447	0.613459	3883	32.286070	0.707634	0.999468	31.224137	0.282733	0.632716	0.224884	0.190355	-0.341643	-0.046481	True	0.638427	31.333858	0.589086	28.503765	0.743339	0.537648	0.607680	28.284803	0.999136	7250
7251.png	0.775216	0.854467	0.921523	0.928013	0.915123	0.998848	25.193724	0.999493	27.134131	0.865751	0.703290	0.847257	31.143413	0.605927	2423	4	0	4	12	1.854545	0.000000	55	51	275.450793	2.364220	0.000000	0.031321	-2.417311	-0.000676	-0.000077	0.113376	834.249973	0.865751	0.865751	4	0	4	4	12	1.854545	0.000000	4	0	55	51	39	5.400996	2.364220	275.450793	0.000000	44830	18.501857	27.047462	256x256	65536	sparse	Learned	298	4	30	2387	31.860479	0.654127	27.650899	0.999570	0.752375	0.574007	6	1	0.250000	41	2372	32.197086	0.694537	0.999585	28.122859	0.739460	0.753983	3790	32.415584	0.708988	0.999783	31.167212	0.557361	0.742079	-0.516767	0.129283	-0.717066	-0.048200	True	0.775216	31.149035	0.606009	27.130579	0.724729	0.614032	0.743895	27.611035	0.999523	7251
7252.png	0.800353	0.918990	0.957785	0.943649	0.972350	0.999359	27.400948	0.999393	27.697522	0.824670	0.539296	1.089452	30.807315	0.553671	1892	4	0	1	9	1.800000	0.000000	40	36	174.610173	2.962086	0.000000	0.014935	-0.086277	-0.000051	0.000036	0.029756	1093.067646	0.824670	0.824670	4	0	4	1	9	1.800000	0.000000	4	0	40	36	30	4.850283	2.962086	174.610173	0.000000	45467	24.031184	34.638478	256x256	65536	sparse	Learned	239	4	23	1881	30.879887	0.588256	27.443537	0.999357	0.794914	0.541594	4	1	0.500000	31	1888	31.266112	0.631997	0.999268	26.909524	0.607414	0.788916	4893	32.093680	0.723088	0.999735	31.439515	0.615572	0.777138	0.253985	-0.002298	-0.072572	-0.034585	True	0.802120	30.810466	0.553691	27.700918	0.548419	0.597476	0.785418	27.487225	0.999410	7252
7253.png	0.539130	0.847314	0.917347	0.877930	0.960470	0.999503	27.730036	0.999536	28.100011	0.572498	0.576838	0.503031	31.155323	0.579740	1839	4	0	2	10	1.822222	0.000000	45	41	195.338095	2.666629	0.000000	0.015853	-0.041811	-0.000088	0.000006	0.019345	964.445114	0.572498	0.572498	4	0	4	2	10	1.822222	0.000000	4	0	45	41	33	4.764344	2.666629	195.338095	0.000000	44924	24.428494	35.636759	256x256	65536	sparse	Learned	253	4	24	1732	31.460646	0.609646	27.740615	0.999530	0.553153	0.312220	7	2	0.000000	34	1710	31.695093	0.646057	0.999486	27.629923	0.221907	0.539485	5117	32.649453	0.744223	0.999791	31.998933	0.262877	0.563877	0.359396	0.264618	-0.305323	-0.029906	True	0.540097	31.159136	0.579796	28.092431	0.581048	0.292285	0.523277	27.771847	0.999591	7253
7254.png	0.800292	0.921225	0.958998	0.963387	0.954649	0.999241	27.068793	0.999408	27.701432	0.830231	0.672085	0.850511	31.222237	0.590056	2309	4	0	2	10	1.846154	0.000000	52	48	258.764502	2.642569	0.000000	0.025175	-0.620419	-0.000183	-0.000022	0.047680	904.941797	0.830231	0.830231	4	0	4	2	10	1.846154	0.000000	4	0	52	48	40	5.390927	2.642569	258.764502	0.000000	44986	19.482893	28.382850	256x256	65536	sparse	Learned	298	4	29	2286	31.627317	0.636202	27.662886	0.999430	0.782550	0.595053	5	2	0.000000	37	2192	31.842865	0.674132	0.999363	27.610292	0.508356	0.768767	3998	32.223445	0.705249	0.999723	31.194030	0.367568	0.760403	0.038547	0.077031	-0.405080	-0.046145	True	0.800875	31.222817	0.590070	27.699879	0.688077	0.585217	0.775116	27.689212	0.999424	7254
7255.png	0.728538	0.897614	0.946045	0.953393	0.938808	0.999158	26.957106	0.999425	27.767549	0.767145	0.619017	0.888220	30.684097	0.550019	2058	4	1	3	9	1.869565	0.250000	46	43	224.379726	2.858136	0.000000	0.017250	-0.443336	-0.000190	0.000019	0.034501	1023.319960	0.767145	0.767145	4	1	3	3	9	1.869565	0.250000	4	1	46	43	34	5.218133	2.858136	224.379726	0.000000	45536	22.126336	31.844509	256x256	65536	sparse	Learned	262	4	25	2037	30.977887	0.595712	27.444819	0.999406	0.732644	0.458457	6	1	0.750000	32	2038	31.210706	0.639573	0.999331	27.113479	0.466342	0.737988	4251	31.743872	0.695611	0.999705	30.977399	0.388054	0.731055	0.322730	0.160560	-0.293790	-0.045693	True	0.729312	30.688204	0.550052	27.768810	0.651808	0.578948	0.711288	27.400442	0.999348	7255
7256.png	0.490169	0.818560	0.900228	0.903670	0.896813	0.998984	28.421309	0.999214	28.983010	0.534884	0.660404	0.448039	31.605528	0.603037	2117	4	0	3	11	1.849057	0.000000	53	49	242.237590	2.893670	0.000000	-0.011821	-0.711339	-0.000288	-0.000043	0.000870	1232.682943	0.534884	0.534884	4	0	4	3	11	1.849057	0.000000	4	0	53	49	39	4.943624	2.893670	242.237590	0.000000	44562	21.049598	30.957015	256x256	65536	sparse	Learned	280	4	29	2114	32.027302	0.644371	29.039277	0.999257	0.534014	0.257062	14	0	0.000000	40	1998	32.278548	0.677178	0.999128	28.827639	0.350791	0.528174	4120	32.689729	0.726351	0.999533	31.587625	0.240773	0.533651	-0.056267	0.403342	-0.421774	-0.041333	True	0.487719	31.606895	0.603038	28.977741	0.698806	0.313092	0.501989	29.132648	0.999271	7256
7257.png	0.634065	0.815087	0.898124	0.920814	0.876525	0.999070	27.522465	0.999378	28.080023	0.695529	0.703290	0.554786	30.327108	0.530919	2238	4	2	4	9	1.931034	0.500000	58	56	277.279221	2.384491	0.000000	0.020156	-0.479179	-0.000261	0.000011	0.054904	955.301285	0.695529	0.695529	4	2	2	4	9	1.931034	0.500000	4	1	58	56	45	4.951415	2.384491	277.279221	0.000000	45763	20.448168	29.283289	256x256	65536	sparse	Learned	306	4	25	2124	30.718891	0.586264	27.865650	0.999367	0.640625	0.405479	10	4	0.000000	31	2044	30.937600	0.625395	0.999258	27.297323	0.247392	0.633540	4213	31.463969	0.687006	0.999677	30.961835	0.102557	0.596936	0.214373	0.297811	-0.391783	-0.055345	True	0.635153	30.329029	0.530905	28.073094	0.726102	0.402831	0.613909	28.001644	0.999331	7257
7258.png	0.754851	0.858242	0.923714	0.952313	0.896783	0.999080	26.140683	0.999450	27.217480	0.814789	0.629166	0.835016	30.060793	0.528937	2406	5	0	1	11	1.811321	0.000000	53	48	286.492424	2.497511	0.000000	-0.000104	-1.222121	-0.000381	-0.000062	0.051730	924.167871	0.814789	0.814789	5	0	5	1	11	1.811321	0.000000	5	0	53	48	41	5.968592	2.497511	286.492424	0.000000	46114	19.166251	27.238570	256x256	65536	sparse	Learned	307	5	26	2405	30.551810	0.593779	27.297793	0.999512	0.763060	0.421124	9	1	0.100000	28	2220	30.704282	0.630602	0.999409	26.637341	0.637960	0.749220	3721	31.088559	0.657021	0.999728	30.193397	0.557044	0.756875	-0.080313	0.208042	-0.491017	-0.064842	True	0.755340	30.059410	0.528929	27.217072	0.657677	0.549171	0.754955	27.362804	0.999461	7258
