filename	gt_iou	seg_iou	seg_f1	seg_precision	seg_recall	gt_fg_ssim	gt_fg_psnr	ng_fg_ssim	ng_fg_psnr	ng_iou	ng_topo_q	topo_preservation	ng_psnr	ng_ssim	ng_bytes	graph_n_components	graph_n_cycles	graph_n_junctions	graph_n_endpoints	graph_mean_degree	graph_complexity	n_nodes	n_edges	total_edge_length	mean_width_px	mean_curvature	delta_gt_iou	delta_gt_fg_psnr	delta_gt_fg_ssim	delta_fg_ssim	delta_iou	total_time_ms	self_iou	ng_recon_iou	ng_n_components	ng_n_cycles	ng_euler_characteristic	ng_n_junctions	ng_n_endpoints	ng_mean_degree	ng_graph_complexity	ng_seg_beta_0	ng_seg_beta_1	graph_n_nodes	graph_n_edges	graph_n_sampled	graph_mean_edge_length	graph_mean_width	graph_total_edge_length	graph_mean_curvature	png_bytes	ng_vs_png	ng_vs_raw	image_shape	image_pixels	image_type	segmenter	n_points	n_structures	jpeg_quality	jpeg_bytes	jpeg_psnr	jpeg_ssim	jpeg_fg_psnr	jpeg_fg_ssim	jpeg_iou	jpeg_topo_q	jpeg_beta_0	jpeg_beta_1	jpeg_betti_preservation	webp_quality	webp_bytes	webp_psnr	webp_ssim	webp_fg_ssim	webp_fg_psnr	webp_topo_q	webp_iou	jp2_bytes	jp2_psnr	jp2_ssim	jp2_fg_ssim	jp2_fg_psnr	jp2_topo_q	jp2_iou	delta_fg_psnr	delta_topo_q	delta_psnr	delta_ssim	gt_available	pre_gt_iou	pre_ng_psnr	pre_ng_ssim	pre_ng_fg_psnr	gt_topology_q	recon_topology_q	jpeg_gt_iou	jpeg_gt_fg_psnr	jpeg_gt_fg_ssim	stem
MITO_M2_001_y256x0.png	0.000000	0.107934	0.194839	0.108022	0.992488	0.999451	39.532795	0.990520	37.917931	0.013151	0.534789	0.120767	37.517588	0.946703	5922	19	0	16	54	1.791209	0.000000	182	163	812.381818	5.711724	0.000000	0.000000	-5.107560	-0.000368	-0.007358	0.001194	12677.522421	0.013151	0.013151	19	0	19	16	54	1.791209	0.000000	19	0	182	163	112	4.983938	5.711724	812.381818	0.000000	21826	3.685579	11.066532	256x256	65536	sparse	Otsu	958	19	93	5453	49.135319	0.987280	45.810808	0.997878	0.011957	0.034395	4	0	0.605263	97	4968	49.643359	0.987225	0.998376	47.183149	0.034395	0.011650	339	35.210193	0.796220	0.971093	29.321751	0.032784	0.017374	-7.892877	0.500394	-11.617731	-0.040578	True	0.000000	37.539797	0.948500	37.931957	0.680181	0.082144	0.000000	44.640355	0.999819	MITO_M2_001_y256x0
MITO_M2_001_y256x256.png	0.000000	0.192100	0.322288	0.358811	0.292514	0.984109	27.924567	0.997304	33.614936	0.198939	0.198818	0.105020	31.757737	0.823300	3775	24	0	4	52	1.466667	0.000000	90	66	272.651804	4.305206	0.000000	0.000000	-12.575944	-0.014489	-0.001782	0.000206	2275.892735	0.198939	0.198939	24	0	24	4	52	1.466667	0.000000	24	0	90	66	34	4.131088	4.305206	272.651804	0.000000	31813	8.427285	17.360530	256x256	65536	dense	Meijering	448	24	58	3762	42.187864	0.964055	37.290565	0.999087	0.198733	0.071835	11	0	0.729167	86	3710	42.917857	0.967600	0.999356	39.395432	0.071328	0.199102	537	31.483620	0.825867	0.989684	24.486175	0.069934	0.217666	-3.675629	0.126983	-10.430128	-0.140755	True	0.000000	31.762207	0.823479	33.631788	0.665916	0.069934	0.000000	40.500511	0.998598	MITO_M2_001_y256x256
MITO_M2_001_y256x512.png	0.000000	0.012845	0.025364	0.049583	0.017041	0.986598	28.812271	0.999225	32.534821	0.295533	0.150126	0.091028	29.608040	0.779762	2565	15	1	1	30	1.282051	0.066667	39	25	119.426407	4.535461	0.000000	-0.001356	-8.661917	-0.009932	0.000082	-0.019980	1471.425772	0.295533	0.295533	15	1	14	1	30	1.282051	0.066667	15	0	39	25	8	4.777056	4.535461	119.426407	0.000000	33541	13.076413	25.550097	256x256	65536	dense	Meijering	287	15	24	2537	37.998025	0.923706	31.789629	0.999142	0.315513	0.046866	25	0	0.666667	71	2560	40.134136	0.949666	0.999555	34.458992	0.047306	0.315366	3558	41.786664	0.961658	0.999832	39.297270	0.048039	0.314163	0.745193	0.103259	-8.389985	-0.143943	True	0.000000	29.611369	0.779782	32.558579	0.671538	0.061129	0.001356	37.474188	0.996530	MITO_M2_001_y256x512
MITO_M2_001_y512x0.png	0.000000	0.080620	0.149210	0.317252	0.097544	0.973630	29.385899	0.998625	32.445519	0.279429	0.191728	0.073444	32.932321	0.848383	2417	14	0	1	29	1.428571	0.000000	49	35	151.568542	4.931279	0.000000	0.000000	-9.660290	-0.022256	-0.000540	-0.002702	1568.283319	0.279429	0.279429	14	0	14	1	29	1.428571	0.000000	14	0	49	35	19	4.330530	4.931279	151.568542	0.000000	30423	12.587091	27.114605	256x256	65536	sparse	Meijering	208	14	32	2373	40.346608	0.946896	33.156940	0.999166	0.282130	0.056140	9	0	0.821429	82	2380	42.749237	0.964656	0.999634	37.362942	0.060326	0.282130	3927	44.082556	0.971315	0.999816	41.951797	0.054041	0.278657	-0.711421	0.135588	-7.414287	-0.098513	True	0.000000	32.940925	0.848520	32.475346	0.792923	0.058235	0.000000	39.046189	0.995885	MITO_M2_001_y512x0
MITO_M2_001_y512x256.png	0.003958	0.089973	0.165092	0.377801	0.105624	0.977592	28.638832	0.998002	31.939621	0.380928	0.180614	0.111636	29.184755	0.773824	4441	25	2	5	52	1.432099	0.080000	81	58	256.066017	4.394430	0.000000	-0.005512	-10.722209	-0.018600	-0.001160	0.007961	2618.541002	0.380928	0.380928	25	2	23	5	52	1.432099	0.080000	25	1	81	58	24	4.414931	4.394430	256.066017	0.000000	35791	8.059221	14.757037	256x256	65536	dense	Meijering	573	25	56	4409	40.186118	0.952578	35.813819	0.999162	0.372967	0.064493	30	0	0.400000	84	4344	40.811180	0.954898	0.999520	38.444320	0.081841	0.375143	466	28.020870	0.756940	0.987888	20.926274	0.821908	0.159555	-3.874198	0.116121	-11.001362	-0.178754	True	0.003958	29.183780	0.773851	31.958458	0.590844	0.065959	0.009470	39.361041	0.996191	MITO_M2_001_y512x256
MITO_M2_001_y512x512.png	0.295062	0.292122	0.452158	0.335704	0.692321	0.984748	29.909112	0.989044	35.785982	0.434253	0.638050	0.873897	31.809489	0.844286	17589	64	23	130	216	1.901679	0.359375	834	793	3636.953678	3.472215	0.000000	0.005020	-13.662934	-0.014005	-0.008575	0.000937	3323.359966	0.434253	0.434253	64	23	41	130	216	1.901679	0.359375	64	21	834	793	488	4.586322	3.472215	3636.953678	0.000000	36150	2.055262	3.725965	256x256	65536	dense	Learned	2258	64	94	15451	44.281959	0.976810	43.687126	0.997619	0.433316	0.373466	143	143	0.000000	97	17032	47.228644	0.988445	0.998912	47.080842	0.345784	0.418271	241	24.135976	0.674291	0.921237	21.774779	0.999999	0.354504	-7.901143	0.264584	-12.472471	-0.132524	True	0.294165	31.820752	0.844410	35.800424	0.559568	0.489005	0.290042	43.572046	0.998753	MITO_M2_001_y512x512
MITO_M2_002_y0x0.png	0.075832	0.117253	0.209895	0.118774	0.901565	0.999312	35.631887	0.993416	39.748554	0.400026	0.811187	2.497215	41.374204	0.957370	7405	20	10	65	88	1.950739	0.500000	406	396	1853.236724	3.388843	0.000000	0.005439	-9.656007	-0.000574	-0.004902	0.015914	2795.583010	0.400026	0.400026	20	10	10	65	88	1.950739	0.500000	20	9	406	396	253	4.679891	3.388843	1853.236724	0.000000	24518	3.311006	8.850236	256x256	65536	sparse	Learned	1090	20	94	7050	48.502164	0.986076	46.344850	0.998318	0.384112	0.614064	48	92	0.000000	97	5422	48.580169	0.983778	0.998446	47.203980	0.702714	0.384740	275	35.843751	0.857869	0.983585	32.328661	0.999943	0.361560	-6.596296	0.197123	-7.127959	-0.028706	True	0.075948	41.408803	0.961449	39.758802	0.364191	0.909463	0.070393	45.287894	0.999886	MITO_M2_002_y0x0
MITO_M2_002_y0x256.png	0.117599	0.000736	0.001471	0.012097	0.000783	0.995629	27.211377	0.999950	28.179559	0.008470	0.134978	2.059003	23.172324	0.740914	1366	4	0	0	8	1.111111	0.000000	9	5	28.313708	3.041841	0.000000	-0.014440	1.976812	0.003527	0.000149	-0.001341	777.812958	0.008470	0.008470	4	0	4	0	8	1.111111	0.000000	4	0	9	5	1	5.662742	3.041841	28.313708	0.000000	34860	25.519766	47.976574	256x256	65536	dense	Frangi	221	4	3	1310	25.836302	0.609788	22.119056	0.999801	0.009811	0.997648	8	65	0.000000	21	1364	35.862141	0.930416	0.999955	28.247588	0.693948	0.012993								6.060503	-0.862670	-2.663978	0.131126	True	0.117924	23.173356	0.740900	28.197669	0.470305	0.968360	0.132040	25.234565	0.992102	MITO_M2_002_y0x256
MITO_M2_002_y0x512.png	0.005384	0.020474	0.040127	0.026173	0.085945	0.995138	26.924425	0.997129	31.720008	0.686168	0.431745	0.842340	25.559151	0.817873	7394	27	0	21	75	1.730000	0.000000	200	173	849.494516	5.808816	0.000000	-0.001963	-13.216204	-0.004483	-0.001732	0.021919	4648.509502	0.686168	0.686168	27	0	27	21	75	1.730000	0.000000	27	0	200	173	104	4.910373	5.808816	849.494516	0.000000	37188	5.029483	8.863403	256x256	65536	sparse	Otsu	627	27	77	7255	40.919565	0.975045	36.876537	0.998860	0.664249	0.173661	80	1	0.000000	88	7034	41.973416	0.975142	0.999269	39.525052	0.184538	0.665317	279	17.927428	0.500499	0.899412	11.847370	0.999987	0.318040	-5.156529	0.258084	-15.360414	-0.157172	True	0.005372	25.561148	0.818098	31.799569	0.381779	0.321588	0.007346	40.140629	0.999622	MITO_M2_002_y0x512
MITO_M2_002_y256x0.png	0.114513	0.000000	0.000000	0.000000	0.000000	0.995693	29.989159	0.999980	24.671522	0.002831	0.164730	1.540146	29.989611	0.857403	556	1	0	0	2	1.600000	0.000000	5	4	9.242641	2.129118	0.000000						562.040567	0.002831	0.002831	1	0	1	0	2	1.600000	0.000000	1	0	5	4	3	2.310660	2.129118	9.242641	0.000000	30139	54.206835	117.870504	256x256	65536	dense	Frangi	48	1												4	540	36.419709	0.921353	0.999984	20.897615	0.458973	0.004053												True	0.115016	29.995858	0.857598	24.662340	0.544088	0.837974				MITO_M2_002_y256x0
