filename,gt_iou,seg_iou,seg_f1,seg_precision,seg_recall,gt_fg_ssim,gt_fg_psnr,ng_fg_ssim,ng_fg_psnr,ng_iou,ng_topo_q,topo_preservation,ng_psnr,ng_ssim,ng_bytes,graph_n_components,graph_n_cycles,graph_n_junctions,graph_n_endpoints,graph_mean_degree,graph_complexity,n_nodes,n_edges,total_edge_length,mean_width_px,mean_curvature,delta_gt_iou,delta_gt_fg_psnr,delta_gt_fg_ssim,delta_fg_ssim,delta_iou,total_time_ms,self_iou,ng_recon_iou,ng_n_components,ng_n_cycles,ng_euler_characteristic,ng_n_junctions,ng_n_endpoints,ng_mean_degree,ng_graph_complexity,ng_seg_beta_0,ng_seg_beta_1,graph_n_nodes,graph_n_edges,graph_n_sampled,graph_mean_edge_length,graph_mean_width,graph_total_edge_length,graph_mean_curvature,png_bytes,ng_vs_png,ng_vs_raw,image_shape,image_pixels,image_type,segmenter,n_points,n_structures,jpeg_quality,jpeg_bytes,jpeg_psnr,jpeg_ssim,jpeg_fg_psnr,jpeg_fg_ssim,jpeg_iou,jpeg_topo_q,jpeg_beta_0,jpeg_beta_1,jpeg_betti_preservation,webp_quality,webp_bytes,webp_psnr,webp_ssim,webp_fg_ssim,webp_fg_psnr,webp_topo_q,webp_iou,jp2_bytes,jp2_psnr,jp2_ssim,jp2_fg_ssim,jp2_fg_psnr,jp2_topo_q,jp2_iou,delta_fg_psnr,delta_topo_q,delta_psnr,delta_ssim,gt_available,pre_gt_iou,pre_ng_psnr,pre_ng_ssim,pre_ng_fg_psnr,gt_topology_q,recon_topology_q,jpeg_gt_iou,jpeg_gt_fg_psnr,jpeg_gt_fg_ssim,stem
UIT_12_y0x0.png,0.4884330660086366,0.5944321417273015,0.7456349206349207,0.8036783575705732,0.6954108068097705,0.9800513267380383,24.611723997018974,0.9943604453343703,27.97969180104928,0.7189366210749374,0.703586547414681,1.0217229301937654,30.95255165268691,0.8586725400163738,3542,5,1,6,14,1.8873239436619718,0.2,71,67,341.42135623730957,6.711008603645335,0.0,-0.03881943677223104,-5.6191700537840426,-0.016125351504158503,-0.001812948215130672,-0.02693602043449661,7309.7779750823975,0.7189366210749374,0.7189366210749374,5,1,4,6,14,1.8873239436619718,0.2,5,1,71,67,51,5.095841137870291,6.711008603645335,341.42135623730957,0.0,37681,10.638339920948617,18.502540937323545,256x256,65536,sparse,Otsu,342,5,62,3449,36.88371966907978,0.90771557879919,29.664842749014753,0.996173393549501,0.745872641509434,0.5951690531835858,14,23,0.0,79,3166,38.4624641000334,0.9151170033188215,0.9984490376643262,33.783038982490325,0.3966719001121676,0.7390115256886111,600,33.75201972676374,0.8479459385371979,0.9910183729066894,25.75207699209168,0.5546473723313332,0.7311006658832746,-1.6851509479654716,0.10841749423109515,-5.931168016392871,-0.04904303878281613,True,0.4887380438136378,30.955154729821537,0.8596065533300388,27.98321506374489,0.5745750242245624,0.5870564773668736,0.5272525027808677,30.230894050803016,0.9961766782421968,UIT_12_y0x0
UIT_12_y0x256.png,0.5203669724770642,0.5611664295874822,0.7189066059225512,0.7858565737051793,0.6624685138539043,0.9843488197780726,24.35364364051676,0.9954384056656566,28.849984399486928,0.73327201655553,0.4204217212151905,0.6879063932156206,31.118566295829066,0.8491923311238124,3642,11,0,5,27,1.7215189873417722,0.0,79,68,331.2497833620558,5.177864372635644,0.0,-0.13216127349441198,-6.65397501067104,-0.012424565681833033,-0.0014308394275969194,-0.004028727333949322,3016.443967819214,0.73327201655553,0.73327201655553,11,0,11,5,27,1.7215189873417722,0.0,11,0,79,68,47,4.871320343559643,5.177864372635644,331.2497833620558,0.0,37619,10.329214717188359,17.9945085118067,256x256,65536,sparse,Otsu,392,11,64,3583,37.202455445478904,0.8992346788709682,30.621472926930636,0.9968692450932535,0.7373007438894793,0.4313814489974177,22,22,0.0,80,3376,38.428968725684996,0.9098441823852461,0.9986432090578595,34.239495893043006,0.35218255400483245,0.7234816082121471,533,32.984969829768744,0.829084562485141,0.9898858619426973,25.00586496268246,0.5094890579662971,0.7247345654738497,-1.771488527443708,-0.010959727782227202,-6.083889149649838,-0.05004234774715577,True,0.5203669724770642,31.120683875547947,0.8495060829361651,28.855182383035505,0.6093721646414789,0.41919100790451513,0.6525282459714762,31.0076186511878,0.9967733854599057,UIT_12_y0x256
UIT_12_y0x512.png,0.5082328163890485,0.5084457771114442,0.6741319904585209,0.8657249829816202,0.5519748263888888,0.9654855052587245,21.43022064114032,0.9949616643140666,28.490620095795684,0.7735714285714286,0.486582880967408,0.8772843710295931,27.484332979909404,0.7342164062090226,5390,15,1,9,38,1.7777777777777777,0.06666666666666667,126,112,556.2447327281726,4.7538615225536685,0.0,-0.1672752786850128,-8.89036494240283,-0.029412694701169695,-0.0013778185934496534,0.23988281037576809,2376.715660095215,0.7735714285714286,0.7735714285714286,15,1,14,9,38,1.7777777777777777,0.06666666666666667,15,0,126,112,79,4.9664708279301095,4.7538615225536685,556.2447327281726,0.0,42440,7.873840445269017,12.158812615955473,256x256,65536,dense,Meijering,588,15,60,5281,34.290214047977614,0.8697811273752347,29.930227196125735,0.9963394829075163,0.5336886181956605,0.5610340068829456,36,25,0.0,75,5294,35.24865642475944,0.8880550599338275,0.997821966561753,32.16137242904993,0.5339716323527712,0.5324538763024568,410,26.434019274278985,0.7011867100003603,0.978134279818792,20.93723826775793,0.6696161107916064,0.4452406916965259,-1.4396071003300506,-0.0744511259155376,-6.80588106806821,-0.1355647211662121,True,0.50813708596592,27.488740361164115,0.7344984502585544,28.500938249133945,0.6856168635599647,0.6014809589154859,0.6755080950740613,30.32058558354315,0.9948981999598941,UIT_12_y0x512
UIT_12_y0x768.png,0.5927087416699334,0.6025741029641186,0.7520077877829157,0.6524493243243243,0.887421022400919,0.9931904777687857,30.50576148554701,0.9908783244137215,32.10423044916028,0.7198386505317198,0.5351311703672317,1.236374791078233,37.22361050084035,0.8834165145712997,3174,10,1,13,32,1.8144329896907216,0.1,97,88,424.3624817342642,5.287654326869548,0.0,0.03541079233338329,-2.553205194188937,-0.0030857456590963617,-0.002371914845813894,0.0626727890180322,2495.2030181884766,0.7198386505317198,0.7198386505317198,10,1,9,13,32,1.8144329896907216,0.1,10,0,97,88,52,4.822300928798452,5.287654326869548,424.3624817342642,0.0,36546,11.514177693761814,20.647763074984248,256x256,65536,sparse,Meijering,358,10,67,3152,38.83172106765853,0.9064875112908332,33.41942337619881,0.9932502392595354,0.6571658615136876,0.29531191028128656,62,35,0.0,84,3118,39.81196376757599,0.9175956640618114,0.9967137222064621,36.402351806176554,0.20247423270057396,0.6446199407699901,657,37.01931276862576,0.8676636392489526,0.9885819345822566,31.21311377841451,0.5140583221305857,0.6861129791526563,-1.3151929270385239,0.23981926008594512,-1.6081105668181763,-0.0230709967195335,True,0.5917171322523931,37.2403379840015,0.8839211865322011,32.10553517934001,0.4242029361095355,0.5244738165072,0.5572979493365501,33.058966679735946,0.996276223427882,UIT_12_y0x768
UIT_12_y256x0.png,0.6011173184357542,0.7191137287897911,0.8366098376702832,0.8631543511193401,0.8116492560937005,0.9918874001701856,24.807905630742013,0.9966643027703201,28.436963017524278,0.6078078849364326,0.5624947908674507,1.1913456943265024,30.695212046854014,0.8204675323465367,7493,24,3,24,66,1.8333333333333333,0.125,252,231,1115.146319705839,2.726568740319848,0.0,-0.002960443536744628,-6.640688275818842,-0.006152410493810989,-0.0016662448204287639,0.033301601273954984,1756.0689449310303,0.6078078849364326,0.6078078849364326,24,3,21,24,66,1.8333333333333333,0.125,24,3,252,231,162,4.827473245479815,2.726568740319848,1115.146319705839,0.0,41853,5.585613239023088,8.746296543440545,256x256,65536,dense,Learned,945,24,76,7305,36.02481131514273,0.9010357053534608,31.415474606869772,0.9983305475907489,0.5745062836624776,0.5404465399532159,32,39,0.0,81,6810,37.62341548220728,0.9195175583241701,0.9991389701158438,34.854712343080145,0.4864272764469948,0.5688608498988216,276,21.866827215964296,0.5167808593919127,0.942561331305181,14.455362370838749,0.8047224371643142,0.3130502532138683,-2.9785115893454943,0.02204825091423479,-5.329599268288714,-0.0805681730069241,True,0.6008935219657483,30.70208694099104,0.8209013198910582,28.440721149716968,0.5053209714208973,0.6020119635551715,0.6040777619724989,31.448593906560856,0.9980398106639966,UIT_12_y256x0
UIT_12_y256x256.png,0.3750557786702365,0.4871260604256586,0.6551240992794236,0.8442094402888831,0.5352412101390025,0.9601448395779806,18.84989731667384,0.9946203343030942,27.383217213851637,0.3766267705012282,0.3954071362712871,0.922267961750477,23.68084613055126,0.6196595475467579,7466,25,0,14,64,1.7076023391812865,0.0,171,146,690.5706345359777,4.777944723677638,0.0,-0.10731288096616187,-10.364246413117169,-0.035136516160218956,-0.001436275646267915,0.007278742897973534,3646.3654041290283,0.3766267705012282,0.3766267705012282,25,0,25,14,64,1.7076023391812865,0.0,25,0,171,146,93,4.729935852986143,4.777944723677638,690.5706345359777,0.0,46583,6.239351727832842,8.777926600589339,256x256,65536,dense,Meijering,853,25,57,7384,31.664355336428898,0.8417933832502058,28.889091057715206,0.9960566099493621,0.3693480276032547,0.4929222373229427,88,88,0.0,58,7292,32.704578489714606,0.8753926231940284,0.9973807949296332,30.729122192357707,0.3746342526532269,0.3684752393699166,274,18.636375514538045,0.41760941404390395,0.9381516611922683,13.485118812347183,0.8803678108148532,0.2378133102852204,-1.5058738438635686,-0.09751510105165562,-7.983509205877638,-0.2221338357034479,True,0.37505017617412245,23.68625759914401,0.6197352872152142,27.4038208478462,0.7074985673243217,0.6525032616275848,0.48236865963639836,29.214143729791008,0.9952813557381995,UIT_12_y256x256
UIT_12_y256x512.png,0.4532917532917533,0.4860743737358021,0.6541723379750811,0.6918392204628502,0.6203951941217357,0.9739225967864599,22.891482344717808,0.9899538878371399,28.41571688038219,0.6582910391879524,0.4699492957923934,1.0946160719736426,27.10670808092089,0.655130315533625,6970,23,1,14,58,1.768421052631579,0.043478260869565216,190,168,805.7544007200511,4.945918010652513,0.0,-0.0705497101228808,-7.561784747178315,-0.02151157072801224,-0.0034413519277212146,0.13236086589539375,4355.385541915894,0.6582910391879524,0.6582910391879524,23,1,22,14,58,1.768421052631579,0.043478260869565216,23,1,190,168,118,4.796157147143157,4.945918010652513,805.7544007200511,0.0,45138,6.476040172166427,9.4025824964132,256x256,65536,sparse,Meijering,713,23,64,6950,32.92015976714291,0.8203947679280809,30.254193382989833,0.9933952397648611,0.5259301732925586,0.4257766472762886,114,135,0.0,65,6770,33.65922092854045,0.8575262825974327,0.9947837340258048,31.26316070237557,0.3652572746556234,0.5232866338508141,275,22.752750382485406,0.5322861882076975,0.9371995257503117,17.67036943712117,0.8898281969522935,0.3854121709106603,-1.8384765026076444,0.04417264851610481,-5.813451686222024,-0.16526445239445586,True,0.45342475240667635,27.107578471652275,0.6551562555443614,28.424048752541818,0.6041289161912216,0.6612892212069289,0.5238414634146341,30.453267091896123,0.9954341675144721,UIT_12_y256x512
UIT_12_y256x768.png,0.4621564149011578,0.7362857142857143,0.8481158466348527,0.8819301848049281,0.816798732171157,0.9937792169263815,27.468361840482878,0.9962845124492634,29.3815812799162,0.4031320257384293,0.73071904444755,0.8428210102212237,32.62313783641734,0.8520281997365962,6742,15,2,28,54,1.891213389121339,0.13333333333333333,239,226,1102.719912834646,2.8348504576532934,0.0,-0.07062080878185972,-4.232939105808168,-0.0038356150419764923,-0.0016608253607214296,-0.05177548820085737,1637.491226196289,0.4031320257384293,0.4031320257384293,15,2,13,28,54,1.891213389121339,0.13333333333333333,15,2,239,226,157,4.879291649710815,2.8348504576532934,1102.719912834646,0.0,40232,5.967368733313557,9.72055769801246,256x256,65536,dense,Learned,923,15,77,6649,36.77860525957157,0.9121655457157364,31.811753224425576,0.9979453378099848,0.4549075139392867,0.3333036344315006,107,125,0.0,84,6056,38.86514073769159,0.9281712146594512,0.9991259723231064,36.056520776186,0.33195801479622944,0.45671748239279664,275,25.50199393265079,0.6857550485740967,0.9611736406823687,17.65817157365728,0.9999863258039343,0.3093307593307593,-2.4301719445093752,0.3974154100160494,-4.155467423154228,-0.06013734597914022,True,0.4618714094593531,32.63058502396253,0.8524705841678584,29.383740692308965,0.8219079175743889,0.6927212613988687,0.5327772236830175,31.701300946291045,0.997614831968358,UIT_12_y256x768
UIT_12_y512x0.png,0.7057075646898601,0.7816477829067002,0.8774436680537019,0.9424860853432282,0.8207990599294948,0.9931623439959966,26.494824342153404,0.9973861279464256,28.54634785130802,0.6256617091000756,0.8831269138467439,0.8472202835963049,31.518205667944002,0.8674807438621956,7349,9,4,30,40,1.9551569506726458,0.4444444444444444,223,218,1091.4772721475267,2.9936747007954967,0.0,-0.02959028873323155,-5.38132221048631,-0.004799771083572102,-0.0013875568041902264,-0.005863498302604686,2301.5856742858887,0.6256617091000756,0.6256617091000756,9,4,5,30,40,1.9551569506726458,0.4444444444444444,9,4,223,218,153,5.006776477740941,2.9936747007954967,1091.4772721475267,0.0,39683,5.399782283303851,8.917675874268609,256x256,65536,dense,Learned,1024,9,79,7136,37.067258843919916,0.9262837393247721,31.967007812491435,0.9987736847506158,0.6315252074026803,0.7222896099152987,17,34,0.0,86,7160,40.05286448361087,0.9455225818736339,0.9995877669348717,37.17770123195018,0.6637835062932667,0.627236079617032,271,22.61602888571829,0.6086570509962896,0.9609277871944195,14.741304212364179,0.9867001164575563,0.37993720046273344,-3.4206599611834143,0.16083730393144524,-5.549053175975914,-0.0588029954625765,True,0.7055837563451777,31.530618236209612,0.8682551416202027,28.554010797570694,0.9684442671598764,0.8204856266704061,0.7352978534230916,31.876146552639714,0.9979621150795687,UIT_12_y512x0
UIT_12_y512x256.png,0.568392609362448,0.5406432008103317,0.7018408941485863,0.8338757974222106,0.6059029420111626,0.9717452402823716,20.674361046839493,0.9948803246119956,27.366019236826364,0.6323555243281223,0.5762733252611901,1.40481147627586,25.796150797963197,0.7106006066630478,7158,15,2,21,49,1.8414634146341464,0.13333333333333333,164,151,710.1858582251275,5.474659923249743,0.0,-0.056788392664774756,-8.69575150491729,-0.023663797386521912,-0.0015764509427850237,0.04583812350067029,4119.165897369385,0.6323555243281223,0.6323555243281223,15,2,13,21,49,1.8414634146341464,0.13333333333333333,15,0,164,151,94,4.703217604139912,5.474659923249743,710.1858582251275,0.0,45594,6.369656328583403,9.155630064263761,256x256,65536,dense,Meijering,829,15,63,7120,32.84196168456222,0.8546631071381754,29.07874527159866,0.9964567755547806,0.586517400827452,0.5193822036049616,41,38,0.0,69,7110,34.137802774555695,0.8804919611284078,0.998051896389051,31.618185018555177,0.4744919817775055,0.5839404241541202,277,19.867619775540987,0.5477312329319389,0.9412221160517292,13.480110400578422,0.9211336002093251,0.4270020410613519,-1.7127260347722952,0.05689112165622856,-7.045810886599025,-0.1440625004751276,True,0.5681652313530872,25.791150679377775,0.7104831119592774,27.37669422811711,0.5965029921933582,0.8379742490661193,0.6251810020272227,29.370112551756783,0.9954090376688935,UIT_12_y512x256
