filename	gt_iou	seg_iou	seg_f1	seg_precision	seg_recall	gt_fg_ssim	gt_fg_psnr	ng_fg_ssim	ng_fg_psnr	ng_iou	ng_topo_q	topo_preservation	ng_psnr	ng_ssim	ng_bytes	graph_n_components	graph_n_cycles	graph_n_junctions	graph_n_endpoints	graph_mean_degree	graph_complexity	n_nodes	n_edges	total_edge_length	mean_width_px	mean_curvature	delta_gt_iou	delta_gt_fg_psnr	delta_gt_fg_ssim	delta_fg_ssim	delta_iou	total_time_ms	self_iou	ng_recon_iou	ng_n_components	ng_n_cycles	ng_euler_characteristic	ng_n_junctions	ng_n_endpoints	ng_mean_degree	ng_graph_complexity	ng_seg_beta_0	ng_seg_beta_1	graph_n_nodes	graph_n_edges	graph_n_sampled	graph_mean_edge_length	graph_mean_width	graph_total_edge_length	graph_mean_curvature	png_bytes	ng_vs_png	ng_vs_raw	image_shape	image_pixels	image_type	segmenter	n_points	n_structures	jpeg_quality	jpeg_bytes	jpeg_psnr	jpeg_ssim	jpeg_fg_psnr	jpeg_fg_ssim	jpeg_iou	jpeg_topo_q	jpeg_beta_0	jpeg_beta_1	jpeg_betti_preservation	webp_quality	webp_bytes	webp_psnr	webp_ssim	webp_fg_ssim	webp_fg_psnr	webp_topo_q	webp_iou	jp2_bytes	jp2_psnr	jp2_ssim	jp2_fg_ssim	jp2_fg_psnr	jp2_topo_q	jp2_iou	delta_fg_psnr	delta_topo_q	delta_psnr	delta_ssim	gt_available	pre_gt_iou	pre_ng_psnr	pre_ng_ssim	pre_ng_fg_psnr	gt_topology_q	recon_topology_q	jpeg_gt_iou	jpeg_gt_fg_psnr	jpeg_gt_fg_ssim	stem
UIT_12_y0x0.png	0.488433	0.594432	0.745635	0.803678	0.695411	0.980051	24.611724	0.994360	27.979692	0.718937	0.703587	1.021723	30.952552	0.858673	3542	5	1	6	14	1.887324	0.200000	71	67	341.421356	6.711009	0.000000	-0.038819	-5.619170	-0.016125	-0.001813	-0.026936	7309.777975	0.718937	0.718937	5	1	4	6	14	1.887324	0.200000	5	1	71	67	51	5.095841	6.711009	341.421356	0.000000	37681	10.638340	18.502541	256x256	65536	sparse	Otsu	342	5	62	3449	36.883720	0.907716	29.664843	0.996173	0.745873	0.595169	14	23	0.000000	79	3166	38.462464	0.915117	0.998449	33.783039	0.396672	0.739012	600	33.752020	0.847946	0.991018	25.752077	0.554647	0.731101	-1.685151	0.108417	-5.931168	-0.049043	True	0.488738	30.955155	0.859607	27.983215	0.574575	0.587056	0.527253	30.230894	0.996177	UIT_12_y0x0
UIT_12_y0x256.png	0.520367	0.561166	0.718907	0.785857	0.662469	0.984349	24.353644	0.995438	28.849984	0.733272	0.420422	0.687906	31.118566	0.849192	3642	11	0	5	27	1.721519	0.000000	79	68	331.249783	5.177864	0.000000	-0.132161	-6.653975	-0.012425	-0.001431	-0.004029	3016.443968	0.733272	0.733272	11	0	11	5	27	1.721519	0.000000	11	0	79	68	47	4.871320	5.177864	331.249783	0.000000	37619	10.329215	17.994509	256x256	65536	sparse	Otsu	392	11	64	3583	37.202455	0.899235	30.621473	0.996869	0.737301	0.431381	22	22	0.000000	80	3376	38.428969	0.909844	0.998643	34.239496	0.352183	0.723482	533	32.984970	0.829085	0.989886	25.005865	0.509489	0.724735	-1.771489	-0.010960	-6.083889	-0.050042	True	0.520367	31.120684	0.849506	28.855182	0.609372	0.419191	0.652528	31.007619	0.996773	UIT_12_y0x256
UIT_12_y0x512.png	0.508233	0.508446	0.674132	0.865725	0.551975	0.965486	21.430221	0.994962	28.490620	0.773571	0.486583	0.877284	27.484333	0.734216	5390	15	1	9	38	1.777778	0.066667	126	112	556.244733	4.753862	0.000000	-0.167275	-8.890365	-0.029413	-0.001378	0.239883	2376.715660	0.773571	0.773571	15	1	14	9	38	1.777778	0.066667	15	0	126	112	79	4.966471	4.753862	556.244733	0.000000	42440	7.873840	12.158813	256x256	65536	dense	Meijering	588	15	60	5281	34.290214	0.869781	29.930227	0.996339	0.533689	0.561034	36	25	0.000000	75	5294	35.248656	0.888055	0.997822	32.161372	0.533972	0.532454	410	26.434019	0.701187	0.978134	20.937238	0.669616	0.445241	-1.439607	-0.074451	-6.805881	-0.135565	True	0.508137	27.488740	0.734498	28.500938	0.685617	0.601481	0.675508	30.320586	0.994898	UIT_12_y0x512
UIT_12_y0x768.png	0.592709	0.602574	0.752008	0.652449	0.887421	0.993190	30.505761	0.990878	32.104230	0.719839	0.535131	1.236375	37.223611	0.883417	3174	10	1	13	32	1.814433	0.100000	97	88	424.362482	5.287654	0.000000	0.035411	-2.553205	-0.003086	-0.002372	0.062673	2495.203018	0.719839	0.719839	10	1	9	13	32	1.814433	0.100000	10	0	97	88	52	4.822301	5.287654	424.362482	0.000000	36546	11.514178	20.647763	256x256	65536	sparse	Meijering	358	10	67	3152	38.831721	0.906488	33.419423	0.993250	0.657166	0.295312	62	35	0.000000	84	3118	39.811964	0.917596	0.996714	36.402352	0.202474	0.644620	657	37.019313	0.867664	0.988582	31.213114	0.514058	0.686113	-1.315193	0.239819	-1.608111	-0.023071	True	0.591717	37.240338	0.883921	32.105535	0.424203	0.524474	0.557298	33.058967	0.996276	UIT_12_y0x768
UIT_12_y256x0.png	0.601117	0.719114	0.836610	0.863154	0.811649	0.991887	24.807906	0.996664	28.436963	0.607808	0.562495	1.191346	30.695212	0.820468	7493	24	3	24	66	1.833333	0.125000	252	231	1115.146320	2.726569	0.000000	-0.002960	-6.640688	-0.006152	-0.001666	0.033302	1756.068945	0.607808	0.607808	24	3	21	24	66	1.833333	0.125000	24	3	252	231	162	4.827473	2.726569	1115.146320	0.000000	41853	5.585613	8.746297	256x256	65536	dense	Learned	945	24	76	7305	36.024811	0.901036	31.415475	0.998331	0.574506	0.540447	32	39	0.000000	81	6810	37.623415	0.919518	0.999139	34.854712	0.486427	0.568861	276	21.866827	0.516781	0.942561	14.455362	0.804722	0.313050	-2.978512	0.022048	-5.329599	-0.080568	True	0.600894	30.702087	0.820901	28.440721	0.505321	0.602012	0.604078	31.448594	0.998040	UIT_12_y256x0
UIT_12_y256x256.png	0.375056	0.487126	0.655124	0.844209	0.535241	0.960145	18.849897	0.994620	27.383217	0.376627	0.395407	0.922268	23.680846	0.619660	7466	25	0	14	64	1.707602	0.000000	171	146	690.570635	4.777945	0.000000	-0.107313	-10.364246	-0.035137	-0.001436	0.007279	3646.365404	0.376627	0.376627	25	0	25	14	64	1.707602	0.000000	25	0	171	146	93	4.729936	4.777945	690.570635	0.000000	46583	6.239352	8.777927	256x256	65536	dense	Meijering	853	25	57	7384	31.664355	0.841793	28.889091	0.996057	0.369348	0.492922	88	88	0.000000	58	7292	32.704578	0.875393	0.997381	30.729122	0.374634	0.368475	274	18.636376	0.417609	0.938152	13.485119	0.880368	0.237813	-1.505874	-0.097515	-7.983509	-0.222134	True	0.375050	23.686258	0.619735	27.403821	0.707499	0.652503	0.482369	29.214144	0.995281	UIT_12_y256x256
UIT_12_y256x512.png	0.453292	0.486074	0.654172	0.691839	0.620395	0.973923	22.891482	0.989954	28.415717	0.658291	0.469949	1.094616	27.106708	0.655130	6970	23	1	14	58	1.768421	0.043478	190	168	805.754401	4.945918	0.000000	-0.070550	-7.561785	-0.021512	-0.003441	0.132361	4355.385542	0.658291	0.658291	23	1	22	14	58	1.768421	0.043478	23	1	190	168	118	4.796157	4.945918	805.754401	0.000000	45138	6.476040	9.402582	256x256	65536	sparse	Meijering	713	23	64	6950	32.920160	0.820395	30.254193	0.993395	0.525930	0.425777	114	135	0.000000	65	6770	33.659221	0.857526	0.994784	31.263161	0.365257	0.523287	275	22.752750	0.532286	0.937200	17.670369	0.889828	0.385412	-1.838477	0.044173	-5.813452	-0.165264	True	0.453425	27.107578	0.655156	28.424049	0.604129	0.661289	0.523841	30.453267	0.995434	UIT_12_y256x512
UIT_12_y256x768.png	0.462156	0.736286	0.848116	0.881930	0.816799	0.993779	27.468362	0.996285	29.381581	0.403132	0.730719	0.842821	32.623138	0.852028	6742	15	2	28	54	1.891213	0.133333	239	226	1102.719913	2.834850	0.000000	-0.070621	-4.232939	-0.003836	-0.001661	-0.051775	1637.491226	0.403132	0.403132	15	2	13	28	54	1.891213	0.133333	15	2	239	226	157	4.879292	2.834850	1102.719913	0.000000	40232	5.967369	9.720558	256x256	65536	dense	Learned	923	15	77	6649	36.778605	0.912166	31.811753	0.997945	0.454908	0.333304	107	125	0.000000	84	6056	38.865141	0.928171	0.999126	36.056521	0.331958	0.456717	275	25.501994	0.685755	0.961174	17.658172	0.999986	0.309331	-2.430172	0.397415	-4.155467	-0.060137	True	0.461871	32.630585	0.852471	29.383741	0.821908	0.692721	0.532777	31.701301	0.997615	UIT_12_y256x768
UIT_12_y512x0.png	0.705708	0.781648	0.877444	0.942486	0.820799	0.993162	26.494824	0.997386	28.546348	0.625662	0.883127	0.847220	31.518206	0.867481	7349	9	4	30	40	1.955157	0.444444	223	218	1091.477272	2.993675	0.000000	-0.029590	-5.381322	-0.004800	-0.001388	-0.005863	2301.585674	0.625662	0.625662	9	4	5	30	40	1.955157	0.444444	9	4	223	218	153	5.006776	2.993675	1091.477272	0.000000	39683	5.399782	8.917676	256x256	65536	dense	Learned	1024	9	79	7136	37.067259	0.926284	31.967008	0.998774	0.631525	0.722290	17	34	0.000000	86	7160	40.052864	0.945523	0.999588	37.177701	0.663784	0.627236	271	22.616029	0.608657	0.960928	14.741304	0.986700	0.379937	-3.420660	0.160837	-5.549053	-0.058803	True	0.705584	31.530618	0.868255	28.554011	0.968444	0.820486	0.735298	31.876147	0.997962	UIT_12_y512x0
UIT_12_y512x256.png	0.568393	0.540643	0.701841	0.833876	0.605903	0.971745	20.674361	0.994880	27.366019	0.632356	0.576273	1.404811	25.796151	0.710601	7158	15	2	21	49	1.841463	0.133333	164	151	710.185858	5.474660	0.000000	-0.056788	-8.695752	-0.023664	-0.001576	0.045838	4119.165897	0.632356	0.632356	15	2	13	21	49	1.841463	0.133333	15	0	164	151	94	4.703218	5.474660	710.185858	0.000000	45594	6.369656	9.155630	256x256	65536	dense	Meijering	829	15	63	7120	32.841962	0.854663	29.078745	0.996457	0.586517	0.519382	41	38	0.000000	69	7110	34.137803	0.880492	0.998052	31.618185	0.474492	0.583940	277	19.867620	0.547731	0.941222	13.480110	0.921134	0.427002	-1.712726	0.056891	-7.045811	-0.144063	True	0.568165	25.791151	0.710483	27.376694	0.596503	0.837974	0.625181	29.370113	0.995409	UIT_12_y512x256
