dataset,id,q,bytes,n_components,total_length_px,mean_width_px,n_branches,n_junctions,cycle_rank,n_components_ref,total_length_px_ref,mean_width_px_ref,n_branches_ref,n_junctions_ref,cycle_rank_ref
UIT,UIT_12_y0x0,1,1173,8,510.5340546095177,7.76195953759227,26,11,4,10,681.6000717874997,8.147263258515723,32,14,7
UIT,UIT_12_y0x0,5,1270,8,746.0437226013958,8.686182792175229,32,14,6,10,681.6000717874997,8.147263258515723,32,14,7
UIT,UIT_12_y0x0,10,1462,12,703.1858582251267,8.081989794466816,33,13,6,10,681.6000717874997,8.147263258515723,32,14,7
UIT,UIT_12_y0x0,20,1744,9,611.2447327281724,8.35719318243227,27,12,7,10,681.6000717874997,8.147263258515723,32,14,7
UIT,UIT_12_y768x256,1,1119,3,92.35533905932738,7.204789491892738,5,1,0,2,150.8111831820431,7.339932944736756,6,2,0
UIT,UIT_12_y768x256,5,1140,3,186.8822509939086,8.569432385047701,8,3,1,2,150.8111831820431,7.339932944736756,6,2,0
UIT,UIT_12_y768x256,10,1182,4,194.5391052434009,7.293941039584368,8,2,0,2,150.8111831820431,7.339932944736756,6,2,0
UIT,UIT_12_y768x256,20,1249,4,151.88225099390857,8.004910076323092,6,1,0,2,150.8111831820431,7.339932944736756,6,2,0
UIT,UIT_20_y512x512,1,1198,6,287.9360748630709,7.2656060514214085,16,5,1,6,691.5117600329312,7.4044987048861435,25,10,1
UIT,UIT_20_y512x512,5,1301,3,359.8355697996826,7.253977887253662,16,6,0,6,691.5117600329312,7.4044987048861435,25,10,1
UIT,UIT_20_y512x512,10,1516,4,619.0853531617381,7.295217384146944,28,13,2,6,691.5117600329312,7.4044987048861435,25,10,1
UIT,UIT_20_y512x512,20,1995,5,628.7422074112307,7.777006755162373,24,10,1,6,691.5117600329312,7.4044987048861435,25,10,1
UIT,UIT_33_y0x512,1,1205,11,708.5756851698602,7.899462000108587,37,14,2,7,887.6538956566619,9.02926129148433,32,13,2
UIT,UIT_33_y0x512,5,1323,8,654.0609665440988,9.300152256543754,24,9,2,7,887.6538956566619,9.02926129148433,32,13,2
UIT,UIT_33_y0x512,10,1535,7,757.1147904132611,9.593855442788712,25,9,0,7,887.6538956566619,9.02926129148433,32,13,2
UIT,UIT_33_y0x512,20,1915,8,804.126983722081,9.517822176686272,31,13,4,7,887.6538956566619,9.02926129148433,32,13,2
HUMAN,HUMAN_1b_y768x256,1,1233,6,528.58787847868,8.693834185500194,30,14,5,12,931.1930009000629,6.305403951828419,37,14,4
HUMAN,HUMAN_1b_y768x256,5,1412,7,747.541197284454,8.824443757391577,42,20,6,12,931.1930009000629,6.305403951828419,37,14,4
HUMAN,HUMAN_1b_y768x256,10,1745,6,969.4062043356594,8.227413448016932,46,22,5,12,931.1930009000629,6.305403951828419,37,14,4
HUMAN,HUMAN_1b_y768x256,20,2334,11,1134.2468247692254,7.771727743218156,59,27,7,12,931.1930009000629,6.305403951828419,37,14,4
HUMAN,HUMAN_3b_y0x256,1,1171,8,314.2081528017131,6.73569072138189,18,5,0,11,585.700576850888,5.563282815056903,24,8,3
HUMAN,HUMAN_3b_y0x256,5,1262,7,530.1320343559643,8.105821137492653,26,11,3,11,585.700576850888,5.563282815056903,24,8,3
HUMAN,HUMAN_3b_y0x256,10,1478,9,765.6833329081851,7.799678665704799,39,18,7,11,585.700576850888,5.563282815056903,24,8,3
HUMAN,HUMAN_3b_y0x256,20,1921,9,1034.5483399593904,8.338906723436498,41,18,5,11,585.700576850888,5.563282815056903,24,8,3
HUMAN,HUMAN_3b_y768x768,1,1199,10,245.3380951166243,6.308373251143646,14,2,0,8,368.29141392239825,6.112822996786718,14,4,2
HUMAN,HUMAN_3b_y768x768,5,1288,6,379.0904037956216,7.352224454109285,17,6,1,8,368.29141392239825,6.112822996786718,14,4,2
HUMAN,HUMAN_3b_y768x768,10,1436,5,454.3746750430835,7.784784956428372,17,6,0,8,368.29141392239825,6.112822996786718,14,4,2
HUMAN,HUMAN_3b_y768x768,20,1777,10,535.58787847868,7.291778594059313,22,7,2,8,368.29141392239825,6.112822996786718,14,4,2
CBMI,CBMI_004t01_h128_w128,1,1214,16,928.5239533417509,9.413862130621807,48,20,10,10,513.7005768508881,10.17174449834823,12,1,2
