dataset,group,id,arm,L,bytes,structure_bytes,n_components,total_length_px,mean_width_px,n_branches,n_junctions,cycle_rank,n_junction_nodes,n_endpoints,n_isolated_cycles,junc_f1
UIT,UIT_20,UIT_20_y256x0,REF,5,,57,3,40.798989873223334,6.8980668787210515,3,0,0,0,6,0,1.0
UIT,UIT_20,UIT_20_y256x0,REF,auto,,57,3,40.798989873223334,6.8980668787210515,3,0,0,0,6,0,1.0
UIT,UIT_20,UIT_20_y256x0,SEG,5,,57,2,49.627416997969526,6.656593093916964,2,0,0,0,4,0,1.0
UIT,UIT_20,UIT_20_y256x0,SEG,auto,,57,2,49.627416997969526,6.656593093916964,2,0,0,0,4,0,1.0
UIT,UIT_20,UIT_20_y256x0,GRAPH7,5,976.0,57,2,49.75,6.585054236309906,2,0,0,0,4,0,1.0
UIT,UIT_20,UIT_20_y256x0,GRAPH7,auto,976.0,57,2,49.75,6.585054236309906,2,0,0,0,4,0,1.0
UIT,UIT_20,UIT_20_y256x256,REF,5,,740,12,1369.768686069923,7.518062653370279,52,21,3,25,43,0,1.0
UIT,UIT_20,UIT_20_y256x256,REF,auto,,740,11,1352.8691911333112,7.522376928912109,48,20,3,25,43,0,1.0
UIT,UIT_20,UIT_20_y256x256,SEG,5,,740,17,1260.798123321446,7.9262295546668335,52,19,3,22,50,0,0.7500000000000001
UIT,UIT_20,UIT_20_y256x256,SEG,auto,,740,14,1236.4844148224613,7.930502846078462,47,18,3,22,50,0,0.7894736842105262
UIT,UIT_20,UIT_20_y256x256,GRAPH7,5,9363.0,740,17,1262.0,7.921541882020509,52,19,3,22,50,0,0.7500000000000001
UIT,UIT_20,UIT_20_y256x256,GRAPH7,auto,9363.0,740,14,1237.5,7.928497416924334,47,18,3,22,50,0,0.7894736842105262
UIT,UIT_20,UIT_20_y256x256,JPEG,5,9200.0,740,16,1217.484414822461,7.94809331168828,48,17,2,20,48,0,0.7894736842105262
UIT,UIT_20,UIT_20_y256x256,JPEG,auto,9200.0,740,14,1200.5849198858496,7.954713273511131,44,16,2,20,48,0,0.7777777777777777
UIT,UIT_20,UIT_20_y0x512,REF,5,,121,7,157.12489168102783,8.231550511599341,12,3,1,4,16,0,1.0
UIT,UIT_20,UIT_20_y0x512,REF,auto,,121,3,129.15432893255073,8.554420956156317,6,2,1,4,16,0,1.0
UIT,UIT_20,UIT_20_y0x512,SEG,5,,121,5,115.56854249492382,10.039587944663724,7,1,0,1,11,0,0.0
UIT,UIT_20,UIT_20_y0x512,SEG,auto,,121,3,97.01219330881977,10.436226853185545,3,0,0,1,11,0,0.0
UIT,UIT_20,UIT_20_y0x512,GRAPH7,5,1839.0,121,5,116.00000000000001,9.90855557219432,7,1,0,1,11,0,0.0
UIT,UIT_20,UIT_20_y0x512,GRAPH7,auto,1839.0,121,3,97.25000000000001,10.345723527416018,3,0,0,1,11,0,0.0
UIT,UIT_20,UIT_20_y0x512,JPEG,5,1766.0,121,4,114.98275605729691,9.806559805697212,6,1,0,2,10,0,0.0
UIT,UIT_20,UIT_20_y0x512,JPEG,auto,1766.0,121,3,105.91168824543144,9.992197370042417,5,1,0,2,10,0,0.0
UIT,UIT_20,UIT_20_y0x768,REF,5,,214,9,322.1492782986674,8.107101330998153,15,3,0,4,22,0,1.0
UIT,UIT_20,UIT_20_y0x768,REF,auto,,214,9,314.07821048680194,8.021185714961307,13,2,0,4,22,0,1.0
UIT,UIT_20,UIT_20_y0x768,SEG,5,,214,10,238.79393923934,8.851845529909795,14,2,0,2,22,0,0.4
UIT,UIT_20,UIT_20_y0x768,SEG,auto,,214,7,216.30865786510145,8.943956481420349,11,2,0,2,22,0,0.5
UIT,UIT_20,UIT_20_y0x768,GRAPH7,5,2270.0,214,10,238.75,8.855995218691348,14,2,0,2,22,0,0.4
UIT,UIT_20,UIT_20_y0x768,GRAPH7,auto,2270.0,214,7,216.5,8.947833133421664,11,2,0,2,22,0,0.5
UIT,UIT_20,UIT_20_y0x768,JPEG,5,2171.0,214,9,253.79393923934,8.537565932299394,13,2,0,4,22,0,0.4
UIT,UIT_20,UIT_20_y0x768,JPEG,auto,2171.0,214,7,242.55129855222071,8.582499704194307,11,2,0,4,22,0,0.5
UIT,UIT_12,UIT_12_y0x0,REF,5,,440,14,697.0853531617385,8.090798668433994,36,14,7,21,35,0,1.0
UIT,UIT_12,UIT_12_y0x0,REF,auto,,440,10,681.6000717874997,8.147263258515723,32,14,7,21,35,0,1.0
UIT,UIT_12,UIT_12_y0x0,SEG,5,,440,14,619.3158005400378,8.480001778460482,33,12,5,15,33,0,0.7692307692307692
UIT,UIT_12,UIT_12_y0x0,SEG,auto,,440,9,601.002092041053,8.559337886783041,26,11,5,15,33,0,0.8
UIT,UIT_12,UIT_12_y0x0,GRAPH7,5,4650.0,440,14,619.25,8.505921924407057,33,12,5,15,33,0,0.7692307692307692
UIT,UIT_12,UIT_12_y0x0,GRAPH7,auto,4650.0,440,9,600.75,8.583195425200282,26,11,5,15,33,0,0.8
UIT,UIT_12,UIT_12_y0x0,JPEG,5,4609.0,440,12,620.8010819142763,8.355197979740762,31,12,5,16,30,0,0.7692307692307692
UIT,UIT_12,UIT_12_y0x0,JPEG,auto,4609.0,440,9,603.4873734152916,8.44136802894123,26,11,5,16,30,0,0.8
UIT,UIT_12,UIT_12_y0x256,REF,5,,449,13,685.0559159102154,7.106998650451345,28,8,2,9,31,1,1.0
UIT,UIT_12,UIT_12_y0x256,REF,auto,,449,11,675.6417023478423,7.121831164082381,24,7,2,9,31,1,1.0
UIT,UIT_12,UIT_12_y0x256,SEG,5,,449,15,618.0731598529185,7.356737496212211,32,9,2,12,38,1,0.823529411764706
UIT,UIT_12,UIT_12_y0x256,SEG,auto,,449,11,572.2031021678297,7.359567929761675,20,5,2,12,38,1,0.8333333333333333
UIT,UIT_12,UIT_12_y0x256,GRAPH7,5,4360.0,449,15,618.25,7.363725227440574,32,9,2,12,38,1,0.823529411764706
UIT,UIT_12,UIT_12_y0x256,GRAPH7,auto,4360.0,449,11,572.5,7.364892214393529,20,5,2,12,38,1,0.8333333333333333
UIT,UIT_12,UIT_12_y0x256,JPEG,5,4307.0,449,16,619.4873734152916,7.159872508006574,31,8,2,15,43,1,0.75
UIT,UIT_12,UIT_12_y0x256,JPEG,auto,4307.0,449,12,589.9310242291876,7.105789593488045,21,5,2,15,43,1,0.8333333333333333
UIT,UIT_12,UIT_12_y768x768,REF,5,,364,16,672.9554108468271,7.2209842810703835,29,8,3,9,35,0,1.0
UIT,UIT_12,UIT_12_y768x768,REF,auto,,364,13,649.6417023478423,7.198106521966082,23,6,3,9,35,0,1.0
UIT,UIT_12,UIT_12_y768x768,SEG,5,,364,14,556.4873734152916,7.742082076072194,20,3,0,5,33,0,0.5454545454545454
UIT,UIT_12,UIT_12_y768x768,SEG,auto,,364,12,534.416305603426,7.667511330486144,16,2,0,5,33,0,0.5
UIT,UIT_12,UIT_12_y768x768,GRAPH7,5,4740.0,364,14,556.75,7.788988545595314,20,3,0,5,33,0,0.5454545454545454
UIT,UIT_12,UIT_12_y768x768,GRAPH7,auto,4740.0,364,12,534.5,7.7070151699901785,16,2,0,5,33,0,0.5
UIT,UIT_12,UIT_12_y768x768,JPEG,5,4685.0,364,13,596.0437226013956,7.275858519775269,22,5,1,7,31,0,0.7692307692307693
UIT,UIT_12,UIT_12_y768x768,JPEG,auto,4685.0,364,12,574.5584412271571,7.16993948381011,19,4,1,7,31,0,0.8
UIT,UIT_20,UIT_20_y0x256,REF,5,,95,3,92.74011537017759,7.034831835821614,3,0,0,1,7,0,1.0
UIT,UIT_20,UIT_20_y0x256,REF,auto,,95,2,88.3259018078045,7.251759459016518,2,0,0,1,7,0,1.0
UIT,UIT_20,UIT_20_y0x256,SEG,5,,95,2,100.15432893255073,8.52186317364346,4,1,0,1,5,0,0.0
UIT,UIT_20,UIT_20_y0x256,SEG,auto,,95,2,100.15432893255073,8.52186317364346,4,1,0,1,5,0,0.0
UIT,UIT_20,UIT_20_y0x256,GRAPH7,5,1292.0,95,2,100.5,8.61075382927008,4,1,0,1,5,0,0.0
UIT,UIT_20,UIT_20_y0x256,GRAPH7,auto,1292.0,95,2,100.5,8.61075382927008,4,1,0,1,5,0,0.0
