filename	gt_iou	seg_iou	seg_f1	seg_precision	seg_recall	gt_fg_ssim	gt_fg_psnr	ng_fg_ssim	ng_fg_psnr	ng_iou	ng_topo_q	topo_preservation	ng_psnr	ng_ssim	ng_bytes	graph_n_components	graph_n_cycles	graph_n_junctions	graph_n_endpoints	graph_mean_degree	graph_complexity	n_nodes	n_edges	total_edge_length	mean_width_px	mean_curvature	delta_gt_iou	delta_gt_fg_psnr	delta_gt_fg_ssim	delta_fg_ssim	delta_iou	total_time_ms	self_iou	ng_recon_iou	ng_n_components	ng_n_cycles	ng_euler_characteristic	ng_n_junctions	ng_n_endpoints	ng_mean_degree	ng_graph_complexity	ng_seg_beta_0	ng_seg_beta_1	graph_n_nodes	graph_n_edges	graph_n_sampled	graph_mean_edge_length	graph_mean_width	graph_total_edge_length	graph_mean_curvature	png_bytes	ng_vs_png	ng_vs_raw	image_shape	image_pixels	image_type	segmenter	n_points	n_structures	jpeg_quality	jpeg_bytes	jpeg_psnr	jpeg_ssim	jpeg_fg_psnr	jpeg_fg_ssim	jpeg_iou	jpeg_topo_q	jpeg_beta_0	jpeg_beta_1	jpeg_betti_preservation	webp_quality	webp_bytes	webp_psnr	webp_ssim	webp_fg_ssim	webp_fg_psnr	webp_topo_q	webp_iou	jp2_bytes	jp2_psnr	jp2_ssim	jp2_fg_ssim	jp2_fg_psnr	jp2_topo_q	jp2_iou	delta_fg_psnr	delta_topo_q	delta_psnr	delta_ssim	gt_available	pre_gt_iou	pre_ng_psnr	pre_ng_ssim	pre_ng_fg_psnr	gt_topology_q	recon_topology_q	jpeg_gt_iou	jpeg_gt_fg_psnr	jpeg_gt_fg_ssim	stem
CBMI_002t1_h128_w128.png	0.706155	0.765750	0.867337	0.820227	0.920188	0.994129	25.242988	0.994408	26.360941	0.764317	0.705948	1.142603	28.347623	0.571789	5735	10	1	9	27	1.871429	0.100000	140	131	704.896536	3.903490	0.000000	0.020642	-1.797330	-0.001691	-0.000803	0.034012	6781.116247	0.764317	0.764317	10	1	9	9	27	1.871429	0.100000	10	2	140	131	104	5.380890	3.903490	704.896536	0.000000	47253	8.239407	11.427376	256x256	65536	dense	Learned	699	10	47	5714	30.460093	0.706536	27.072724	0.995211	0.730305	0.643389	18	22	0.000000	42	5644	31.019629	0.772706	0.996390	27.999528	0.448499	0.720761	343	24.286853	0.502018	0.976114	18.186602	0.703290	0.515882	-0.711783	0.062559	-2.112470	-0.134746	True	0.706155	28.349759	0.571812	26.368430	0.594169	0.678899	0.685513	27.040318	0.995820	CBMI_002t1_h128_w128
CBMI_002t1_h128_w384.png	0.304159	0.536377	0.698236	0.562425	0.920516	0.992820	24.311914	0.987031	24.832442	0.507908	0.576132	1.552527	24.896150	0.461495	9196	24	1	10	56	1.809917	0.041667	242	219	1154.045815	4.175360	0.000000	-0.003755	-1.376848	-0.002042	-0.002914	0.001911	3558.596849	0.507908	0.507908	24	1	23	10	56	1.809917	0.041667	24	1	242	219	176	5.269616	4.175360	1154.045815	0.000000	51146	5.561766	7.126577	256x256	65536	dense	Learned	1082	24	51	9151	27.649873	0.717442	25.801787	0.989945	0.505997	0.488178	135	332	0.000000	33	8990	28.754048	0.822449	0.992052	26.630134	0.424311	0.503151	247	17.786941	0.259559	0.927656	12.938707	0.965091	0.290474	-0.969345	0.087954	-2.753723	-0.255947	True	0.304375	24.900578	0.461544	24.836109	0.602705	0.935716	0.307915	25.688761	0.994862	CBMI_002t1_h128_w384
CBMI_002t1_h128_w640.png	0.600058	0.566901	0.723596	0.618042	0.872629	0.990943	25.318656	0.988665	27.346325	0.683326	0.738808	0.878441	25.340074	0.561487	8764	16	4	24	49	1.903614	0.250000	249	237	1199.347330	4.222214	0.000000	0.051705	-3.414770	-0.004354	-0.004127	0.087072	3035.869837	0.683326	0.683326	16	4	12	24	49	1.903614	0.250000	16	3	249	237	176	5.060537	4.222214	1199.347330	0.000000	46438	5.298722	7.477864	256x256	65536	dense	Learned	1109	16	66	8631	31.262063	0.777698	29.139686	0.992792	0.596254	0.505367	66	123	0.000000	57	8722	32.496995	0.859853	0.995392	30.560648	0.369299	0.585151	239	17.885190	0.401838	0.961082	15.312842	1.000000	0.205015	-1.793360	0.233441	-5.921989	-0.216211	True	0.600308	25.341574	0.561365	27.346815	0.643816	0.565554	0.548353	28.733426	0.995297	CBMI_002t1_h128_w640
CBMI_002t1_h384_w128.png	0.756963	0.794633	0.885566	0.888155	0.882992	0.989532	25.433824	0.990920	26.522897	0.791652	0.744271	0.853746	27.980673	0.601074	7039	11	4	11	25	1.919075	0.363636	173	166	873.477272	4.484486	0.000000	-0.001535	-2.119327	-0.003345	-0.001943	0.028192	2975.918531	0.791652	0.791652	11	4	7	11	25	1.919075	0.363636	11	4	173	166	137	5.261911	4.484486	873.477272	0.000000	47552	6.755505	9.310413	256x256	65536	dense	Learned	896	11	55	7007	30.517904	0.744040	27.528781	0.992862	0.763460	0.506244	28	16	0.000000	46	6720	31.333197	0.811651	0.994880	28.759985	0.526214	0.753221	275	20.093749	0.422993	0.939489	14.579637	0.798103	0.385054	-1.005885	0.238027	-2.537231	-0.142966	True	0.756023	27.979263	0.601048	26.528435	0.708503	0.604882	0.758497	27.553152	0.992878	CBMI_002t1_h384_w128
CBMI_002t1_h384_w384.png	0.767589	0.782156	0.877764	0.844811	0.913392	0.995010	23.315722	0.995935	24.532450	0.815030	0.555636	1.181994	26.684616	0.453876	4161	9	1	2	18	1.802469	0.111111	81	73	436.529004	4.425716	0.000000	0.025608	-0.776143	-0.000588	0.000441	0.069248	2111.063480	0.815030	0.815030	9	1	8	2	18	1.802469	0.111111	9	1	81	73	61	5.979849	4.425716	436.529004	0.000000	49414	11.875511	15.750060	256x256	65536	sparse	Learned	423	9	27	4051	27.973852	0.590023	24.187950	0.995494	0.745782	0.507653	14	5	0.000000	20	4156	28.307393	0.660556	0.995843	24.359008	0.688077	0.739650	475	25.901318	0.442373	0.989458	20.049259	0.538143	0.668259	0.344501	0.047983	-1.289236	-0.136147	True	0.767923	26.689920	0.453905	24.533750	0.456649	0.539757	0.741981	24.091866	0.995598	CBMI_002t1_h384_w384
CBMI_003t01_h128_w128.png	0.079307	0.460586	0.630687	0.482781	0.909245	0.996045	23.892726	0.986459	26.886660	0.149364	0.701114	2.244981	25.566300	0.546846	7333	13	3	13	33	1.888268	0.230769	179	169	881.452886	4.602439	0.000000	0.000187	-3.819204	-0.002010	-0.003613	0.000352	3480.606079	0.149364	0.149364	13	3	10	13	33	1.888268	0.230769	13	3	179	169	133	5.215698	4.602439	881.452886	0.000000	38623	5.267012	8.937134	256x256	65536	dense	Learned	941	13	61	7289	31.003975	0.758533	28.380834	0.990072	0.149012	0.667129	1	0	0.038462	55	7060	32.563411	0.867178	0.994838	30.599113	0.667129	0.149012	274	22.136695	0.405920	0.965111	16.622740	0.978506	0.148531	-1.494174	0.033985	-5.437675	-0.211687	True	0.079309	25.569923	0.546927	26.893810	0.442496	0.993395	0.079121	27.711930	0.998055	CBMI_003t01_h128_w128
CBMI_004t01_h128_w128.png	0.157828	0.614189	0.760988	0.698871	0.835224	0.981823	24.057339	0.982810	27.481442	0.188621	0.595139	2.110635	26.378029	0.622745	8288	19	5	12	41	1.861386	0.263158	202	188	956.251875	4.808789	0.000000	0.000545	-5.015534	-0.010000	-0.007035	0.000652	3962.446451	0.188621	0.188621	19	5	14	12	41	1.861386	0.263158	19	5	202	188	149	5.086446	4.808789	956.251875	0.000000	38521	4.647804	7.907336	256x256	65536	dense	Learned	1056	19	69	8037	32.206492	0.808388	29.698415	0.989845	0.187970	0.639405	1	0	0.026316	69	8228	34.108069	0.902566	0.994522	32.028822	0.639405	0.187970	248	19.472838	0.462473	0.946760	15.866271	0.869971	0.172829	-2.216973	-0.044266	-5.828463	-0.185643	True	0.157831	26.381958	0.622823	27.494736	0.448744	0.947134	0.157283	29.072874	0.991823	CBMI_004t01_h128_w128
CBMI_004t01_h128_w384.png	0.165260	0.756003	0.861050	0.844585	0.878170	0.986792	24.440328	0.991852	27.047273	0.171832	0.633280	1.517329	26.340508	0.635374	8161	19	2	14	48	1.849558	0.105263	226	209	1077.661038	4.093592	0.000000	0.002325	-4.833148	-0.007415	-0.003353	0.002417	2551.903486	0.171832	0.171832	19	2	17	14	48	1.849558	0.105263	19	2	226	209	164	5.156273	4.093592	1077.661038	0.000000	38468	4.713638	8.030388	256x256	65536	dense	Learned	986	19	69	8070	32.263522	0.816770	29.327992	0.995205	0.169415	0.639405	1	0	0.026316	67	8104	33.960002	0.904314	0.997416	31.530353	0.639405	0.169415	270	21.178195	0.475678	0.969045	16.534155	0.999714	0.174504	-2.280719	-0.006125	-5.923015	-0.181396	True	0.165257	26.341906	0.635341	27.052731	0.626890	0.951199	0.162936	29.273477	0.994207	CBMI_004t01_h128_w384
CBMI_Captured_CSU488_1_h128_w640.png	0.382703	0.198293	0.330959	0.838691	0.206156	0.918378	12.540706	0.997436	24.225575	0.122065	0.254226	1.456169	20.521842	0.383643	3108	18	1	3	38	1.552632	0.055556	76	59	284.107648	2.621765	0.000000	-0.230636	-10.490323	-0.071626	0.000394	-0.056779	1299.375057	0.122065	0.122065	18	1	17	3	38	1.552632	0.055556	18	0	76	59	35	4.815384	2.621765	284.107648	0.000000	49514	15.931145	21.086229	256x256	65536	sparse	Learned	290	18	17	3090	27.455592	0.592457	23.307195	0.997042	0.178844	0.240335	82	15	0.000000	12	3048	27.507849	0.635672	0.996716	23.138198	0.232348	0.171193	670	23.412086	0.468882	0.990254	17.730381	0.333838	0.149864	0.918380	0.013891	-6.933750	-0.208814	True	0.382523	20.522219	0.383678	24.225042	0.370985	0.540217	0.613339	23.031029	0.990004	CBMI_Captured_CSU488_1_h128_w640
CBMI_Captured_CSU488_1_h128_w896.png	0.317696	0.388073	0.559154	0.808530	0.427346	0.966371	14.347828	0.997234	23.188241	0.573647	0.397786	0.714320	23.939166	0.443658	3544	14	2	9	33	1.757576	0.142857	99	87	392.291414	2.715117	0.000000	-0.198388	-9.264712	-0.028238	-0.000021	0.137009	1504.791498	0.573647	0.573647	14	2	12	9	33	1.757576	0.142857	14	2	99	87	57	4.509097	2.715117	392.291414	0.000000	48141	13.583804	18.492099	256x256	65536	sparse	Learned	349	14	25	3470	28.618023	0.594560	23.136673	0.997254	0.436637	0.206688	52	7	0.000000	21	3278	28.920327	0.637850	0.997546	24.316586	0.229257	0.425349	598	25.952009	0.467548	0.991806	18.327423	0.307473	0.420367	0.051568	0.191098	-4.678857	-0.150902	True	0.317928	23.939196	0.443694	23.187689	0.509525	0.363964	0.516084	23.612541	0.994608	CBMI_Captured_CSU488_1_h128_w896
