filename	gt_iou	seg_iou	seg_f1	seg_precision	seg_recall	gt_fg_ssim	gt_fg_psnr	ng_fg_ssim	ng_fg_psnr	ng_iou	ng_topo_q	topo_preservation	ng_psnr	ng_ssim	ng_bytes	graph_n_components	graph_n_cycles	graph_n_junctions	graph_n_endpoints	graph_mean_degree	graph_complexity	n_nodes	n_edges	total_edge_length	mean_width_px	mean_curvature	delta_gt_iou	delta_gt_fg_psnr	delta_gt_fg_ssim	delta_fg_ssim	delta_iou	total_time_ms	self_iou	ng_recon_iou	ng_n_components	ng_n_cycles	ng_euler_characteristic	ng_n_junctions	ng_n_endpoints	ng_mean_degree	ng_graph_complexity	ng_seg_beta_0	ng_seg_beta_1	graph_n_nodes	graph_n_edges	graph_n_sampled	graph_mean_edge_length	graph_mean_width	graph_total_edge_length	graph_mean_curvature	png_bytes	ng_vs_png	ng_vs_raw	image_shape	image_pixels	image_type	segmenter	n_points	n_structures	jpeg_quality	jpeg_bytes	jpeg_psnr	jpeg_ssim	jpeg_fg_psnr	jpeg_fg_ssim	jpeg_iou	jpeg_topo_q	jpeg_beta_0	jpeg_beta_1	jpeg_betti_preservation	webp_quality	webp_bytes	webp_psnr	webp_ssim	webp_fg_ssim	webp_fg_psnr	webp_topo_q	webp_iou	jp2_bytes	jp2_psnr	jp2_ssim	jp2_fg_ssim	jp2_fg_psnr	jp2_topo_q	jp2_iou	delta_fg_psnr	delta_topo_q	delta_psnr	delta_ssim	gt_available	pre_gt_iou	pre_ng_psnr	pre_ng_ssim	pre_ng_fg_psnr	gt_topology_q	recon_topology_q	jpeg_gt_iou	jpeg_gt_fg_psnr	jpeg_gt_fg_ssim	stem
HUMAN_1b_y512x0.png	0.331048	0.386302	0.557313	0.584420	0.532609	0.996729	19.936123	0.998148	29.995524	0.250082	0.522886	0.663998	28.872092	0.741676	3299	8	2	10	23	1.842105	0.250000	76	70	328.350288	4.070517	0.000000	-0.031629	-11.084722	-0.002701	-0.000456	-0.013361	6348.752737	0.250082	0.250082	8	2	6	10	23	1.842105	0.250000	8	2	76	70	43	4.690718	4.070517	328.350288	0.000000	42141	12.773871	19.865414	256x256	65536	dense	Learned	432	8	47	3255	34.622069	0.811799	31.951825	0.998604	0.263443	0.823306	6	9	0.000000	66	3102	34.920979	0.820509	0.998843	32.906454	0.755857	0.262873	603	32.881232	0.770341	0.997608	28.965450	0.998526	0.260658	-1.956300	-0.300419	-5.749977	-0.070122	True	0.331275	28.870928	0.741675	30.011872	0.829326	0.550671	0.362677	31.020845	0.999430	HUMAN_1b_y512x0
HUMAN_1b_y512x256.png	0.310597	0.455728	0.626117	0.506285	0.820265	0.999196	24.890141	0.997647	29.306460	0.507321	0.918460	0.860114	32.352474	0.819231	3066	3	2	15	17	1.977528	0.666667	89	88	421.391919	4.031052	0.000000	-0.015102	-6.122204	-0.000632	-0.000441	0.003648	2054.845095	0.507321	0.507321	3	2	1	15	17	1.977528	0.666667	3	3	89	88	57	4.788545	4.031052	421.391919	0.000000	40724	13.282453	21.375082	256x256	65536	sparse	Learned	375	3	56	3030	36.101411	0.851296	30.655069	0.998088	0.503673	0.851623	5	7	0.000000	76	3034	36.713085	0.861311	0.998912	32.719273	0.600253	0.502471	668	34.759728	0.816951	0.996897	28.641614	0.819134	0.504025	-1.348610	0.066837	-3.748938	-0.032065	True	0.310543	32.375478	0.819643	29.332203	0.941574	0.809861	0.325699	31.012345	0.999828	HUMAN_1b_y512x256
HUMAN_1b_y768x0.png	0.300240	0.424861	0.596354	0.465646	0.829081	0.998574	27.939132	0.995552	30.150473	0.548379	0.728677	0.745894	32.194827	0.814443	4968	9	2	15	29	1.899281	0.222222	139	132	655.801082	4.396606	0.000000	-0.010261	-4.170844	-0.000864	-0.001353	-0.012612	2675.596714	0.548379	0.548379	9	2	7	15	29	1.899281	0.222222	9	2	139	132	95	4.968190	4.396606	655.801082	0.000000	40629	8.178140	13.191626	256x256	65536	dense	Learned	668	9	69	4763	36.243214	0.865934	31.950610	0.996905	0.560991	0.476461	28	31	0.000000	79	4880	37.010118	0.884504	0.998195	33.894582	0.323051	0.559414	409	31.698517	0.783099	0.988984	24.929843	0.526056	0.501093	-1.800137	0.252216	-4.048387	-0.051491	True	0.297875	32.204525	0.814951	30.161879	0.563554	0.420351	0.310502	32.109976	0.999439	HUMAN_1b_y768x0
HUMAN_1b_y768x256.png	0.368671	0.476081	0.645060	0.542823	0.794746	0.996790	26.587361	0.995387	30.019774	0.524424	0.732865	0.695950	29.659730	0.760870	8478	15	4	32	54	1.916031	0.266667	262	251	1200.572727	3.922093	0.000000	0.006309	-6.092409	-0.002191	-0.001992	0.014159	4070.320368	0.524424	0.524424	15	4	11	32	54	1.916031	0.266667	16	4	262	251	176	4.783158	3.922093	1200.572727	0.000000	43696	5.154046	7.730125	256x256	65536	dense	Learned	1127	16	76	8369	35.004472	0.864892	32.558179	0.997379	0.510265	0.396865	57	43	0.000000	78	7890	36.007549	0.899793	0.998024	33.901581	0.357762	0.507573	247	20.460887	0.537421	0.956228	15.766188	0.869971	0.349328	-2.538405	0.336000	-5.344742	-0.104023	True	0.368328	29.678257	0.760966	30.037324	0.645296	0.449094	0.362362	32.679770	0.998982	HUMAN_1b_y768x256
HUMAN_1b_y768x512.png	0.306299	0.334623	0.501449	0.337561	0.974648	0.999779	29.978641	0.998707	29.798707	0.797531	0.844327	1.416471	34.736742	0.774714	1410	1	1	1	1	2.000000	1.000000	22	22	105.012193	5.553652	0.000000	0.077266	-0.621622	-0.000031	-0.000290	0.139450	1629.539013	0.797531	0.797531	1	1	0	1	1	2.000000	1.000000	1	1	22	22	20	4.773282	5.553652	105.012193	0.000000	40899	29.006383	46.479433	256x256	65536	sparse	Learned	201	1	29	1408	35.398498	0.777965	31.279025	0.998997	0.658081	0.891391	1	0	0.500000	64	1296	35.785193	0.795696	0.999039	31.883305	0.451188	0.641188								-1.480317	-0.047064	-0.661755	-0.003251	True	0.297819	34.742907	0.774828	29.808862	0.653544	0.925726	0.229032	30.600262	0.999810	HUMAN_1b_y768x512
HUMAN_2b_y0x256.png	0.284695	0.466371	0.636089	0.547044	0.759757	0.995779	18.288656	0.997245	29.410990	0.366835	0.621674	1.393838	27.215235	0.861442	4163	9	2	14	28	1.880342	0.222222	117	110	552.144228	4.197017	0.000000	-0.029225	-13.445452	-0.003911	-0.000833	-0.030690	2294.211626	0.366835	0.366835	9	2	7	14	28	1.880342	0.222222	10	2	117	110	75	5.019493	4.197017	552.144228	0.000000	37563	9.023060	15.742493	256x256	65536	sparse	Learned	454	10	65	4115	36.490356	0.925145	31.773912	0.998078	0.397524	0.684942	16	31	0.000000	80	4154	38.580184	0.934661	0.999131	35.646109	0.754633	0.395365	475	30.322244	0.857034	0.992217	24.500413	0.923209	0.383812	-2.362922	-0.063268	-9.275122	-0.063703	True	0.284813	27.216812	0.862079	29.414406	0.641066	0.893541	0.313920	31.734108	0.999690	HUMAN_2b_y0x256
HUMAN_2b_y0x512.png	0.175780	0.281622	0.439477	0.324716	0.679694	0.995035	25.733753	0.993187	30.300445	0.354879	0.758658	1.119507	30.325459	0.797561	6484	13	4	30	48	1.918552	0.307692	221	212	1046.719913	4.006680	0.000000	-0.015118	-6.739482	-0.004197	-0.002706	-0.001496	3339.366436	0.354879	0.354879	13	4	9	30	48	1.918552	0.307692	13	4	221	212	143	4.937358	4.006680	1046.719913	0.000000	39733	6.127853	10.107341	256x256	65536	sparse	Learned	772	13	75	6360	36.265994	0.903895	32.541021	0.995893	0.356375	0.679315	37	71	0.000000	81	6368	37.694032	0.928413	0.997763	34.844737	0.550095	0.356774	343	27.974787	0.735083	0.979089	22.460322	0.973572	0.325017	-2.240577	0.079342	-5.940535	-0.106335	True	0.176034	30.319333	0.797582	30.314813	0.627329	0.702299	0.190898	32.473235	0.999233	HUMAN_2b_y0x512
HUMAN_2b_y0x768.png	0.128279	0.218439	0.358556	0.221538	0.939826	0.999374	30.739337	0.992868	31.451607	0.440133	0.867345	1.404443	33.068857	0.915414	5046	6	3	18	24	1.955224	0.500000	134	131	687.499567	4.247727	0.000000	0.001950	-4.182886	-0.000402	-0.003969	0.006311	4328.155994	0.440133	0.440133	6	3	3	18	24	1.955224	0.500000	6	3	134	131	92	5.248088	4.247727	687.499567	0.000000	31043	6.152002	12.987713	256x256	65536	sparse	Learned	756	6	84	4852	41.459131	0.955407	35.597123	0.996837	0.433823	0.617107	29	66	0.000000	91	4496	43.750219	0.963238	0.998973	40.780110	0.451188	0.429386	410	36.525871	0.892332	0.988700	29.393418	0.999741	0.414432	-4.145516	0.250237	-8.390274	-0.039994	True	0.128315	33.071920	0.916361	31.452354	0.622178	0.873814	0.126328	34.922223	0.999775	HUMAN_2b_y0x768
HUMAN_2b_y256x512.png	0.308292	0.354410	0.523343	0.364790	0.925681	0.999398	27.940235	0.997254	30.772510	0.525105	0.639405	1.026196	36.498177	0.920873	2925	6	1	4	14	1.852941	0.166667	68	63	361.060967	4.329744	0.000000	0.011198	-3.666420	-0.000397	-0.000803	0.001116	2317.179680	0.525105	0.525105	6	1	5	4	14	1.852941	0.166667	6	1	68	63	50	5.731126	4.329744	361.060967	0.000000	33435	11.430769	22.405470	256x256	65536	sparse	Learned	370	6	70	2852	39.864493	0.937877	32.393149	0.998056	0.523989	0.577607	11	12	0.000000	84	2642	41.084497	0.942403	0.999113	36.448036	0.435344	0.521872	3154	40.981056	0.935541	0.999276	38.512725	0.312060	0.526884	-1.620638	0.061798	-3.366315	-0.017003	True	0.308693	36.548730	0.921727	30.784111	0.621674	0.637960	0.297094	31.606655	0.999796	HUMAN_2b_y256x512
HUMAN_2b_y256x768.png	0.230631	0.240834	0.388181	0.241675	0.985770	0.999792	29.835757	0.996514	31.183465	0.488767	0.554028	2.385941	35.719674	0.891186	3059	8	1	8	23	1.822785	0.125000	79	72	361.391919	4.328298	0.000000	0.009141	-1.619611	-0.000078	-0.001201	0.012544	2305.181503	0.488767	0.488767	8	1	7	8	23	1.822785	0.125000	8	1	79	72	48	5.019332	4.328298	361.391919	0.000000	35944	11.750245	21.423995	256x256	65536	sparse	Learned	388	8	68	2983	39.191340	0.914473	33.255612	0.997715	0.476222	0.866279	5	17	0.000000	82	2686	39.870196	0.919921	0.998579	35.911572	0.421552	0.475182	672	37.848129	0.891009	0.996978	32.114234	0.993780	0.478759	-2.072147	-0.312251	-3.471666	-0.023287	True	0.230769	35.728842	0.891711	31.184797	0.379151	0.904631	0.221490	31.455368	0.999870	HUMAN_2b_y256x768
