filename	gt_iou	seg_iou	seg_f1	seg_precision	seg_recall	gt_fg_ssim	gt_fg_psnr	ng_fg_ssim	ng_fg_psnr	ng_iou	ng_topo_q	topo_preservation	ng_psnr	ng_ssim	ng_bytes	graph_n_components	graph_n_cycles	graph_n_junctions	graph_n_endpoints	graph_mean_degree	graph_complexity	n_nodes	n_edges	total_edge_length	mean_width_px	mean_curvature	delta_gt_iou	delta_gt_fg_psnr	delta_gt_fg_ssim	delta_fg_ssim	delta_iou	total_time_ms	self_iou	ng_recon_iou	ng_n_components	ng_n_cycles	ng_euler_characteristic	ng_n_junctions	ng_n_endpoints	ng_mean_degree	ng_graph_complexity	ng_seg_beta_0	ng_seg_beta_1	graph_n_nodes	graph_n_edges	graph_n_sampled	graph_mean_edge_length	graph_mean_width	graph_total_edge_length	graph_mean_curvature	png_bytes	ng_vs_png	ng_vs_raw	image_shape	image_pixels	image_type	segmenter	n_points	n_structures	jpeg_quality	jpeg_bytes	jpeg_psnr	jpeg_ssim	jpeg_fg_psnr	jpeg_fg_ssim	jpeg_iou	jpeg_topo_q	jpeg_beta_0	jpeg_beta_1	jpeg_betti_preservation	webp_quality	webp_bytes	webp_psnr	webp_ssim	webp_fg_ssim	webp_fg_psnr	webp_topo_q	webp_iou	jp2_bytes	jp2_psnr	jp2_ssim	jp2_fg_ssim	jp2_fg_psnr	jp2_topo_q	jp2_iou	delta_fg_psnr	delta_topo_q	delta_psnr	delta_ssim	gt_available	pre_gt_iou	pre_ng_psnr	pre_ng_ssim	pre_ng_fg_psnr	gt_topology_q	recon_topology_q	jpeg_gt_iou	jpeg_gt_fg_psnr	jpeg_gt_fg_ssim	stem
MITO_M2_001_y256x0.png	0.036398	0.451161	0.621793	0.481921	0.876056	0.998962	37.475906	0.998390	38.293711	0.065401	0.414331	1.407196	30.661689	0.929048	1890	8	0	2	18	1.703704	0.000000	54	46	238.308658	3.547789	0.000000	0.036398	-3.749194	-0.000656	-0.000853	0.065401	6081.490993	0.065401	0.065401	8	0	8	2	18	1.703704	0.000000	8	0	54	46	34	5.180623	3.547789	238.308658	0.000000	21826	11.548148	34.675132	256x256	65536	sparse	Learned	286	8	54	1885	45.074559	0.941126	41.754480	0.999243	0.000000	0.039211	3	0	0.687500	91	1788	47.373877	0.980234	0.999428	43.052886	0.029554	0.000000	4534	48.007265	0.982321	0.999683	45.667222	0.034395	0.000000	-3.460769	0.375120	-14.412870	-0.012078	True	0.036650	30.664946	0.931024	38.323202	0.680181	0.957148	0.000000	41.225099	0.999618	MITO_M2_001_y256x0
MITO_M2_001_y256x256.png	0.234003	0.422893	0.594413	0.546560	0.651450	0.994492	31.638786	0.996256	37.487567	0.211257	0.398721	0.329385	23.529438	0.800568	5199	23	0	11	57	1.707006	0.000000	157	134	663.068109	3.695867	0.000000	0.234003	-9.989434	-0.004416	-0.002378	0.211257	2936.353683	0.211257	0.211257	23	0	23	11	57	1.707006	0.000000	23	0	157	134	89	4.948269	3.695867	663.068109	0.000000	31813	6.119061	12.605501	256x256	65536	dense	Learned	793	23	76	5032	43.596389	0.972623	42.094662	0.998634	0.000000	0.073184	10	0	0.717391	90	4768	43.861675	0.972733	0.998733	42.267738	0.075036	0.000000	410	29.358535	0.777588	0.980233	28.021816	0.092574	0.000000	-4.607095	0.325537	-20.066951	-0.172055	True	0.233971	23.528257	0.800745	37.511831	0.665916	0.219343	0.000000	41.628220	0.998908	MITO_M2_001_y256x256
MITO_M2_001_y256x512.png	0.305641	0.362245	0.531835	0.470871	0.610933	0.990083	29.140246	0.994996	37.449230	0.305227	0.378298	0.662177	24.135400	0.762349	5732	33	1	19	84	1.689320	0.030303	206	174	887.908730	3.860378	0.000000	0.304287	-12.607763	-0.008404	-0.002960	0.305227	2414.008379	0.305227	0.305227	33	1	32	19	84	1.689320	0.030303	34	0	206	174	103	5.102924	3.860378	887.908730	0.000000	33541	5.851535	11.433357	256x256	65536	dense	Learned	785	34	76	5587	42.944415	0.970573	42.085145	0.997956	0.000000	0.046573	26	0	0.882353	89	5374	43.199024	0.970490	0.998057	42.230596	0.046573	0.000000	342	25.826113	0.703025	0.975764	28.345745	0.113080	0.000000	-4.635914	0.331725	-18.809015	-0.208224	True	0.306882	24.139450	0.762611	37.446750	0.671538	0.444677	0.001354	41.748009	0.998487	MITO_M2_001_y256x512
MITO_M2_001_y512x0.png	0.332697	0.458948	0.629149	0.787025	0.524030	0.981991	31.099909	0.996220	38.082320	0.363281	0.482059	0.724807	23.036561	0.827787	4128	19	0	5	43	1.746667	0.000000	150	131	668.546248	3.830524	0.000000	0.332697	-10.616420	-0.015689	-0.002059	0.363281	2529.021263	0.363281	0.363281	19	0	19	5	43	1.746667	0.000000	19	0	150	131	102	5.103406	3.830524	668.546248	0.000000	30423	7.369913	15.875969	256x256	65536	sparse	Learned	604	19	72	4034	43.579998	0.971329	41.751938	0.998279	0.000000	0.058235	9	0	0.736842	89	3740	43.952936	0.971279	0.998261	41.654158	0.054041	0.000000	467	30.628073	0.809066	0.982551	29.323819	0.097422	0.000000	-3.669619	0.423824	-20.543437	-0.143543	True	0.333357	23.040941	0.827624	38.102386	0.792923	0.574717	0.000000	41.716328	0.997680	MITO_M2_001_y512x0
MITO_M2_001_y512x256.png	0.242227	0.229561	0.373403	0.754374	0.248106	0.977585	27.483147	0.997846	34.897602	0.072444	0.315632	0.733977	22.335200	0.738353	4650	27	0	10	64	1.625000	0.000000	144	117	560.386868	3.424804	0.000000	0.232374	-12.092764	-0.018785	-0.001180	0.012575	1956.667185	0.072444	0.072444	27	0	27	10	64	1.625000	0.000000	27	0	144	117	70	4.789631	3.424804	560.386868	0.000000	35791	7.696989	14.093763	256x256	65536	dense	Learned	579	27	60	4614	40.443218	0.954780	39.313691	0.999026	0.059870	0.069331	27	0	1.000000	84	4344	40.811180	0.954898	0.999008	39.464954	0.081841	0.059094	466	28.020870	0.756940	0.989318	26.339920	0.821908	0.072637	-4.416089	0.246301	-18.108018	-0.216427	True	0.242165	22.334900	0.738335	34.913517	0.590844	0.433666	0.009853	39.575910	0.996370	MITO_M2_001_y512x256
MITO_M2_001_y512x512.png	0.283995	0.324756	0.490288	0.478108	0.503106	0.973843	25.721592	0.991140	34.053553	0.405028	0.526417	1.284038	25.021172	0.727005	9612	34	3	31	93	1.812121	0.088235	330	299	1451.212337	3.996942	0.000000	-0.007216	-16.268597	-0.024376	-0.006534	0.030303	4247.701168	0.405028	0.405028	34	3	31	31	93	1.812121	0.088235	35	3	330	299	206	4.853553	3.996942	1451.212337	0.000000	36150	3.760924	6.818144	256x256	65536	dense	Learned	1365	35	88	9534	42.910500	0.969124	42.263691	0.997673	0.374726	0.377330	115	61	0.000000	91	8890	43.047903	0.970905	0.998011	42.722803	0.379645	0.360043	241	24.135976	0.674291	0.976112	28.017670	0.999999	0.204378	-8.210138	0.149087	-17.889329	-0.242119	True	0.284711	25.022165	0.727033	34.055445	0.559568	0.718507	0.291210	41.990189	0.998219	MITO_M2_001_y512x512
MITO_M2_002_y0x0.png	0.067408	0.350144	0.518676	0.406899	0.715124	0.998207	33.786625	0.997728	35.091352	0.118469	0.313398	2.726166	36.432547	0.938537	2899	15	1	5	33	1.641026	0.066667	78	64	306.107648	3.668187	0.000000	-0.007513	-9.541935	-0.001615	-0.001751	-0.013204	2395.660400	0.118469	0.118469	15	1	14	5	33	1.641026	0.066667	15	1	78	64	40	4.782932	3.668187	306.107648	0.000000	24518	8.457399	22.606416	256x256	65536	sparse	Learned	408	15	82	2833	47.011593	0.973661	43.283476	0.999479	0.131673	0.968225	11	53	0.000000	93	2522	46.990035	0.977473	0.999528	43.432147	0.978602	0.123704	3170	46.159732	0.971463	0.999511	43.314187	0.664486	0.128460	-8.192124	-0.654828	-10.579046	-0.035124	True	0.067166	36.445635	0.942700	35.097861	0.364191	0.992845	0.074921	43.328560	0.999822	MITO_M2_002_y0x0
MITO_M2_002_y0x256.png	0.118112	0.162968	0.280262	0.494389	0.195561	0.995770	27.434151	0.999420	34.659860	0.050528	0.239161	1.590162	22.781533	0.744270	2321	11	1	3	24	1.583333	0.090909	48	38	168.982756	3.380350	0.000000	-0.019219	-7.807777	-0.003009	0.000023	-0.003939	1365.511417	0.050528	0.050528	11	1	10	3	24	1.583333	0.090909	12	0	48	38	21	4.446915	3.380350	168.982756	0.000000	34860	15.019388	28.236105	256x256	65536	dense	Learned	331	12	17	2291	35.942426	0.915114	34.715969	0.999397	0.054467	0.725250	37	63	0.000000	62	2254	38.698305	0.949689	0.999685	37.819987	0.636724	0.054239	4134	41.162055	0.961843	0.999745	39.530489	0.522289	0.056527	-0.056109	-0.486089	-13.160894	-0.170843	True	0.118087	22.781014	0.744309	34.676184	0.470305	0.747862	0.137330	35.241928	0.998779	MITO_M2_002_y0x256
MITO_M2_002_y0x512.png	0.089109	0.044452	0.085121	0.089960	0.080775	0.993512	24.056523	0.999181	32.351151	0.081936	0.181269	2.547748	18.743570	0.658242	2963	24	0	3	51	1.428571	0.000000	84	60	261.036580	3.456000	0.000000	0.080178	-9.884418	-0.005021	0.000133	-0.096538	1807.747364	0.081936	0.081936	24	0	24	3	51	1.428571	0.000000	25	0	84	60	30	4.350610	3.456000	261.036580	0.000000	37188	12.550793	22.118124	256x256	65536	sparse	Learned	277	25	16	2919	34.302440	0.917370	32.869756	0.999049	0.178474	0.189709	83	1	0.000000	47	2938	36.829788	0.953576	0.999270	34.494271	0.190869	0.178930	3228	37.509449	0.956990	0.999381	35.089670	0.184785	0.176253	-0.518605	-0.008439	-15.558871	-0.259127	True	0.089037	18.744978	0.658414	32.368003	0.381779	0.972676	0.008931	33.940941	0.998532	MITO_M2_002_y0x512
MITO_M2_002_y256x0.png	0.151529	0.411752	0.583320	0.464947	0.782554	0.998843	36.958551	0.997796	38.439578	0.274147	0.697944	1.180844	29.319301	0.867898	3493	7	1	7	19	1.872340	0.142857	94	88	465.605122	4.258178	0.000000	-0.063831	-5.624403	-0.000746	-0.001050	-0.085215	2352.710009	0.274147	0.274147	7	1	6	7	19	1.872340	0.142857	7	1	94	88	68	5.290967	4.258178	465.605122	0.000000	30139	8.628400	18.762096	256x256	65536	dense	Learned	551	7	71	3471	44.189021	0.970872	42.533002	0.998846	0.359362	0.313239	52	12	0.000000	90	3372	44.415520	0.971958	0.998965	42.891048	0.349231	0.354114	599	35.625639	0.909869	0.995704	34.925680	0.320560	0.308966	-4.093424	0.384705	-14.869720	-0.102974	True	0.151910	29.321415	0.868077	38.426710	0.544088	0.642483	0.215359	42.582955	0.999589	MITO_M2_002_y256x0
