img,arm,L,n_tubes,bytes,length_endcorr,structure_bytes,seg_iou,n_components,total_length_px,mean_width_px,n_branches,n_junctions,cycle_rank,n_junction_nodes,n_endpoints,n_isolated_cycles,junc_f1_3,end_f1_3,junc_f1_5,end_f1_5
9,TRUE,0,6,,380.9482681718906,126,0.7804583835946924,4,380.9482681718906,1.6078931874482014,16,7,2,7,11,0,1.0,1.0,1.0,1.0
9,TRUE,2,6,,380.9482681718906,126,0.7804583835946924,4,380.9482681718906,1.6078931874482014,16,7,2,7,11,0,1.0,1.0,1.0,1.0
9,TRUE,5,6,,378.5340546095175,126,0.7804583835946924,4,378.5340546095175,1.6035701810633,14,6,2,7,11,0,1.0,1.0,1.0,1.0
9,TRUE,10,6,,372.29141392239825,126,0.7804583835946924,4,372.29141392239825,1.5948452195069527,12,5,2,7,11,0,1.0,1.0,1.0,1.0
9,TRUE,auto,6,,380.9482681718906,126,0.7804583835946924,4,380.9482681718906,1.6078931874482014,16,7,2,7,11,0,1.0,1.0,1.0,1.0
9,REF,0,6,,197.78051282210188,126,0.7804583835946924,2,185.4386001800126,3.9937907418612544,9,4,1,4,6,0,0.5454545454545454,0.4705882352941177,0.5454545454545454,0.5882352941176471
9,REF,2,6,,197.78051282210188,126,0.7804583835946924,2,185.4386001800126,3.9937907418612544,9,4,1,4,6,0,0.5454545454545454,0.4705882352941177,0.5454545454545454,0.5882352941176471
9,REF,5,6,,191.97577497604524,126,0.7804583835946924,2,182.4386001800126,3.967222598683368,7,3,1,4,6,0,0.6666666666666666,0.5333333333333333,0.6666666666666666,0.6666666666666666
9,REF,10,6,,191.97577497604524,126,0.7804583835946924,2,182.4386001800126,3.967222598683368,7,3,1,4,6,0,0.5,0.5714285714285714,0.5,0.5714285714285714
9,REF,auto,6,,197.78051282210188,126,0.7804583835946924,2,182.4386001800126,3.967222598683368,7,3,1,4,6,0,0.6,0.5000000000000001,0.6,0.625
9,SEG,0,6,,191.88335154204844,126,0.7804583835946924,2,176.78174593052023,4.975700957003559,6,2,0,2,6,0,0.22222222222222224,0.4705882352941177,0.4444444444444445,0.5882352941176471
9,SEG,2,6,,191.88335154204844,126,0.7804583835946924,2,176.78174593052023,4.975700957003559,6,2,0,2,6,0,0.22222222222222224,0.4705882352941177,0.4444444444444445,0.5882352941176471
9,SEG,5,6,,191.88335154204844,126,0.7804583835946924,2,176.78174593052023,4.975700957003559,6,2,0,2,6,0,0.25,0.5,0.5,0.625
9,SEG,10,6,,191.88335154204844,126,0.7804583835946924,2,176.78174593052023,4.975700957003559,6,2,0,2,6,0,0.28571428571428575,0.5333333333333333,0.5714285714285715,0.5333333333333333
9,SEG,auto,6,,191.88335154204844,126,0.7804583835946924,2,176.78174593052023,4.975700957003559,6,2,0,2,6,0,0.22222222222222224,0.4705882352941177,0.4444444444444445,0.5882352941176471
9,GRAPH7,0,6,1608.0,192.01472745392283,126,0.7804583835946924,2,176.75,4.986484887765724,6,2,0,2,6,0,0.22222222222222224,0.4705882352941177,0.4444444444444445,0.5882352941176471
9,GRAPH7,2,6,1608.0,192.01472745392283,126,0.7804583835946924,2,176.75,4.986484887765724,6,2,0,2,6,0,0.22222222222222224,0.4705882352941177,0.4444444444444445,0.5882352941176471
9,GRAPH7,5,6,1608.0,192.01472745392283,126,0.7804583835946924,2,176.75,4.986484887765724,6,2,0,2,6,0,0.25,0.5,0.5,0.625
9,GRAPH7,10,6,1608.0,192.01472745392283,126,0.7804583835946924,2,176.75,4.986484887765724,6,2,0,2,6,0,0.28571428571428575,0.5333333333333333,0.5714285714285715,0.5333333333333333
9,GRAPH7,auto,6,1608.0,192.01472745392283,126,0.7804583835946924,2,176.75,4.986484887765724,6,2,0,2,6,0,0.22222222222222224,0.4705882352941177,0.4444444444444445,0.5882352941176471
9,GRAPH6,0,6,1628.0,176.52172123517266,126,0.7804583835946924,2,161.50138640234124,4.883864215646798,5,1,0,8,6,0,0.25,0.4705882352941177,0.25,0.5882352941176471
