nohup: ignoring input
228 MIP tiles
  [GRAPH] 116 branches traced, 543/543 nodes assigned, 0 orphans, 530 edges, 36 components
  [GRAPH] 53 branches traced, 182/182 nodes assigned, 0 orphans, 155 edges, 33 components
  [GRAPH] 182 branches traced, 722/722 nodes assigned, 0 orphans, 745 edges, 22 components
  [GRAPH] 78 branches traced, 339/339 nodes assigned, 0 orphans, 328 edges, 25 components
  [GRAPH] 200 branches traced, 722/722 nodes assigned, 0 orphans, 752 edges, 24 components
  [GRAPH] 108 branches traced, 612/612 nodes assigned, 0 orphans, 624 edges, 11 components
  [GRAPH] 221 branches traced, 897/897 nodes assigned, 0 orphans, 913 edges, 35 components
  [GRAPH] 170 branches traced, 622/622 nodes assigned, 0 orphans, 659 edges, 10 components
  [GRAPH] 157 branches traced, 622/622 nodes assigned, 0 orphans, 639 edges, 22 components
  [GRAPH] 185 branches traced, 557/557 nodes assigned, 0 orphans, 592 edges, 24 components
  [GRAPH] 96 branches traced, 293/294 nodes assigned, 1 orphans, 284 edges, 34 components
  [GRAPH] 68 branches traced, 277/277 nodes assigned, 0 orphans, 287 edges, 7 components
  [GRAPH] 158 branches traced, 645/645 nodes assigned, 0 orphans, 655 edges, 27 components
  [GRAPH] 188 branches traced, 747/747 nodes assigned, 0 orphans, 779 edges, 17 components
  [GRAPH] 259 branches traced, 1022/1022 nodes assigned, 0 orphans, 1081 edges, 8 components
  [GRAPH] 86 branches traced, 540/540 nodes assigned, 0 orphans, 525 edges, 30 components
  [GRAPH] 123 branches traced, 488/488 nodes assigned, 0 orphans, 497 edges, 27 components
  [GRAPH] 243 branches traced, 996/996 nodes assigned, 0 orphans, 1071 edges, 3 components
  [GRAPH] 207 branches traced, 828/828 nodes assigned, 0 orphans, 867 edges, 15 components
  [GRAPH] 92 branches traced, 470/470 nodes assigned, 0 orphans, 483 edges, 10 components
  [GRAPH] 207 branches traced, 812/812 nodes assigned, 0 orphans, 850 edges, 17 components
  [GRAPH] 173 branches traced, 746/746 nodes assigned, 0 orphans, 774 edges, 15 components
  [GRAPH] 279 branches traced, 907/907 nodes assigned, 0 orphans, 956 edges, 23 components
  [GRAPH] 248 branches traced, 910/910 nodes assigned, 0 orphans, 965 edges, 12 components
  [GRAPH] 191 branches traced, 626/626 nodes assigned, 0 orphans, 666 edges, 18 components
  [GRAPH] 248 branches traced, 973/973 nodes assigned, 0 orphans, 1034 edges, 6 components
  [GRAPH] 91 branches traced, 408/408 nodes assigned, 0 orphans, 417 edges, 12 components
  [GRAPH] 198 branches traced, 740/740 nodes assigned, 0 orphans, 757 edges, 35 components
  [GRAPH] 145 branches traced, 664/664 nodes assigned, 0 orphans, 665 edges, 39 components
  [GRAPH] 179 branches traced, 798/798 nodes assigned, 0 orphans, 828 edges, 13 components
  [GRAPH] 34 branches traced, 325/325 nodes assigned, 0 orphans, 334 edges, 1 components
  [GRAPH] 84 branches traced, 414/414 nodes assigned, 0 orphans, 404 edges, 26 components
  [GRAPH] 173 branches traced, 608/608 nodes assigned, 0 orphans, 622 edges, 32 components
  [GRAPH] 205 branches traced, 800/800 nodes assigned, 0 orphans, 814 edges, 35 components
  [GRAPH] 130 branches traced, 547/547 nodes assigned, 0 orphans, 558 edges, 17 components
