dataset,L,arm,n,bytes,structure_bytes,junc_f1,n_components_bias_pct,n_components_ccc,n_components_mdape,n_components_vs_jpeg,total_length_px_bias_pct,total_length_px_ccc,total_length_px_mdape,total_length_px_vs_jpeg,mean_width_px_bias_pct,mean_width_px_ccc,mean_width_px_mdape,mean_width_px_vs_jpeg,n_branches_bias_pct,n_branches_ccc,n_branches_mdape,n_branches_vs_jpeg,n_junctions_bias_pct,n_junctions_ccc,n_junctions_mdape,n_junctions_vs_jpeg,cycle_rank_bias_pct,cycle_rank_ccc,cycle_rank_mdape,cycle_rank_vs_jpeg
CBMI,5,GRAPH7,68,6536.705882352941,563.6029411764706,0.33343211206620843,-30.15450186467768,0.49626587044117,29.802955665024633,19/25 p=2.1e-01,-6.428965915549745,0.5957362874244634,20.981011825375003,28/40 p=4.2e-02,18.62233499750262,0.537247988132663,25.383180934030726,22/46 p=3.2e-04,-28.4528092997509,0.3253295378109101,27.45215311004785,26/35 p=3.3e-02,-30.248756218905474,0.19286700343083765,57.738095238095234,16/29 p=1.8e-02,-56.78670360110803,0.030465092685189193,66.66666666666666,19/18 p=8.7e-01
CBMI,5,SEG,68,,563.6029411764706,0.33343211206620843,-30.15450186467768,0.49626587044117,29.802955665024633,,-6.485925065117789,0.5954733939884056,20.950938515954952,,18.7206056374769,0.5381219465550925,25.49170817013392,,-28.4528092997509,0.3253295378109101,27.45215311004785,,-30.248756218905474,0.19286700343083765,57.738095238095234,,-56.78670360110803,0.030465092685189193,66.66666666666666,
CBMI,5,JPEG,68,6421.838235294118,563.6029411764706,0.3545182582015834,-28.129994672349497,0.5592601121856826,26.49350649350649,,-3.025531524175037,0.686311830491815,20.651375504629378,,16.709106831885997,0.5781919380954244,23.283106864913695,,-25.51895931358981,0.3960131299749709,27.77777777777778,,-26.3681592039801,0.23351759009298542,50.0,,-53.46260387811634,0.04028453325153736,81.66666666666667,
CBMI,auto,GRAPH7,68,6536.705882352941,563.6029411764706,0.30939179040363607,-28.496732026143793,0.443187880081084,26.296296296296294,16/26 p=7.3e-02,-7.266906948188404,0.5927148085485504,20.527004671195552,27/41 p=6.7e-02,18.229557381449126,0.5456085025389682,25.378454497342872,24/44 p=3.8e-03,-34.486983154670746,0.26778867719213584,28.869047619047617,17/41 p=3.4e-04,-41.63346613545817,0.1348911026467428,59.42307692307692,12/34 p=1.9e-03,-56.46067415730338,0.032071803417678964,66.66666666666666,18/18 p=9.6e-01
CBMI,auto,SEG,68,,563.6029411764706,0.3096014737068793,-28.69281045751634,0.44146497494402387,26.296296296296294,,-7.372494993433571,0.5935708233445817,20.264553317504127,,18.295941023899342,0.5468351881749941,25.359503828477237,,-34.51761102603369,0.2739127500446764,28.57142857142857,,-41.53386454183267,0.1430732201981698,59.42307692307692,,-56.46067415730338,0.032071803417678964,66.66666666666666,
CBMI,auto,JPEG,68,6421.838235294118,563.6029411764706,0.3367969879865763,-26.07843137254902,0.5363822012037832,26.20137299771167,,-3.5658441547540227,0.685912089398516,18.88019008946207,,16.451562078944452,0.5785291639839208,22.572382777514115,,-29.923430321592647,0.3537669662452948,25.581395348837212,,-35.657370517928285,0.20356017375010643,50.0,,-52.80898876404494,0.041850999823040184,81.66666666666667,
HUMAN,5,GRAPH7,33,4962.909090909091,460.8181818181818,0.2480011609140316,2.0833333333333335,0.7843945068664169,20.0,12/11 p=7.2e-01,19.164153416023172,0.8634493114097467,32.33994336931153,15/18 p=5.2e-01,49.76867362962136,0.055460334166184254,56.01600800049384,7/26 p=1.4e-03,5.413105413105413,0.8356743922940253,35.0,11/15 p=3.4e-01,1.8306636155606408,0.7510197822419874,54.700854700854705,10/13 p=6.4e-01,-37.583892617449656,0.49790711580625874,50.0,5/7 p=3.9e-01
HUMAN,5,SEG,33,,460.8181818181818,0.2480011609140316,2.0833333333333335,0.7843945068664169,20.0,,19.07525549069179,0.8636573188317034,32.2291706929314,,49.41662233644022,0.05180844363009308,55.41044307300421,,5.413105413105413,0.8356743922940253,35.0,,1.8306636155606408,0.7510197822419874,54.700854700854705,,-37.583892617449656,0.49790711580625874,50.0,
HUMAN,5,JPEG,33,4875.060606060606,460.8181818181818,0.26772357951310227,0.0,0.7603084143479718,30.76923076923077,,19.845819519097386,0.8748298581476208,27.158809281276024,,46.78199758785693,0.04294665450286323,54.12525095749932,,6.362773029439696,0.8631951495157085,30.0,,4.347826086956522,0.7894120189737348,46.13526570048309,,-37.583892617449656,0.5467582306604727,50.0,
HUMAN,auto,GRAPH7,33,4962.909090909091,460.8181818181818,0.23293794719859306,-11.372549019607842,0.7090140144290572,26.666666666666668,11/10 p=4.4e-01,15.907282808695841,0.8700842163217547,33.796022662972106,16/17 p=9.7e-01,49.57144515445292,0.05755269910215104,56.756302431331974,9/24 p=1.1e-02,-9.969788519637463,0.8131647069350126,33.33333333333333,10/13 p=2.3e-01,-12.264150943396226,0.7404713703731474,56.038647342995176,9/14 p=4.1e-01,-37.583892617449656,0.49790711580625874,50.0,5/7 p=3.9e-01
