L,descriptor,arm,mdape_calibrated,closer_than_jpeg,jpeg_closer,p
5,n_components,GRAPH6,12.292817679558024,215.0,182.0,6.138482773810682e-06
5,n_components,GRAPH7,12.48339973439574,217.0,180.0,2.7036731717574404e-06
5,n_components,GRAPH7p,12.48339973439574,217.0,180.0,2.7036731717574404e-06
5,n_components,JPEG,12.647611176622675,,,
5,n_components,REF,12.757677105503246,218.0,179.0,4.245875053446181e-07
5,n_components,SEG,12.48339973439574,217.0,180.0,2.7036731717574404e-06
5,total_length_px,GRAPH6,10.95841173330381,250.0,147.0,1.4875286752012113e-11
5,total_length_px,GRAPH7,10.802400715711768,255.0,142.0,5.884060225143751e-12
5,total_length_px,GRAPH7p,10.805474676279701,254.0,143.0,5.866026740998695e-12
5,total_length_px,JPEG,14.589295701000928,,,
5,total_length_px,REF,10.61290269744812,261.0,136.0,5.137117123201317e-13
5,total_length_px,SEG,10.80547467627975,254.0,143.0,5.866026740998695e-12
5,mean_width_px,GRAPH6,13.297253438062869,169.0,228.0,0.11066464970757653
5,mean_width_px,GRAPH7,13.13863407062154,181.0,216.0,0.38858373893489195
5,mean_width_px,GRAPH7p,13.560787041628341,171.0,226.0,0.029644103470825352
5,mean_width_px,JPEG,13.554274164287133,,,
5,mean_width_px,REF,10.717540953500441,242.0,155.0,3.497460692320332e-06
5,mean_width_px,SEG,13.229350618022236,185.0,212.0,0.40243876729198336
5,n_branches,GRAPH6,27.427463434471576,239.0,158.0,4.5046286590912844e-07
5,n_branches,GRAPH7,27.0113055115395,241.0,156.0,5.892227031950382e-07
5,n_branches,GRAPH7p,27.0113055115395,241.0,156.0,5.892227031950382e-07
5,n_branches,JPEG,30.11854132676155,,,
5,n_branches,REF,27.02693332465575,240.0,157.0,9.033262797653891e-08
5,n_branches,SEG,27.0113055115395,241.0,156.0,5.892227031950382e-07
5,n_junctions,GRAPH6,43.84302773768739,234.0,163.0,3.4065749835848553e-07
5,n_junctions,GRAPH7,41.5718927701056,224.0,173.0,6.331447330837445e-07
5,n_junctions,GRAPH7p,41.5718927701056,224.0,173.0,6.331447330837445e-07
5,n_junctions,JPEG,47.625757515385786,,,
5,n_junctions,REF,38.636354933697845,236.0,161.0,6.955482498947853e-08
5,n_junctions,SEG,41.5718927701056,224.0,173.0,6.331447330837445e-07
5,cycle_rank,GRAPH6,34.008348375451256,207.0,190.0,0.4984375284351542
5,cycle_rank,GRAPH7,36.37790034233548,203.0,194.0,0.41709051245622064
5,cycle_rank,GRAPH7p,36.37790034233548,203.0,194.0,0.41709051245622064
5,cycle_rank,JPEG,44.4674284213291,,,
5,cycle_rank,REF,42.075234232974424,183.0,214.0,0.7204068793638225
5,cycle_rank,SEG,36.37790034233548,203.0,194.0,0.41709051245622064
auto,n_components,GRAPH6,12.027288937126901,213.0,184.0,2.0800385826552037e-05
auto,n_components,GRAPH7,12.025459475745688,213.0,184.0,2.2623836389402225e-05
auto,n_components,GRAPH7p,12.025459475745688,213.0,184.0,2.2623836389402225e-05
auto,n_components,JPEG,12.681632106336105,,,
auto,n_components,REF,12.757677105503246,218.0,179.0,5.996657784432127e-07
auto,n_components,SEG,12.025459475745688,213.0,184.0,2.2623836389402225e-05
auto,total_length_px,GRAPH6,11.12103261201107,247.0,150.0,1.7393305403139612e-11
auto,total_length_px,GRAPH7,11.094823247345378,255.0,142.0,6.590881377563855e-12
auto,total_length_px,GRAPH7p,11.139581378694285,253.0,144.0,1.0635382300069296e-11
auto,total_length_px,JPEG,14.56734235866001,,,
auto,total_length_px,REF,10.578176081358269,262.0,135.0,6.227994651516983e-13
auto,total_length_px,SEG,11.011743252115174,255.0,142.0,5.866026740998695e-12
auto,mean_width_px,GRAPH6,13.352627467390512,175.0,222.0,0.4338411366266851
auto,mean_width_px,GRAPH7,13.222948691843236,188.0,209.0,0.7038991301511162
auto,mean_width_px,GRAPH7p,13.634947215131465,170.0,227.0,0.05831558006243945
auto,mean_width_px,JPEG,13.56613222420558,,,
auto,mean_width_px,REF,10.747347436828345,240.0,157.0,1.096402083283687e-06
auto,mean_width_px,SEG,13.3454601634531,187.0,210.0,0.7788334025437784
auto,n_branches,GRAPH6,26.949707026549806,227.0,170.0,2.3806130712654455e-06
auto,n_branches,GRAPH7,27.53441474323385,230.0,167.0,2.6220225298805263e-06
auto,n_branches,GRAPH7p,27.107003057230227,225.0,172.0,3.275749013467919e-06
auto,n_branches,JPEG,31.30060748540366,,,
auto,n_branches,REF,27.980128860390906,228.0,169.0,2.463276829989307e-06
auto,n_branches,SEG,27.568081063964534,231.0,166.0,2.9707415349031356e-06
auto,n_junctions,GRAPH6,42.10932586197038,225.0,172.0,7.661267928666409e-06
auto,n_junctions,GRAPH7,41.385497000856894,231.0,166.0,1.7520271864258647e-06
auto,n_junctions,GRAPH7p,40.407345926540714,225.0,172.0,1.5962388943246232e-06
auto,n_junctions,JPEG,45.79086885605063,,,
auto,n_junctions,REF,39.054310796645694,230.0,167.0,1.3337789039544476e-06
auto,n_junctions,SEG,41.49456677698915,231.0,166.0,2.013333424295547e-06
auto,cycle_rank,GRAPH6,34.008348375451256,207.0,190.0,0.5786622987709635
auto,cycle_rank,GRAPH7,36.37790034233548,202.0,195.0,0.49658235607668955
auto,cycle_rank,GRAPH7p,36.37790034233548,202.0,195.0,0.49658235607668955
auto,cycle_rank,JPEG,44.46281340574612,,,
auto,cycle_rank,REF,42.075234232974424,183.0,214.0,0.7735439267576631
auto,cycle_rank,SEG,36.37790034233548,202.0,195.0,0.49658235607668955
