L,arm,n,bytes,n_components_bias_pct,n_components_ccc,n_components_mdape,n_components_vs_jpeg,total_length_px_bias_pct,total_length_px_ccc,total_length_px_mdape,total_length_px_vs_jpeg,mean_width_px_bias_pct,mean_width_px_ccc,mean_width_px_mdape,mean_width_px_vs_jpeg,n_branches_bias_pct,n_branches_ccc,n_branches_mdape,n_branches_vs_jpeg,n_junctions_bias_pct,n_junctions_ccc,n_junctions_mdape,n_junctions_vs_jpeg,cycle_rank_bias_pct,cycle_rank_ccc,cycle_rank_mdape,cycle_rank_vs_jpeg,length_endcorr_bias_pct,length_endcorr_ccc,junc_f1_3,end_f1_3,junc_f1_5,end_f1_5,components_eq_tubes
0,REF,397,,-18.489727928928374,0.2436278127735535,20.0,100/43 p=2.9e-12,-24.362972659339814,0.4157859204963682,23.318079551715684,268/129 p=4.7e-11,51.79830048205322,0.15230139512420038,51.338700180732566,366/31 p=6.6e-51,10.009930486593843,0.4190285039812231,40.909090909090914,186/169 p=2.0e-01,31.193761247750448,0.3898716899417332,60.0,156/175 p=1.5e-01,19.847328244274806,0.28705849250223436,75.0,89/127 p=2.1e-02,-16.326717229694545,0.5219958474496884,0.221268401280762,0.6222939523562233,0.2757574002908427,0.7350106722800326,0.04030226700251889
0,SEG,397,,-18.600777345918935,0.22531653411065883,20.0,92/44 p=1.5e-11,-29.480347772076907,0.3297237671118108,28.177255965448584,94/302 p=2.3e-20,67.7902280067338,0.08131463680532446,66.39854686424468,169/228 p=4.1e-06,-34.12115193644489,0.3018182142804669,36.36363636363637,145/126 p=7.6e-03,-40.37192561487702,0.32000503971947547,50.0,122/110 p=3.5e-02,-57.25190839694656,0.18926747574059885,100.0,48/36 p=2.2e-02,-21.333575959942,0.4366475829010873,0.2393502951493999,0.592981019546483,0.31651689078754297,0.7479165363170642,0.042821158690176324
0,GRAPH7,397,2236.176322418136,-18.600777345918935,0.22531653411065883,20.0,92/44 p=1.5e-11,-29.455294736932537,0.33014085172802354,28.119321373834055,96/301 p=3.6e-20,67.65900850159878,0.0818872055795691,66.43470101937538,175/222 p=8.8e-05,-34.12115193644489,0.3018182142804669,36.36363636363637,145/126 p=7.6e-03,-40.37192561487702,0.32000503971947547,50.0,122/110 p=3.5e-02,-57.25190839694656,0.18926747574059885,100.0,48/36 p=2.2e-02,-21.326122155185757,0.4368234007187125,0.2388923148425531,0.592981019546483,0.31651689078754297,0.7479165363170642,0.042821158690176324
0,GRAPH7p,397,,-18.600777345918935,0.22531653411065883,20.0,92/44 p=1.5e-11,-29.4803477720769,0.32972376711181095,28.177255965448584,95/302 p=2.3e-20,67.94205704816653,0.0985962955841256,64.51954176102494,209/188 p=3.8e-01,-34.12115193644489,0.3018182142804669,36.36363636363637,145/126 p=7.6e-03,-40.37192561487702,0.32000503971947547,50.0,122/110 p=3.5e-02,-57.25190839694656,0.18926747574059885,100.0,48/36 p=2.2e-02,-21.17371879717864,0.4408107972433944,0.2388923148425531,0.592981019546483,0.31651689078754297,0.7479165363170642,0.042821158690176324
0,GRAPH6,397,2247.4534005037785,-18.989450305385898,0.21356939457719448,20.0,94/48 p=3.8e-11,-33.10239077888438,0.2720186308592389,31.653820865783043,41/356 p=5.7e-36,65.19654887680203,0.08535497147210766,64.03350496912118,256/141 p=1.9e-06,-47.527308838133074,0.21006862379576294,45.45454545454545,107/201 p=1.5e-02,-62.74745050989801,0.22295855157030384,66.66666666666666,107/175 p=1.7e-01,-61.32315521628499,0.1920125066948453,100.0,47/32 p=3.7e-03,-25.76867530749353,0.3561694940791449,0.24861990298409728,0.5926276486708756,0.32013486810396297,0.7451242153211984,0.04030226700251889
0,JPEG,397,2169.1209068010075,85.50805108273182,-0.00016745731589797017,20.0,,1.980521223175566,0.005606573920761048,25.26069967953625,,64.81922939578408,0.08459883269666503,62.92719620324938,,54.180734856007945,-0.01947745470183361,40.0,,40.191961607678465,-0.008709098392630394,50.0,,-11.450381679389311,0.000926540256777369,100.0,,18.968175214471746,-0.0017387143597320867,0.20798782595354798,0.49571737774014696,0.2872889039154199,0.6368162174175781,0.07808564231738035
2,REF,397,,-18.489727928928374,0.2436278127735535,20.0,100/43 p=2.9e-12,-24.62014366817537,0.4121330920675775,23.696895805334965,260/137 p=1.1e-09,52.04262245723572,0.15218206343110732,51.46224882439366,365/32 p=1.7e-50,-0.4557696291692563,0.4751645710282519,35.714285714285715,204/144 p=2.7e-04,16.518987341772153,0.4436551719876429,50.0,165/154 p=6.0e-01,19.847328244274806,0.28705849250223436,75.0,89/127 p=2.1e-02,-16.970745237797274,0.5139841937436139,0.24539109551415467,0.6446341601694158,0.302493349084579,0.7656821208889051,0.04030226700251889
2,SEG,397,,-18.600777345918935,0.22531653411065883,20.0,92/44 p=1.5e-11,-29.452538144038865,0.33010549047542886,28.177255965448584,95/301 p=3.6e-20,67.79541580895939,0.08135492179647379,66.18196752719895,169/228 p=4.2e-06,-32.64967888957945,0.3408146947501988,36.36363636363637,135/130 p=1.7e-02,-39.050632911392405,0.3498458875944877,50.0,120/105 p=2.3e-02,-57.25190839694656,0.18926747574059885,100.0,48/36 p=2.2e-02,-21.36634632099338,0.43632383079950215,0.2451521978102914,0.5995639080739167,0.32440686441337613,0.7578681715245411,0.042821158690176324
2,GRAPH7,397,2236.176322418136,-18.600777345918935,0.22531653411065883,20.0,92/44 p=1.5e-11,-29.429192921034666,0.33050499070428246,28.119321373834055,98/299 p=5.0e-20,67.66339580027042,0.08192853238295729,66.43470101937538,176/221 p=9.2e-05,-32.64967888957945,0.3408146947501988,36.36363636363637,135/130 p=1.7e-02,-39.050632911392405,0.3498458875944877,50.0,120/105 p=2.3e-02,-57.25190839694656,0.18926747574059885,100.0,48/36 p=2.2e-02,-21.361715556860947,0.43650953129595965,0.2446484194727599,0.5995639080739167,0.32440686441337613,0.7578681715245411,0.042821158690176324
2,GRAPH7p,397,,-18.600777345918935,0.22531653411065883,20.0,92/44 p=1.5e-11,-29.452538144038858,0.33010549047542903,28.177255965448584,96/301 p=3.6e-20,67.91627576762546,0.09863606946741423,64.76584640016719,209/188 p=4.0e-01,-32.64967888957945,0.3408146947501988,36.36363636363637,135/130 p=1.7e-02,-39.050632911392405,0.3498458875944877,50.0,120/105 p=2.3e-02,-57.25190839694656,0.18926747574059885,100.0,48/36 p=2.2e-02,-21.23584604491246,0.44026638641971966,0.2446484194727599,0.5995639080739167,0.32440686441337613,0.7578681715245411,0.042821158690176324
