
== all L=0
          arm  bytes_mean  n_branches_bias_pct  n_branches_ccc  n_junctions_bias_pct  n_junctions_ccc  total_length_px_bias_pct  mean_width_px_bias_pct  cycle_rank_bias_pct  junc_f1_3  end_f1_3
       GRAPH6    2216.001              -44.345           0.249               -66.511            0.262                   -11.582                   3.221              -44.757      0.411     0.740
       GRAPH7     172.345              -27.617           0.472               -39.496            0.513                    -5.933                   4.909              -36.573      0.515     0.758
GRAPH7_eps0.5     195.308              -27.617           0.472               -39.496            0.513                    -5.933                   4.845              -36.573      0.515     0.758
GRAPH7_eps1.5     161.140              -27.617           0.472               -39.496            0.513                    -5.933                   4.943              -36.573      0.515     0.758
GRAPH7_eps3.0     155.076              -27.617           0.472               -39.496            0.513                    -5.933                   4.919              -36.573      0.515     0.758
      GRAPH7p     180.108              -27.617           0.472               -39.496            0.513                    -5.933                  19.940              -36.573      0.515     0.758
         JPEG    2147.775               37.296          -0.017                22.533            0.021                    22.894                   4.960               20.716      0.458     0.607
      JPEGq10    1263.350              503.188           0.001               630.501            0.002                   280.603                  20.325              854.220      0.207     0.254
      JPEGq20    1607.551              346.386          -0.005               306.380           -0.003                   189.968                   5.888              301.023      0.314     0.353
      JPEGq30    2578.852              -10.836           0.357               -18.550            0.465                    -0.682                   4.766              -19.437      0.477     0.682
       JPEGq5    1179.463              406.796           0.002               629.287            0.000                   224.189                  24.377             1507.417      0.195     0.255
      JPEGq50    4783.813              -24.545           0.500               -35.201            0.535                    -5.405                   4.303              -31.458      0.512     0.740
      JPEGq75    9206.189              -26.597           0.496               -38.936            0.525                    -5.592                   4.989              -35.038      0.524     0.758
         PRE7         NaN              -27.617           0.472               -39.496            0.513                    -5.985                   4.967              -36.573      0.515     0.758
          SEG     365.820              -27.617           0.472               -39.496            0.513                    -6.014                   5.028              -36.573      0.514     0.758

== all L=5
          arm  bytes_mean  n_branches_bias_pct  n_branches_ccc  n_junctions_bias_pct  n_junctions_ccc  total_length_px_bias_pct  mean_width_px_bias_pct  cycle_rank_bias_pct  junc_f1_3  end_f1_3
       GRAPH6    2216.001              -17.470           0.656               -38.435            0.602                    -8.433                   2.638              -44.757      0.657     0.800
       GRAPH7     172.345              -10.072           0.756               -19.850            0.738                    -3.818                   4.176              -36.573      0.693     0.803
GRAPH7_eps0.5     195.308              -10.072           0.756               -19.850            0.738                    -3.818                   4.109              -36.573      0.693     0.803
