model,stem,arm,L,iou,precision,recall,bytes,n_components,n_components_ref,total_length_px,total_length_px_ref,mean_width_px,mean_width_px_ref,n_branches,n_branches_ref,n_junctions,n_junctions_ref,cycle_rank,cycle_rank_ref,junc_f1_3,end_f1_3
shipped,7749,SEG,0,0.8989715668481548,0.9464968152866242,0.947100063734863,,5,5,312.6639969244288,323.3919189857866,5.397187620253668,5.11283909273682,15,22,5,8,0,1,0.7692307692307693,0.8484848484848485
shipped,7749,SEG,5,0.8989715668481548,0.9464968152866242,0.947100063734863,,5,5,309.2497833620556,312.73506473629425,5.400220679563729,5.167347866386885,13,15,4,5,0,1,0.888888888888889,1.0
shipped,7749,GRAPH7,0,0.8989715668481548,0.9464968152866242,0.947100063734863,226.0,5,5,313.25,323.3919189857866,5.422339533801638,5.11283909273682,15,22,5,8,0,1,0.7692307692307693,0.8484848484848485
shipped,7749,GRAPH7,5,0.8989715668481548,0.9464968152866242,0.947100063734863,226.0,5,5,309.75,312.73506473629425,5.418637155652505,5.167347866386885,13,15,4,5,0,1,0.888888888888889,1.0
shipped,7902,SEG,0,0.9128233970753655,0.9597871082199881,0.9491228070175438,,6,6,275.49242404917493,293.32085117392114,5.995358611488803,5.809985544970214,10,18,2,6,0,0,0.5,0.6250000000000001
shipped,7902,SEG,5,0.9128233970753655,0.9597871082199881,0.9491228070175438,,6,6,273.0782104868018,272.0071426749364,6.00049636399121,5.873623510341042,8,10,1,2,0,0,0.6666666666666666,0.6666666666666666
shipped,7902,GRAPH7,0,0.9128233970753655,0.9597871082199881,0.9491228070175438,182.0,6,6,275.5,293.32085117392114,5.966638334516172,5.809985544970214,10,18,2,6,0,0,0.5,0.6250000000000001
shipped,7902,GRAPH7,5,0.9128233970753655,0.9597871082199881,0.9491228070175438,182.0,6,6,273.0,272.0071426749364,5.968622202048371,5.873623510341042,8,10,1,2,0,0,0.6666666666666666,0.6666666666666666
shipped,7421,SEG,0,0.9045027214250371,0.9364754098360656,0.9636267791249341,,5,6,272.2081528017131,287.1787155501902,7.1554198237766675,6.85534498236975,11,14,3,4,0,0,0.5714285714285715,0.6896551724137931
shipped,7421,SEG,5,0.9045027214250371,0.9364754098360656,0.9636267791249341,,5,6,272.2081528017131,273.6934341759516,7.1554198237766675,6.9100575455299005,11,10,3,2,0,0,0.8,0.8148148148148148
shipped,7421,GRAPH7,0,0.9045027214250371,0.9364754098360656,0.9636267791249341,198.0,5,6,272.0,287.1787155501902,7.131775120152654,6.85534498236975,11,14,3,4,0,0,0.5714285714285715,0.6896551724137931
shipped,7421,GRAPH7,5,0.9045027214250371,0.9364754098360656,0.9636267791249341,198.0,5,6,272.0,273.6934341759516,7.131775120152654,6.9100575455299005,11,10,3,2,0,0,0.8,0.8148148148148148
shipped,7466,SEG,0,0.9001956947162426,0.9334415584415584,0.9619406106231703,,4,4,327.73506473629425,354.94826817189073,7.680743614674436,6.95093631576388,17,27,7,12,1,1,0.7368421052631579,0.5806451612903226
shipped,7466,SEG,5,0.9001956947162426,0.9334415584415584,0.9619406106231703,,4,4,322.492424049175,338.4629867976521,7.673412359255352,7.021497474350097,13,15,5,6,1,1,0.9090909090909091,0.6086956521739131
shipped,7466,GRAPH7,0,0.9001956947162426,0.9334415584415584,0.9619406106231703,238.0,4,4,328.25,354.94826817189073,7.709047482823865,6.95093631576388,17,27,7,12,1,1,0.7368421052631579,0.5806451612903226
shipped,7466,GRAPH7,5,0.9001956947162426,0.9334415584415584,0.9619406106231703,238.0,4,4,323.0,338.4629867976521,7.706059864510632,7.021497474350097,13,15,5,6,1,1,0.9090909090909091,0.6086956521739131
shipped,7669,SEG,0,0.8516345347862532,0.8888888888888888,0.9530956848030019,,4,5,220.6812408671319,219.16652224137047,5.3571717947862,4.912095561968503,13,15,5,6,1,2,0.7272727272727272,0.9565217391304348
shipped,7669,SEG,5,0.8516345347862532,0.8888888888888888,0.9530956848030019,,4,5,216.68124086713186,214.75230867899737,5.341464527370418,4.8963191124234795,9,13,3,5,1,2,0.7499999999999999,0.9
shipped,7669,GRAPH7,0,0.8516345347862532,0.8888888888888888,0.9530956848030019,179.0,4,5,220.75,219.16652224137047,5.387422763455498,4.912095561968503,13,15,5,6,1,2,0.7272727272727272,0.9565217391304348
shipped,7669,GRAPH7,5,0.8516345347862532,0.8888888888888888,0.9530956848030019,179.0,4,5,216.75,214.75230867899737,5.378424798305887,4.8963191124234795,9,13,3,5,1,2,0.7499999999999999,0.9
shipped,7907,SEG,0,0.9089121887287025,0.9467576791808874,0.9578729281767956,,5,5,224.72287142747453,232.23759005323598,6.496517343716046,6.204773890829121,9,9,2,2,0,0,0.5,0.75
shipped,7907,SEG,5,0.9089121887287025,0.9467576791808874,0.9578729281767956,,5,5,221.30865786510145,228.23759005323598,6.523861540405842,6.231432751649239,7,7,1,1,0,0,1.0,0.8181818181818182
shipped,7907,GRAPH7,0,0.9089121887287025,0.9467576791808874,0.9578729281767956,169.0,5,5,225.0,232.23759005323598,6.469365460161097,6.204773890829121,9,9,2,2,0,0,0.5,0.75
shipped,7907,GRAPH7,5,0.9089121887287025,0.9467576791808874,0.9578729281767956,169.0,5,5,221.5,228.23759005323598,6.489197420028202,6.231432751649239,7,7,1,1,0,0,1.0,0.8181818181818182
