726 images
  [GRAPH] 34 branches traced, 72/72 nodes assigned, 0 orphans, 84 edges, 4 components
  [GRAPH] 36 branches traced, 74/74 nodes assigned, 0 orphans, 86 edges, 4 components
  [GRAPH] 11 branches traced, 63/63 nodes assigned, 0 orphans, 61 edges, 4 components
  [GRAPH] 9 branches traced, 49/49 nodes assigned, 0 orphans, 44 edges, 5 components
  [GRAPH] 8 branches traced, 68/68 nodes assigned, 0 orphans, 66 edges, 3 components
  [GRAPH] 12 branches traced, 57/57 nodes assigned, 0 orphans, 54 edges, 5 components
  [GRAPH] 8 branches traced, 65/65 nodes assigned, 0 orphans, 63 edges, 3 components
  [GRAPH] 15 branches traced, 45/47 nodes assigned, 2 orphans, 47 edges, 3 components
  [GRAPH] 8 branches traced, 66/66 nodes assigned, 0 orphans, 64 edges, 3 components
  [GRAPH] 11 branches traced, 29/29 nodes assigned, 0 orphans, 24 edges, 6 components
  [GRAPH] 8 branches traced, 62/62 nodes assigned, 0 orphans, 60 edges, 3 components
  [GRAPH] 4 branches traced, 6/6 nodes assigned, 0 orphans, 4 edges, 2 components
  [GRAPH] 35 branches traced, 72/72 nodes assigned, 0 orphans, 85 edges, 3 components
  [GRAPH] 35 branches traced, 46/46 nodes assigned, 0 orphans, 59 edges, 3 components
  [GRAPH] 35 branches traced, 46/46 nodes assigned, 0 orphans, 59 edges, 3 components
  [GRAPH] 3 branches traced, 46/46 nodes assigned, 0 orphans, 43 edges, 3 components
  [GRAPH] 34 branches traced, 58/58 nodes assigned, 0 orphans, 72 edges, 2 components
  [GRAPH] 337 branches traced, 226/226 nodes assigned, 0 orphans, 344 edges, 4 components
  [GRAPH] 645 branches traced, 378/378 nodes assigned, 0 orphans, 647 edges, 7 components
  [GRAPH] 988 branches traced, 552/552 nodes assigned, 0 orphans, 992 edges, 10 components
[1/726] 7249 base b0=4 b1=16 segIoU=0.362
  [GRAPH] 29 branches traced, 180/180 nodes assigned, 0 orphans, 183 edges, 4 components
  [GRAPH] 31 branches traced, 144/144 nodes assigned, 0 orphans, 147 edges, 4 components
  [GRAPH] 32 branches traced, 129/129 nodes assigned, 0 orphans, 135 edges, 4 components
  [GRAPH] 39 branches traced, 140/140 nodes assigned, 0 orphans, 146 edges, 4 components
  [GRAPH] 31 branches traced, 131/131 nodes assigned, 0 orphans, 135 edges, 4 components
  [GRAPH] 30 branches traced, 114/115 nodes assigned, 1 orphans, 112 edges, 9 components
  [GRAPH] 29 branches traced, 126/126 nodes assigned, 0 orphans, 129 edges, 4 components
  [GRAPH] 24 branches traced, 40/42 nodes assigned, 2 orphans, 39 edges, 7 components
  [GRAPH] 20 branches traced, 121/121 nodes assigned, 0 orphans, 120 edges, 4 components
  [GRAPH] 2 branches traced, 4/6 nodes assigned, 2 orphans, 4 edges, 2 components
  [GRAPH] 23 branches traced, 122/122 nodes assigned, 0 orphans, 123 edges, 4 components
  [GRAPH] 0 branches traced, 0/1 nodes assigned, 1 orphans, 0 edges, 1 components
