filename	ng_fg_ssim	ng_fg_psnr	ng_iou	ng_topo_q	ng_psnr	ng_ssim	ng_bytes	graph_n_components	graph_n_cycles	graph_n_junctions	graph_n_endpoints	graph_mean_degree	graph_complexity	n_nodes	n_edges	total_edge_length	mean_width_px	mean_curvature	delta_fg_ssim	delta_iou	total_time_ms	ng_recon_iou	ng_n_components	ng_n_cycles	ng_euler_characteristic	ng_n_junctions	ng_n_endpoints	ng_mean_degree	ng_graph_complexity	ng_seg_beta_0	ng_seg_beta_1	graph_n_nodes	graph_n_edges	graph_n_sampled	graph_mean_edge_length	graph_mean_width	graph_total_edge_length	graph_mean_curvature	png_bytes	ng_vs_png	ng_vs_raw	image_shape	image_pixels	image_type	segmenter	n_points	n_structures	jpeg_quality	jpeg_bytes	jpeg_psnr	jpeg_ssim	jpeg_fg_psnr	jpeg_fg_ssim	jpeg_iou	jpeg_topo_q	jpeg_beta_0	jpeg_beta_1	jpeg_betti_preservation	webp_quality	webp_bytes	webp_psnr	webp_ssim	webp_fg_ssim	webp_fg_psnr	webp_topo_q	webp_iou	jp2_bytes	jp2_psnr	jp2_ssim	jp2_fg_ssim	jp2_fg_psnr	jp2_topo_q	jp2_iou	delta_fg_psnr	delta_topo_q	delta_psnr	delta_ssim	gt_available	stem
d1_d0001_p0004_t0000.png	0.977053	22.263725	1.000000	0.999994	21.610388	0.257946	42497	11	611	1051	83	2.287356	55.545455	4176	4776	8194.019187	4.252983	0.070913	0.003009	0.636122	25426.843882	0.379645	11	611	-600	1051	83	2.287356	55.545455	11	129	4176	4776	3042	1.715666	4.252983	8194.019187	0.070913	270816	6.372591	8.471186	600x600	360000	dense	Learned	4376	11	29	41549	23.444940	0.597033	21.785082	0.974043	0.363878	0.255189	2448	3620	0.000000	13	41114	24.722468	0.717897	0.986286	24.202718	0.204355	0.346054	1433	21.374902	0.194569	0.941989	18.919690	0.950384	0.372717	0.478643	0.744806	-1.834552	-0.339087	False	d1_d0001_p0004_t0000
d1_d0001_p0006_t0000.png	0.971468	22.613048	1.000000	0.999702	22.495395	0.332591	54609	22	863	1471	96	2.294210	39.227273	5717	6558	11436.106372	4.133307	0.072995	-0.005014	0.489648	26956.257820	0.585152	22	863	-841	1471	96	2.294210	39.227273	23	194	5717	6558	4150	1.743841	4.133307	11436.106372	0.072995	279098	5.110843	6.592320	600x600	360000	dense	Learned	5917	23	42	53577	25.009742	0.677849	23.285779	0.976482	0.510352	0.265546	2682	4512	0.000000	23	53426	26.880207	0.813515	0.987764	25.967306	0.226462	0.493324	1095	21.817541	0.231907	0.926235	18.936490	0.996261	0.490862	-0.672732	0.734156	-2.514346	-0.345257	False	d1_d0001_p0006_t0000
d1_d0001_p0007_t0000.png	0.976517	22.363398	1.000000	0.999437	21.950670	0.302352	44170	21	716	1264	99	2.358988	34.095238	3872	4567	9971.170926	4.237599	0.075628	0.001113	0.584066	23345.249653	0.419730	21	716	-695	1264	99	2.358988	34.095238	22	159	3872	4567	2509	2.183309	4.237599	9971.170926	0.075628	281114	6.364365	8.150328	600x600	360000	sparse	Learned	3992	22	32	43208	24.036546	0.621535	22.180117	0.975404	0.415934	0.269891	2784	4313	0.000000	15	42502	25.121307	0.731472	0.985257	24.212491	0.245247	0.409489	1364	21.716860	0.224873	0.938184	18.993757	0.998686	0.402694	0.183281	0.729546	-2.085877	-0.319183	False	d1_d0001_p0007_t0000
d1_d0001_p0008_t0000.png	0.970135	21.816671	1.000000	0.999973	20.806644	0.333230	69943	20	1021	1840	166	2.280864	51.050000	7128	8129	14809.171743	3.843092	0.083347	-0.007484	0.527834	24283.248186	0.549606	20	1021	-1001	1840	166	2.280864	51.050000	23	203	7128	8129	5122	1.821770	3.843092	14809.171743	0.083347	274593	3.925954	5.147048	600x600	360000	dense	Learned	7328	23	45	68878	24.131070	0.736760	22.915736	0.977619	0.472166	0.277970	3874	8374	0.000000	25	68716	27.391991	0.879669	0.991059	26.948894	0.248546	0.465926	671	19.853121	0.162289	0.910988	17.567357	0.996602	0.422176	-1.099065	0.722003	-3.324426	-0.403530	False	d1_d0001_p0008_t0000
d1_d0001_p0009_t0000.png	0.986162	24.095072	1.000000	0.999991	25.473934	0.413806	30294	8	457	811	55	2.269185	57.125000	3336	3785	6376.692060	4.006180	0.067199	-0.000926	0.571618	19533.223867	0.464106	8	457	-449	811	55	2.269185	57.125000	9	100	3336	3785	2470	1.684727	4.006180	6376.692060	0.067199	272870	9.007394	11.883541	600x600	360000	dense	Learned	3536	9	36	30099	27.592192	0.619693	24.321878	0.987088	0.428382	0.272494	1146	1207	0.000000	26	29718	28.181528	0.704155	0.989507	25.127768	0.258700	0.424060	1738	25.897232	0.390098	0.973141	21.773076	0.911704	0.435854	-0.226806	0.727498	-2.118257	-0.205887	False	d1_d0001_p0009_t0000
d1_d0001_p0010_t0000.png	0.972600	24.212946	1.000000	0.998046	23.319105	0.406617	59622	33	903	1583	139	2.259044	27.363636	6717	7587	13576.738895	3.870588	0.077131	-0.008746	0.545864	24204.279184	0.517867	33	903	-870	1583	139	2.259044	27.363636	36	189	6717	7587	4995	1.789474	3.870588	13576.738895	0.077131	267192	4.481433	6.038040	600x600	360000	dense	Learned	6917	36	56	59041	27.198888	0.738545	25.735161	0.981346	0.454136	0.200999	3496	3930	0.000000	38	57984	29.342122	0.855876	0.990034	28.307725	0.186965	0.441223	1047	23.234572	0.314909	0.936679	20.681634	0.938502	0.434165	-1.522215	0.797046	-3.879783	-0.331927	False	d1_d0001_p0010_t0000
d1_d0001_p0011_t0000.png	0.985868	23.694193	1.000000	0.990970	24.294694	0.388192	34698	23	484	843	72	2.252119	21.043478	3657	4118	7108.133418	3.871215	0.075522	-0.000658	0.670873	22126.226425	0.302301	23	484	-461	843	72	2.252119	21.043478	25	108	3657	4118	2742	1.726113	3.871215	7108.133418	0.075522	279656	8.059715	10.375238	600x600	360000	dense	Learned	3857	25	36	34380	26.730022	0.630746	23.908352	0.986526	0.329127	0.393537	1259	2832	0.000000	24	34370	27.295046	0.720192	0.989708	24.763729	0.353230	0.328290	1760	24.695570	0.361408	0.970567	20.949216	0.954608	0.308289	-0.214159	0.597433	-2.435328	-0.242554	False	d1_d0001_p0011_t0000
d1_d0001_p0013_t0000.png	0.978078	25.044986	1.000000	1.000000	24.799575	0.500202	50969	12	814	1463	129	2.271910	67.833333	5899	6701	12283.412211	3.701423	0.082118	-0.007451	0.538584	23084.487677	0.472736	12	814	-802	1463	129	2.271910	67.833333	13	149	5899	6701	4307	1.833072	3.701423	12283.412211	0.082118	271903	5.334674	7.063117	600x600	360000	dense	Learned	6099	13	60	49645	29.108647	0.743775	26.744830	0.985529	0.461416	0.259878	1660	2293	0.000000	48	50790	31.126889	0.848517	0.991846	29.258452	0.246375	0.462853	1096	25.194444	0.446191	0.955629	21.849296	0.875624	0.410149	-1.699844	0.740122	-4.309073	-0.243573	False	d1_d0001_p0013_t0000
d1_d0001_p0014_t0000.png	0.965096	24.369444	1.000000	1.000000	22.916073	0.485014	67589	20	1308	2279	147	2.396003	65.400000	6505	7793	18568.473150	4.105346	0.091168	-0.014821	0.448999	26240.770102	0.633433	20	1308	-1288	2279	147	2.396003	65.400000	20	289	6505	7793	4079	2.382712	4.105346	18568.473150	0.091168	286148	4.233647	5.326310	600x600	360000	sparse	Learned	6625	20	62	67365	27.799343	0.787516	26.470386	0.979917	0.551001	0.364959	2268	5697	0.000000	47	66704	30.648895	0.895084	0.990690	29.790890	0.340314	0.542904	719	21.727193	0.325584	0.907220	19.454652	0.999987	0.482139	-2.100942	0.635041	-4.883270	-0.302501	False	d1_d0001_p0014_t0000
d1_d0001_p0015_t0000.png	0.973335	21.901208	1.000000	0.999999	21.118548	0.329805	65706	15	988	1765	121	2.286092	65.866667	6802	7775	14041.175873	3.856910	0.078433	-0.006446	0.519248	23768.900871	0.578238	15	988	-973	1765	121	2.286092	65.866667	17	215	6802	7775	4916	1.805939	3.856910	14041.175873	0.078433	280805	4.273658	5.478952	600x600	360000	dense	Learned	7002	17	44	65264	24.284329	0.724427	22.935491	0.979781	0.480752	0.263133	3994	7680	0.000000	25	65462	27.250367	0.866893	0.991435	26.705002	0.241907	0.472683	710	20.218062	0.174500	0.921424	17.679216	0.999954	0.442568	-1.034284	0.736865	-3.165781	-0.394622	False	d1_d0001_p0015_t0000
